,open,high,low,close,volume
2009-05-20,746.31,750.8,732.82,738.58,705.0
2009-05-21,741.81,764.2,736.42,754.31,2266.0
2009-05-22,745.41,760.7,734.62,738.67,573.0
2009-05-25,739.12,753.5,737.41,753.5,253.0
2009-05-26,753.5,763.39,750.8,751.03,4123.0
2009-05-27,749.91,763.39,749.91,762.67,814.0
2009-05-28,764.29,773.28,753.73,769.28,1637.0
2009-05-29,764.29,776.88,764.29,771.04,585.0
2009-06-01,751.7,781.33,751.7,777.51,1213.0
2009-06-02,764.29,782.28,764.29,772.92,1934.0
2009-06-03,777.78,786.82,777.78,783.98,1227.0
2009-06-04,782.28,804.71,782.28,786.77,3383.0
2009-06-05,782.28,802.96,782.28,801.07,914.0
2009-06-08,802.96,804.75,768.83,784.57,29462.0
2009-06-09,785.87,795.76,785.87,794.37,750.0
2009-06-10,797.11,800.26,782.28,792.84,981.0
2009-06-11,799.36,818.24,799.36,813.79,4120.0
2009-06-12,817.34,824.54,813.75,819.5,932.0
2009-06-15,820.94,825.35,811.05,812.26,1114.0
2009-06-16,809.25,823.37,809.25,815.23,514.0
2009-06-17,818.24,818.24,800.26,807.0,1979.0
2009-06-18,809.25,813.75,788.57,806.1,789.0
2009-06-19,792.17,804.75,791.27,797.2,805.0
2009-06-22,800.26,803.86,791.27,795.63,1188.0
2009-06-23,791.27,800.26,791.27,800.26,463.0
2009-06-24,791.36,830.83,791.27,823.5,1583.0
2009-06-25,809.25,831.73,794.28,800.57,357.0
2009-06-26,803.27,831.28,800.35,830.65,1679.0
2009-06-29,827.23,831.59,818.29,827.23,369.0
2009-06-30,822.74,822.74,800.26,805.79,405.0
2009-07-01,813.16,836.23,800.3,821.93,783.0
2009-07-02,827.23,827.32,813.75,816.94,1687.0
2009-07-03,813.75,824.54,810.15,818.69,132.0
2009-07-06,818.24,827.23,813.75,813.75,913.0
2009-07-07,822.74,854.21,822.74,843.33,2451.0
2009-07-08,836.23,852.41,818.29,836.23,479.0
2009-07-09,840.72,849.71,831.77,838.02,361.0
2009-07-10,849.13,854.21,836.23,837.66,382.0
2009-07-13,836.23,854.21,809.25,812.35,1145.0
2009-07-14,809.25,838.02,809.25,834.02,454.0
2009-07-15,836.23,852.41,831.73,849.76,1051.0
2009-07-16,853.31,863.2,845.22,862.03,1778.0
2009-07-17,867.7,872.19,865.45,869.05,467.0
2009-07-20,840.72,894.67,840.72,886.62,4311.0
2009-07-21,878.49,887.79,865.49,872.19,1409.0
2009-07-22,882.98,896.47,872.24,890.0,2213.0
2009-07-23,899.17,899.17,863.2,871.34,224.0
2009-07-24,872.24,894.31,872.19,874.31,302.0
2009-07-27,873.09,890.18,872.46,889.28,589.0
2009-07-28,889.28,916.25,881.18,889.05,2680.0
2009-07-29,908.16,908.16,874.31,902.99,2652.0
2009-07-30,908.16,908.16,882.08,891.39,432.0
2009-07-31,890.18,925.24,890.18,920.66,5355.0
2009-08-03,921.42,954.92,921.42,948.76,2485.0
2009-08-04,944.13,961.21,930.68,942.33,872.0
2009-08-05,952.22,975.6,938.73,966.47,6056.0
2009-08-06,944.13,966.61,903.66,915.67,3512.0
2009-08-07,912.97,926.05,891.97,900.74,2285.0
2009-08-10,900.74,917.15,867.7,882.4,1432.0
2009-08-11,865.9,894.67,858.7,867.52,1079.0
2009-08-12,890.09,890.09,856.32,869.72,739.0
2009-08-13,885.68,905.46,872.28,881.41,3476.0
2009-08-14,885.68,898.27,876.69,880.64,1082.0
2009-08-17,874.04,893.77,858.79,863.65,5125.0
2009-08-18,880.28,885.68,872.19,881.18,452.0
2009-08-19,867.7,894.67,863.2,889.91,1027.0
2009-08-20,881.18,894.22,881.18,887.97,215.0
2009-08-21,881.18,890.18,881.18,890.09,2289.0
2009-08-24,889.28,908.16,889.28,899.44,3892.0
2009-08-25,893.77,908.16,893.77,900.88,1741.0
2009-08-26,908.16,919.4,891.08,914.14,1248.0
2009-08-27,914.14,921.65,904.61,917.15,51990.0
2009-08-28,944.26,987.29,944.26,955.64,6268.0
2009-08-31,961.03,980.09,945.03,962.83,13224.0
2009-09-01,974.7,1008.87,948.62,993.98,41715.0
2009-09-02,989.08,1074.5,989.08,1026.94,29175.0
2009-09-03,1026.94,1065.51,1026.94,1053.33,1759.0
2009-09-04,1045.73,1061.02,1043.03,1049.42,680.0
2009-09-07,1056.52,1061.02,1052.03,1056.48,5173.0
2009-09-08,1064.97,1071.81,1052.93,1059.13,27065.0
2009-09-09,990.25,1070.01,990.25,1057.6,1344.0
2009-09-10,1061.02,1076.75,1018.04,1026.53,2739.0
2009-09-11,1050.23,1087.81,1047.31,1079.41,41273.0
2009-09-14,1061.02,1087.99,1061.02,1086.1,21040.0
2009-09-15,1087.99,1111.55,1079.9,1084.94,1762.0
2009-09-16,1088.04,1100.58,1080.8,1091.18,6345.0
2009-09-17,1081.79,1255.24,1081.79,1237.48,142022.0
2009-09-18,1219.27,1308.29,1195.89,1278.39,141731.0
2009-09-22,1267.83,1474.63,1263.33,1409.98,199707.0
2009-09-23,1409.89,1409.89,1312.78,1323.62,18040.0
2009-09-24,1304.69,1366.6,1303.79,1317.73,8298.0
2009-09-25,1310.85,1345.11,1290.31,1312.24,8025.0
2009-09-29,1332.79,1340.65,1278.87,1319.05,6050.0
2009-09-30,1322.38,1324.21,1300.46,1311.01,3088.0
2009-10-01,1319.64,1379.0,1279.96,1350.88,11230.0
2009-10-05,1338.82,1365.26,1328.77,1344.62,4320.0
2009-10-06,1344.3,1358.91,1297.91,1325.58,2508.0
2009-10-07,1328.77,1351.61,1317.36,1328.82,1553.0
2009-10-08,1341.56,1351.61,1306.9,1325.12,1489.0
2009-10-09,1320.56,1337.91,1320.56,1331.56,706.0
2009-10-12,1317.82,1341.56,1294.62,1329.23,1347.0
2009-10-14,1337.91,1406.4,1324.25,1384.35,35507.0
2009-10-15,1415.53,1415.53,1369.87,1390.1,1671.0
2009-10-16,1397.27,1418.14,1379.0,1412.52,3683.0
2009-10-20,1404.89,1442.93,1404.89,1431.51,3075.0
2009-10-21,1429.23,1433.8,1406.4,1419.14,3382.0
2009-10-22,1390.97,1403.2,1364.39,1370.28,2401.0
2009-10-23,1374.44,1410.97,1365.3,1369.83,3726.0
2009-10-26,1374.44,1487.5,1331.51,1353.02,2011.0
2009-10-27,1322.38,1369.87,1321.47,1345.3,2483.0
2009-10-28,1316.03,1338.82,1289.14,1299.37,3357.0
2009-10-29,1347.04,1358.0,1305.94,1342.93,2385.0
2009-10-30,1383.57,1383.57,1322.38,1333.66,6114.0
2009-11-03,1342.47,1360.46,1309.69,1345.53,8074.0
2009-11-04,1342.52,1365.3,1342.52,1356.49,1538.0
2009-11-05,1351.61,1483.11,1342.61,1458.18,14312.0
2009-11-06,1502.29,1506.86,1429.32,1461.52,10503.0
2009-11-09,1439.46,1551.61,1439.46,1529.87,58081.0
2009-11-10,1529.87,1621.01,1529.69,1598.55,73708.0
2009-11-11,1607.31,1607.31,1557.09,1575.08,2872.0
2009-11-12,1580.83,1593.62,1538.82,1540.28,3325.0
2009-11-13,1552.52,1561.65,1529.69,1541.15,1482.0
2009-11-16,1552.52,1569.87,1526.04,1555.72,1594.0
2009-11-17,1566.22,1620.1,1538.82,1576.86,5423.0
2009-11-18,1579.92,1606.36,1575.35,1597.82,6171.0
2009-11-19,1610.05,1716.9,1589.28,1694.76,80951.0
2009-11-20,1735.17,1735.17,1643.85,1681.88,8116.0
