,open,high,low,close,volume
2009-05-20,6.27,7.36,6.13,7.36,1037760.0
2009-05-21,7.56,8.1,6.84,7.39,973060.0
2009-05-22,7.13,7.3,6.72,7.2,419165.0
2009-05-25,7.39,7.74,7.2,7.29,1008710.0
2009-05-26,7.29,7.59,6.62,6.67,329590.0
2009-05-27,7.0,7.17,6.84,6.93,228810.0
2009-05-28,7.01,7.13,6.79,6.86,454645.0
2009-05-29,6.64,6.92,6.53,6.53,505870.0
2009-06-01,6.75,6.97,6.72,6.97,42055.0
2009-06-02,7.0,7.21,6.62,6.95,90445.0
2009-06-03,6.54,7.01,6.54,6.79,191845.0
2009-06-04,6.55,6.96,6.55,6.88,667075.0
2009-06-05,6.89,6.91,6.54,6.89,1228190.0
2009-06-08,6.9,7.22,6.59,6.66,859360.0
2009-06-09,6.67,6.79,6.37,6.79,511800.0
2009-06-10,6.78,6.95,6.47,6.79,200240.0
2009-06-11,6.71,6.79,6.41,6.54,107550.0
2009-06-12,6.62,6.84,6.28,6.84,110140.0
2009-06-15,6.45,6.45,6.05,6.16,59990.0
2009-06-16,6.16,6.19,5.91,5.91,130040.0
2009-06-17,6.17,6.36,6.03,6.03,34800.0
2009-06-18,6.03,6.09,5.73,5.78,42350.0
2009-06-19,5.87,6.02,5.52,5.83,53655.0
2009-06-22,5.77,6.03,5.6,5.6,11540.0
2009-06-23,5.43,5.6,5.4,5.4,17515.0
2009-06-24,5.48,5.65,5.37,5.37,72945.0
2009-06-25,5.85,5.85,5.34,5.34,178575.0
2009-06-26,5.75,5.77,5.28,5.38,55805.0
2009-06-29,5.26,5.48,5.14,5.14,95470.0
2009-06-30,5.31,5.34,5.01,5.01,257065.0
2009-07-01,5.1,5.24,5.05,5.05,28540.0
2009-07-02,5.11,5.4,5.05,5.05,25145.0
2009-07-03,5.09,5.39,5.09,5.09,21575.0
2009-07-06,5.44,5.6,5.09,5.09,57550.0
2009-07-07,5.31,5.31,4.88,4.88,13340.0
2009-07-08,4.93,5.13,4.84,4.84,45465.0
2009-07-09,4.84,5.09,4.8,4.8,29850.0
2009-07-10,4.97,5.26,4.96,5.26,75310.0
2009-07-13,5.19,5.2,5.0,5.0,61475.0
2009-07-14,5.01,5.26,4.97,4.97,23925.0
2009-07-15,5.43,5.52,5.31,5.31,23065.0
2009-07-16,5.77,5.8,5.77,5.77,16825.0
2009-07-17,5.86,6.09,5.78,6.09,77890.0
2009-07-20,6.13,6.38,5.99,6.38,106590.0
2009-07-21,6.37,6.5,6.13,6.2,21750.0
2009-07-22,6.13,6.45,6.13,6.39,39580.0
2009-07-23,6.38,6.74,6.38,6.74,115830.0
2009-07-24,7.01,7.08,6.79,7.08,103875.0
2009-07-27,7.22,7.44,7.22,7.44,91950.0
2009-07-28,7.81,7.81,7.81,7.81,76120.0
2009-07-29,8.2,8.2,7.64,8.08,327685.0
2009-07-30,7.97,8.37,7.73,8.37,768415.0
2009-07-31,8.78,8.79,8.77,8.79,66885.0
2009-08-03,9.17,9.23,8.83,9.23,146980.0
2009-08-04,9.55,9.55,8.83,9.03,250165.0
2009-08-05,9.26,9.33,8.68,9.09,127695.0
2009-08-06,9.17,9.43,8.79,9.23,110325.0
2009-08-07,8.84,9.72,8.84,9.72,124770.0
2009-08-10,9.72,10.19,9.68,9.93,136955.0
2009-08-11,9.34,10.02,9.34,9.68,144290.0
2009-08-12,9.23,10.06,9.23,10.05,159515.0
2009-08-13,10.35,10.54,10.21,10.54,98160.0
2009-08-14,10.19,11.07,10.19,11.07,37045.0
2009-08-17,11.08,11.63,11.08,11.38,214135.0
2009-08-18,11.38,11.38,11.38,11.38,0.0
2009-08-19,10.55,11.59,10.55,11.09,235520.0
2009-08-20,11.32,11.81,11.12,11.38,144650.0
2009-08-21,11.97,11.97,11.8,11.97,187240.0
2009-08-24,11.89,12.57,11.89,12.57,214590.0
2009-08-25,12.57,13.2,12.48,12.88,276390.0
2009-08-26,12.23,13.07,12.07,12.74,435415.0
2009-08-27,12.65,13.03,12.31,12.48,605640.0
2009-08-28,12.48,12.99,12.14,12.41,162470.0
2009-08-31,12.06,12.74,11.89,11.99,325965.0
2009-09-01,12.57,12.57,11.8,12.06,401690.0
2009-09-02,11.68,12.06,11.42,12.06,370500.0
2009-09-03,11.62,12.27,11.62,12.14,295105.0
2009-09-04,11.89,12.3,11.89,12.23,275275.0
2009-09-07,12.06,12.4,11.97,12.06,314250.0
2009-09-08,11.46,12.23,11.46,12.04,346930.0
2009-09-09,11.89,12.23,11.89,12.06,328025.0
2009-09-10,12.06,12.56,12.0,12.4,350740.0
2009-09-11,12.15,12.55,12.15,12.48,290375.0
2009-09-14,12.4,12.99,12.18,12.97,157635.0
2009-09-15,12.31,13.49,12.31,13.49,219070.0
