,open,high,low,close,volume
2009-05-20,53.61,55.13,51.84,52.65,9329020.0
2009-05-21,53.61,54.24,51.6,52.04,9472975.0
2009-05-22,52.14,53.15,50.24,51.6,5685075.0
2009-05-25,52.25,52.25,49.63,50.02,6753655.0
2009-05-26,50.04,52.06,49.41,49.7,3398040.0
2009-05-27,51.44,51.83,50.58,51.26,3725615.0
2009-05-28,48.69,52.05,48.69,51.69,2985850.0
2009-05-29,52.14,52.6,51.51,52.2,3450105.0
2009-06-01,53.26,53.26,51.25,51.63,2611595.0
2009-06-02,52.45,52.48,49.28,50.29,5840890.0
2009-06-03,50.59,51.7,49.88,51.14,5249415.0
2009-06-04,59.64,61.03,57.21,60.73,4490620.0
2009-06-05,61.13,61.49,59.5,60.05,2376865.0
2009-06-08,59.66,60.56,54.64,55.66,5741425.0
2009-06-09,55.17,57.35,54.16,56.06,3874445.0
2009-06-10,56.17,58.6,56.17,58.05,2678220.0
2009-06-11,58.56,58.56,55.62,56.23,3247850.0
2009-06-12,56.35,58.01,54.17,54.43,3527545.0
2009-06-15,53.51,56.71,53.51,56.11,4180885.0
2009-06-16,55.53,58.27,54.9,57.9,3864975.0
2009-06-17,58.27,59.38,55.53,56.43,4145620.0
2009-06-18,56.78,58.74,56.17,56.65,5005095.0
2009-06-19,58.71,59.28,57.28,58.93,3223610.0
2009-06-22,59.37,60.56,59.2,59.54,3680910.0
2009-06-23,58.28,59.38,56.93,57.38,3674340.0
2009-06-24,57.64,57.99,56.91,57.24,2213835.0
2009-06-25,58.74,59.45,57.45,57.96,2695135.0
2009-06-26,58.11,61.22,56.97,60.13,4335975.0
2009-06-29,60.17,63.32,60.12,62.42,6606820.0
2009-06-30,62.69,63.7,61.81,62.2,6952980.0
2009-07-01,59.86,63.42,59.86,62.77,3052875.0
2009-07-02,59.8,63.24,59.8,61.28,3508025.0
2009-07-03,59.67,64.21,59.67,63.74,3293925.0
2009-07-06,61.5,65.35,57.91,58.86,5409510.0
2009-07-07,57.83,60.1,56.0,57.29,3843190.0
2009-07-08,56.45,59.04,54.99,57.13,6309020.0
2009-07-09,55.53,58.37,55.53,56.93,2664925.0
2009-07-10,56.9,58.09,55.8,56.53,2720090.0
2009-07-13,55.07,56.99,55.07,56.39,2227180.0
2009-07-14,57.78,59.66,56.9,59.02,2636940.0
2009-07-15,59.65,61.49,58.83,60.84,2807295.0
2009-07-16,62.08,62.76,59.87,62.06,3443400.0
2009-07-17,59.66,64.06,59.66,63.43,4567890.0
2009-07-20,62.87,67.09,62.87,66.47,4092880.0
2009-07-21,65.72,67.0,64.52,64.97,2730840.0
2009-07-22,65.16,66.53,64.26,64.86,2472345.0
2009-07-23,64.25,68.18,64.25,67.69,4806475.0
2009-07-24,68.2,68.2,65.28,65.73,5415350.0
2009-07-27,65.9,67.51,65.74,66.72,3819595.0
2009-07-28,64.25,67.18,64.25,66.39,2702630.0
2009-07-29,66.54,69.02,66.04,68.62,10734200.0
2009-07-30,68.93,68.93,63.54,64.71,16715325.0
2009-07-31,65.62,66.88,62.97,63.35,17162865.0
2009-08-03,63.6,64.99,63.51,64.66,5094565.0
2009-08-04,64.8,65.51,64.25,64.92,4600815.0
2009-08-05,64.25,65.85,64.25,65.17,5884985.0
2009-08-06,64.25,65.07,62.71,63.15,3550755.0
2009-08-07,62.23,63.42,60.39,60.94,6380620.0
2009-08-10,61.77,62.87,59.95,60.53,4425765.0
2009-08-11,59.66,62.74,59.66,62.15,2857880.0
2009-08-12,61.03,62.42,59.47,62.01,4820445.0
