,open,high,low,close,volume
2009-05-20,94.62,100.01,86.16,91.39,6021350.0
2009-05-21,92.24,95.39,89.66,90.35,6466105.0
2009-05-22,91.47,94.47,89.62,91.31,4794812.0
2009-05-25,92.28,92.31,88.62,89.7,3327179.0
2009-05-26,90.39,90.51,81.08,82.89,6372535.0
2009-05-27,84.62,87.7,82.89,84.39,5531426.0
2009-05-28,86.16,87.62,82.43,86.16,10151446.0
2009-05-29,87.7,89.24,86.58,88.43,7197685.0
2009-06-01,90.7,92.93,87.93,92.39,7604594.0
2009-06-02,93.08,95.16,89.39,91.58,5998814.0
2009-06-03,93.08,97.31,90.78,96.62,10938035.0
2009-06-04,97.31,97.62,93.62,96.55,6397754.0
2009-06-05,97.62,98.85,94.51,96.2,7447943.0
2009-06-08,96.16,97.89,91.28,93.05,4659721.0
2009-06-09,92.85,94.2,89.51,93.12,3544718.0
2009-06-10,96.7,96.7,92.78,94.08,3101754.0
2009-06-11,96.12,96.55,93.24,94.31,4739173.0
2009-06-12,94.62,95.55,90.85,93.28,4961246.0
2009-06-15,95.16,95.16,91.16,93.81,3424777.0
2009-06-16,94.47,95.2,90.97,94.51,2944786.0
2009-06-17,96.78,96.78,90.08,91.58,4808551.0
2009-06-18,91.55,91.93,82.85,84.2,8862927.0
2009-06-19,86.89,86.89,80.16,83.12,6334121.0
2009-06-22,83.08,84.16,80.78,81.81,6205788.0
2009-06-23,80.01,83.78,79.43,82.58,5097224.0
2009-06-24,85.24,85.24,81.74,82.74,6837904.0
2009-06-25,83.85,84.97,81.2,82.35,12857852.0
2009-06-26,84.54,85.78,81.58,85.28,9468625.0
2009-06-29,87.74,87.74,85.01,85.74,9409053.0
2009-06-30,86.16,87.28,82.93,84.16,6006577.0
2009-07-01,84.28,84.85,80.78,82.31,5453150.0
2009-07-02,85.28,85.28,82.12,84.7,6521231.0
2009-07-03,84.2,87.51,82.51,86.89,8055409.0
2009-07-06,88.31,90.39,78.85,79.74,9302024.0
2009-07-07,83.78,83.78,79.24,80.43,3519225.0
2009-07-08,79.93,79.93,75.93,78.39,5622241.0
2009-07-09,78.85,80.16,77.08,79.16,3243389.0
2009-07-10,79.62,81.85,77.77,78.97,2707763.0
2009-07-13,79.62,81.01,76.35,79.31,3740471.0
2009-07-14,80.58,83.78,79.74,83.08,3758239.0
2009-07-15,84.24,85.93,83.24,85.43,2991436.0
2009-07-16,88.01,88.01,83.08,85.28,3787721.0
2009-07-17,86.78,86.78,84.7,85.93,2652188.0
2009-07-20,86.2,87.7,85.24,86.12,1802730.0
2009-07-21,86.7,86.7,83.47,84.78,1905363.0
2009-07-22,85.01,86.7,82.78,83.74,2337641.0
2009-07-23,86.47,88.24,83.93,87.39,4064458.0
2009-07-24,89.58,89.58,86.28,86.97,2215629.0
2009-07-27,89.16,89.16,86.54,88.2,2964944.0
2009-07-28,89.78,90.01,87.78,89.47,3214338.0
2009-07-29,90.7,90.78,86.78,90.31,4966713.0
2009-07-30,90.85,92.81,90.55,91.58,9624564.0
2009-07-31,92.24,93.28,89.85,90.31,3236039.0
2009-08-03,91.24,91.74,89.85,90.24,2061700.0
2009-08-04,92.2,92.2,88.85,89.16,2037130.0
2009-08-05,89.62,89.62,86.93,88.35,2685725.0
2009-08-06,88.01,89.08,85.93,86.58,3995736.0
2009-08-07,86.16,88.08,85.51,86.78,2010820.0
2009-08-10,87.62,88.31,84.43,85.12,1310939.0
2009-08-11,86.62,86.62,84.04,85.66,1489132.0
2009-08-12,80.78,85.66,80.78,84.54,1782687.0
2009-08-13,86.85,86.85,85.08,85.97,1896780.0
2009-08-14,85.39,87.7,85.39,86.08,3201815.0
2009-08-17,84.62,85.7,81.47,81.89,4233291.0
2009-08-18,82.08,83.85,80.78,83.66,2155089.0
2009-08-19,84.43,84.58,81.35,81.62,1134040.0
2009-08-20,82.62,83.04,81.93,82.43,726405.0
2009-08-21,82.86,83.71,81.35,83.4,1392890.0
2009-08-24,84.33,84.67,83.4,84.13,2093010.0
2009-08-25,85.1,85.88,84.21,85.14,3174765.0
2009-08-26,85.18,86.26,84.02,84.75,2503483.0
2009-08-27,84.75,85.53,83.16,83.67,4235051.0
2009-08-28,84.25,84.67,82.39,83.32,2530566.0
2009-08-31,82.78,83.78,82.24,83.32,3008193.0
2009-09-01,83.55,84.02,81.85,82.51,2512997.0
2009-09-02,82.08,83.78,81.69,83.55,1976600.0
2009-09-03,84.4,84.4,81.69,82.35,3060474.0
2009-09-04,82.55,83.16,81.11,82.97,1981848.0
2009-09-07,84.33,84.52,82.55,82.86,2773785.0
2009-09-08,83.36,84.64,83.28,83.67,2341299.0
2009-09-09,83.63,83.63,81.31,81.65,4529986.0
2009-09-10,82.7,84.13,82.2,83.16,4137533.0
2009-09-11,83.78,84.25,82.58,83.78,2512236.0
2009-09-14,83.24,83.94,82.86,83.63,1289779.0
2009-09-15,84.09,84.21,82.7,83.09,3572794.0
2009-09-16,83.71,84.29,82.62,83.47,4085163.0
2009-09-17,83.98,84.13,82.89,83.67,2550272.0
2009-09-18,82.93,83.82,82.93,83.51,2141991.0
2009-09-22,83.63,84.25,83.4,83.63,2099543.0
2009-09-23,84.09,86.57,83.86,85.26,6123077.0
2009-09-24,85.95,87.77,85.1,86.26,5710724.0
2009-09-25,85.95,87.27,85.57,86.18,3236701.0
2009-09-29,87.5,87.73,85.57,85.91,1885019.0
2009-09-30,86.11,87.04,84.87,85.14,3145275.0
2009-10-01,85.26,85.95,84.67,84.95,2595333.0
2009-10-05,84.33,84.83,83.75,84.33,2164068.0
2009-10-06,84.91,85.1,83.05,84.79,1621814.0
2009-10-07,85.18,85.49,83.82,84.25,1964418.0
2009-10-08,84.4,84.71,83.32,83.55,3472463.0
2009-10-09,84.02,84.25,82.89,83.51,2358576.0
