,open,high,low,close,volume
2009-05-20,68.67,79.03,68.44,77.23,9132556.0
2009-05-21,78.27,80.41,71.78,73.16,5443519.0
2009-05-22,72.89,83.22,71.67,82.06,9925627.0
2009-05-25,84.4,88.01,82.1,83.33,7756659.0
2009-05-26,80.57,84.71,75.47,77.77,4343115.0
2009-05-27,79.8,81.22,77.92,79.95,2979699.0
2009-05-28,80.57,81.34,78.27,80.11,2726855.0
2009-05-29,80.57,86.63,79.95,83.6,5805635.0
2009-06-01,84.4,90.73,83.25,89.97,7348445.0
2009-06-02,91.31,92.31,84.52,87.63,6109791.0
2009-06-03,88.24,91.69,85.63,87.59,4594683.0
2009-06-04,87.93,90.35,86.09,88.55,5472620.0
2009-06-05,89.78,94.15,88.24,89.28,8320138.0
2009-06-08,89.01,90.31,79.46,81.18,3849001.0
2009-06-09,80.57,86.55,76.08,86.02,4132013.0
2009-06-10,86.71,89.51,83.83,85.63,4423987.0
2009-06-11,85.94,88.16,82.68,85.4,3873959.0
2009-06-12,85.94,88.47,80.57,81.64,4740974.0
2009-06-15,81.72,81.72,76.39,77.42,3042875.0
2009-06-16,75.96,80.8,74.08,79.88,3209162.0
2009-06-17,79.72,81.53,74.54,75.54,3352582.0
2009-06-18,75.2,77.04,68.83,70.13,3142835.0
2009-06-19,71.36,72.89,67.68,71.97,2485638.0
2009-06-22,73.66,75.89,70.75,71.55,2495802.0
2009-06-23,70.59,74.62,69.9,72.66,6165938.0
2009-06-24,72.89,75.81,71.97,74.85,3446818.0
2009-06-25,75.2,77.38,73.2,73.97,4865142.0
2009-06-26,75.2,76.31,74.51,75.47,2333254.0
2009-06-29,75.96,79.38,75.2,77.23,3992069.0
2009-06-30,77.5,80.45,73.09,73.93,4785545.0
2009-07-01,74.47,75.0,69.56,72.63,3325498.0
2009-07-02,73.66,75.12,71.71,73.01,2643072.0
2009-07-03,72.13,73.16,70.9,72.32,1733320.0
2009-07-06,73.51,73.51,66.07,66.95,2528818.0
2009-07-07,66.99,68.29,65.41,67.45,1837686.0
2009-07-08,66.76,66.76,62.15,62.73,1725118.0
2009-07-09,62.92,64.72,61.39,63.69,2165306.0
2009-07-10,64.8,64.8,57.24,58.51,2749836.0
2009-07-13,56.78,58.32,53.71,55.63,2200295.0
2009-07-14,56.01,58.28,56.01,57.7,2921948.0
2009-07-15,58.7,61.77,58.39,61.31,4267542.0
2009-07-16,62.15,63.96,60.23,60.96,3521987.0
2009-07-17,61.39,63.0,61.39,62.57,2597316.0
2009-07-20,63.65,66.33,63.0,65.49,2859034.0
2009-07-21,66.49,67.87,64.8,66.26,4283051.0
2009-07-22,66.76,68.14,62.92,63.92,3186930.0
2009-07-23,64.45,67.14,63.76,65.99,2609131.0
2009-07-24,68.1,68.1,66.18,67.33,2770636.0
2009-07-27,67.52,67.91,66.1,67.6,2008092.0
2009-07-28,68.25,72.51,66.83,71.86,6740365.0
2009-07-29,71.36,72.05,65.26,69.86,4343455.0
2009-07-30,69.21,70.44,67.72,69.63,2134692.0
2009-07-31,70.59,71.32,67.33,69.48,2588465.0
2009-08-03,70.59,76.46,68.75,76.0,8745876.0
