,open,high,low,close,volume
2009-05-20,53.23,60.22,53.23,56.95,3537506.0
2009-05-21,57.49,63.16,56.21,57.1,10187426.0
2009-05-22,58.69,61.89,57.84,61.57,7569762.0
2009-05-25,61.39,64.87,61.39,63.59,4810839.0
2009-05-26,64.23,65.93,60.32,61.14,3668187.0
2009-05-27,63.73,63.8,61.07,62.88,1693519.0
2009-05-28,62.81,64.23,61.39,62.95,2346061.0
2009-05-29,63.8,65.97,63.16,65.51,2660824.0
2009-06-01,66.71,71.11,66.0,69.34,4234589.0
2009-06-02,70.47,70.47,64.33,67.24,3801315.0
2009-06-03,67.78,69.87,65.15,68.2,2982602.0
2009-06-04,68.49,70.12,67.42,68.31,2928212.0
2009-06-05,68.84,70.26,63.23,64.37,2789196.0
2009-06-08,65.47,65.72,56.95,58.8,2195128.0
2009-06-09,58.2,65.08,56.95,63.66,2600439.0
2009-06-10,65.08,66.29,62.24,64.09,3114842.0
2009-06-11,64.8,66.85,62.88,65.97,2653351.0
2009-06-12,66.18,67.42,64.51,66.85,3062837.0
2009-06-15,66.0,68.31,65.47,65.9,1838367.0
2009-06-16,64.58,68.49,64.09,68.13,1725170.0
2009-06-17,68.45,68.56,62.52,63.16,2400259.0
2009-06-18,63.52,63.84,60.04,61.99,1358680.0
2009-06-19,63.16,63.87,60.75,63.38,760698.0
2009-06-22,63.73,64.05,61.92,63.27,679998.0
2009-06-23,61.74,63.7,61.07,63.31,512239.0
2009-06-24,63.73,66.89,63.38,66.04,1066144.0
2009-06-25,66.78,68.31,65.82,67.24,4193557.0
2009-06-26,67.99,69.34,67.14,67.74,1930156.0
2009-06-29,68.1,68.7,66.36,66.75,607887.0
2009-06-30,68.56,68.56,60.43,65.72,1391224.0
2009-07-01,66.71,66.71,64.44,66.32,949180.0
2009-07-02,66.71,68.63,65.01,66.14,1649263.0
2009-07-03,65.75,66.68,64.97,65.36,1986865.0
2009-07-06,66.71,67.21,62.67,64.23,2264342.0
2009-07-07,63.8,63.91,59.76,61.96,1507653.0
2009-07-08,61.03,61.03,57.81,60.32,586406.0
2009-07-09,60.43,62.1,59.44,60.82,866114.0
2009-07-10,63.73,63.73,59.93,60.32,376334.0
2009-07-13,58.48,60.22,57.49,59.44,674670.0
2009-07-14,60.36,61.39,60.04,60.32,919800.0
2009-07-15,61.03,62.31,60.4,61.11,2293365.0
2009-07-16,62.38,63.09,60.29,61.89,3729499.0
2009-07-17,62.52,63.09,61.11,62.1,5459433.0
2009-07-20,62.99,63.16,60.68,61.57,3353080.0
2009-07-21,62.06,62.45,60.36,60.75,3476994.0
2009-07-22,61.46,61.46,57.7,58.12,2014766.0
2009-07-23,58.83,59.54,58.48,59.19,1279141.0
2009-07-24,59.62,60.68,59.26,60.15,1338560.0
2009-07-27,60.68,61.92,59.79,61.35,1074504.0
2009-07-28,62.03,64.97,61.25,64.55,4843014.0
2009-07-29,64.72,65.61,60.75,62.81,2482290.0
2009-07-30,63.87,64.02,61.85,62.81,2671251.0
2009-07-31,65.36,66.71,63.94,64.51,3225436.0
2009-08-03,65.29,65.51,64.09,65.08,1293332.0
2009-08-04,65.72,65.82,63.87,64.19,1170016.0
2009-08-05,64.72,65.79,63.55,64.87,1168533.0
2009-08-06,65.75,68.45,64.62,65.47,6656809.0
2009-08-07,65.08,66.61,63.73,64.09,2280646.0
2009-08-10,65.65,65.65,62.17,62.7,981330.0
