,open,high,low,close,volume
2009-05-20,63.55,71.05,63.55,68.42,365218.0
2009-05-21,70.02,74.94,69.36,70.49,260662.0
2009-05-22,77.8,77.8,71.0,72.83,116598.0
2009-05-25,74.89,78.73,74.52,77.47,202109.0
2009-05-26,79.48,83.98,75.03,77.61,391547.0
2009-05-27,80.56,82.48,75.55,78.64,168035.0
2009-05-28,75.92,82.95,75.92,79.06,93504.0
2009-05-29,82.34,82.86,79.06,79.67,137208.0
2009-06-01,81.55,82.72,78.73,80.94,139763.0
2009-06-02,82.48,86.05,78.88,79.81,505459.0
2009-06-03,82.48,87.08,77.09,77.98,954126.0
2009-06-04,78.97,81.27,76.95,77.42,412679.0
2009-06-05,77.84,80.05,75.92,76.39,215442.0
2009-06-08,76.86,77.61,69.5,70.39,128442.0
2009-06-09,67.63,71.24,67.02,68.24,127373.0
2009-06-10,68.56,71.52,68.47,68.85,181266.0
2009-06-11,70.11,71.89,67.02,69.08,318917.0
2009-06-12,70.3,74.19,67.86,68.99,326992.0
2009-06-15,65.94,70.72,65.94,69.78,82918.0
2009-06-16,65.94,73.58,65.94,72.41,299539.0
2009-06-17,73.95,73.95,70.02,70.44,115418.0
2009-06-18,70.39,71.19,64.77,68.94,166759.0
2009-06-19,69.17,71.89,68.33,70.95,266746.0
2009-06-22,73.77,73.77,68.89,69.97,246018.0
2009-06-23,66.78,71.99,66.78,70.81,116289.0
2009-06-24,72.64,73.11,70.39,71.38,93676.0
2009-06-25,72.64,73.11,70.3,72.13,65114.0
2009-06-26,73.11,75.92,72.22,73.35,216853.0
2009-06-29,74.24,76.49,72.36,74.24,205283.0
2009-06-30,75.08,75.83,69.83,71.56,205271.0
2009-07-01,72.92,73.58,71.24,73.2,264788.0
2009-07-02,72.64,76.86,70.39,74.8,130530.0
2009-07-03,74.84,80.61,74.33,76.91,398088.0
2009-07-06,77.33,78.17,71.38,72.69,153279.0
2009-07-07,71.28,77.19,70.58,74.89,124023.0
2009-07-08,74.84,74.84,70.77,72.27,89660.0
2009-07-09,72.69,73.86,70.35,73.02,99042.0
