,open,high,low,close,volume
2009-05-20,14.58,15.26,13.12,15.09,360220.0
2009-05-21,15.26,16.05,14.81,15.85,190125.0
2009-05-22,15.54,16.38,14.7,15.83,240800.0
2009-05-25,15.65,17.32,15.62,17.1,197735.0
2009-05-26,18.09,18.63,15.5,16.14,417820.0
2009-05-27,16.93,17.26,16.17,16.3,117865.0
2009-05-28,16.23,16.65,15.83,16.01,141390.0
2009-05-29,16.73,17.18,16.05,16.71,123695.0
2009-06-01,16.84,17.07,16.21,16.31,191395.0
2009-06-02,16.62,16.84,16.06,16.44,142565.0
2009-06-03,16.62,18.08,16.42,18.04,275700.0
2009-06-04,19.21,19.84,18.94,19.16,954895.0
2009-06-05,19.78,20.0,19.1,19.8,526885.0
2009-06-08,23.38,23.38,19.5,19.63,653005.0
2009-06-09,19.72,20.48,18.09,20.21,558160.0
2009-06-10,20.98,20.98,18.97,19.46,203185.0
2009-06-11,19.34,20.06,18.77,19.18,150530.0
2009-06-12,19.16,19.71,18.61,19.37,160510.0
2009-06-15,19.47,19.47,18.4,18.73,117565.0
2009-06-16,17.83,19.19,17.82,19.01,103445.0
2009-06-17,19.22,19.34,17.96,18.29,78830.0
2009-06-18,18.3,18.56,16.83,17.69,81650.0
2009-06-19,17.7,18.04,16.94,17.17,95505.0
2009-06-22,17.7,17.7,16.84,17.08,37090.0
2009-06-23,17.11,17.11,16.18,16.53,125745.0
2009-06-24,17.32,17.32,15.85,16.45,294375.0
2009-06-25,16.68,16.93,16.31,16.37,93200.0
2009-06-26,16.56,17.82,16.33,17.35,155520.0
2009-06-29,18.2,18.2,16.82,16.94,81465.0
2009-06-30,16.94,16.94,16.24,16.3,55985.0
2009-07-01,16.34,16.68,16.19,16.59,94725.0
2009-07-02,16.68,16.93,16.49,16.54,26970.0
2009-07-03,16.92,17.82,16.81,17.64,242995.0
2009-07-06,17.95,18.13,16.87,16.95,133960.0
2009-07-07,17.44,17.44,15.8,16.34,111970.0
2009-07-08,16.18,16.31,15.42,15.74,167020.0
2009-07-09,15.42,16.12,15.42,15.48,34875.0
2009-07-10,15.55,15.77,14.86,15.13,68575.0
2009-07-13,14.79,15.13,14.04,14.61,57705.0
2009-07-14,14.89,17.53,14.89,16.58,502900.0
2009-07-15,17.66,18.52,16.99,17.95,1448690.0
2009-07-16,18.2,18.33,17.06,17.31,327125.0
2009-07-17,17.68,18.45,16.89,18.0,248285.0
2009-07-20,18.61,18.61,17.82,18.3,317225.0
2009-07-21,18.2,18.96,18.04,18.07,207440.0
2009-07-22,18.21,18.69,17.44,17.61,109360.0
2009-07-23,17.7,19.84,17.44,19.25,670895.0
2009-07-24,19.84,20.22,19.47,19.71,515515.0
2009-07-27,20.22,21.23,19.79,20.9,445060.0
2009-07-28,20.74,22.27,20.74,22.2,758030.0
2009-07-29,22.01,22.75,20.73,21.92,1156170.0
2009-07-30,21.92,24.23,21.92,23.97,1870575.0
2009-07-31,25.01,25.56,24.15,25.34,1008395.0
2009-08-03,25.28,26.01,24.65,25.07,860565.0
2009-08-04,25.07,25.28,23.64,24.03,242225.0
2009-08-05,24.2,24.89,23.65,23.71,208305.0
2009-08-06,23.71,24.0,22.83,22.93,126155.0
2009-08-07,22.75,23.13,21.55,22.13,246930.0
2009-08-10,23.0,23.0,21.49,21.84,194830.0
2009-08-11,21.85,22.5,21.26,22.05,86915.0
2009-08-12,21.99,22.12,21.55,22.02,55010.0
2009-08-13,22.24,24.23,22.24,24.23,487760.0
2009-08-14,24.46,24.72,22.78,24.15,271145.0
2009-08-17,23.64,23.89,22.88,23.11,82915.0
2009-08-18,22.88,23.61,22.88,23.49,125515.0
2009-08-19,23.64,23.64,22.59,23.02,106725.0
2009-08-20,23.26,23.38,22.66,22.89,59760.0
2009-08-21,23.13,23.72,23.13,23.57,113195.0
2009-08-24,23.78,23.78,22.89,23.19,99960.0
2009-08-25,23.0,23.63,22.88,23.31,82525.0
2009-08-26,23.38,23.63,23.38,23.5,142805.0
2009-08-27,23.38,24.02,22.88,23.05,67495.0
2009-08-28,23.14,24.89,22.75,23.69,397135.0
2009-08-31,23.52,24.26,22.76,23.51,111825.0
2009-09-01,23.51,24.26,23.14,23.24,304095.0
2009-09-02,23.02,23.47,22.88,22.99,45410.0
2009-09-03,23.13,23.33,22.78,23.08,389930.0
