,open,high,low,close,volume
2009-05-20,30.21,36.05,29.27,35.34,5267978.0
2009-05-21,36.0,39.84,35.57,36.81,5309620.0
2009-05-22,37.0,38.42,35.62,37.04,2498582.0
2009-05-25,37.0,40.65,36.24,40.17,3743151.0
2009-05-26,40.7,42.59,38.89,39.42,3849821.0
2009-05-27,41.17,44.02,40.79,42.93,4874721.0
2009-05-28,43.35,43.78,41.55,42.02,2359469.0
2009-05-29,43.07,43.59,41.83,42.4,1923283.0
2009-06-01,42.69,45.44,42.36,44.63,2564989.0
2009-06-02,45.49,49.42,43.73,48.85,5294584.0
2009-06-03,50.28,50.28,47.15,48.62,3292208.0
2009-06-04,48.85,53.55,47.91,52.17,4160945.0
2009-06-05,53.98,56.63,53.36,54.21,5592834.0
2009-06-08,54.83,55.49,47.0,47.86,3073416.0
2009-06-09,47.43,50.75,46.06,50.37,2422131.0
2009-06-10,51.51,52.27,49.33,49.76,1682708.0
2009-06-11,50.23,51.32,47.57,49.95,1549157.0
2009-06-12,50.28,50.75,47.43,47.95,1260587.0
2009-06-15,48.76,48.76,45.91,46.29,1340276.0
2009-06-16,43.92,47.24,43.92,46.77,1136428.0
2009-06-17,47.15,48.81,43.64,45.01,1554677.0
2009-06-18,45.34,45.53,40.41,41.45,1308889.0
2009-06-19,41.88,43.21,40.03,42.17,1052073.0
2009-06-22,42.21,44.44,42.21,43.07,1014155.0
2009-06-23,42.12,42.36,40.46,41.69,713129.0
2009-06-24,42.12,44.06,42.12,43.21,1028990.0
2009-06-25,42.69,44.3,38.75,39.61,2151270.0
2009-06-26,40.79,41.93,40.32,41.5,988967.0
2009-06-29,41.88,42.64,41.08,41.93,679372.0
2009-06-30,42.78,42.78,39.75,40.03,712100.0
2009-07-01,38.89,40.32,38.04,39.56,489072.0
2009-07-02,40.13,42.64,39.46,41.69,1236210.0
2009-07-03,41.5,42.4,40.32,41.74,633479.0
2009-07-06,42.4,44.06,39.04,39.56,2232408.0
2009-07-07,39.89,41.27,38.47,39.37,883282.0
2009-07-08,38.04,38.61,35.19,35.43,790783.0
2009-07-09,35.72,36.38,34.62,34.86,621115.0
2009-07-10,35.24,35.95,32.96,33.72,553684.0
2009-07-13,33.2,33.3,30.45,31.02,666230.0
2009-07-14,31.92,33.53,31.87,33.06,467683.0
2009-07-15,33.39,36.05,33.39,35.81,764501.0
2009-07-16,36.47,37.09,35.38,36.24,607383.0
2009-07-17,37.0,37.47,36.24,36.85,476600.0
2009-07-20,37.47,38.13,36.85,37.47,509917.0
2009-07-21,37.47,38.28,35.57,37.33,666527.0
2009-07-22,38.04,39.04,37.04,37.33,773247.0
2009-07-23,37.85,38.47,37.52,38.13,410810.0
2009-07-24,38.7,39.61,38.42,39.04,554752.0
2009-07-27,39.37,40.32,39.08,39.94,482029.0
2009-07-28,40.27,40.65,39.51,39.94,452472.0
2009-07-29,40.03,41.45,38.18,39.13,910878.0
2009-07-30,39.37,39.84,37.94,38.94,301589.0
2009-07-31,39.37,40.41,38.51,39.04,403705.0
2009-08-03,39.32,40.17,38.99,39.61,443870.0
2009-08-04,39.56,42.69,39.37,42.07,1567966.0
2009-08-05,42.64,45.96,42.59,44.73,4617937.0
2009-08-06,44.54,45.53,42.12,42.64,1697182.0
2009-08-07,41.41,42.31,40.03,40.46,734027.0
2009-08-10,41.5,41.55,37.94,38.37,582253.0
2009-08-11,39.46,39.84,38.42,38.99,488202.0
2009-08-12,38.61,40.7,37.94,39.27,631306.0
2009-08-13,40.32,41.5,39.84,41.17,870714.0
2009-08-14,42.21,43.16,41.6,41.93,920395.0
2009-08-17,42.21,42.21,39.61,39.84,499778.0
2009-08-18,39.37,41.17,39.37,40.74,528127.0
2009-08-19,41.12,41.64,40.17,40.6,387357.0
2009-08-20,41.27,41.69,40.32,40.79,268999.0
2009-08-21,40.79,42.12,39.98,41.36,395003.0
2009-08-24,41.74,42.59,41.74,42.02,351215.0
2009-08-25,41.74,44.44,41.74,44.16,1350813.0
2009-08-26,44.63,45.06,43.21,43.68,932861.0
2009-08-27,52.17,52.17,44.06,47.34,6816757.0
2009-08-28,47.95,48.19,45.63,46.29,1715156.0
2009-08-31,44.11,47.1,43.16,46.58,1414082.0
2009-09-01,47.34,47.91,45.53,46.29,1303220.0
2009-09-02,45.06,46.81,44.82,46.2,907109.0
2009-09-03,46.96,50.8,46.48,50.04,3435385.0
2009-09-04,50.66,51.37,48.57,50.13,3120290.0
2009-09-07,50.32,53.27,48.66,52.6,3033027.0
2009-09-08,52.7,53.22,50.7,52.7,1898359.0
2009-09-09,52.17,58.01,50.28,56.96,4826137.0
2009-09-10,58.63,62.09,55.97,57.44,7097834.0
2009-09-11,57.87,61.19,57.3,60.19,4228779.0
2009-09-14,59.76,60.05,54.78,57.01,2267060.0
2009-09-15,57.15,63.65,57.15,62.42,4500615.0
2009-09-16,63.37,71.91,63.23,68.87,9725110.0
2009-09-17,69.25,78.45,69.01,70.25,13429333.0
2009-09-18,69.72,73.23,68.44,71.24,5124619.0
2009-09-22,71.24,77.88,71.15,76.03,6526265.0
2009-09-23,80.29,80.91,73.12,77.8,9163688.0
2009-09-24,76.46,78.18,71.3,71.64,5649136.0
2009-09-25,70.73,72.83,69.44,71.35,2814405.0
2009-09-29,74.17,74.17,70.82,71.25,1530461.0
2009-09-30,71.4,71.87,69.29,70.15,1636659.0
2009-10-01,70.25,70.82,67.57,68.15,1814993.0
2009-10-05,67.72,67.72,64.56,65.38,1838609.0
2009-10-06,65.95,66.81,62.75,64.37,1385461.0
2009-10-07,65.76,68.1,64.66,66.38,4247692.0
2009-10-08,66.81,67.57,62.17,62.7,1475654.0
2009-10-09,63.18,63.94,61.74,62.22,1330982.0
2009-10-12,62.6,68.48,62.08,68.15,3158704.0
2009-10-14,67.81,74.98,66.62,74.98,7927876.0
2009-10-15,76.37,80.62,75.7,78.09,6198606.0
2009-10-16,78.09,81.77,76.56,78.57,5572309.0
2009-10-20,77.9,79.71,76.94,78.23,2251815.0
2009-10-21,78.57,78.61,74.36,74.36,1116921.0
2009-10-22,72.64,72.64,70.68,70.78,1298984.0
2009-10-23,74.03,74.31,72.26,74.22,1409167.0
2009-10-26,71.92,75.79,71.25,73.55,1316549.0
2009-10-27,72.16,74.31,69.87,71.06,1218805.0
2009-10-28,71.25,72.16,69.77,70.92,824604.0
2009-10-29,67.62,73.79,67.43,72.3,1412929.0
2009-10-30,74.03,75.94,72.78,73.31,1074977.0
2009-11-03,71.68,74.36,70.73,71.06,786703.0
2009-11-04,72.16,74.07,67.72,73.4,998078.0
2009-11-05,70.82,74.93,70.73,73.64,769243.0
2009-11-06,74.98,77.13,74.69,75.94,938728.0
2009-11-09,77.13,79.28,74.6,77.9,1484278.0
2009-11-10,78.85,80.05,75.51,76.37,1179256.0
2009-11-11,76.46,87.36,75.03,84.44,7424276.0
2009-11-12,83.92,84.87,76.08,76.46,4581192.0
2009-11-13,76.75,77.8,73.55,74.22,2413344.0
2009-11-16,75.89,78.04,74.55,75.55,2262805.0
2009-11-17,75.7,80.43,74.84,79.33,2946164.0
2009-11-18,79.04,81.19,76.41,80.09,2942755.0
2009-11-19,78.61,80.86,76.65,77.61,2826690.0
2009-11-20,76.51,77.9,75.94,76.41,1901126.0
2009-11-23,76.41,77.66,75.75,76.41,1447358.0
2009-11-24,76.89,76.94,75.36,75.55,979161.0
2009-11-25,76.13,77.04,75.22,75.32,1364636.0
2009-11-26,75.27,75.94,72.83,74.17,1044210.0
2009-11-27,70.35,73.6,66.95,72.73,1078691.0
2009-11-30,74.55,74.74,72.59,73.55,1034254.0
2009-12-01,73.69,74.5,72.64,73.5,1218235.0
2009-12-02,73.6,74.98,72.93,73.12,1234740.0
2009-12-03,74.03,75.65,71.68,72.26,1562973.0
2009-12-04,72.45,74.41,71.25,73.45,942052.0
2009-12-07,74.41,75.7,73.26,74.93,1218131.0
2009-12-08,74.79,82.29,74.36,76.84,6880914.0
2009-12-09,76.27,77.7,74.93,76.46,1916539.0
2009-12-10,76.46,78.04,75.84,77.08,1150218.0
2009-12-11,77.42,78.8,76.22,77.9,2405890.0
2009-12-14,77.9,78.95,76.89,77.8,1061293.0
2009-12-15,78.28,78.61,76.94,77.47,701840.0
2009-12-16,77.47,79.43,76.46,78.52,1142544.0
2009-12-17,78.52,79.71,77.85,79.28,1185624.0
2009-12-18,78.37,81.24,78.37,79.9,1542841.0
2009-12-21,80.24,82.53,78.37,80.95,1688603.0
2009-12-22,82.67,83.3,80.95,82.05,1474100.0
2009-12-23,82.67,83.3,80.95,82.05,1474100.0
2009-12-24,82.67,83.3,80.95,82.05,1474100.0
2009-12-29,82.67,83.3,80.95,82.05,1474100.0
2009-12-30,82.67,83.3,80.95,82.05,1474100.0
2009-12-31,82.67,83.3,80.95,82.05,1474100.0
2010-01-04,86.5,86.5,85.06,85.54,909882.0
2010-01-05,86.5,88.98,85.92,88.31,1127613.0
2010-01-06,88.79,92.14,88.51,89.22,1220917.0
2010-01-07,90.42,92.76,87.84,89.84,1410889.0
2010-01-08,90.03,93.67,88.31,88.7,1789177.0
2010-01-11,90.7,90.7,88.79,89.56,547749.0
2010-01-12,90.32,91.04,86.74,88.22,937149.0
2010-01-13,87.26,89.46,87.26,88.6,813397.0
2010-01-14,89.56,93.67,85.97,89.56,2099993.0
2010-01-15,89.99,91.42,89.41,89.75,1055349.0
2010-01-18,89.56,92.76,87.55,91.13,919325.0
2010-01-19,90.18,94.77,89.17,93.91,2830380.0
2010-01-20,92.52,95.77,90.32,94.43,1627966.0
2010-01-21,93.57,94.77,90.56,91.42,971728.0
2010-01-22,88.89,91.8,87.69,90.89,855627.0
2010-01-25,90.32,91.8,88.79,90.94,805913.0
2010-01-27,90.13,91.23,87.17,88.79,796388.0
2010-01-28,90.32,92.18,88.12,91.28,982700.0
2010-01-29,89.37,92.76,88.65,91.95,764881.0
2010-02-01,90.99,96.53,90.89,95.05,823022.0
2010-02-02,97.39,99.4,94.72,96.1,695915.0
2010-02-03,95.58,105.47,95.58,102.36,2978361.0
2010-02-04,103.13,105.9,99.4,103.75,2332681.0
2010-02-05,96.53,102.17,96.53,99.21,828339.0
2010-02-08,101.22,103.32,93.81,95.91,1184276.0
2010-02-09,92.9,99.07,92.9,96.82,1529462.0
2010-02-10,97.97,101.46,97.49,99.02,1278723.0
2010-02-11,100.26,101.69,99.16,100.26,1384637.0
2010-02-15,100.36,101.31,95.86,98.11,486233.0
2010-02-16,98.45,98.92,97.49,98.54,847812.0
2010-02-17,99.69,100.07,97.92,98.4,977632.0
