,open,high,low,close,volume
2009-05-20,24.13,25.23,23.97,24.85,160095.0
2009-05-21,24.92,28.28,24.92,25.51,184845.0
2009-05-22,26.0,26.1,23.86,25.75,248985.0
2009-05-25,26.1,26.9,25.31,26.38,270570.0
2009-05-26,26.7,27.09,26.51,26.86,173400.0
2009-05-27,27.69,27.69,25.37,26.48,254595.0
2009-05-28,26.5,26.74,25.71,25.82,27270.0
2009-05-29,26.5,26.5,25.31,25.48,177750.0
2009-06-01,25.71,26.06,24.73,25.55,158670.0
2009-06-02,25.87,26.1,24.72,24.86,90165.0
2009-06-03,25.12,26.06,24.92,24.99,404460.0
2009-06-04,25.31,26.1,24.92,25.31,468540.0
2009-06-05,26.5,26.5,24.96,25.64,292095.0
2009-06-08,25.63,25.63,24.35,24.56,920895.0
2009-06-09,24.56,25.31,24.25,24.89,262905.0
2009-06-10,24.92,26.45,24.92,25.51,235320.0
2009-06-11,25.25,25.82,25.11,25.34,165255.0
2009-06-12,25.67,25.88,24.56,25.26,168585.0
2009-06-15,25.12,25.27,24.52,24.55,32640.0
2009-06-16,24.44,25.31,24.05,24.89,63705.0
2009-06-17,24.53,24.92,23.53,23.81,97215.0
2009-06-18,23.34,23.73,22.55,23.04,48945.0
2009-06-19,23.38,23.73,22.94,23.29,833520.0
2009-06-22,23.38,23.38,22.15,22.29,24225.0
2009-06-23,22.74,22.74,21.16,21.43,179700.0
2009-06-24,22.74,22.74,21.36,22.13,183375.0
2009-06-25,21.99,23.34,21.99,22.71,1645290.0
2009-06-26,22.94,27.25,22.35,26.9,1820955.0
2009-06-29,26.89,27.19,24.92,25.42,640605.0
2009-06-30,24.52,26.17,23.85,24.62,396930.0
2009-07-01,24.71,25.91,23.86,24.41,436575.0
2009-07-02,24.48,25.23,23.42,24.36,305880.0
2009-07-03,24.44,25.12,24.01,24.78,106455.0
2009-07-06,25.26,26.1,23.94,24.93,338385.0
2009-07-07,25.35,26.98,24.18,25.53,325140.0
2009-07-08,25.27,25.7,24.35,24.94,150930.0
2009-07-09,26.9,27.66,24.41,25.06,66630.0
2009-07-10,25.39,25.95,24.72,24.87,141315.0
2009-07-13,24.92,25.58,23.64,25.34,312345.0
2009-07-14,25.71,28.0,25.71,26.55,834330.0
2009-07-15,26.9,31.09,25.72,29.3,1406910.0
2009-07-16,29.27,30.36,28.61,28.71,251820.0
2009-07-17,29.07,29.63,28.41,28.84,148890.0
2009-07-20,29.66,31.44,28.72,28.97,1012695.0
2009-07-21,29.59,31.09,28.48,29.31,671565.0
2009-07-22,29.47,30.06,29.07,29.25,209865.0
2009-07-23,29.82,30.06,29.66,29.87,714105.0
2009-07-24,30.22,30.34,29.33,29.6,95280.0
2009-07-27,29.98,29.98,28.97,29.52,97425.0
2009-07-28,29.63,29.7,28.33,28.65,89265.0
2009-07-29,28.48,29.27,27.74,28.08,243375.0
2009-07-30,28.87,28.87,27.89,28.79,105000.0
