,open,high,low,close,volume
2009-05-20,80.21,96.28,80.21,93.12,1316167.0
2009-05-21,93.12,94.74,87.52,88.29,704177.0
2009-05-22,85.94,96.55,84.91,93.43,789141.0
2009-05-25,98.35,105.93,97.45,100.25,2081427.0
2009-05-26,102.64,102.64,90.28,94.65,651377.0
2009-05-27,99.93,101.06,93.39,96.14,524464.0
2009-05-28,95.64,99.7,94.74,96.5,807372.0
2009-05-29,98.03,101.42,95.46,96.37,1547728.0
2009-06-01,97.45,99.07,95.19,97.67,931601.0
2009-06-02,99.48,104.85,98.35,102.77,2077268.0
2009-06-03,103.76,107.92,101.06,103.09,1265035.0
2009-06-04,103.76,105.43,100.16,102.41,449608.0
2009-06-05,103.63,106.92,101.28,104.67,1014522.0
2009-06-08,107.82,107.82,96.55,97.9,483536.0
2009-06-09,97.45,106.38,94.34,104.22,467815.0
2009-06-10,110.4,110.4,103.09,107.37,1277903.0
2009-06-11,108.28,108.86,102.5,104.4,484022.0
2009-06-12,105.66,106.47,97.63,98.58,468942.0
2009-06-15,98.76,101.42,94.02,95.96,469140.0
2009-06-16,94.56,96.09,92.31,94.83,518989.0
2009-06-17,95.64,96.46,88.7,90.09,249578.0
2009-06-18,90.23,91.04,83.91,88.15,278963.0
2009-06-19,90.23,93.84,86.8,87.66,575020.0
2009-06-22,90.18,91.9,87.97,89.78,166836.0
2009-06-23,88.43,91.13,85.81,90.41,391043.0
2009-06-24,92.03,99.16,88.88,92.98,331009.0
2009-06-25,96.91,96.91,90.68,91.45,142847.0
2009-06-26,92.03,95.6,92.03,92.8,291380.0
2009-06-29,93.79,93.79,89.82,92.62,211608.0
2009-06-30,92.94,93.39,89.19,92.03,513464.0
2009-07-01,93.84,93.84,90.68,92.22,113079.0
2009-07-02,93.66,94.56,89.91,92.08,153842.0
2009-07-03,90.23,93.16,90.23,92.17,199482.0
2009-07-06,92.49,94.92,89.78,91.63,187382.0
2009-07-07,90.37,96.91,87.97,95.33,293109.0
2009-07-08,93.84,99.16,90.73,93.93,570509.0
2009-07-09,94.52,97.45,92.12,94.47,209512.0
2009-07-10,97.36,97.36,90.32,91.22,197253.0
2009-07-13,90.77,91.13,85.76,88.38,248326.0
2009-07-14,90.23,93.39,88.61,92.62,266386.0
2009-07-15,92.94,98.17,92.44,94.52,617662.0
2009-07-16,97.36,97.36,92.49,93.12,115899.0
2009-07-17,95.19,96.46,94.65,95.37,130934.0
2009-07-20,91.13,101.06,91.13,98.98,254756.0
2009-07-21,100.16,107.69,98.35,106.2,841753.0
2009-07-22,105.57,107.69,99.75,101.06,564799.0
2009-07-23,101.96,105.88,100.43,104.31,678498.0
2009-07-24,105.57,108.19,100.38,101.33,600381.0
2009-07-27,101.06,104.13,100.97,103.45,216589.0
2009-07-28,106.68,110.14,105.13,108.86,2442686.0
2009-07-29,110.14,110.96,102.4,105.18,2709070.0
2009-07-30,107.41,109.14,105.77,106.22,1555616.0
2009-07-31,108.14,109.46,106.41,106.68,895637.0
2009-08-03,107.41,107.82,104.91,105.5,367324.0
2009-08-04,105.77,108.32,104.4,105.82,611283.0
2009-08-05,106.5,107.32,104.95,106.45,441113.0
2009-08-06,106.95,107.95,102.49,103.22,436809.0
2009-08-07,102.36,104.5,99.35,100.31,529714.0
2009-08-10,101.95,103.59,92.53,93.71,531246.0
2009-08-11,93.75,96.49,92.07,94.44,243736.0
2009-08-12,92.84,93.75,88.57,91.8,540330.0
2009-08-13,93.75,98.58,93.53,97.17,513042.0
2009-08-14,97.81,100.08,96.21,98.49,414446.0
2009-08-17,97.4,97.4,92.84,96.53,251475.0
2009-08-18,96.49,97.03,93.94,96.39,319581.0
2009-08-19,96.49,97.85,93.85,95.48,408022.0
2009-08-20,97.4,97.4,94.66,95.62,176281.0
2009-08-21,95.58,96.39,92.8,95.35,268788.0
2009-08-24,96.94,98.94,95.62,96.21,776593.0
2009-08-25,94.66,99.03,94.66,96.44,393414.0
2009-08-26,97.49,99.94,96.94,97.44,844750.0
2009-08-27,96.62,98.94,96.62,97.62,162979.0
2009-08-28,96.94,104.18,94.76,100.35,825457.0
2009-08-31,99.13,100.13,96.49,98.49,231851.0
2009-09-01,99.94,103.68,96.58,97.03,568306.0
2009-09-02,95.58,97.99,94.3,94.66,469059.0
2009-09-03,95.58,96.85,94.94,95.35,115430.0
2009-09-04,95.39,98.9,95.39,98.4,470250.0
2009-09-07,99.58,100.95,98.53,100.31,490957.0
2009-09-08,101.9,103.77,99.67,100.44,1216832.0
2009-09-09,103.31,103.31,99.35,102.27,502892.0
2009-09-10,102.77,103.77,100.58,101.99,301618.0
2009-09-11,102.17,103.27,100.58,102.13,245277.0
2009-09-14,102.63,105.86,100.58,103.13,713786.0
2009-09-15,104.31,105.5,102.86,105.04,296819.0
2009-09-16,105.22,108.96,104.54,107.27,667996.0
2009-09-17,108.5,109.23,105.13,105.95,476244.0
2009-09-18,105.95,116.78,105.41,113.92,2716696.0
2009-09-22,113.78,117.15,111.37,111.82,673700.0
2009-09-23,110.18,112.78,110.18,110.73,290223.0
2009-09-24,107.41,113.78,107.41,111.14,265300.0
2009-09-25,109.23,112.87,109.23,110.37,178707.0
2009-09-29,110.37,112.82,109.68,110.32,356439.0
2009-09-30,108.45,111.87,108.45,110.32,695371.0
2009-10-01,109.23,116.42,109.23,113.14,466483.0
2009-10-05,111.78,116.06,110.59,111.19,225611.0
2009-10-06,113.78,113.78,105.59,107.0,754498.0
2009-10-07,108.68,109.18,106.77,107.59,673769.0
2009-10-08,108.32,109.0,106.09,107.27,265387.0
2009-10-09,108.68,108.68,103.95,105.27,499099.0
2009-10-12,108.0,108.32,104.81,105.72,387067.0
2009-10-14,106.5,110.59,103.81,104.5,1066511.0
2009-10-15,107.41,107.41,103.63,104.22,177890.0
2009-10-16,104.31,105.86,103.13,103.63,126818.0
2009-10-20,104.22,106.86,102.86,104.5,103560.0
2009-10-21,103.99,105.77,103.63,104.68,190939.0
2009-10-22,103.77,104.63,96.67,98.58,193252.0
2009-10-23,99.67,103.31,99.22,101.63,320492.0
2009-10-26,102.27,102.86,99.94,100.99,492202.0
2009-10-27,100.85,103.63,95.8,99.99,632915.0
2009-10-28,100.76,103.36,98.53,102.67,333891.0
2009-10-29,101.86,102.36,98.35,98.94,185623.0
2009-10-30,101.94,103.37,98.57,99.54,145726.0
2009-11-03,97.93,100.93,91.65,92.81,301389.0
2009-11-04,95.99,95.99,92.9,94.61,103585.0
2009-11-05,95.07,95.07,92.07,92.67,170710.0
2009-11-06,95.48,95.99,93.77,95.44,389928.0
2009-11-09,94.37,97.56,94.37,96.08,1324211.0
2009-11-10,97.37,98.76,94.24,95.25,319365.0
2009-11-11,95.94,96.87,95.44,95.71,114295.0
2009-11-12,96.22,98.25,95.16,96.22,281907.0
2009-11-13,94.7,97.28,94.7,96.13,97830.0
2009-11-16,96.82,98.57,96.27,97.14,104259.0
2009-11-17,97.84,99.04,95.62,97.05,360280.0
2009-11-18,97.74,98.3,96.17,97.6,92275.0
2009-11-19,97.74,97.84,95.07,95.44,114970.0
2009-11-20,95.2,97.84,95.2,97.37,285938.0
2009-11-23,97.84,101.07,96.82,100.6,403532.0
2009-11-24,101.07,106.93,100.05,103.42,1430762.0
2009-11-25,103.83,105.54,103.1,104.34,171090.0
2009-11-26,106.23,108.4,103.56,104.07,336405.0
2009-11-27,101.62,104.3,99.87,103.65,181301.0
2009-11-30,106.1,106.56,105.22,105.82,166984.0
2009-12-01,107.07,108.45,105.5,107.99,251219.0
2009-12-02,108.27,109.6,107.8,108.96,169894.0
2009-12-03,110.76,112.6,108.91,111.26,335326.0
2009-12-04,111.68,112.33,109.37,110.11,92606.0
2009-12-07,112.56,112.56,109.37,110.39,177214.0
2009-12-08,110.02,111.68,108.13,109.74,108141.0
2009-12-09,109.0,109.51,106.37,106.93,63888.0
2009-12-10,107.34,108.27,106.37,107.2,76318.0
2009-12-11,108.4,108.4,103.47,104.71,429914.0
2009-12-14,107.48,110.39,107.25,108.08,344341.0
2009-12-15,108.17,109.65,105.4,105.96,123089.0
2009-12-16,106.14,106.6,103.65,105.96,57550.0
2009-12-17,106.88,107.9,105.45,105.63,27606.0
2009-12-18,103.37,106.14,103.37,105.03,31325.0
2009-12-21,105.31,106.93,103.42,103.88,46512.0
2009-12-22,105.91,105.91,103.37,103.65,59909.0
2009-12-23,105.91,105.91,103.37,103.65,59909.0
2009-12-24,105.91,105.91,103.37,103.65,59909.0
2009-12-29,105.91,105.91,103.37,103.65,59909.0
2009-12-30,105.91,105.91,103.37,103.65,59909.0
2009-12-31,105.91,105.91,103.37,103.65,59909.0
2010-01-04,103.37,107.53,103.37,106.33,334491.0
2010-01-05,108.82,111.03,107.8,109.05,459468.0
2010-01-06,109.83,110.2,106.65,108.54,138351.0
2010-01-07,109.0,109.83,106.88,107.76,165265.0
2010-01-08,108.36,110.99,107.48,109.93,223950.0
2010-01-11,110.57,116.29,110.57,115.51,1047032.0
2010-01-12,117.03,123.68,116.29,120.73,1420067.0
2010-01-13,117.4,126.82,116.85,125.39,916921.0
2010-01-14,128.29,128.85,121.42,123.12,621528.0
2010-01-15,123.68,126.17,121.83,122.29,464993.0
2010-01-18,123.31,123.31,116.76,117.17,356185.0
2010-01-19,118.05,119.06,114.96,115.56,257892.0
2010-01-20,113.53,118.14,106.65,115.37,191878.0
2010-01-21,114.45,115.33,109.14,111.63,361333.0
2010-01-22,107.99,112.97,107.3,110.66,208192.0
2010-01-25,109.37,110.48,104.3,105.03,259598.0
2010-01-27,103.83,106.0,99.5,102.5,241285.0
2010-01-28,102.5,106.05,100.79,102.91,207376.0
2010-01-29,96.54,100.51,95.62,99.17,507972.0
2010-02-01,98.76,105.5,97.42,104.2,284305.0
