,open,high,low,close,volume
2009-05-20,50.12,57.14,49.58,56.56,59655.0
2009-05-21,57.85,61.81,54.17,55.86,39952.0
2009-05-22,59.09,60.99,48.76,59.17,46395.0
2009-05-25,65.99,70.24,58.67,68.01,65316.0
2009-05-26,70.24,72.64,61.23,61.23,45506.0
2009-05-27,63.84,66.07,58.92,61.98,49437.0
2009-05-28,60.78,64.87,59.58,60.37,36801.0
2009-05-29,61.85,62.72,60.41,61.77,21944.0
2009-06-01,63.63,65.28,61.32,61.85,43794.0
2009-06-02,63.63,64.87,58.92,60.9,63602.0
2009-06-03,61.15,67.02,61.15,66.44,137312.0
2009-06-04,65.28,73.09,62.8,73.09,803045.0
2009-06-05,76.27,80.41,75.28,80.41,752567.0
2009-06-08,82.6,82.6,76.4,76.4,217392.0
2009-06-09,72.6,76.03,72.6,73.3,68444.0
2009-06-10,76.4,76.4,69.66,69.66,198236.0
2009-06-11,70.65,71.48,66.19,66.4,159702.0
2009-06-12,68.59,69.75,63.63,64.66,120705.0
2009-06-15,64.66,66.11,62.43,63.05,38802.0
2009-06-16,62.8,66.23,62.8,66.23,77859.0
2009-06-17,69.17,69.17,62.93,63.01,78580.0
2009-06-18,61.15,63.51,59.87,61.69,51574.0
2009-06-19,63.55,64.37,60.32,62.89,43580.0
2009-06-22,62.72,66.07,62.39,64.04,84084.0
2009-06-23,61.98,63.67,61.4,63.3,27999.0
2009-06-24,63.63,65.03,63.22,64.25,17072.0
2009-06-25,65.28,66.77,62.51,64.0,36914.0
2009-06-26,65.28,66.52,64.62,65.53,19445.0
2009-06-29,66.52,68.75,66.11,66.65,50643.0
2009-06-30,68.59,68.59,63.46,63.92,33815.0
2009-07-01,63.63,64.66,62.43,63.05,10076.0
2009-07-02,62.02,64.04,61.98,63.01,10438.0
2009-07-03,61.15,63.63,60.53,62.18,18604.0
2009-07-06,64.42,64.42,59.09,59.99,22839.0
2009-07-07,61.11,61.48,56.36,57.47,31974.0
2009-07-08,56.52,57.76,53.71,56.44,41484.0
2009-07-09,56.15,58.55,54.54,57.51,8845.0
2009-07-10,57.02,57.85,55.45,56.44,19400.0
2009-07-13,54.99,56.19,52.43,53.8,25944.0
