,open,high,low,close,volume
2009-05-20,98.5,111.69,94.38,111.69,261713.0
2009-05-21,114.75,131.97,114.75,125.99,390490.0
2009-05-22,129.1,133.78,123.12,130.63,353523.0
2009-05-25,131.97,136.27,128.19,135.31,108946.0
2009-05-26,135.79,138.56,124.32,125.42,64376.0
2009-05-27,131.01,137.99,130.96,137.99,123770.0
2009-05-28,138.18,143.15,131.97,133.54,85801.0
2009-05-29,135.31,146.93,135.31,146.93,92922.0
2009-06-01,159.65,161.66,154.34,155.73,193366.0
2009-06-02,157.79,162.57,147.74,152.43,72144.0
2009-06-03,155.87,167.35,153.1,165.39,471823.0
2009-06-04,166.39,169.64,162.57,166.25,134971.0
2009-06-05,167.35,180.31,167.35,169.69,225432.0
2009-06-08,171.17,171.17,152.72,154.06,91076.0
2009-06-09,152.53,158.74,142.49,157.4,67952.0
2009-06-10,162.57,168.26,156.93,158.69,233684.0
2009-06-11,159.99,164.29,157.79,159.17,52606.0
2009-06-12,162.52,173.95,156.97,158.84,183337.0
2009-06-15,156.83,161.9,150.14,151.57,47471.0
2009-06-16,151.09,155.87,138.28,152.72,70822.0
2009-06-17,148.32,157.79,144.4,146.6,36819.0
2009-06-18,146.31,152.81,136.75,139.57,90478.0
2009-06-19,140.57,147.27,140.57,143.44,33854.0
2009-06-22,145.35,148.22,140.57,141.48,19483.0
2009-06-23,137.7,143.44,135.79,140.38,25983.0
2009-06-24,142.49,145.83,141.53,144.88,28194.0
2009-06-25,145.35,151.09,145.35,148.65,87376.0
2009-06-26,151.57,156.35,137.56,150.9,79602.0
2009-06-29,153.0,166.01,150.66,166.01,171725.0
2009-06-30,172.13,172.13,160.8,165.24,212275.0
2009-07-01,171.22,181.79,171.17,181.79,323847.0
2009-07-02,186.38,186.38,172.7,173.61,289243.0
2009-07-03,173.09,182.31,165.44,180.64,242762.0
2009-07-06,182.6,186.38,171.6,174.14,214326.0
2009-07-07,168.07,176.77,167.35,173.52,198418.0
2009-07-08,167.54,170.22,164.86,166.3,129418.0
2009-07-09,162.66,167.35,157.98,158.31,52178.0
2009-07-10,161.47,162.52,153.39,154.3,38208.0
2009-07-13,146.79,153.48,146.79,149.61,126996.0
2009-07-14,152.72,156.59,152.14,153.29,42598.0
2009-07-15,154.92,157.79,154.15,156.26,33013.0
2009-07-16,156.83,161.56,152.05,153.86,36073.0
2009-07-17,153.48,158.69,153.48,156.26,82661.0
2009-07-20,160.46,164.1,157.88,164.1,44722.0
2009-07-21,163.52,170.41,155.92,162.61,164402.0
2009-07-22,165.1,169.26,158.89,160.75,79862.0
2009-07-23,164.48,168.83,162.76,168.59,33748.0
2009-07-24,170.22,174.95,166.39,168.21,65064.0
2009-07-27,170.31,170.31,164.67,167.78,25055.0
2009-07-28,168.4,173.09,166.49,168.64,32225.0
2009-07-29,168.3,170.03,160.22,164.72,29125.0
2009-07-30,161.18,166.77,161.18,163.24,20614.0
2009-07-31,168.3,171.32,160.75,166.3,62980.0
2009-08-03,167.35,167.35,160.18,164.05,56921.0
2009-08-04,162.85,165.44,158.98,160.61,27465.0
2009-08-05,160.85,164.48,158.84,162.57,23315.0
2009-08-06,161.61,170.22,161.61,162.95,106244.0
2009-08-07,163.05,169.79,160.13,164.53,157137.0
2009-08-10,166.39,167.92,156.3,156.3,126574.0
2009-08-11,151.62,156.83,149.18,155.3,43712.0
2009-08-12,151.09,157.59,151.09,156.02,28774.0
2009-08-13,156.02,161.56,156.02,158.31,31928.0
2009-08-14,160.13,160.56,155.87,157.12,20827.0
2009-08-17,154.92,157.21,153.0,154.53,17080.0
2009-08-18,153.34,158.65,153.0,154.77,26855.0
2009-08-19,157.21,158.65,153.63,154.25,12231.0
2009-08-20,156.45,158.65,153.96,154.25,109796.0
2009-08-21,153.1,156.35,153.1,154.15,12175.0
2009-08-24,155.4,158.93,154.44,157.26,24856.0
2009-08-25,159.08,165.15,154.49,165.15,66538.0
2009-08-26,167.3,173.42,165.24,173.42,105266.0
2009-08-27,178.15,182.12,174.42,176.19,352453.0
2009-08-28,179.25,179.25,167.4,172.18,120299.0
2009-08-31,172.13,175.67,168.64,170.93,51430.0
2009-09-01,170.22,176.39,166.54,169.21,54033.0
2009-09-02,176.43,176.86,165.53,166.68,83871.0
2009-09-03,167.35,170.98,165.53,168.11,21616.0
2009-09-04,166.87,171.17,165.53,167.64,27600.0
2009-09-07,167.35,172.8,167.35,170.12,26768.0
2009-09-08,171.89,186.28,169.31,174.28,264584.0
2009-09-09,174.52,188.1,174.52,181.55,922062.0
2009-09-10,184.56,186.43,176.91,178.68,230805.0
2009-09-11,178.92,181.64,172.13,175.0,157811.0
2009-09-14,175.95,184.27,160.65,177.92,190086.0
2009-09-15,177.01,180.74,176.0,177.39,58920.0
2009-09-16,181.6,182.65,176.91,178.78,78296.0
2009-09-17,178.82,196.66,177.58,196.66,558929.0
2009-09-18,204.07,216.36,200.96,216.36,2995315.0
2009-09-22,222.14,223.29,201.01,214.64,1797977.0
2009-09-23,216.5,220.8,208.56,211.24,599272.0
2009-09-24,209.38,216.12,206.79,208.52,335005.0
2009-09-25,211.34,213.63,205.6,206.7,164988.0
2009-09-29,210.38,211.67,201.34,202.87,125656.0
2009-09-30,206.56,206.56,197.95,199.57,153664.0
2009-10-01,199.86,201.49,195.56,196.28,135472.0
2009-10-05,196.04,207.51,187.91,189.92,232852.0
