,open,high,low,close,volume
2009-05-20,27.26,29.83,26.96,28.85,4149550.0
2009-05-21,28.46,30.23,27.58,27.93,2592350.0
2009-05-22,27.76,28.62,26.68,27.55,1848384.0
2009-05-25,28.92,30.79,27.94,29.76,5104112.0
2009-05-26,30.2,30.49,27.37,27.57,3799482.0
2009-05-27,28.34,29.34,28.34,29.0,2143230.0
2009-05-28,29.56,29.56,28.18,28.34,1455704.0
2009-05-29,28.58,29.6,28.43,29.26,1558854.0
2009-06-01,28.68,29.94,28.68,28.91,1856190.0
2009-06-02,29.36,29.75,28.37,28.75,1332618.0
2009-06-03,29.16,30.95,28.66,30.63,4650354.0
2009-06-04,30.15,32.15,30.15,31.3,5152098.0
2009-06-05,31.55,31.95,29.85,30.03,1897738.0
2009-06-08,30.35,31.53,29.02,29.61,2757500.0
2009-06-09,29.06,32.08,28.41,31.42,4798984.0
2009-06-10,32.15,32.92,31.58,31.82,3503232.0
2009-06-11,31.75,32.35,31.23,31.51,1238398.0
2009-06-12,31.75,32.35,31.17,31.57,1586486.0
2009-06-15,31.63,31.83,30.95,31.39,705744.0
2009-06-16,29.98,32.75,29.98,32.56,2061108.0
2009-06-17,32.84,32.95,31.15,31.41,1649270.0
2009-06-18,31.33,31.73,29.66,30.66,1512400.0
2009-06-19,30.95,31.35,30.45,31.08,1157278.0
2009-06-22,31.08,31.35,30.65,30.82,1354512.0
2009-06-23,30.45,31.83,30.06,31.59,2096590.0
2009-06-24,31.65,32.85,31.16,32.71,1929130.0
2009-06-25,32.75,34.62,32.75,33.93,4769312.0
2009-06-26,34.55,34.65,33.18,33.62,2024612.0
2009-06-29,33.84,34.05,33.16,33.33,938206.0
2009-06-30,33.71,33.71,31.88,32.64,1673392.0
2009-07-01,32.43,33.39,31.97,32.96,931060.0
2009-07-02,33.31,34.95,32.97,34.6,2215630.0
2009-07-03,34.55,35.04,33.91,34.17,1395164.0
2009-07-06,34.71,35.15,31.38,31.83,3765376.0
2009-07-07,32.35,33.62,32.05,33.33,2725094.0
2009-07-08,32.95,33.31,31.15,31.65,3502186.0
2009-07-09,31.47,31.53,30.63,31.21,1027452.0
2009-07-10,31.37,31.37,30.35,30.95,1303310.0
2009-07-13,30.55,30.6,29.37,29.82,574944.0
2009-07-14,30.19,33.05,30.15,32.69,3764922.0
2009-07-15,32.94,36.44,32.77,35.47,7063084.0
2009-07-16,35.93,36.18,34.4,34.85,2826678.0
2009-07-17,35.31,36.82,35.25,35.77,4443700.0
2009-07-20,36.92,37.0,34.58,35.32,1714116.0
2009-07-21,35.01,36.14,34.62,34.83,1232486.0
2009-07-22,35.15,36.6,33.67,34.04,5718782.0
2009-07-23,34.93,35.09,34.37,34.63,1070066.0
2009-07-24,34.93,35.63,34.26,35.06,1284876.0
2009-07-27,35.07,35.54,34.2,35.16,678478.0
2009-07-28,35.35,36.37,35.17,35.74,1855048.0
2009-07-29,35.96,37.74,35.06,37.42,4646682.0
2009-07-30,37.44,40.88,37.34,40.3,9452238.0
2009-07-31,40.84,41.5,40.17,40.48,5403906.0
2009-08-03,40.7,41.02,39.94,40.22,2376894.0
2009-08-04,40.54,40.74,38.98,39.28,1324480.0
2009-08-05,39.14,40.33,38.98,39.36,1699456.0
2009-08-06,39.36,40.63,37.95,38.35,2610644.0
2009-08-07,37.96,38.67,37.32,37.54,3601650.0
2009-08-10,38.34,38.34,35.66,36.02,1035860.0
2009-08-11,36.14,37.32,35.56,36.15,3425364.0
2009-08-12,35.65,37.02,35.55,36.58,3909200.0
2009-08-13,36.96,38.18,36.9,37.66,3117328.0
2009-08-14,37.82,39.08,37.03,38.89,3744196.0
2009-08-17,37.96,38.74,36.99,37.31,2652102.0
2009-08-18,37.14,39.02,37.03,38.57,2737940.0
2009-08-19,38.62,39.14,37.4,38.38,2728048.0
2009-08-20,38.94,39.42,38.44,39.12,2286184.0
2009-08-21,38.9,39.43,38.24,39.0,2138342.0
2009-08-24,39.32,40.98,39.05,40.87,3777764.0
2009-08-25,40.42,42.54,39.94,42.12,3401886.0
2009-08-26,42.14,43.61,41.76,42.24,2508298.0
2009-08-27,41.94,42.92,40.57,42.11,1788438.0
2009-08-28,42.14,42.84,41.76,42.16,803546.0
2009-08-31,42.32,44.83,41.67,44.35,2648396.0
2009-09-01,44.71,44.86,42.05,42.56,2115880.0
2009-09-02,42.14,43.22,41.55,42.8,2617154.0
2009-09-03,43.8,44.35,42.12,42.61,1959020.0
2009-09-04,42.9,43.03,42.02,42.66,1617058.0
2009-09-07,42.94,43.22,42.23,42.38,1318052.0
2009-09-08,41.74,43.47,41.71,42.03,2642992.0
2009-09-09,42.06,42.89,41.48,41.97,2688156.0
2009-09-10,42.31,43.24,41.43,41.72,1820122.0
2009-09-11,41.92,42.25,39.16,40.02,4111904.0
2009-09-14,39.84,40.28,38.97,39.87,2778920.0
2009-09-15,39.97,41.71,39.87,41.57,2374034.0
2009-09-16,41.92,42.68,41.71,41.97,1641220.0
2009-09-17,42.43,42.63,40.79,41.77,3432184.0
2009-09-18,41.47,42.22,40.72,41.08,4459272.0
2009-09-22,41.1,42.08,40.54,40.89,4013550.0
2009-09-23,41.1,41.47,40.48,40.71,1887596.0
2009-09-24,40.48,41.05,39.93,40.2,3968312.0
2009-09-25,39.46,40.57,39.09,40.19,2485602.0
2009-09-29,40.69,41.26,40.38,40.93,1572908.0
2009-09-30,40.93,41.71,40.74,41.18,918268.0
2009-10-01,41.45,41.69,40.73,41.39,656068.0
2009-10-05,40.89,41.6,40.55,40.72,3465930.0
2009-10-06,41.1,41.24,40.12,40.92,1296100.0
2009-10-07,41.02,41.79,40.89,41.44,2122340.0
2009-10-08,41.61,43.09,41.3,42.87,2991076.0
