,open,high,low,close,volume
2009-05-20,634.4,652.43,602.9,610.61,10310225.0
2009-05-21,612.06,640.53,601.96,620.82,7713955.0
2009-05-22,617.82,656.03,611.34,649.26,9582610.0
2009-05-25,641.61,673.33,641.61,660.36,6278004.0
2009-05-26,668.86,675.35,609.17,614.94,7994377.0
2009-05-27,617.25,666.85,617.25,660.18,8059991.0
2009-05-28,673.98,699.21,656.28,670.45,10894307.0
2009-05-29,688.47,701.38,672.04,675.5,6952598.0
2009-06-01,698.57,710.1,681.26,707.43,7698313.0
2009-06-02,720.05,720.05,676.29,693.59,5906137.0
2009-06-03,699.11,718.54,683.57,696.4,6519034.0
2009-06-04,684.87,751.19,681.84,748.31,9312487.0
2009-06-05,756.96,769.72,715.15,718.75,6944068.0
2009-06-08,731.73,735.33,662.52,663.39,6522816.0
2009-06-09,661.94,697.85,649.62,691.21,6319707.0
2009-06-10,702.89,730.29,690.2,711.69,5355698.0
2009-06-11,716.37,737.5,684.87,720.7,8762703.0
2009-06-12,735.26,741.82,693.56,697.52,6742425.0
2009-06-15,692.01,720.84,670.45,676.94,6542427.0
2009-06-16,670.23,726.68,651.71,718.68,8243825.0
2009-06-17,702.96,723.8,657.94,667.57,7292611.0
2009-06-18,669.73,684.72,623.66,638.05,9355998.0
2009-06-19,666.85,670.99,619.99,670.99,7714628.0
2009-06-22,676.22,684.44,641.61,642.3,6988096.0
2009-06-23,634.4,656.72,616.45,640.89,7566681.0
2009-06-24,654.59,666.12,641.61,657.47,5762965.0
2009-06-25,669.01,671.17,634.4,658.19,6794197.0
2009-06-26,663.24,680.54,653.15,674.78,5130988.0
2009-06-29,686.31,680.58,691.72,711.54,0.0
2009-06-30,696.6,711.05,647.6,657.19,5777755.0
2009-07-01,660.9,688.61,636.13,686.43,6980264.0
2009-07-02,697.32,697.32,662.46,672.7,7151100.0
2009-07-03,664.64,687.88,664.64,681.49,4355548.0
2009-07-06,695.15,697.25,597.92,601.44,7852461.0
2009-07-07,613.72,619.17,587.1,603.73,7219632.0
2009-07-08,592.22,595.49,549.14,551.29,6617447.0
2009-07-09,562.8,570.21,539.7,557.86,6951881.0
2009-07-10,560.95,584.01,522.27,526.44,7246993.0
2009-07-13,520.81,543.33,508.47,530.69,6191443.0
2009-07-14,544.78,579.65,538.36,579.65,5387627.0
2009-07-15,583.65,598.54,575.69,597.08,5400502.0
2009-07-16,618.88,623.89,579.72,592.73,7490769.0
2009-07-17,597.08,638.27,595.81,634.13,6394568.0
2009-07-20,642.85,649.02,606.71,641.1,6382255.0
2009-07-21,635.58,651.45,625.67,630.57,8209655.0
2009-07-22,638.49,663.47,622.22,636.31,8776290.0
2009-07-23,640.74,649.96,632.2,642.41,6389841.0
2009-07-24,661.01,674.81,641.5,653.27,6391886.0
2009-07-27,661.01,682.8,647.35,655.27,4544512.0
2009-07-28,658.54,662.06,637.76,644.3,6482134.0
2009-07-29,649.67,649.67,616.22,628.75,5336212.0
2009-07-30,630.42,635.51,612.92,626.72,4901218.0
2009-07-31,648.66,653.02,630.5,646.48,6104929.0
2009-08-03,635.58,664.2,626.32,659.55,4929943.0
2009-08-04,659.52,676.19,653.74,660.32,6904327.0
2009-08-05,664.31,669.65,652.47,659.84,4644451.0
2009-08-06,659.55,681.34,639.21,645.02,7542692.0
2009-08-07,642.37,642.74,610.89,611.9,5188455.0
2009-08-10,634.86,634.86,589.82,590.55,5291327.0
2009-08-11,597.08,615.97,591.2,602.9,4754516.0
2009-08-12,588.4,602.17,575.55,597.77,5355368.0
2009-08-13,618.73,625.92,602.97,624.69,4388515.0
2009-08-14,626.14,632.46,613.79,620.33,4667288.0
2009-08-17,581.83,608.71,573.84,576.6,4245679.0
2009-08-18,576.6,576.6,576.6,576.6,0.0
2009-08-19,576.6,576.6,576.6,576.6,0.0
2009-08-20,576.6,576.6,576.6,576.6,0.0
2009-08-21,576.6,576.6,576.6,576.6,0.0
2009-08-24,598.46,606.16,592.8,597.81,2830274.0
2009-08-25,595.63,601.44,586.19,595.96,4030730.0
2009-08-26,602.1,610.01,598.28,605.44,3812118.0
2009-08-27,605.8,623.96,593.6,606.53,7045166.0
2009-08-28,601.44,637.69,601.44,634.13,6995830.0
2009-08-31,620.98,639.79,620.98,629.77,6358903.0
2009-09-01,637.76,660.97,621.13,627.3,7929631.0
2009-09-02,617.42,656.28,617.42,651.45,8074983.0
2009-09-03,659.41,666.82,643.06,646.7,6304250.0
2009-09-04,652.29,659.41,637.11,658.17,4521043.0
2009-09-07,662.46,673.97,661.08,668.7,3765588.0
2009-09-08,674.37,682.07,658.17,661.95,5133423.0
2009-09-09,658.9,670.81,648.08,670.23,3985798.0
2009-09-10,679.09,685.48,656.32,657.08,4592505.0
2009-09-11,667.54,667.54,645.02,655.23,3674401.0
2009-09-14,648.29,653.71,635.87,641.18,3009315.0
2009-09-15,647.93,671.17,642.12,668.23,3629774.0
2009-09-16,674.08,678.37,665.0,670.81,2917902.0
2009-09-17,689.62,709.42,657.37,658.03,3283003.0
2009-09-18,662.6,679.17,647.68,673.35,4971280.0
2009-09-22,674.08,686.03,668.85,678.84,3680110.0
2009-09-23,682.72,682.72,657.74,658.28,3587880.0
2009-09-24,657.37,669.72,647.93,667.76,3819953.0
2009-09-25,658.9,668.23,653.74,659.37,3081518.0
2009-09-29,671.54,671.54,655.99,656.65,1739984.0
2009-09-30,664.64,671.17,655.56,667.76,2517646.0
2009-10-01,659.55,670.78,658.21,661.8,2188940.0
2009-10-05,656.9,669.0,648.08,653.16,3161740.0
2009-10-06,661.01,661.01,629.19,654.47,4080757.0
2009-10-07,664.64,674.01,655.19,656.94,4991710.0
2009-10-08,665.25,669.58,657.74,664.06,2872947.0
2009-10-09,674.81,682.72,656.65,658.17,4722159.0
2009-10-12,665.22,692.97,661.73,691.51,5135099.0
2009-10-14,695.15,706.69,674.08,678.55,5515249.0
2009-10-15,688.03,692.2,675.53,680.44,3864464.0
2009-10-16,685.7,690.06,677.46,681.2,2659247.0
2009-10-20,682.91,686.94,671.9,672.63,2245169.0
2009-10-21,671.86,679.16,662.31,663.18,2232204.0
2009-10-22,664.64,664.64,645.53,649.24,2550613.0
2009-10-23,657.37,659.55,631.59,633.77,3433716.0
2009-10-26,645.75,645.75,621.05,626.21,2612984.0
2009-10-27,622.51,622.51,573.19,573.95,4298908.0
2009-10-28,570.21,577.47,554.95,557.06,3680743.0
2009-10-29,555.68,555.68,524.48,525.9,4087206.0
