,open,high,low,close,volume
2009-05-20,454.8,465.69,441.61,444.97,26987620.0
2009-05-21,443.43,450.04,434.65,437.32,15909488.0
2009-05-22,434.08,456.28,432.26,451.85,17785484.0
2009-05-25,454.8,457.9,445.29,453.71,12416228.0
2009-05-26,450.68,456.66,440.43,442.95,9936320.0
2009-05-27,449.01,455.83,444.97,451.97,20900372.0
2009-05-28,450.66,464.31,450.66,459.04,17992252.0
2009-05-29,464.06,477.06,457.48,469.66,25586780.0
2009-06-01,481.67,481.67,466.4,471.79,11909532.0
2009-06-02,475.49,477.22,459.77,471.17,13196444.0
2009-06-03,467.47,477.02,460.07,464.28,13752492.0
2009-06-04,459.92,469.03,446.53,467.56,15440948.0
2009-06-05,470.3,471.54,452.73,457.43,18710684.0
2009-06-08,456.24,467.57,449.83,453.56,15112048.0
2009-06-09,452.32,473.61,449.63,469.71,16615732.0
2009-06-10,473.61,483.72,472.61,479.64,15860932.0
2009-06-11,479.6,480.64,471.85,476.14,10165604.0
2009-06-12,477.54,491.8,476.55,488.31,19666920.0
2009-06-15,487.81,487.81,447.62,450.41,28563848.0
2009-06-16,444.46,451.67,439.62,443.09,20513072.0
2009-06-17,439.46,450.25,420.97,424.07,19679512.0
2009-06-18,425.44,428.44,411.4,418.63,24829620.0
2009-06-19,422.75,426.36,408.72,422.03,19406328.0
2009-06-22,423.31,423.79,399.51,403.63,18484616.0
2009-06-23,392.78,420.42,392.78,416.61,23785980.0
2009-06-24,418.62,420.84,407.67,413.94,18840976.0
2009-06-25,413.7,418.41,401.55,404.79,21343356.0
2009-06-26,406.45,421.1,405.79,419.49,15916260.0
2009-06-29,418.83,436.79,414.43,431.44,14905444.0
2009-06-30,434.12,436.05,415.64,418.29,11925152.0
2009-07-01,419.63,431.02,410.97,425.61,14872316.0
2009-07-02,451.28,451.28,412.49,415.8,15400244.0
2009-07-03,413.45,420.71,409.32,419.17,17330792.0
2009-07-06,423.37,424.2,384.73,391.36,23693940.0
2009-07-07,392.99,395.47,377.32,383.57,23341584.0
2009-07-08,383.57,390.71,371.55,378.24,23084688.0
2009-07-09,379.34,387.59,378.33,383.15,14752004.0
