,open,high,low,close,volume
2009-05-20,889.47,969.23,887.54,940.39,3189301.0
2009-05-21,919.98,971.12,919.98,955.86,3434265.0
2009-05-22,953.93,986.59,929.48,963.64,3838911.0
2009-05-25,946.2,987.27,906.66,974.6,2367785.0
2009-05-26,966.82,1001.2,950.06,964.16,3370927.0
2009-05-27,1009.62,1114.64,984.87,1107.2,6782177.0
2009-05-28,1110.34,1127.53,1063.07,1093.07,4423409.0
2009-05-29,1100.03,1136.9,1083.01,1093.15,3558149.0
2009-06-01,1113.78,1138.18,1104.67,1118.85,2000693.0
2009-06-02,1122.54,1134.32,1044.25,1068.36,3516318.0
2009-06-03,1095.21,1095.3,1040.9,1058.13,2456732.0
2009-06-04,1051.9,1104.32,1041.59,1094.7,2451351.0
2009-06-05,1100.97,1111.03,1042.15,1054.26,2001565.0
2009-06-08,1065.65,1069.69,952.68,965.32,2900571.0
2009-06-09,964.24,1001.24,941.34,986.97,2376749.0
2009-06-10,1017.52,1071.49,996.04,1045.88,2623745.0
2009-06-11,1052.5,1061.35,1005.49,1025.09,2359690.0
2009-06-12,1031.28,1078.54,1005.58,1014.6,3385520.0
2009-06-15,1005.49,1072.27,987.06,1028.61,4129839.0
2009-06-16,1019.03,1102.3,1006.48,1090.96,4037989.0
2009-06-17,1082.84,1146.86,1065.87,1084.47,5966443.0
2009-06-18,1090.57,1114.38,1009.88,1031.23,4228272.0
2009-06-19,1057.06,1096.03,1012.84,1084.69,3641587.0
2009-06-22,1116.36,1176.26,1031.28,1038.45,3113800.0
2009-06-23,1016.67,1060.62,993.46,1051.39,3942902.0
2009-06-24,1065.65,1090.14,1044.72,1082.71,2766886.0
2009-06-25,1093.15,1104.32,1052.16,1064.15,2341297.0
2009-06-26,1081.94,1092.98,1048.68,1086.71,2353242.0
2009-06-29,1090.57,1117.13,1075.96,1090.06,2287582.0
2009-06-30,1101.75,1102.95,1016.92,1028.44,2497739.0
2009-07-01,1039.87,1071.49,1001.24,1059.08,3097228.0
2009-07-02,1076.06,1095.94,1046.76,1082.85,3177001.0
2009-07-03,1042.91,1123.42,1042.91,1116.55,2721999.0
2009-07-06,1133.1,1164.18,956.05,977.31,7186766.0
2009-07-07,993.95,1012.97,946.5,1000.43,4413579.0
2009-07-08,975.89,989.63,918.89,928.78,4587341.0
2009-07-09,942.96,967.16,912.02,951.38,3643511.0
2009-07-10,959.38,969.58,868.63,888.64,3666472.0
2009-07-13,872.08,878.48,821.95,833.58,4247485.0
2009-07-14,857.39,913.57,854.63,911.06,3764683.0
2009-07-15,925.67,960.24,917.46,954.8,2774762.0
2009-07-16,979.26,981.68,893.09,916.51,3679959.0
2009-07-17,929.21,1008.34,929.21,996.2,4395327.0
2009-07-20,1004.54,1018.15,950.13,980.81,3559477.0
