,open,high,low,close,volume
2009-05-20,156.7447,171.9293,154.7853,169.2352,11513356.0
2009-05-21,167.031,173.5947,161.1531,162.5736,11327287.0
2009-05-22,160.6633,166.982,158.8999,161.6429,7618917.0
2009-05-25,164.7778,168.0107,163.0144,165.6105,5341859.0
2009-05-26,166.0514,169.3332,153.4138,155.5691,7808617.0
2009-05-27,161.6429,179.6686,158.2631,175.1622,15205400.0
2009-05-28,176.3377,180.4523,172.5171,176.3377,14451222.0
2009-05-29,179.2767,181.9707,176.3377,177.2194,9641869.0
2009-06-01,180.2564,183.979,171.8313,178.6889,10052862.0
2009-06-02,180.2564,181.0891,172.664,176.2398,5051782.0
2009-06-03,176.8276,182.6075,175.3581,178.0521,7318789.0
2009-06-04,176.3377,188.5834,174.4764,186.869,12113207.0
2009-06-05,188.8773,189.5631,179.3257,180.5013,7635032.0
2009-06-08,181.334,187.3099,171.5374,174.3295,12158889.0
2009-06-09,173.3988,182.1177,170.4598,180.1584,7353539.0
2009-06-10,181.334,186.918,179.3257,182.9504,7964109.0
2009-06-11,186.5751,192.8449,184.175,189.0732,15355920.0
2009-06-12,190.8366,196.6656,187.1139,188.4854,13896431.0
2009-06-15,190.0529,205.7274,186.5261,196.1268,28907654.0
2009-06-16,194.6573,196.8615,188.5834,192.1591,11419279.0
2009-06-17,192.9919,195.8329,177.6113,181.0401,9249018.0
2009-06-18,180.6972,182.7055,169.97,174.6234,7660134.0
2009-06-19,177.3174,179.4236,166.0514,172.2722,8426496.0
2009-06-22,173.3988,175.8479,166.0514,166.7861,6343772.0
2009-06-23,164.5819,169.97,161.7899,168.4025,7313596.0
2009-06-24,169.4802,172.3212,166.6392,171.2925,7133755.0
2009-06-25,172.4191,173.3008,163.6022,165.4636,8280171.0
2009-06-26,169.2842,171.2435,166.0024,170.068,5569870.0
2009-06-29,171.4395,175.2112,169.6761,170.6068,5302723.0
2009-06-30,171.5374,173.7906,162.6226,164.0921,4792234.0
2009-07-01,166.7371,168.9903,162.7206,168.0597,4385340.0
