,open,high,low,close,volume
2009-05-20,47.68,53.76,47.25,52.01,313003.0
2009-05-21,52.72,53.97,50.72,51.82,48665.0
2009-05-22,50.3,53.32,49.52,51.17,569942.0
2009-05-25,52.02,53.32,49.86,50.19,5978.0
2009-05-26,51.68,52.87,50.29,51.74,24261.0
2009-05-27,46.65,56.79,46.65,54.9,49779.0
2009-05-28,54.62,61.89,54.62,59.07,49319.0
2009-05-29,61.04,61.04,57.1,59.32,30434.0
2009-06-01,60.68,60.69,57.68,59.41,576646.0
2009-06-02,59.39,59.83,56.72,58.29,14113.0
2009-06-03,58.87,58.87,55.49,56.26,16290.0
2009-06-04,54.93,58.52,54.93,58.21,13163.0
2009-06-05,60.52,60.52,58.09,58.1,109533.0
2009-06-08,59.24,62.43,55.97,56.33,135347.0
2009-06-09,54.75,61.91,54.73,59.84,49881.0
2009-06-10,61.55,62.78,56.86,59.04,66744.0
2009-06-11,60.0,60.0,55.61,56.67,33336.0
2009-06-12,57.12,58.09,55.06,56.94,17823.0
2009-06-15,60.0,60.0,54.62,55.74,9024.0
2009-06-16,54.28,56.27,54.28,55.58,258635.0
2009-06-17,56.95,56.95,55.49,55.49,10669.0
2009-06-18,54.66,55.49,53.78,54.24,16586.0
2009-06-19,55.99,59.67,54.02,57.79,10741.0
2009-06-22,59.65,61.11,55.76,56.27,33765.0
2009-06-23,54.88,58.09,54.88,57.53,13858.0
2009-06-24,56.07,60.47,56.07,57.58,13990.0
2009-06-25,58.96,59.44,55.84,56.72,25814.0
2009-06-26,59.13,59.22,56.8,57.46,18732.0
2009-06-29,59.0,59.0,55.6,56.22,13469.0
2009-06-30,57.31,59.83,57.23,58.01,170952.0
2009-07-01,57.92,58.27,56.79,57.27,33295.0
2009-07-02,57.49,58.61,57.49,58.1,45528.0
2009-07-03,56.08,60.17,56.08,59.53,592567.0
2009-07-06,59.39,61.99,57.23,58.31,30137.0
2009-07-07,57.23,60.62,55.75,60.46,12866.0
2009-07-08,58.7,60.69,56.62,59.04,18783.0
2009-07-09,58.27,58.53,56.88,57.08,2187.0
2009-07-10,59.65,59.65,56.64,57.3,11712.0
2009-07-13,56.36,58.0,54.72,55.13,4374.0
2009-07-14,56.36,57.31,53.84,56.51,10659.0
2009-07-15,56.62,60.17,56.45,59.06,22881.0
2009-07-16,58.96,60.24,57.23,58.11,9034.0
2009-07-17,59.65,65.9,59.65,61.83,214405.0
2009-07-20,65.2,67.2,62.86,64.32,124954.0
2009-07-21,64.94,64.94,62.43,63.31,14624.0
2009-07-22,63.73,65.03,60.87,61.51,9412.0
2009-07-23,59.09,63.12,59.05,61.99,24711.0
2009-07-24,62.78,63.98,60.95,61.37,15391.0
2009-07-27,63.18,63.72,60.87,63.33,24138.0
2009-07-28,62.6,64.36,61.82,63.22,8257.0
2009-07-29,63.82,63.82,61.58,63.02,20664.0
2009-07-30,62.86,63.47,61.65,62.12,3311.0
2009-07-31,62.61,66.94,62.61,64.18,152179.0
2009-08-03,64.25,68.93,62.62,66.67,141101.0
2009-08-04,63.95,66.42,63.95,64.48,12550.0
2009-08-05,66.02,66.02,62.44,62.91,6857.0
2009-08-06,64.93,64.93,57.92,60.61,13827.0
2009-08-07,60.43,60.43,58.35,59.45,74439.0
2009-08-10,59.61,60.34,56.45,57.46,18835.0
2009-08-11,56.97,59.44,56.36,59.25,4977.0
2009-08-12,56.63,66.97,56.63,60.75,43964.0
2009-08-13,61.99,64.42,61.04,61.97,26141.0
2009-08-14,61.13,62.08,60.78,60.89,2228.0
2009-08-17,59.48,60.43,58.33,58.82,2861.0
2009-08-18,58.09,60.22,58.01,59.44,39171.0
2009-08-19,59.65,63.21,59.65,62.47,39580.0
2009-08-20,62.43,67.63,61.56,65.1,66713.0
2009-08-21,63.18,66.68,63.18,66.1,7522.0
2009-08-24,70.31,70.31,65.98,67.12,24353.0
2009-08-25,67.28,68.5,66.55,67.64,67336.0
2009-08-26,68.58,72.83,67.2,71.85,74878.0
2009-08-27,72.4,72.83,68.71,69.48,18886.0
2009-08-28,68.06,71.06,68.06,68.7,18119.0
2009-08-31,67.64,71.01,67.64,68.19,268936.0
2009-09-01,68.24,71.53,65.13,65.64,114785.0
2009-09-02,65.9,67.01,65.55,65.68,10332.0
2009-09-03,65.55,66.59,65.23,66.23,8922.0
2009-09-04,65.38,67.04,65.04,65.71,13347.0
2009-09-07,67.89,70.15,66.76,69.15,20623.0
2009-09-08,69.36,71.44,67.63,69.33,21951.0
2009-09-09,69.28,69.61,67.82,68.22,19397.0
2009-09-10,76.37,76.37,71.79,72.03,26867.0
2009-09-11,72.62,72.62,68.72,69.51,253147.0
2009-09-14,70.7,71.79,69.6,70.22,12825.0
2009-09-15,72.7,73.07,69.98,70.27,31445.0
2009-09-16,71.79,79.57,70.61,75.54,400962.0
2009-09-17,75.19,78.65,73.36,77.6,114305.0
2009-09-18,75.47,77.05,74.2,75.37,11936.0
2009-09-22,75.45,76.26,72.7,72.98,220343.0
2009-09-23,73.17,74.08,71.81,72.09,13265.0
2009-09-24,73.72,79.66,71.26,77.7,145730.0
2009-09-25,76.37,79.74,73.99,74.26,27501.0
2009-09-29,79.83,80.57,74.26,75.24,123523.0
2009-09-30,77.83,81.4,76.55,79.69,1880286.0
2009-10-01,79.76,80.94,78.32,78.57,29473.0
2009-10-05,76.37,80.76,75.45,75.85,15278.0
2009-10-06,79.29,79.29,74.08,75.81,16075.0
2009-10-07,76.0,77.28,75.0,75.46,6213.0
2009-10-08,75.91,77.19,75.09,75.27,4936.0
2009-10-09,75.27,76.64,75.27,76.39,10761.0
2009-10-12,76.55,78.47,76.55,77.38,221477.0
2009-10-14,78.47,85.42,78.24,84.57,159761.0
2009-10-15,82.41,88.9,81.15,87.5,111454.0
2009-10-16,87.8,90.7,84.23,84.85,16535.0
2009-10-20,87.34,87.71,82.31,84.04,57280.0
2009-10-21,86.06,88.71,83.23,87.26,30965.0
2009-10-22,86.88,89.17,83.68,84.23,15636.0
2009-10-23,87.16,87.16,84.14,84.65,8666.0
2009-10-26,84.0,85.59,76.82,78.92,32876.0
2009-10-27,77.74,86.43,76.01,78.86,122685.0
2009-10-28,79.04,81.39,77.74,78.45,9841.0
2009-10-29,76.82,78.2,75.91,76.82,11967.0
2009-10-30,77.47,85.97,77.46,82.07,74725.0
2009-11-03,80.76,82.22,79.57,80.01,37598.0
2009-11-04,76.55,82.62,76.55,78.3,17853.0
2009-11-05,81.38,85.44,78.29,83.98,16341.0
2009-11-06,86.34,92.37,85.97,86.99,816160.0
2009-11-09,87.69,88.7,86.07,86.97,6653.0
2009-11-10,87.34,91.18,82.87,90.16,36453.0
2009-11-11,87.18,89.06,85.7,86.92,7706.0
2009-11-12,86.88,86.88,85.54,85.82,5498.0
2009-11-13,86.79,87.71,85.34,86.74,3873.0
2009-11-16,84.24,88.26,84.24,87.8,527653.0
2009-11-17,87.83,88.72,85.6,86.03,20102.0
2009-11-18,85.8,87.79,84.6,85.11,7736.0
2009-11-19,86.34,88.26,84.86,87.3,18344.0
2009-11-20,85.99,87.34,85.79,86.12,2586.0
2009-11-23,88.71,88.89,83.23,84.64,23781.0
2009-11-24,86.61,86.79,83.23,84.01,16637.0
2009-11-25,84.01,85.6,83.5,84.6,312410.0
2009-11-26,85.15,88.62,84.19,86.46,492784.0
2009-11-27,84.14,85.96,82.79,83.52,7593.0
2009-11-30,84.15,88.53,84.15,88.26,40490.0
2009-12-01,88.26,89.63,86.06,88.28,17220.0
2009-12-02,86.34,87.34,85.33,86.01,3086.0
2009-12-03,85.88,92.37,85.88,91.68,34900.0
2009-12-04,88.26,93.38,88.26,90.29,5866.0
2009-12-07,88.09,92.37,88.09,91.59,267904.0
2009-12-08,90.11,93.74,89.63,93.29,54092.0
