,open,high,low,close,volume
2009-05-20,134.38,143.74,133.32,139.65,74616600.0
2009-05-21,139.1,140.66,130.92,132.94,55536775.0
2009-05-22,132.35,134.63,129.15,133.58,36585375.0
2009-05-25,134.04,138.17,133.2,135.52,34689545.0
2009-05-26,135.9,136.32,126.96,128.86,35031355.0
2009-05-27,130.67,133.2,126.71,130.04,70289165.0
2009-05-28,129.32,143.48,128.73,138.68,153488265.0
2009-05-29,143.31,149.05,139.98,145.59,101058410.0
2009-06-01,146.26,150.06,144.24,147.61,59273730.0
2009-06-02,148.37,154.53,128.14,153.3,86079280.0
2009-06-03,155.12,155.5,147.19,149.3,65260090.0
2009-06-04,148.2,150.9,144.33,146.94,61074935.0
2009-06-05,147.53,158.49,146.26,148.41,67366325.0
2009-06-08,149.97,151.2,133.28,134.8,63166620.0
2009-06-09,134.8,141.21,130.88,139.94,59397135.0
2009-06-10,143.31,148.37,141.63,144.54,69690085.0
2009-06-11,146.69,149.21,142.68,147.28,57275965.0
2009-06-12,147.53,150.56,142.09,143.57,58757985.0
2009-06-15,141.54,144.75,134.21,134.97,53170180.0
2009-06-16,127.42,144.07,127.42,140.7,77458975.0
2009-06-17,139.1,141.46,132.4,133.24,68735685.0
2009-06-18,134.88,135.22,122.7,127.76,68098670.0
2009-06-19,129.15,132.9,123.25,128.52,87284910.0
2009-06-22,130.79,132.27,123.33,124.18,76113690.0
2009-06-23,122.24,127.0,119.2,124.85,67608930.0
2009-06-24,126.24,126.96,123.08,125.23,62898250.0
2009-06-25,124.35,127.97,122.36,124.56,93934480.0
2009-06-26,125.69,129.57,125.15,127.8,49931310.0
2009-06-29,130.5,136.02,127.89,133.07,47409780.0
2009-06-30,132.78,135.73,126.03,127.42,58084585.0
2009-07-01,128.48,130.88,124.43,129.49,42914045.0
2009-07-02,130.67,135.94,128.6,134.5,56469335.0
2009-07-03,134.04,138.17,131.72,136.27,60927045.0
2009-07-06,137.83,141.96,125.74,127.34,58183525.0
2009-07-07,129.74,130.5,121.02,124.26,53442830.0
2009-07-08,123.08,129.15,119.88,123.76,75238465.0
2009-07-09,125.19,130.04,123.25,128.98,56808955.0
2009-07-10,131.76,135.64,127.55,129.45,76069405.0
2009-07-13,124.98,127.3,117.22,119.2,60124770.0
2009-07-14,121.65,130.16,121.4,128.65,46768605.0
2009-07-15,130.67,136.99,130.04,136.06,43203505.0
2009-07-16,139.44,140.7,132.02,134.08,63305135.0
2009-07-17,135.81,143.31,135.3,141.71,58656125.0
2009-07-20,143.65,145.76,139.23,142.13,44647670.0
2009-07-21,143.23,147.23,138.85,144.83,75807815.0
2009-07-22,144.07,146.43,138.26,140.36,50970220.0
2009-07-23,141.63,147.4,141.63,146.48,49441770.0
2009-07-24,146.47,147.66,141.92,144.79,48564370.0
2009-07-27,145.51,149.13,142.13,147.95,53492150.0
2009-07-28,145.08,151.7,145.0,150.61,56863780.0
2009-07-29,148.54,150.06,137.41,143.4,60042430.0
2009-07-30,142.72,150.36,140.59,149.56,90926140.0
2009-07-31,154.23,154.23,147.18,148.92,48946275.0
2009-08-03,150.36,152.91,148.07,152.57,39233650.0
2009-08-04,153.76,154.19,147.05,149.26,40920270.0
2009-08-05,149.85,150.79,145.65,148.37,33771580.0
2009-08-06,145.31,150.07,143.57,145.69,41200245.0
2009-08-07,144.33,146.8,140.21,141.61,40055985.0
2009-08-10,144.42,145.56,137.71,139.87,28309110.0
2009-08-11,140.93,143.44,137.2,138.73,31611360.0
2009-08-12,137.32,140.08,135.07,139.49,39330305.0
2009-08-13,140.72,145.27,140.72,144.71,31046245.0
