,open,high,low,close,volume
2009-05-20,809.01,826.34,797.15,819.79,1678.0
2009-05-21,824.79,872.5,809.12,869.84,2732.0
2009-05-22,860.56,860.56,836.73,842.63,781.0
2009-05-25,848.66,1011.18,826.45,995.47,19464.0
2009-05-26,951.77,1007.29,924.01,986.39,7481.0
2009-05-27,987.46,991.43,920.05,937.06,12743.0
2009-05-28,951.77,967.24,889.11,894.47,3202.0
2009-05-29,892.29,904.18,854.21,865.91,2229.0
2009-06-01,892.29,892.29,844.7,880.59,2525.0
2009-06-02,896.17,1011.26,864.53,943.48,7696.0
2009-06-03,951.77,972.75,912.11,924.41,1263.0
2009-06-04,912.91,1081.85,896.69,1051.07,18513.0
2009-06-05,1062.81,1062.81,955.74,968.47,3154.0
2009-06-08,951.77,983.5,904.18,919.21,3673.0
2009-06-09,912.11,977.15,872.5,924.05,4213.0
2009-06-10,939.79,947.81,872.26,903.03,12326.0
2009-06-11,900.22,927.98,892.29,910.61,16100.0
2009-06-12,912.11,920.05,893.87,908.82,3861.0
2009-06-15,892.29,958.12,880.39,924.05,3934.0
2009-06-16,931.94,931.94,904.18,908.9,610.0
2009-06-17,914.26,927.98,884.51,909.89,1830.0
2009-06-18,909.89,909.89,866.11,874.76,13975.0
2009-06-19,880.39,894.66,858.42,865.36,1050.0
2009-06-22,857.39,887.92,856.67,864.49,494.0
2009-06-23,848.66,863.02,840.73,851.16,1013.0
2009-06-24,856.59,912.11,852.63,898.63,1856.0
2009-06-25,872.46,899.42,872.46,898.12,3439.0
2009-06-26,874.96,943.05,874.96,913.38,2057.0
2009-06-29,902.2,927.98,890.34,896.97,12940.0
2009-06-30,904.18,904.18,876.42,881.9,511.0
2009-07-01,892.29,892.29,873.45,875.03,766.0
2009-07-02,874.04,900.22,872.46,889.15,1316.0
2009-07-03,881.18,901.01,880.39,882.69,432.0
2009-07-06,910.53,920.05,873.25,873.81,1290.0
2009-07-07,864.53,880.39,864.53,866.35,592.0
2009-07-08,848.66,879.56,848.66,868.81,926.0
2009-07-09,861.35,870.08,848.66,850.13,304.0
2009-07-10,867.5,871.66,837.2,854.81,659.0
2009-07-13,864.53,864.53,828.87,847.75,1742.0
2009-07-14,848.74,861.27,835.42,839.82,339.0
2009-07-15,841.52,870.63,841.52,852.71,395.0
2009-07-16,856.59,871.03,848.66,851.0,435.0
2009-07-17,864.37,864.53,851.04,859.01,681.0
2009-07-20,856.59,924.8,826.45,897.08,3603.0
2009-07-21,896.25,896.25,865.79,879.36,544.0
2009-07-22,888.32,920.05,887.57,911.72,2532.0
2009-07-23,888.36,931.55,888.32,922.23,3125.0
2009-07-24,924.01,943.84,924.01,932.34,1927.0
2009-07-27,950.94,969.22,927.98,953.28,1950.0
2009-07-28,973.5,990.56,951.1,981.12,1906.0
2009-07-29,983.46,1011.26,959.82,1007.29,76822.0
2009-07-30,1014.05,1029.16,981.09,1002.76,1580.0
2009-07-31,1018.03,1018.03,976.67,1003.63,1856.0
2009-08-03,1013.89,1022.01,982.4,1014.69,2270.0
2009-08-04,1018.03,1033.94,1017.23,1032.19,2205.0
2009-08-05,1029.96,1041.89,1018.03,1020.22,1733.0
2009-08-06,1022.0,1033.93,1014.05,1018.27,3359.0
2009-08-07,1025.98,1033.14,1019.62,1023.95,1756.0
2009-08-10,1025.98,1033.93,1025.19,1027.57,1411.0
2009-08-11,1033.94,1049.84,1033.14,1041.97,2789.0
2009-08-12,1049.76,1049.84,1033.93,1041.13,934.0
2009-08-13,1041.89,1053.02,1041.89,1044.43,813.0
2009-08-14,1041.89,1053.02,1038.71,1042.17,472.0
2009-08-17,1041.89,1053.82,1037.91,1042.29,2360.0
2009-08-18,1041.89,1049.84,1040.3,1042.37,784.0
2009-08-19,1041.89,1049.64,1038.71,1040.74,1270.0
2009-08-20,1041.89,1077.68,1041.09,1053.94,2008.0
2009-08-21,1041.89,1065.35,1041.89,1054.69,815.0
2009-08-24,1049.84,1093.59,1041.89,1089.89,3275.0
2009-08-25,1088.81,1121.42,1065.75,1114.07,1595.0
2009-08-26,1113.39,1113.47,1081.66,1088.14,810.0
2009-08-27,1081.66,1113.43,1057.8,1090.84,812.0
2009-08-28,1098.36,1098.36,1075.29,1088.81,396.0
2009-08-31,1088.81,1121.42,1088.81,1115.34,4127.0
2009-09-01,1085.63,1146.87,1085.63,1133.03,1625.0
2009-09-02,1129.38,1154.03,1116.65,1151.57,1480.0
2009-09-03,1125.4,1183.46,1125.4,1153.23,1704.0
2009-09-04,1142.1,1165.17,1115.06,1153.35,1812.0
2009-09-07,1153.12,1193.0,1143.69,1189.06,4080.0
2009-09-08,1188.23,1189.03,1158.01,1169.14,786.0
2009-09-09,1186.56,1186.56,1141.31,1173.28,2400.0
2009-09-10,1147.31,1192.92,1147.27,1187.55,3033.0
2009-09-11,1157.29,1190.54,1157.21,1157.53,182.0
2009-09-14,1176.9,1195.39,1138.12,1190.1,2554.0
2009-09-15,1167.63,1212.89,1167.63,1197.22,2012.0
2009-09-16,1212.09,1212.69,1173.12,1178.33,1174.0
2009-09-17,1173.12,1212.05,1170.73,1196.14,51993.0
2009-09-18,1185.84,1200.96,1181.07,1194.51,955.0
2009-09-22,1178.88,1193.0,1169.22,1178.53,1007.0
2009-09-23,1145.28,1177.1,1145.28,1158.84,1020.0
2009-09-24,1146.99,1167.55,1145.36,1159.12,753.0
2009-09-25,1153.24,1220.84,1153.24,1209.66,3485.0
2009-09-29,1212.89,1292.42,1181.11,1196.46,1631.0
2009-09-30,1216.78,1232.77,1177.1,1219.25,3610.0
2009-10-01,1232.77,1240.72,1211.29,1223.11,2089.0
2009-10-05,1133.79,1232.77,1133.79,1214.79,5226.0
2009-10-06,1208.91,1232.77,1200.95,1204.97,1286.0
2009-10-07,1204.93,1240.72,1200.96,1233.21,3428.0
