,open,high,low,close,volume
2009-05-20,60.32,63.1,59.35,61.75,42963400.0
2009-05-21,61.02,61.68,58.94,59.36,33942350.0
2009-05-22,58.49,60.32,58.11,60.05,27543220.0
2009-05-25,60.21,60.42,58.76,59.71,19427370.0
2009-05-26,59.15,61.04,57.9,58.57,23269550.0
2009-05-27,59.29,62.39,59.29,62.16,24888350.0
2009-05-28,61.71,63.69,61.28,63.43,33875450.0
2009-05-29,63.48,65.6,63.34,64.79,27538230.0
2009-06-01,70.72,70.72,63.89,65.07,24863020.0
2009-06-02,65.18,67.29,63.05,66.11,29940300.0
2009-06-03,66.39,66.91,64.42,65.16,22318310.0
2009-06-04,64.66,65.71,63.83,65.28,18597230.0
2009-06-05,65.7,65.8,62.75,63.02,29529250.0
2009-06-08,63.41,63.44,58.39,58.8,29202040.0
2009-06-09,58.59,61.54,58.21,61.14,27424340.0
2009-06-10,73.19,74.68,72.2,72.89,24852900.0
2009-06-11,73.23,73.23,69.71,70.27,24158870.0
2009-06-12,70.95,71.51,67.47,67.82,26690980.0
2009-06-15,67.59,69.46,66.8,68.13,22146030.0
2009-06-16,67.07,71.45,66.34,71.13,26333860.0
2009-06-17,70.91,71.28,68.58,68.97,19302210.0
2009-06-18,70.45,71.73,68.84,70.67,30383330.0
2009-06-19,71.17,72.4,69.59,71.56,21372910.0
2009-06-22,71.82,73.03,69.96,70.35,23360990.0
2009-06-23,69.5,71.57,69.06,70.87,20581410.0
2009-06-24,71.53,71.78,70.33,71.23,14681970.0
2009-06-25,71.78,72.2,70.54,70.7,24184620.0
2009-06-26,70.95,72.98,70.12,72.58,24410100.0
2009-06-29,72.82,73.86,72.01,73.24,23879140.0
2009-06-30,73.98,73.98,71.91,72.42,23204390.0
2009-07-01,71.82,74.44,71.41,73.84,17933070.0
2009-07-02,74.06,74.27,71.87,73.0,15760670.0
2009-07-03,72.36,75.6,71.82,75.09,20745030.0
2009-07-06,74.69,76.34,67.76,68.61,38145200.0
2009-07-07,69.71,70.41,67.18,67.9,35622590.0
2009-07-08,67.63,67.63,65.0,65.59,38775930.0
2009-07-09,65.77,67.42,65.15,66.56,27925520.0
2009-07-10,66.76,67.13,63.52,64.05,18080560.0
2009-07-13,63.69,65.31,62.68,64.17,19032760.0
2009-07-14,65.14,65.97,65.02,65.67,15304860.0
2009-07-15,65.97,68.37,65.81,67.92,14263530.0
2009-07-16,68.55,68.88,66.19,66.56,17090780.0
2009-07-17,67.22,69.83,67.09,69.46,18382380.0
2009-07-20,69.71,72.17,68.09,71.49,22836640.0
2009-07-21,71.45,72.2,69.71,71.02,20470230.0
2009-07-22,71.37,72.49,69.84,70.28,18256050.0
2009-07-23,70.95,72.2,70.64,71.66,16199720.0
2009-07-24,72.2,72.4,70.17,70.48,16009690.0
2009-07-27,70.95,71.7,70.33,71.01,13469350.0
2009-07-28,72.23,72.23,69.38,69.78,18234730.0
2009-07-29,68.55,69.7,67.27,68.74,22374180.0
2009-07-30,68.92,72.36,68.47,71.48,35454850.0
2009-07-31,72.24,75.61,72.2,75.17,37298300.0
2009-08-03,75.52,77.34,74.73,76.64,20452310.0
