,open,high,low,close,volume
2009-05-20,289.13,313.13,289.13,308.41,3518.0
2009-05-21,318.91,348.88,318.04,339.39,11200.0
2009-05-22,342.57,359.44,335.39,339.58,5120.0
2009-05-25,339.25,377.8,339.25,345.7,17583.0
2009-05-26,360.26,360.45,343.2,346.96,4756.0
2009-05-27,349.03,355.63,346.96,347.1,3461.0
2009-05-28,346.96,358.52,339.73,349.03,8935.0
2009-05-29,340.79,360.02,340.79,357.9,2857.0
2009-06-01,313.22,370.95,313.22,355.2,12396.0
2009-06-02,356.59,366.23,352.26,364.02,1864.0
2009-06-03,360.45,369.8,360.45,367.63,4052.0
2009-06-04,366.23,383.05,366.23,380.5,6873.0
2009-06-05,389.36,392.01,374.04,385.51,7689.0
2009-06-08,394.18,394.18,375.87,385.51,9119.0
2009-06-09,334.28,408.54,334.28,399.96,6464.0
2009-06-10,419.24,433.45,396.11,401.36,5614.0
2009-06-11,402.85,404.25,389.36,403.72,2594.0
2009-06-12,392.74,407.67,392.74,406.32,4616.0
2009-06-15,395.63,406.57,385.51,388.11,493.0
2009-06-16,380.69,409.6,356.74,406.61,5836.0
2009-06-17,406.71,406.71,380.69,394.23,1147.0
2009-06-18,383.68,391.29,381.36,385.51,4871.0
2009-06-19,395.1,405.75,385.56,402.32,3229.0
2009-06-22,415.96,457.21,396.69,405.46,2981.0
2009-06-23,404.73,407.19,399.96,404.78,7017.0
2009-06-24,407.67,410.56,404.78,405.36,1921.0
2009-06-25,405.02,411.53,404.93,408.69,984.0
2009-06-26,414.32,419.24,407.19,415.38,769.0
2009-06-29,421.17,428.39,415.38,424.64,864.0
2009-06-30,438.51,438.51,419.24,422.52,50175.0
2009-07-01,425.99,433.7,419.24,432.64,147434.0
2009-07-02,433.65,438.51,424.78,433.79,15906.0
2009-07-03,438.47,441.41,426.37,439.72,1030.0
2009-07-06,433.65,442.85,430.85,430.9,3971.0
2009-07-07,433.21,435.62,425.07,430.13,213.0
2009-07-08,431.77,431.77,419.24,424.11,1630.0
2009-07-09,419.72,442.32,419.72,438.51,2675.0
