,open,high,low,close,volume
2009-05-20,70.45,75.79,68.5,74.37,45076.0
2009-05-21,74.37,88.22,71.8,81.73,96768.0
2009-05-22,84.15,91.98,81.73,90.42,36776.0
2009-05-25,90.51,91.98,86.33,89.05,24966.0
2009-05-26,89.54,90.52,80.14,82.12,26570.0
2009-05-27,84.13,85.62,80.73,84.99,4586.0
2009-05-28,83.18,85.52,81.22,83.57,5844.0
2009-05-29,82.93,89.05,82.74,87.38,13826.0
2009-06-01,87.09,90.47,86.77,88.36,7468.0
2009-06-02,90.52,92.99,83.71,86.38,19476.0
2009-06-03,88.07,91.44,85.13,86.5,13696.0
2009-06-04,86.16,89.46,84.67,87.31,4480.0
2009-06-05,88.07,96.04,86.87,94.31,90594.0
2009-06-08,96.88,102.75,94.43,95.6,66202.0
2009-06-09,94.43,98.71,91.0,96.53,112784.0
2009-06-10,97.85,102.26,93.45,95.92,16268.0
2009-06-11,92.96,97.36,91.05,96.97,16358.0
2009-06-12,97.36,97.36,90.52,90.91,4140.0
2009-06-15,90.93,92.42,85.62,86.43,2772.0
2009-06-16,85.18,88.07,80.04,85.16,4606.0
2009-06-17,86.11,92.91,79.87,81.29,10760.0
2009-06-18,81.22,86.6,76.38,76.82,3226.0
2009-06-19,73.39,78.26,73.39,75.49,6258.0
2009-06-22,74.86,82.05,74.86,78.5,1480.0
2009-06-23,77.3,77.3,71.6,75.13,5862.0
2009-06-24,75.13,75.23,73.0,74.66,3072.0
2009-06-25,74.37,77.79,73.42,75.03,2434.0
2009-06-26,75.35,77.99,75.13,77.18,1090.0
2009-06-29,76.82,80.73,74.37,77.89,9780.0
2009-06-30,77.79,79.26,74.37,74.86,2558.0
2009-07-01,74.37,77.79,72.9,76.79,1888.0
2009-07-02,77.3,78.77,74.37,75.27,5830.0
2009-07-03,76.33,76.82,74.1,75.4,1168.0
2009-07-06,74.52,77.3,69.23,72.14,3760.0
2009-07-07,72.41,73.86,70.94,71.26,910.0
2009-07-08,70.45,70.94,61.92,67.1,2508.0
2009-07-09,68.99,69.92,66.05,68.45,1104.0
2009-07-10,68.01,70.94,63.61,65.07,1310.0
2009-07-13,64.12,65.56,60.18,64.05,3678.0
2009-07-14,63.61,69.48,63.61,66.91,4806.0
2009-07-15,66.81,70.92,66.81,69.04,1228.0
2009-07-16,71.9,80.61,69.48,70.21,3082.0
2009-07-17,70.94,74.86,69.97,72.68,2390.0
2009-07-20,72.02,78.28,72.02,76.06,2760.0
2009-07-21,76.33,77.3,73.39,75.27,16784.0
2009-07-22,75.76,86.11,75.35,77.48,723572.0
2009-07-23,78.28,85.13,77.82,81.12,1253732.0
2009-07-24,84.64,97.36,84.64,92.3,1898216.0
2009-07-27,93.43,93.43,86.6,87.02,154344.0
2009-07-28,88.07,89.76,87.09,88.07,237974.0
2009-07-29,88.07,90.61,83.18,86.33,297208.0
2009-07-30,86.89,90.27,84.79,88.09,98236.0
2009-07-31,88.9,90.86,88.07,88.88,80792.0
2009-08-03,89.05,91.05,88.07,89.0,53848.0
2009-08-04,89.95,98.83,88.07,97.05,453206.0
2009-08-05,97.83,99.47,92.52,93.3,91458.0
2009-08-06,92.96,99.81,92.47,93.21,134648.0
2009-08-07,94.82,94.82,88.44,90.07,93382.0
2009-08-10,92.86,92.86,86.09,88.09,67688.0
2009-08-11,86.38,90.27,86.38,88.14,14756.0
2009-08-12,90.0,95.16,86.14,92.25,74136.0
2009-08-13,94.92,98.29,93.77,96.51,159176.0
2009-08-14,97.36,100.3,95.46,95.8,226168.0
2009-08-17,91.49,95.87,90.52,92.94,46076.0
2009-08-18,92.23,98.25,91.98,96.21,144298.0
2009-08-19,97.85,99.18,91.49,94.7,55056.0
2009-08-20,94.48,95.9,91.3,94.82,38656.0
2009-08-21,81.68,96.88,81.68,95.48,16864.0
2009-08-24,96.88,103.19,95.48,101.28,62730.0
2009-08-25,100.3,111.55,98.59,107.66,167482.0
2009-08-26,109.6,116.54,108.62,115.3,199522.0
2009-08-27,114.98,134.55,114.98,129.29,279122.0
2009-08-28,129.12,131.49,122.81,125.79,166066.0
2009-08-31,120.48,128.65,120.48,123.1,45730.0
