,open,high,low,close,volume
2009-05-20,824.44,957.06,824.44,940.28,29284.0
2009-05-21,956.16,999.75,919.44,991.74,12580.0
2009-05-22,989.32,995.01,938.15,969.0,5502.0
2009-05-25,968.48,999.7,943.88,955.26,20649.0
2009-05-26,966.58,985.53,919.2,927.16,3891.0
2009-05-27,988.38,988.38,942.89,968.76,6600.0
2009-05-28,957.1,968.43,919.2,950.0,27544.0
2009-05-29,956.16,985.53,948.57,964.73,8102.0
2009-06-01,983.64,1004.49,957.1,990.51,231749.0
2009-06-02,1040.4,1040.49,980.79,1006.95,25016.0
2009-06-03,1021.35,1023.44,996.9,1005.62,8858.0
2009-06-04,1005.43,1018.7,980.79,1010.69,6068.0
2009-06-05,1016.33,1063.24,985.53,1039.97,13886.0
2009-06-08,1073.0,1099.25,1046.18,1061.3,26058.0
2009-06-09,1039.45,1099.25,1038.6,1093.8,38651.0
2009-06-10,1094.51,1141.89,1094.51,1135.45,11614.0
2009-06-11,1116.31,1165.58,1116.31,1155.21,17899.0
2009-06-12,1143.79,1165.44,1108.72,1139.52,82058.0
2009-06-15,1113.51,1145.68,1078.49,1117.25,17827.0
2009-06-16,1108.72,1152.31,1090.72,1134.12,30998.0
2009-06-17,1139.05,1148.52,1122.94,1139.81,16339.0
2009-06-18,1118.2,1151.37,1100.2,1123.32,31686.0
2009-06-19,1134.31,1147.58,1109.2,1127.53,18839.0
2009-06-22,1137.15,1156.01,1085.03,1099.06,31200.0
2009-06-23,1085.03,1088.82,1044.29,1070.2,4231.0
2009-06-24,1080.3,1123.6,1080.2,1113.51,4205.0
2009-06-25,1106.35,1126.35,1094.7,1102.8,4080.0
2009-06-26,1125.21,1132.32,1106.83,1126.78,6376.0
2009-06-29,1127.68,1146.63,1109.67,1141.99,4572.0
2009-06-30,1141.89,1145.97,1108.72,1133.36,7213.0
2009-07-01,1151.37,1151.37,1125.78,1137.58,1525.0
2009-07-02,1189.27,1194.01,1113.7,1124.22,1727.0
2009-07-03,1103.04,1159.8,1103.04,1135.45,3401.0
2009-07-06,1122.94,1160.84,1122.94,1131.37,15855.0
2009-07-07,1151.37,1184.49,1090.72,1137.63,132883.0
2009-07-08,1124.83,1175.06,1118.2,1158.1,18811.0
2009-07-09,1158.1,1174.87,1127.96,1167.0,7480.0
2009-07-10,1156.11,1170.32,1137.15,1153.93,8238.0
2009-07-13,1183.59,1184.53,1137.15,1139.29,4522.0
2009-07-14,1143.79,1193.06,1139.52,1183.3,4732.0
2009-07-15,1189.27,1231.92,1177.9,1208.13,56230.0
2009-07-16,1217.74,1246.28,1205.37,1239.67,4501.0
2009-07-17,1246.28,1284.33,1244.38,1282.05,8015.0
2009-07-20,1295.75,1331.9,1282.43,1331.0,6016.0
2009-07-21,1330.95,1347.12,1304.31,1338.04,3227.0
2009-07-22,1341.51,1355.69,1333.85,1343.37,6466.0
2009-07-23,1346.17,1378.52,1312.87,1342.6,5634.0
2009-07-24,1370.91,1400.4,1369.96,1379.18,21690.0
2009-07-27,1404.21,1505.52,1404.21,1464.71,61397.0
2009-07-28,1469.85,1521.22,1468.52,1497.53,50406.0
2009-07-29,1465.09,1508.85,1446.45,1505.14,29011.0
2009-07-30,1512.61,1569.74,1475.27,1564.6,31279.0
2009-07-31,1569.74,1636.34,1569.74,1602.52,20268.0
2009-08-03,1607.8,1668.68,1607.8,1644.95,29667.0
2009-08-04,1665.83,1669.63,1618.36,1643.76,26859.0
2009-08-05,1626.82,1645.85,1616.36,1625.97,7861.0
2009-08-06,1624.92,1664.88,1584.2,1617.64,35971.0
2009-08-07,1622.07,1622.07,1512.71,1548.76,31468.0
2009-08-10,1579.26,1617.31,1472.7,1475.65,17061.0
2009-08-11,1455.58,1474.61,1417.43,1454.48,10292.0
2009-08-12,1453.68,1473.65,1417.52,1463.05,13602.0
2009-08-13,1482.22,1531.69,1482.22,1519.08,7441.0
2009-08-14,1522.17,1560.18,1466.8,1481.17,10349.0
2009-08-17,1475.46,1484.02,1411.82,1425.18,9637.0
2009-08-18,1417.52,1435.55,1410.91,1418.76,9906.0
2009-08-19,1441.31,1447.78,1405.73,1437.03,5061.0
2009-08-20,1445.87,1445.87,1394.69,1417.1,45325.0
2009-08-21,1391.84,1479.36,1391.84,1433.46,19624.0
2009-08-24,1441.31,1498.34,1441.31,1491.44,7602.0
2009-08-25,1484.12,1521.22,1469.85,1483.55,10334.0
2009-08-26,1493.63,1513.61,1474.61,1486.93,5234.0
2009-08-27,1488.88,1522.17,1466.23,1491.59,7277.0
2009-08-28,1478.41,1512.56,1456.53,1466.0,24439.0
2009-08-31,1460.34,1497.44,1450.82,1461.0,32042.0
2009-09-01,1458.43,1484.02,1446.06,1451.82,2757.0
2009-09-02,1450.82,1463.14,1412.77,1433.55,32537.0
2009-09-03,1455.48,1455.48,1417.48,1448.54,14915.0
2009-09-04,1450.82,1450.82,1417.52,1426.04,13080.0
2009-09-07,1427.99,1496.49,1426.99,1451.39,13761.0
