,open,high,low,close,volume
2009-05-20,295.38,303.27,290.97,295.38,1569.0
2009-05-21,297.98,299.56,292.73,294.1,147.0
2009-05-22,295.38,298.02,292.29,293.17,1914.0
2009-05-25,295.29,317.24,295.29,305.08,2224.0
2009-05-26,308.6,308.6,299.79,299.83,206.0
2009-05-27,299.83,306.84,299.79,305.03,1092.0
2009-05-28,299.87,304.19,299.87,300.18,187.0
2009-05-29,299.83,302.52,299.79,300.14,380.0
2009-06-01,293.83,308.56,293.83,296.96,8849.0
2009-06-02,299.79,301.55,297.63,301.55,771.0
2009-06-03,296.61,303.31,296.48,298.07,1855.0
2009-06-04,295.46,302.34,295.46,302.34,85.0
2009-06-05,301.55,302.43,297.27,297.27,964.0
2009-06-08,299.79,305.96,299.79,300.01,2523.0
2009-06-09,302.21,306.84,299.79,303.53,5205.0
2009-06-10,301.28,306.79,301.02,301.59,1317.0
2009-06-11,306.84,315.57,305.16,310.54,1322.0
2009-06-12,308.73,309.93,304.19,305.47,1535.0
2009-06-15,305.6,308.6,304.86,308.25,1882.0
2009-06-16,308.6,309.48,308.6,308.6,62.0
2009-06-17,308.6,309.48,300.23,303.62,1008.0
2009-06-18,307.72,307.72,302.87,303.09,305.0
2009-06-19,302.25,305.6,302.25,303.8,344.0
2009-06-22,309.4,315.66,306.09,314.38,1043.0
2009-06-23,305.16,315.66,305.16,313.89,1784.0
2009-06-24,304.63,316.54,304.63,312.57,2087.0
2009-06-25,305.3,318.74,305.3,318.74,3228.0
2009-06-26,313.01,313.01,310.06,310.5,895.0
2009-06-29,313.5,313.5,313.01,313.41,11.0
2009-06-30,313.01,313.01,306.57,308.73,103.0
2009-07-01,312.92,312.92,305.25,305.25,16.0
2009-07-02,313.01,313.01,308.69,309.57,213.0
2009-07-03,316.1,316.1,316.1,316.1,1972.0
2009-07-06,314.77,314.77,308.51,308.6,376.0
2009-07-07,305.96,308.6,300.67,302.47,826.0
2009-07-08,302.03,315.66,300.23,301.77,644.0
2009-07-09,301.86,315.35,301.86,302.43,195.0
2009-07-10,303.31,308.6,303.05,304.19,730.0
2009-07-13,303.4,303.4,303.4,303.4,50.0
2009-07-14,303.8,303.93,277.74,278.32,4012132.0
2009-07-15,290.97,304.19,290.97,297.27,6903.0
2009-07-16,296.48,304.11,296.48,300.71,1077.0
2009-07-17,301.95,304.19,298.11,300.67,291.0
2009-07-20,300.67,305.96,300.67,305.96,813.0
2009-07-21,304.28,317.24,304.28,307.46,1000.0
2009-07-22,307.72,308.6,307.72,308.6,700.0
2009-07-23,308.51,312.04,308.51,308.65,501.0
2009-07-24,305.08,312.0,302.65,304.19,307.0
2009-07-27,319.14,319.18,305.35,311.31,412.0
2009-07-28,315.31,315.31,309.53,311.31,242.0
2009-07-29,313.09,313.09,310.02,310.51,1711.0
2009-07-30,309.98,328.92,309.98,319.18,6974.0
2009-07-31,322.43,322.43,314.87,314.96,534.0
2009-08-03,320.2,320.2,313.98,320.2,343.0
2009-08-04,320.2,320.2,315.05,316.33,869.0
2009-08-05,314.73,320.2,314.69,320.12,340.0
2009-08-06,316.69,321.98,316.69,321.0,550.0
2009-08-07,320.29,328.57,284.63,319.94,501856.0
2009-08-10,313.53,321.94,313.09,320.07,283.0
2009-08-11,314.02,323.67,311.31,315.22,549.0
2009-08-12,311.8,327.23,311.8,326.25,1971.0
2009-08-13,336.04,336.04,324.65,326.88,3390.0
2009-08-14,329.01,329.01,324.74,326.92,522.0
2009-08-17,322.21,329.01,322.21,325.63,410.0
2009-08-18,328.21,335.32,325.76,334.52,4724.0
2009-08-19,337.1,343.24,329.99,342.17,8774.0
2009-08-20,344.22,348.31,339.77,346.89,11728.0
2009-08-21,342.66,342.75,342.44,342.75,445.0
2009-08-24,346.89,347.78,345.11,346.71,4051.0
2009-08-25,355.78,355.78,345.11,347.02,42397.0
2009-08-26,347.02,348.67,344.53,347.78,14497.0
2009-08-27,345.24,347.69,345.24,346.89,7086.0
2009-08-28,346.89,346.89,345.2,345.69,4572.0
2009-08-31,347.91,347.91,345.2,345.2,186.0
2009-09-01,344.31,346.62,342.53,343.77,955.0
2009-09-02,346.0,346.0,343.77,343.91,1577.0
2009-09-03,346.89,347.6,342.48,346.09,5753.0
2009-09-04,343.55,344.44,343.55,344.4,490.0
2009-09-07,344.26,346.89,344.26,346.58,3738.0
2009-09-08,344.31,345.91,344.31,345.91,572.0
2009-09-09,345.11,346.8,344.58,346.75,2086.0
2009-09-10,346.8,347.78,344.66,346.84,2975.0
2009-09-11,346.89,346.89,343.33,344.26,937.0
2009-09-14,345.11,346.89,342.62,343.33,1470.0
2009-09-15,332.66,342.44,332.66,338.22,162.0
2009-09-16,330.92,338.93,330.92,338.93,26.0
2009-09-17,335.37,342.44,335.37,341.55,275.0
2009-09-18,341.55,346.67,341.55,346.67,11.0
2009-09-22,346.0,346.0,335.77,338.04,185.0
2009-09-23,337.99,340.62,335.95,338.84,411.0
