,open,high,low,close,volume
2009-05-20,38.22,38.65,33.66,36.83,26135.0
2009-05-21,41.08,41.08,36.46,36.47,98445.0
2009-05-22,36.55,38.02,35.53,35.79,14165.0
2009-05-25,38.02,39.89,35.62,38.67,435.0
2009-05-26,38.65,38.65,36.98,37.56,1815.0
2009-05-27,38.39,38.39,37.2,38.37,10025.0
2009-05-28,38.65,39.64,38.65,39.26,450.0
2009-05-29,33.67,41.39,33.67,38.33,1450.0
2009-06-01,37.4,38.65,37.4,38.56,42795.0
2009-06-02,38.52,40.02,38.52,39.4,7015.0
2009-06-03,39.52,39.65,38.16,38.65,10860.0
2009-06-04,36.9,39.5,33.85,36.18,28055.0
2009-06-05,36.15,36.72,30.29,30.82,237270.0
2009-06-08,31.42,33.03,29.93,30.01,140860.0
2009-06-09,31.17,32.54,29.5,31.92,9915.0
2009-06-10,31.17,38.31,31.17,37.78,162000.0
2009-06-11,38.15,38.65,34.66,35.44,48370.0
2009-06-12,37.21,39.4,35.07,35.76,120580.0
2009-06-15,34.91,36.37,34.32,34.73,9725.0
2009-06-16,34.65,35.91,33.66,34.84,6660.0
2009-06-17,34.17,35.52,32.43,32.96,15065.0
2009-06-18,31.67,34.53,31.33,31.47,11845.0
2009-06-19,31.67,33.49,31.42,32.76,35540.0
2009-06-22,32.4,32.78,31.67,32.16,4330.0
2009-06-23,30.92,32.41,30.92,32.21,2970.0
2009-06-24,31.29,32.02,29.94,31.43,5780.0
2009-06-25,31.98,33.04,31.98,32.46,2230.0
2009-06-26,32.41,33.41,32.41,32.57,1610.0
2009-06-29,34.66,36.65,32.81,35.19,24470.0
2009-06-30,36.65,36.78,34.67,35.05,8970.0
2009-07-01,35.28,36.75,34.16,34.3,1565.0
2009-07-02,34.91,35.41,34.91,35.21,1325.0
2009-07-03,35.53,35.53,34.04,34.98,5175.0
2009-07-06,35.41,36.15,33.67,34.41,3810.0
2009-07-07,33.57,34.53,33.54,33.68,1290.0
2009-07-08,34.28,34.28,32.93,34.07,2205.0
2009-07-09,33.04,33.54,31.7,32.98,8170.0
2009-07-10,33.54,34.16,32.8,33.58,1475.0
2009-07-13,32.17,33.79,32.04,32.54,10425.0
2009-07-14,33.04,34.28,29.32,34.27,7825.0
2009-07-15,34.27,35.53,33.05,35.28,8025.0
2009-07-16,35.23,36.4,35.03,36.27,8405.0
2009-07-17,36.78,37.4,35.81,37.05,9125.0
2009-07-20,37.4,38.4,37.4,37.78,3325.0
2009-07-21,38.4,38.9,37.78,38.43,2810.0
2009-07-22,39.0,39.77,38.65,39.13,5975.0
2009-07-23,38.65,39.89,38.65,38.72,2475.0
2009-07-24,39.52,39.89,38.52,38.75,5060.0
2009-07-27,38.77,40.77,38.66,40.33,12795.0
2009-07-28,40.4,41.74,39.08,41.12,5735.0
2009-07-29,41.76,42.01,40.53,41.65,4340.0
2009-07-30,39.58,42.14,39.58,42.14,975.0
2009-07-31,42.39,42.97,40.16,40.16,12420.0
2009-08-03,41.74,43.01,40.52,42.23,8360.0
2009-08-04,41.14,41.76,40.52,41.14,6980.0
2009-08-05,40.64,42.13,40.64,41.76,139035.0
2009-08-06,40.06,41.76,40.06,41.12,18370.0
2009-08-07,41.02,43.88,40.53,41.74,72325.0
2009-08-10,44.73,44.73,39.77,40.97,16385.0
2009-08-11,40.53,42.12,40.52,42.01,4670.0
2009-08-12,40.89,43.01,40.64,42.61,3770.0
2009-08-13,42.96,43.63,41.89,43.14,10605.0
2009-08-14,42.39,43.63,42.39,43.07,21540.0
2009-08-17,41.15,42.76,39.29,41.23,7600.0
2009-08-18,40.77,42.4,40.77,42.39,7325.0
2009-08-19,41.39,42.74,41.39,42.28,6960.0
2009-08-20,42.64,42.89,41.76,42.41,20990.0
2009-08-21,41.64,42.64,41.64,42.14,3820.0
2009-08-24,41.55,42.42,41.28,41.7,2620.0
2009-08-25,41.67,42.49,41.67,42.03,2850.0
2009-08-26,42.51,44.01,41.78,42.74,7270.0
2009-08-27,42.14,45.5,40.77,42.64,7730.0
2009-08-28,42.91,43.63,42.14,42.93,4770.0
2009-08-31,41.42,43.01,41.41,43.01,4640.0
2009-09-01,41.28,43.14,41.28,42.14,8860.0
2009-09-02,40.15,44.01,40.15,41.76,8240.0
2009-09-03,40.52,43.61,39.89,42.71,2090.0
2009-09-04,42.39,43.6,41.76,42.46,4070.0
2009-09-07,44.48,44.48,41.83,42.91,4455.0
2009-09-08,46.31,54.38,45.5,49.31,109810.0
2009-09-09,47.09,51.41,47.09,50.59,8995.0
2009-09-10,50.69,51.32,47.35,49.08,4275.0
2009-09-11,50.54,50.54,47.62,48.81,5280.0
2009-09-14,49.35,49.35,47.78,48.66,4180.0
2009-09-15,50.69,52.56,47.89,51.26,33905.0
2009-09-16,50.95,51.36,50.03,50.58,3810.0
2009-09-17,50.69,50.69,49.35,50.39,2810.0
2009-09-18,47.61,51.22,47.61,49.82,1820.0
2009-09-22,49.82,52.55,48.31,48.51,5840.0
2009-09-23,52.58,52.58,47.83,48.61,5155.0
2009-09-24,47.11,48.69,46.55,46.92,8475.0
2009-09-25,47.35,50.69,47.35,48.9,365510.0
2009-09-29,48.82,49.42,47.67,48.06,19785.0
2009-09-30,48.69,48.69,47.64,48.09,19115.0
2009-10-01,47.49,48.55,47.49,48.27,188435.0
2009-10-05,48.09,49.05,46.03,46.69,4090.0
2009-10-06,46.05,46.71,45.36,46.38,2905.0
2009-10-07,46.43,47.75,45.55,46.02,1560.0
2009-10-08,45.64,47.47,45.64,46.66,7840.0
2009-10-09,48.01,48.01,45.75,46.2,1050.0
2009-10-12,45.75,47.62,45.75,46.83,860.0
2009-10-14,48.02,48.02,45.7,45.95,6765.0
2009-10-15,47.89,47.89,45.76,46.02,650.0
2009-10-16,49.75,50.65,46.95,48.21,39350.0
2009-10-20,52.02,53.24,51.1,52.95,43280.0
2009-10-21,52.02,52.8,50.43,52.02,6700.0
2009-10-22,51.89,52.16,50.02,50.02,1850.0
2009-10-23,49.52,49.52,48.9,49.35,420.0
2009-10-26,48.02,49.37,48.02,48.56,3205.0
2009-10-27,46.55,49.15,45.56,46.86,1595.0
2009-10-28,44.1,49.15,44.1,48.29,7695.0
2009-10-29,52.96,52.96,44.17,47.49,17775.0
2009-10-30,48.69,48.69,46.55,47.35,19065.0
2009-11-03,43.25,47.89,43.25,46.75,15195.0
2009-11-04,46.69,48.69,45.69,46.49,28555.0
2009-11-05,47.87,47.87,44.83,45.93,8595.0
2009-11-06,48.15,48.15,45.89,47.09,10875.0
2009-11-09,46.42,47.36,46.15,46.24,1280.0
2009-11-10,42.19,47.75,42.19,46.93,2250.0
2009-11-11,46.69,48.69,46.15,47.42,24375.0
2009-11-12,47.02,48.03,46.02,47.89,9695.0
2009-11-13,48.82,50.02,46.77,49.23,74320.0
2009-11-16,48.02,49.09,47.38,48.05,12930.0
2009-11-17,47.75,48.01,46.97,47.73,2320.0
2009-11-18,48.01,48.67,47.35,47.39,12280.0
2009-11-19,48.02,51.76,47.49,48.73,42925.0
2009-11-20,49.61,51.89,46.83,50.61,42280.0
2009-11-23,51.75,52.02,48.82,51.68,9065.0
2009-11-24,51.09,52.02,50.16,51.82,5675.0
2009-11-25,52.69,54.01,49.35,50.7,26970.0
2009-11-26,50.69,52.01,48.69,49.45,8545.0
2009-11-27,47.49,50.02,47.49,49.26,16430.0
2009-11-30,49.37,50.27,48.73,49.27,26755.0
2009-12-01,49.49,51.36,49.49,51.04,25920.0
2009-12-02,52.02,54.02,51.36,53.11,38750.0
2009-12-03,53.36,54.02,52.42,53.44,26395.0
2009-12-04,53.49,54.02,52.7,53.34,19145.0
2009-12-07,52.69,54.18,52.42,53.84,33070.0
2009-12-08,53.76,55.38,53.39,55.02,34370.0
2009-12-09,55.16,55.49,54.69,55.48,95090.0
2009-12-10,56.02,57.29,55.36,56.48,49645.0
2009-12-11,56.68,57.89,55.78,56.6,217410.0
2009-12-14,56.56,56.56,55.23,55.76,22345.0
2009-12-15,56.69,56.69,55.49,55.94,18195.0
2009-12-16,56.02,56.69,55.89,56.15,21755.0
2009-12-17,56.54,62.16,56.19,56.72,2615780.0
2009-12-18,56.16,58.92,55.43,55.85,642765.0
2009-12-21,56.01,58.52,55.9,56.2,262090.0
2009-12-22,57.22,57.76,55.54,55.9,99515.0
2009-12-23,57.22,57.76,55.54,55.9,99515.0
2009-12-24,57.22,57.76,55.54,55.9,99515.0
2009-12-29,57.22,57.76,55.54,55.9,99515.0
2009-12-30,57.22,57.76,55.54,55.9,99515.0
2009-12-31,57.22,57.76,55.54,55.9,99515.0
2010-01-04,53.49,58.02,52.46,55.45,439230.0
2010-01-05,56.04,56.29,54.18,54.64,63400.0
2010-01-06,54.96,55.36,54.02,54.83,20105.0
2010-01-07,53.76,55.49,53.7,54.83,69985.0
2010-01-08,54.83,55.29,53.36,54.01,36215.0
2010-01-11,54.69,56.42,53.62,54.86,177385.0
2010-01-12,55.62,58.45,54.1,55.94,407665.0
2010-01-13,56.02,59.76,55.49,57.04,927355.0
2010-01-14,57.36,58.56,56.69,58.1,459845.0
2010-01-15,59.09,60.03,57.68,59.29,162020.0
2010-01-18,56.29,61.09,53.29,59.49,43070.0
2010-01-19,60.02,60.02,56.89,57.7,15860.0
2010-01-20,58.42,58.56,56.9,57.29,5540.0
2010-01-21,57.22,57.22,54.02,54.57,25695.0
2010-01-22,53.62,58.0,53.36,56.92,56640.0
2010-01-25,57.36,57.62,54.69,55.14,22520.0
2010-01-27,57.2,57.2,53.36,54.02,26720.0
2010-01-28,56.0,57.76,55.36,56.02,45890.0
2010-01-29,57.21,57.21,54.69,56.27,181035.0
2010-02-01,56.16,57.27,56.16,56.45,2075.0
2010-02-02,56.9,57.36,56.61,56.61,3970.0
2010-02-03,57.34,57.62,56.09,56.88,19515.0
2010-02-04,55.23,61.36,55.22,57.63,44595.0
2010-02-05,55.36,58.04,55.36,57.56,12850.0
2010-02-08,57.36,58.82,57.18,57.36,5200.0
2010-02-09,57.36,58.29,56.69,57.86,8400.0
