,open,high,low,close,volume
2009-05-20,12.43,13.68,12.06,13.49,226213.0
2009-05-21,13.73,15.14,13.52,14.19,337669.0
2009-05-22,14.57,15.35,14.16,14.89,279966.0
2009-05-25,15.14,15.81,15.14,15.49,220774.0
2009-05-26,15.68,16.62,14.49,14.79,262220.0
2009-05-27,15.52,15.6,14.89,15.35,119534.0
2009-05-28,15.68,15.84,14.89,15.11,90005.0
2009-05-29,15.65,18.14,15.16,17.81,1224461.0
2009-06-01,18.81,18.81,17.35,17.62,1357326.0
2009-06-02,17.79,18.3,16.98,17.49,653143.0
2009-06-03,17.49,18.68,17.49,18.0,703503.0
2009-06-04,18.16,18.49,17.84,18.0,290588.0
2009-06-05,18.16,18.73,17.08,17.33,264667.0
2009-06-08,17.33,18.06,15.7,15.89,206300.0
2009-06-09,15.68,17.57,15.16,16.73,468187.0
2009-06-10,17.73,17.73,16.54,16.62,262309.0
2009-06-11,16.52,16.71,16.03,16.16,136399.0
2009-06-12,16.81,18.62,16.81,17.71,1210180.0
2009-06-15,17.65,18.25,17.16,17.27,375815.0
2009-06-16,17.03,17.3,16.71,17.22,164062.0
2009-06-17,17.52,17.57,16.11,16.35,188829.0
2009-06-18,15.73,16.71,15.41,15.81,196650.0
2009-06-19,15.87,16.22,15.68,15.76,129538.0
2009-06-22,16.06,16.87,15.68,15.76,127501.0
2009-06-23,15.68,15.95,15.14,15.38,185089.0
2009-06-24,15.68,15.68,15.27,15.54,109110.0
2009-06-25,16.71,16.71,15.7,15.84,114233.0
2009-06-26,16.16,16.3,15.43,16.11,117056.0
2009-06-29,16.22,16.49,15.95,16.16,121362.0
2009-06-30,16.73,16.73,15.41,15.6,67599.0
2009-07-01,15.68,15.68,15.19,15.33,65819.0
2009-07-02,15.68,15.68,15.16,15.52,84533.0
2009-07-03,15.41,15.68,14.95,15.41,44692.0
2009-07-06,16.76,16.76,14.7,14.92,112825.0
2009-07-07,14.95,15.57,14.68,15.06,77777.0
2009-07-08,14.68,15.0,14.35,14.6,59686.0
2009-07-09,14.6,14.7,14.19,14.38,63973.0
2009-07-10,14.33,15.27,14.08,14.35,116976.0
2009-07-13,14.6,14.6,13.33,13.76,60569.0
2009-07-14,14.16,14.73,14.16,14.52,60777.0
2009-07-15,14.52,17.43,14.52,16.71,876771.0
2009-07-16,16.98,17.25,15.95,16.27,308931.0
2009-07-17,16.52,17.54,16.52,17.0,498566.0
2009-07-20,17.52,17.98,16.16,17.19,702886.0
2009-07-21,17.35,17.41,16.6,16.76,170280.0
2009-07-22,16.65,17.08,15.98,16.06,166311.0
2009-07-23,16.3,16.98,16.16,16.68,183206.0
2009-07-24,16.81,17.27,16.43,16.95,315542.0
2009-07-27,17.27,17.3,16.65,16.73,109984.0
2009-07-28,16.52,16.87,16.27,16.43,99979.0
2009-07-29,16.68,16.71,15.68,16.14,211623.0
2009-07-30,16.38,16.81,16.08,16.52,242598.0
2009-07-31,16.76,18.76,16.71,18.19,1750551.0
2009-08-03,18.44,18.52,17.6,18.0,748188.0
2009-08-04,18.11,19.71,17.87,18.95,1691237.0
2009-08-05,19.3,19.52,18.65,18.81,472330.0
2009-08-06,18.81,20.0,18.14,18.41,740636.0
2009-08-07,17.92,18.57,17.41,17.65,330955.0
2009-08-10,18.41,18.92,17.19,17.68,356273.0
2009-08-11,17.89,18.38,17.68,17.84,249774.0
2009-08-12,17.65,17.79,17.3,17.54,177257.0
2009-08-13,17.84,18.38,17.3,18.0,243188.0
2009-08-14,18.25,19.6,17.84,18.89,1028652.0
2009-08-17,18.84,19.84,17.98,18.22,729028.0
2009-08-18,18.38,18.73,17.98,18.38,463836.0
2009-08-19,18.81,22.06,18.16,21.35,5772182.0
2009-08-20,21.84,22.27,20.14,20.49,2880220.0
2009-08-21,20.65,21.33,20.11,20.62,1362354.0
2009-08-24,21.03,22.14,20.71,21.33,1318963.0
2009-08-25,21.41,22.17,20.95,21.73,1969315.0
2009-08-26,22.17,22.81,21.08,21.41,1880512.0
2009-08-27,21.52,21.87,21.03,21.19,728422.0
2009-08-28,21.25,21.71,20.49,20.68,626167.0
2009-08-31,20.49,21.33,20.49,20.89,602282.0
2009-09-01,21.22,21.52,20.14,20.35,722756.0
2009-09-02,20.08,20.79,20.06,20.14,470147.0
2009-09-03,20.54,20.65,19.62,19.84,267889.0
2009-09-04,20.19,20.27,19.6,19.87,307639.0
2009-09-07,20.03,20.71,20.03,20.41,461308.0
2009-09-08,20.71,20.79,20.03,20.17,419880.0
2009-09-09,20.33,20.33,19.65,19.73,273153.0
2009-09-10,20.27,20.54,18.95,19.08,588480.0
2009-09-11,19.25,20.44,19.03,19.68,1044378.0
2009-09-14,19.68,20.11,19.35,19.57,326925.0
2009-09-15,19.89,20.22,19.54,19.65,309276.0
2009-09-16,19.98,20.0,19.65,19.81,264483.0
2009-09-17,20.0,20.65,19.79,20.35,728956.0
2009-09-18,20.33,20.68,20.06,20.25,396066.0
2009-09-22,20.35,20.52,19.79,20.0,223208.0
