,open,high,low,close,volume
2009-05-20,83.55,90.95,75.66,89.62,821865.0
2009-05-21,84.43,99.91,84.43,92.8,892458.0
2009-05-22,99.1,99.1,85.92,90.69,436781.0
2009-05-25,85.92,93.32,85.92,92.43,204255.0
2009-05-26,87.4,97.62,87.4,89.14,417807.0
2009-05-27,92.66,94.14,91.47,93.66,249324.0
2009-05-28,91.84,95.36,89.47,91.06,355923.0
2009-05-29,89.62,93.95,89.62,91.47,174850.0
2009-06-01,89.99,94.95,89.99,94.36,214158.0
2009-06-02,94.51,104.28,94.06,102.4,1243812.0
2009-06-03,105.17,106.99,101.47,102.77,1039119.0
2009-06-04,100.73,108.95,100.73,106.1,672073.0
2009-06-05,106.32,108.51,101.84,102.47,321158.0
2009-06-08,92.1,102.95,92.1,95.17,217113.0
2009-06-09,95.14,98.58,90.43,97.77,189280.0
2009-06-10,94.1,100.73,94.1,96.17,161283.0
2009-06-11,94.14,99.62,93.69,94.88,143536.0
2009-06-12,85.66,96.95,85.66,93.03,130563.0
2009-06-15,99.58,99.58,88.14,89.77,124183.0
2009-06-16,87.58,92.25,87.58,91.73,118343.0
2009-06-17,88.51,93.77,86.29,87.14,328447.0
2009-06-18,88.14,89.21,80.73,81.99,151233.0
2009-06-19,75.07,86.51,75.07,83.36,166691.0
2009-06-22,81.69,88.88,81.69,85.95,335300.0
2009-06-23,83.99,85.92,81.51,84.51,114252.0
2009-06-24,85.18,87.4,84.06,86.4,195258.0
2009-06-25,77.14,93.25,77.14,83.36,1330075.0
2009-06-26,74.92,84.88,74.92,83.81,307671.0
2009-06-29,83.81,87.25,83.03,84.69,210594.0
2009-06-30,85.25,86.51,82.4,82.77,98910.0
2009-07-01,82.21,84.92,81.84,82.84,79400.0
2009-07-02,83.25,84.25,81.73,82.21,86362.0
2009-07-03,81.55,81.81,80.4,81.21,91885.0
2009-07-06,81.77,82.95,74.88,77.07,130288.0
2009-07-07,77.07,78.32,74.95,76.58,84341.0
2009-07-08,76.29,76.29,73.07,73.47,72760.0
2009-07-09,72.66,74.73,72.58,73.92,54845.0
2009-07-10,74.07,76.29,73.32,74.25,85694.0
