,open,high,low,close,volume
2009-05-20,105.22,115.18,105.22,107.2,163179.0
2009-05-21,108.06,114.62,108.06,109.44,278639.0
2009-05-22,112.07,118.15,108.67,115.52,548849.0
2009-05-25,118.58,123.2,114.79,119.62,922999.0
2009-05-26,121.6,124.41,107.8,113.41,279797.0
2009-05-27,118.93,118.97,112.98,115.61,208566.0
2009-05-28,116.0,119.71,109.92,112.03,343777.0
2009-05-29,115.39,116.26,112.98,114.36,90111.0
2009-06-01,115.57,123.33,114.01,119.36,205552.0
2009-06-02,122.47,124.36,113.84,117.98,120135.0
2009-06-03,119.45,123.67,117.42,119.02,168408.0
2009-06-04,119.88,125.91,119.58,122.16,272542.0
2009-06-05,124.02,125.05,116.9,117.98,155990.0
2009-06-08,121.17,125.05,105.22,107.5,149411.0
2009-06-09,106.08,112.93,102.46,110.39,124090.0
2009-06-10,113.84,113.84,109.7,110.61,118290.0
2009-06-11,112.12,112.98,103.53,105.69,139774.0
2009-06-12,107.8,108.67,100.04,103.1,180827.0
2009-06-15,101.85,119.02,101.85,114.19,605015.0
2009-06-16,113.84,129.11,112.12,126.22,2088060.0
2009-06-17,125.91,131.69,113.93,116.69,1099789.0
2009-06-18,118.24,126.35,115.61,121.82,862404.0
2009-06-19,124.53,128.93,121.82,124.45,877891.0
2009-06-22,125.22,125.66,115.39,116.77,273794.0
2009-06-23,113.06,119.49,112.55,114.23,175433.0
2009-06-24,117.29,123.85,115.61,121.17,452692.0
2009-06-25,124.19,131.0,121.6,127.08,1028496.0
2009-06-26,128.5,132.81,125.14,126.99,342174.0
2009-06-29,130.23,134.02,127.64,128.59,447358.0
2009-06-30,130.23,131.09,120.87,122.29,132831.0
2009-07-01,120.74,124.97,116.47,118.67,95089.0
2009-07-02,120.09,122.38,117.89,120.4,57341.0
2009-07-03,116.6,125.05,116.6,121.82,96864.0
2009-07-06,123.2,123.2,113.54,114.31,52669.0
2009-07-07,115.57,116.64,111.25,114.57,36754.0
2009-07-08,112.2,119.88,112.12,112.24,47103.0
2009-07-09,112.37,112.46,106.12,107.29,157676.0
2009-07-10,109.79,110.99,103.92,106.42,37425.0
2009-07-13,106.42,111.25,97.8,106.47,84824.0
2009-07-14,110.05,116.43,109.31,111.56,70617.0
2009-07-15,113.84,117.89,112.72,116.82,64736.0
2009-07-16,119.79,120.44,116.0,116.99,52308.0
2009-07-17,139.89,139.89,117.29,121.34,41061.0
2009-07-20,121.34,127.12,121.34,122.42,85473.0
2009-07-21,121.6,132.81,119.19,128.59,225261.0
2009-07-22,122.47,132.21,122.47,126.13,126813.0
2009-07-23,122.47,129.36,122.47,125.91,34473.0
2009-07-24,128.07,131.69,126.78,127.77,60846.0
2009-07-27,129.02,129.8,123.33,124.71,56396.0
2009-07-28,124.97,127.21,123.33,126.22,190941.0
2009-07-29,126.22,132.04,125.05,127.94,89618.0
2009-07-30,125.31,148.68,125.31,140.49,291539.0
2009-07-31,142.3,143.16,131.95,133.03,183567.0
2009-08-03,134.54,137.99,125.05,128.98,327494.0
2009-08-04,131.26,133.68,124.97,125.87,381095.0
2009-08-05,126.78,131.0,124.49,125.27,573627.0
2009-08-06,126.22,137.99,123.5,129.67,1360660.0
2009-08-07,130.23,133.03,123.33,124.45,399533.0
2009-08-10,128.5,136.09,126.6,131.13,596734.0
2009-08-11,132.99,143.85,131.0,136.61,2863418.0
2009-08-12,136.87,146.1,136.87,141.18,1659873.0
2009-08-13,144.89,145.41,137.73,139.24,590915.0
2009-08-14,139.71,140.14,133.68,134.5,263883.0
2009-08-17,133.5,138.76,128.98,130.66,345785.0
2009-08-18,132.38,132.81,129.8,130.18,129215.0
2009-08-19,131.43,132.38,126.09,127.25,165057.0
2009-08-20,129.36,130.05,125.1,125.91,131007.0
2009-08-21,125.91,131.82,123.41,128.59,242886.0
2009-08-24,129.97,132.56,129.36,130.01,146743.0
2009-08-25,127.73,131.69,127.73,129.32,114334.0
2009-08-26,130.66,137.39,129.54,134.58,554667.0
2009-08-27,136.26,137.13,131.22,131.69,166136.0
2009-08-28,132.81,135.83,128.59,133.94,539773.0
2009-08-31,133.68,133.68,128.42,128.98,241900.0
2009-09-01,129.32,135.4,124.19,132.04,1292407.0
2009-09-02,133.59,143.51,131.78,139.5,1565719.0
2009-09-03,142.39,148.12,138.42,139.8,1169273.0
2009-09-04,142.99,151.61,140.23,148.81,780811.0
2009-09-07,149.67,156.96,149.67,154.07,750004.0
2009-09-08,154.81,155.24,144.93,146.31,473303.0
2009-09-09,145.75,150.49,144.07,148.04,289165.0
2009-09-10,150.67,150.67,143.16,143.9,202476.0
2009-09-11,145.75,146.48,140.75,142.47,115903.0
2009-09-14,141.57,148.08,139.71,145.66,384277.0
2009-09-15,147.3,149.93,145.32,146.4,204970.0
2009-09-16,148.86,149.8,145.84,146.31,122746.0
2009-09-17,147.3,148.17,143.9,144.67,110731.0
2009-09-18,144.03,150.02,144.03,146.74,188572.0
2009-09-22,145.71,149.72,144.97,148.12,149878.0
2009-09-23,145.84,148.34,140.58,141.48,126112.0
2009-09-24,139.15,142.73,138.85,141.57,153590.0
2009-09-25,146.61,155.84,144.03,149.03,874939.0
2009-09-29,151.96,153.08,146.31,151.01,396650.0
2009-09-30,152.69,159.38,152.65,156.01,696604.0
2009-10-01,153.6,156.79,152.05,153.25,186841.0
2009-10-05,152.91,154.37,143.68,144.76,201963.0
2009-10-06,147.35,147.35,136.61,140.92,232215.0
2009-10-07,142.73,148.68,141.65,143.72,286943.0
2009-10-08,144.54,145.66,142.3,142.52,123623.0
2009-10-09,144.03,150.84,141.27,145.41,711627.0
2009-10-12,146.83,148.17,142.43,143.34,258196.0
2009-10-14,144.89,148.25,143.38,144.07,204158.0
2009-10-15,144.46,145.66,142.73,143.77,75290.0
2009-10-16,144.46,148.29,143.34,146.1,119283.0
2009-10-20,153.47,163.26,148.6,158.86,859161.0
2009-10-21,159.55,165.76,156.62,158.26,568300.0
2009-10-22,158.69,159.12,148.34,149.42,273438.0
2009-10-23,151.27,159.03,150.54,157.05,511163.0
2009-10-26,157.82,160.28,152.0,153.6,157471.0
2009-10-27,151.7,154.29,144.03,145.75,162144.0
2009-10-28,144.15,149.55,142.99,146.31,136893.0
2009-10-29,142.34,145.58,139.02,140.66,119233.0
2009-10-30,144.89,147.43,131.52,134.84,436908.0
2009-11-03,132.38,133.68,126.52,131.22,414390.0
2009-11-04,133.68,137.47,130.31,136.13,187177.0
2009-11-05,134.54,139.54,132.9,138.33,144327.0
2009-11-06,138.42,146.57,138.42,141.96,153645.0
2009-11-09,141.52,150.06,141.44,144.93,395277.0
2009-11-10,146.57,147.48,141.87,143.08,195343.0
2009-11-11,143.16,155.06,143.16,153.99,386461.0
