,open,high,low,close,volume
2009-05-20,71.83,72.54,65.15,71.25,27071.0
2009-05-21,77.57,77.57,74.02,75.17,19702.0
2009-05-22,75.5,83.49,71.65,80.78,97584.0
2009-05-25,84.38,85.86,76.68,81.0,8604.0
2009-05-26,81.71,81.71,75.5,75.84,12909.0
2009-05-27,77.12,81.42,65.71,80.71,13127.0
2009-05-28,81.27,82.6,78.75,81.74,8086.0
2009-05-29,83.49,91.6,80.83,90.11,162861.0
2009-06-01,91.78,98.59,90.33,95.44,67315.0
2009-06-02,94.74,96.22,88.23,89.19,30203.0
2009-06-03,91.78,93.23,88.82,90.4,20525.0
2009-06-04,87.67,94.71,87.64,92.96,20515.0
2009-06-05,93.85,94.44,83.79,88.73,27553.0
2009-06-08,88.82,90.0,85.89,86.61,21824.0
2009-06-09,85.89,88.11,80.28,84.22,17911.0
2009-06-10,86.18,87.81,81.57,82.91,13092.0
2009-06-11,81.51,84.07,79.91,82.9,9999.0
2009-06-12,81.71,84.97,81.71,83.58,5462.0
2009-06-15,83.19,91.43,80.62,83.02,35969.0
2009-06-16,83.56,84.36,81.39,81.92,8374.0
2009-06-17,81.71,82.88,78.53,79.24,6111.0
2009-06-18,79.38,80.71,76.68,76.96,8634.0
2009-06-19,79.02,79.03,74.61,75.79,4349.0
2009-06-22,78.46,79.57,74.76,75.11,10670.0
2009-06-23,74.31,77.84,74.31,77.26,6532.0
2009-06-24,76.71,81.24,76.71,80.81,9062.0
2009-06-25,81.0,81.4,78.61,80.29,3749.0
2009-06-26,80.97,81.4,79.66,80.54,2516.0
2009-06-29,80.53,85.27,78.18,83.37,21472.0
2009-06-30,84.35,85.1,82.6,83.77,15222.0
2009-07-01,85.5,85.5,83.49,84.67,11424.0
2009-07-02,82.9,87.04,82.9,84.57,13002.0
2009-07-03,83.98,87.27,83.49,85.95,25059.0
2009-07-06,84.38,87.62,84.38,84.38,12933.0
2009-07-07,84.36,84.38,78.81,80.8,12023.0
2009-07-08,81.12,81.42,76.09,77.44,262021.0
2009-07-09,78.15,78.15,78.15,78.15,8298.0
2009-07-10,80.32,84.56,80.32,81.52,8242.0
2009-07-13,80.93,83.02,77.39,79.99,11250.0
2009-07-14,79.41,81.5,78.82,79.83,4013.0
2009-07-15,80.32,83.15,79.74,81.55,13721.0
2009-07-16,82.14,83.03,81.23,81.65,7006.0
2009-07-17,83.2,86.38,82.26,83.35,2506112.0
2009-07-20,84.87,86.31,83.74,85.65,14245.0
2009-07-21,84.35,86.49,84.35,85.87,8580.0
2009-07-22,86.38,88.75,86.38,88.15,15241.0
2009-07-23,89.08,89.08,86.12,88.5,253522.0
2009-07-24,88.81,88.81,85.78,86.87,14453.0
2009-07-27,86.99,88.17,80.93,84.9,12738.0
2009-07-28,83.35,87.85,82.44,85.34,9899.0
2009-07-29,86.38,87.29,79.11,83.73,3617.0
2009-07-30,82.74,86.31,82.53,83.33,6571.0
2009-07-31,86.46,90.93,85.78,87.41,13724.0
2009-08-03,87.9,89.85,87.59,89.05,5964.0
2009-08-04,89.11,89.41,87.29,87.29,7449.0
2009-08-05,86.94,90.62,86.68,90.17,20999.0
2009-08-06,90.44,90.44,87.9,88.82,9799.0
2009-08-07,88.82,91.53,85.78,90.31,14661.0
2009-08-10,90.32,90.93,84.87,89.91,10423.0
2009-08-11,87.93,87.93,86.41,86.67,4390.0
2009-08-12,85.26,89.65,85.17,86.37,4089.0
2009-08-13,86.43,87.9,85.78,86.31,6289.0
2009-08-14,88.43,93.94,86.38,91.26,233095.0
2009-08-17,90.93,90.93,86.08,86.55,15185.0
2009-08-18,85.87,91.23,85.55,90.2,26518.0
2009-08-19,90.02,90.93,87.75,88.93,8661.0
2009-08-20,88.87,89.91,87.41,88.9,8528.0
2009-08-21,88.75,90.93,87.9,89.44,23128.0
2009-08-24,93.05,93.05,90.09,90.26,25103.0
2009-08-25,89.41,91.53,89.41,90.93,56038.0
2009-08-26,92.14,93.66,90.32,92.94,46849.0
2009-08-27,92.9,96.38,90.94,95.5,45014.0
2009-08-28,96.99,96.99,92.44,93.73,19592.0
2009-08-31,91.9,95.47,91.84,92.53,9752.0
2009-09-01,92.44,93.62,89.87,90.96,13932.0
2009-09-02,93.35,93.35,89.72,90.94,15897.0
2009-09-03,91.23,92.44,91.23,91.29,2670.0
2009-09-04,93.05,93.05,90.93,91.94,10611.0
2009-09-07,93.96,93.96,90.93,91.69,10361.0
2009-09-08,91.23,92.99,91.23,92.22,44140.0
2009-09-09,91.55,93.05,91.55,92.34,13151.0
2009-09-10,93.35,94.7,92.44,93.94,60759.0
2009-09-11,93.96,93.96,91.44,92.05,6967.0
2009-09-14,90.94,93.12,90.94,92.44,1403396.0
2009-09-15,95.47,103.05,95.35,96.05,57822.0
2009-09-16,98.5,98.96,95.78,96.4,25524.0
2009-09-17,96.08,96.99,94.03,95.99,18244.0
2009-09-18,95.49,97.0,94.56,95.73,653428.0
2009-09-22,96.99,96.99,95.2,96.05,33081.0
2009-09-23,95.47,95.93,93.37,93.99,18489.0
2009-09-24,93.35,95.35,93.35,93.76,25948.0
2009-09-25,91.84,96.69,91.84,93.79,12955.0
2009-09-29,96.57,97.6,93.5,96.09,30529.0
2009-09-30,96.82,98.2,95.46,96.31,382186.0
2009-10-01,96.96,97.29,93.96,94.4,48078.0
2009-10-05,93.35,95.47,92.44,93.06,25955.0
2009-10-06,93.29,93.96,92.75,93.66,14691.0
2009-10-07,93.93,93.93,90.99,91.97,14128.0
2009-10-08,92.43,92.88,90.64,90.64,34806.0
2009-10-09,90.62,92.05,90.02,90.53,5440.0
2009-10-12,93.05,93.05,90.32,92.2,20899.0
2009-10-14,92.43,93.05,91.53,91.94,31466.0
2009-10-15,91.53,93.35,91.34,91.65,11661.0
2009-10-16,92.35,92.44,91.14,92.17,16736.0
2009-10-20,93.66,93.66,91.26,91.43,67002.0
2009-10-21,91.23,92.44,90.35,91.82,13712.0
2009-10-22,92.9,92.9,90.66,91.17,11727.0
2009-10-23,90.34,93.05,89.72,90.49,29584.0
2009-10-26,89.41,91.84,89.41,89.88,4843.0
2009-10-27,88.82,90.31,83.46,86.55,14967.0
2009-10-28,86.99,87.87,86.68,87.34,3813.0
2009-10-29,86.08,87.9,85.27,87.2,7121.0
2009-10-30,88.2,89.32,86.99,87.64,6309.0
2009-11-03,87.9,88.93,86.53,87.18,11225.0
2009-11-04,90.32,90.32,86.38,86.84,10731.0
2009-11-05,86.38,89.25,86.38,88.68,8658.0
2009-11-06,89.41,90.29,87.59,88.81,15633.0
2009-11-09,83.03,91.53,83.03,89.46,18760.0
2009-11-10,89.41,90.02,88.81,89.7,4111.0
2009-11-11,90.02,90.62,88.5,89.65,12229.0
2009-11-12,89.41,90.93,89.41,89.91,5301.0
2009-11-13,90.91,92.09,89.49,91.75,15792.0
2009-11-16,91.84,92.12,90.93,91.59,11318.0
2009-11-17,91.23,92.75,91.23,92.38,31060.0
2009-11-18,92.47,93.96,92.03,93.47,23667.0
2009-11-19,93.62,93.66,92.5,92.87,9644.0
2009-11-20,91.72,93.05,91.58,91.81,6566.0
2009-11-23,92.44,95.17,91.7,93.4,17943.0
2009-11-24,93.35,96.08,92.44,95.14,20618.0
2009-11-25,95.47,96.38,93.08,94.94,12040.0
2009-11-26,95.78,95.78,93.73,94.4,9250.0
2009-11-27,93.37,93.96,91.23,92.9,16039.0
2009-11-30,96.37,99.26,95.03,97.61,48391.0
2009-12-01,99.26,100.32,97.91,98.91,29195.0
2009-12-02,98.52,100.32,95.87,99.05,17321.0
2009-12-03,98.6,118.21,98.58,109.84,1376323.0
2009-12-04,110.63,115.78,108.1,109.98,405400.0
2009-12-07,108.57,120.57,108.57,114.08,801716.0
2009-12-08,115.19,117.13,111.55,113.05,116903.0
2009-12-09,112.42,112.42,109.42,110.17,58263.0
2009-12-10,109.8,113.51,106.69,107.7,45322.0
2009-12-11,108.51,108.51,103.52,105.07,33776.0
2009-12-14,104.31,114.24,103.05,106.95,178941.0
2009-12-15,110.02,110.02,103.98,105.02,40597.0
2009-12-16,105.17,107.57,104.57,105.64,30443.0
2009-12-17,107.29,110.87,104.64,105.73,482381.0
2009-12-18,107.26,107.26,103.05,103.66,31429.0
2009-12-21,105.48,105.78,101.9,102.54,28713.0
2009-12-22,104.54,105.17,101.96,102.96,22468.0
2009-12-23,104.54,105.17,101.96,102.96,22468.0
2009-12-24,104.54,105.17,101.96,102.96,22468.0
2009-12-29,104.54,105.17,101.96,102.96,22468.0
2009-12-30,104.54,105.17,101.96,102.96,22468.0
2009-12-31,104.54,105.17,101.96,102.96,22468.0
