,open,high,low,close,volume
2009-05-20,105.95,107.72,98.1,100.08,5340170.0
2009-05-21,100.89,100.89,96.68,97.22,3858320.0
2009-05-22,97.97,100.05,94.68,98.94,3098180.0
2009-05-25,98.9,101.8,97.53,100.93,2521450.0
2009-05-26,101.28,103.84,99.67,100.31,2494370.0
2009-05-27,101.2,103.19,98.9,101.37,3446630.0
2009-05-28,101.81,105.32,99.1,101.22,5727890.0
2009-05-29,101.58,102.73,91.23,93.05,17614820.0
2009-06-01,94.3,96.9,92.54,93.29,6380500.0
2009-06-02,94.3,95.07,92.55,94.27,6488880.0
2009-06-03,95.07,96.91,94.3,96.19,3106470.0
2009-06-04,96.22,101.27,95.83,100.03,6775120.0
2009-06-05,99.82,103.88,99.09,103.2,6811110.0
2009-06-08,103.19,106.8,99.97,102.63,3038830.0
2009-06-09,98.91,103.88,98.91,102.46,1992700.0
2009-06-10,101.2,105.34,100.13,101.75,1560460.0
2009-06-11,102.56,103.5,101.28,102.95,2016010.0
2009-06-12,103.35,103.38,99.15,101.32,2580750.0
2009-06-15,101.05,101.05,96.87,98.04,2284060.0
2009-06-16,96.0,102.39,96.0,101.68,1668900.0
2009-06-17,101.97,101.97,98.9,99.4,1038560.0
2009-06-18,98.94,101.89,97.75,100.9,1945070.0
2009-06-19,101.58,103.5,99.16,100.62,2939180.0
2009-06-22,101.35,102.73,97.21,98.55,2853640.0
2009-06-23,98.13,100.72,97.37,98.17,2179470.0
2009-06-24,99.28,103.5,97.76,103.15,4255490.0
2009-06-25,103.51,105.03,97.76,99.02,5390790.0
2009-06-26,98.17,98.17,80.5,87.49,28874690.0
2009-06-29,86.86,88.17,82.96,84.35,12379630.0
2009-06-30,84.72,87.62,82.97,83.61,5870970.0
2009-07-01,84.32,86.25,83.21,85.77,6046320.0
2009-07-02,86.12,89.7,85.87,87.88,6637630.0
2009-07-03,88.17,90.04,86.64,88.29,2719450.0
2009-07-06,88.86,89.7,84.95,86.42,2332870.0
2009-07-07,87.4,88.92,86.25,87.97,2095790.0
2009-07-08,88.55,89.62,85.72,87.87,2807950.0
2009-07-09,87.02,90.77,87.02,89.98,3326190.0
2009-07-10,90.08,90.34,84.53,85.49,1966930.0
2009-07-13,85.49,88.92,85.49,87.89,3063650.0
2009-07-14,86.63,90.85,86.63,90.28,1618410.0
2009-07-15,90.84,95.85,89.7,93.01,2985750.0
2009-07-16,93.01,94.97,91.35,93.6,2253950.0
2009-07-17,90.47,97.06,90.47,95.38,3601670.0
2009-07-20,95.83,97.98,94.22,95.37,1996250.0
2009-07-21,96.37,98.06,95.07,96.3,927760.0
2009-07-22,98.13,99.28,95.15,96.32,1791190.0
2009-07-23,93.53,98.27,88.63,97.43,6429670.0
2009-07-24,96.45,100.05,93.61,95.57,2409510.0
2009-07-27,92.77,97.37,92.77,95.28,2460570.0
2009-07-28,95.45,97.37,94.61,96.26,2156540.0
2009-07-29,94.98,95.35,89.88,91.04,8116310.0
2009-07-30,90.47,91.6,85.64,87.74,15558460.0
2009-07-31,89.32,92.31,87.78,90.06,6504560.0
2009-08-03,91.9,92.0,88.55,89.91,1998150.0
2009-08-04,91.45,91.45,88.24,88.87,2433510.0
2009-08-05,89.55,91.22,88.32,90.53,2769680.0
2009-08-06,89.7,93.53,89.7,91.98,3972900.0
2009-08-07,91.92,94.23,91.16,92.11,2283870.0
2009-08-10,92.38,94.29,88.94,91.59,1639160.0
2009-08-11,91.39,93.6,90.09,92.59,2224330.0
2009-08-12,92.31,95.76,92.31,95.04,3776400.0
2009-08-13,92.0,96.6,92.0,95.36,1260050.0
2009-08-14,95.83,96.58,92.77,93.78,1395730.0
2009-08-17,93.53,93.53,90.09,90.5,6499460.0
2009-08-18,91.69,91.69,89.32,90.39,2634200.0
2009-08-19,90.09,90.85,88.17,89.79,3178290.0
2009-08-20,91.24,92.38,90.62,91.16,1641020.0
2009-08-21,103.16,103.59,99.54,102.99,2180430.0
2009-08-24,104.03,104.46,102.9,103.15,1090230.0
2009-08-25,103.16,104.9,102.46,103.53,2012410.0
2009-08-26,104.03,104.9,101.95,104.57,1869530.0
2009-08-27,102.52,106.11,102.52,105.39,2284880.0
2009-08-28,105.39,105.39,102.39,104.05,3901470.0
2009-08-31,104.89,104.89,101.87,103.21,2381170.0
2009-09-01,103.86,105.3,101.26,102.06,5098050.0
2009-09-02,99.69,103.68,99.69,103.17,1422300.0
2009-09-03,103.69,105.56,101.78,102.8,2161820.0
