,open,high,low,close,volume
2009-05-20,189.16,197.89,187.7,195.41,265905.0
2009-05-21,200.07,203.49,185.66,198.21,404346.0
2009-05-22,196.76,196.76,182.97,188.1,270442.0
2009-05-25,194.9,198.94,189.88,191.7,334617.0
2009-05-26,196.43,197.89,182.28,183.44,177983.0
2009-05-27,189.16,192.79,181.88,190.07,277513.0
2009-05-28,183.52,192.5,183.52,185.01,267221.0
2009-05-29,188.43,189.16,181.88,183.52,148619.0
2009-06-01,189.16,190.61,184.06,184.94,115096.0
2009-06-02,188.97,188.97,177.15,179.88,348573.0
2009-06-03,183.19,201.38,178.42,198.07,1202690.0
2009-06-04,196.43,207.34,193.67,200.0,849323.0
2009-06-05,200.07,202.98,186.68,195.74,541205.0
2009-06-08,199.05,199.05,182.64,188.06,246084.0
2009-06-09,185.52,197.89,178.24,196.47,361121.0
2009-06-10,200.07,200.07,190.97,192.03,183550.0
2009-06-11,192.07,194.07,184.9,186.03,232996.0
2009-06-12,186.97,191.99,182.1,185.19,528042.0
2009-06-15,185.08,186.97,181.23,182.54,94291.0
2009-06-16,183.7,190.79,179.33,183.04,259965.0
2009-06-17,185.37,186.54,179.7,181.44,140470.0
2009-06-18,180.5,184.03,164.42,171.91,146715.0
2009-06-19,174.61,180.43,173.88,176.06,87235.0
2009-06-22,176.1,180.32,170.97,172.24,51881.0
2009-06-23,167.4,173.37,165.15,170.86,69487.0
2009-06-24,174.53,185.52,173.26,177.37,437540.0
2009-06-25,181.77,185.52,166.6,169.84,507145.0
2009-06-26,172.2,175.19,169.51,172.75,141971.0
2009-06-29,174.97,183.08,174.68,178.32,2318147.0
2009-06-30,181.88,182.61,169.22,170.35,188229.0
2009-07-01,171.66,174.21,165.88,169.77,99612.0
2009-07-02,171.7,173.15,166.6,167.55,87966.0
2009-07-03,165.88,173.73,165.88,172.57,341716.0
2009-07-06,174.61,175.19,161.55,163.84,184185.0
2009-07-07,165.15,167.29,159.33,165.73,82916.0
2009-07-08,160.42,168.79,159.33,165.4,175458.0
2009-07-09,165.4,166.6,162.53,165.4,45935.0
2009-07-10,166.6,169.51,163.69,163.91,35585.0
2009-07-13,163.91,164.35,152.85,158.05,1999388.0
2009-07-14,159.55,162.6,159.25,160.09,242797.0
2009-07-15,163.33,166.6,160.89,162.93,153681.0
2009-07-16,165.51,174.42,163.69,168.97,596790.0
2009-07-17,171.04,179.3,167.48,177.44,209302.0
2009-07-20,177.88,184.03,171.7,172.5,966701.0
2009-07-21,173.88,179.7,172.79,177.15,257169.0
2009-07-22,178.24,181.81,175.59,179.12,175478.0
2009-07-23,179.84,181.15,176.86,177.41,54752.0
2009-07-24,178.24,181.52,174.86,177.92,175349.0
2009-07-27,178.24,188.43,176.46,183.74,617096.0
2009-07-28,180.43,185.52,180.43,184.61,71545.0
2009-07-29,181.88,193.52,181.88,190.61,332429.0
2009-07-30,190.61,200.8,183.55,190.43,595486.0
2009-07-31,192.68,198.25,191.01,195.59,167289.0
2009-08-03,197.09,198.25,194.61,197.49,86977.0
2009-08-04,199.34,199.34,190.65,192.25,81971.0
2009-08-05,193.08,205.09,192.79,198.0,279264.0
2009-08-06,197.16,202.91,195.01,198.58,211482.0
2009-08-07,197.74,197.74,189.23,193.63,234364.0
2009-08-10,194.9,196.25,178.24,192.68,74377.0
2009-08-11,195.63,198.36,189.88,195.92,91546.0
2009-08-12,194.87,198.47,193.3,196.87,68788.0
2009-08-13,196.47,207.34,196.47,204.69,536179.0
2009-08-14,207.2,207.2,200.83,203.92,92805.0
2009-08-17,198.61,202.54,197.34,199.92,63550.0
2009-08-18,197.89,203.49,193.63,200.4,32784.0
2009-08-19,202.98,203.71,198.1,199.74,1528645.0
2009-08-20,204.3,204.3,195.1,196.56,134273.0
2009-08-21,193.64,196.42,190.58,192.59,117166.0
2009-08-24,194.96,198.57,194.3,196.64,367705.0
2009-08-25,197.15,200.73,194.34,195.69,203642.0
2009-08-26,197.08,205.47,193.72,200.95,187844.0
2009-08-27,202.99,204.82,197.3,200.11,272569.0
2009-08-28,197.88,204.2,195.69,196.89,260788.0
2009-08-31,189.85,200.54,189.85,198.46,107863.0
2009-09-01,200.0,206.42,197.92,199.12,152961.0
2009-09-02,200.03,204.27,196.78,202.77,318755.0
2009-09-03,202.77,205.87,202.26,203.14,50005.0
2009-09-04,205.91,205.91,198.24,200.43,803029.0
2009-09-07,202.84,217.81,201.6,216.72,587687.0
2009-09-08,216.72,222.71,215.04,216.06,243218.0
2009-09-09,217.12,219.05,210.29,210.88,191028.0
2009-09-10,211.02,214.82,204.16,205.14,71713.0
2009-09-11,205.91,207.85,201.9,203.1,81666.0
2009-09-14,204.3,206.39,199.45,203.94,97825.0
2009-09-15,206.57,216.86,205.47,213.65,172435.0
2009-09-16,214.67,227.45,211.86,223.91,731718.0
2009-09-17,224.9,232.78,224.24,226.28,279567.0
2009-09-18,221.25,226.47,219.89,225.41,258972.0
2009-09-22,226.36,233.66,223.73,224.64,164430.0
2009-09-23,225.63,230.01,220.7,224.24,127051.0
2009-09-24,223.11,242.42,222.81,235.48,421079.0
2009-09-25,232.2,243.66,230.37,239.28,178404.0
2009-09-29,242.27,249.72,239.65,240.89,185611.0
2009-09-30,242.09,246.36,237.75,239.35,100644.0
2009-10-01,240.96,241.33,235.85,239.94,51429.0
2009-10-05,238.55,243.88,230.85,232.78,41926.0
2009-10-06,236.94,238.04,229.39,236.91,158798.0
2009-10-07,236.91,239.68,230.23,232.27,68977.0
2009-10-08,233.66,238.0,232.53,233.44,39257.0
2009-10-09,234.39,239.13,231.1,232.02,53474.0
2009-10-12,239.13,239.13,230.01,235.05,51626.0
2009-10-14,239.35,239.35,235.3,237.71,38105.0
2009-10-15,240.67,272.58,237.38,263.34,994322.0
2009-10-16,265.06,265.79,250.89,253.01,440123.0
2009-10-20,252.31,255.13,242.06,243.77,259580.0
2009-10-21,244.61,244.61,238.04,239.65,72903.0
2009-10-22,237.31,249.36,235.3,238.26,219798.0
2009-10-23,242.35,246.07,238.95,240.49,80920.0
2009-10-26,240.96,243.88,239.86,240.85,41339.0
2009-10-27,240.96,240.96,233.66,235.59,54040.0
2009-10-28,239.5,245.34,229.28,243.15,388537.0
2009-10-29,241.58,242.38,227.82,233.62,83331.0
2009-10-30,240.92,245.27,227.82,229.75,59546.0
2009-11-03,230.37,236.54,225.22,229.35,84986.0
2009-11-04,230.01,233.62,227.09,230.01,61063.0
2009-11-05,228.25,239.24,227.82,236.91,75510.0
2009-11-06,240.96,243.15,237.16,237.97,59091.0
2009-11-09,237.97,243.15,233.73,239.46,105920.0
2009-11-10,242.35,244.61,228.0,232.27,111315.0
2009-11-11,233.29,236.91,226.36,226.54,1302010.0
2009-11-12,230.12,243.15,228.69,229.9,432258.0
2009-11-13,225.12,237.27,225.12,227.82,360354.0
2009-11-16,230.88,236.58,226.36,227.67,299518.0
2009-11-17,228.55,228.73,222.38,226.14,253766.0
2009-11-18,226.36,235.85,223.55,233.22,214420.0
2009-11-19,230.12,239.43,229.35,231.39,300113.0
2009-11-20,230.77,242.06,229.68,239.1,188291.0
2009-11-23,243.15,247.5,239.72,243.3,478886.0
2009-11-24,243.88,248.96,237.53,246.0,421652.0
2009-11-25,251.51,251.51,241.91,243.3,100398.0
2009-11-26,243.15,246.07,232.85,238.59,267213.0
2009-11-27,230.92,237.31,226.47,235.67,90417.0
2009-11-30,236.14,248.26,236.14,242.97,98967.0
2009-12-01,249.72,253.08,245.63,251.26,204628.0
2009-12-02,254.03,254.07,242.42,244.76,92890.0
2009-12-03,246.07,249.76,243.95,246.51,95099.0
2009-12-04,241.8,249.65,239.5,241.22,192600.0
2009-12-07,243.37,245.34,235.19,237.02,277615.0
2009-12-08,238.04,240.45,237.53,239.06,115480.0
2009-12-09,237.31,243.81,235.12,240.3,86058.0
2009-12-10,240.92,240.96,238.04,239.24,36060.0
2009-12-11,239.24,242.93,238.19,239.46,107377.0
2009-12-14,239.28,242.42,238.15,239.57,34875.0
2009-12-15,240.96,241.69,236.29,238.55,42020.0
2009-12-16,240.23,241.69,232.31,235.89,40691.0
2009-12-17,235.89,239.39,233.33,235.92,51163.0
2009-12-18,233.84,240.78,233.84,239.06,80626.0
2009-12-21,240.56,243.73,238.33,240.34,60646.0
2009-12-22,241.69,248.23,240.34,242.82,189005.0
2009-12-23,241.69,248.23,240.34,242.82,189005.0
2009-12-24,241.69,248.23,240.34,242.82,189005.0
2009-12-29,241.69,248.23,240.34,242.82,189005.0
2009-12-30,241.69,248.23,240.34,242.82,189005.0
2009-12-31,241.69,248.23,240.34,242.82,189005.0
2010-01-04,248.37,255.56,248.37,255.09,97817.0
2010-01-05,255.49,258.45,252.83,255.53,281910.0
2010-01-06,256.29,258.48,251.95,253.7,94172.0
2010-01-07,255.56,255.56,250.82,254.25,85619.0
2010-01-08,254.1,264.07,254.1,262.1,224908.0
2010-01-11,264.33,278.56,264.33,270.71,493602.0
2010-01-12,270.71,278.16,267.32,268.52,311285.0
2010-01-13,268.34,272.87,265.06,269.4,140815.0
2010-01-14,269.4,272.58,264.0,266.74,111782.0
2010-01-15,269.36,276.01,266.95,270.2,444387.0
2010-01-18,271.26,273.82,267.39,271.77,183273.0
2010-01-19,270.35,274.55,250.96,270.61,172605.0
2010-01-20,273.82,307.77,268.74,298.35,2525943.0
2010-01-21,284.77,300.14,279.11,286.67,581575.0
2010-01-22,283.31,298.64,275.28,277.65,977010.0
2010-01-25,281.12,285.5,271.12,277.47,266000.0
2010-01-27,277.4,278.71,267.36,270.24,151608.0
2010-01-28,274.2,289.6,269.51,283.4,220318.0
2010-01-29,278.6,285.89,273.47,283.36,143004.0
2010-02-01,281.35,296.78,273.76,293.59,172565.0
2010-02-02,294.73,304.48,282.34,284.68,348768.0
2010-02-03,285.93,296.49,285.93,290.81,175929.0
2010-02-04,288.13,294.21,283.73,286.0,128175.0
2010-02-05,278.56,285.09,273.5,281.24,147414.0
2010-02-08,289.52,294.51,277.32,289.74,117420.0
2010-02-09,289.74,301.99,289.71,296.49,493890.0
2010-02-10,299.49,299.49,268.41,271.74,1684577.0
2010-02-11,275.59,281.97,272.4,278.23,907437.0
2010-02-15,280.8,280.8,271.38,273.65,366694.0
2010-02-16,275.12,276.84,271.34,274.05,132656.0
2010-02-17,275.67,280.36,272.44,276.8,201529.0
2010-02-18,278.89,280.5,269.98,272.22,119364.0
2010-02-19,274.2,276.29,268.7,272.84,118823.0
2010-02-22,277.87,277.87,270.17,271.3,185167.0
2010-02-23,272.73,274.13,269.07,269.87,117286.0
2010-02-24,270.13,271.96,265.58,267.42,216583.0
2010-02-25,271.19,271.19,259.79,261.26,142507.0
2010-02-26,261.0,272.48,261.0,270.68,302121.0
2010-03-02,270.68,279.22,270.53,275.7,124905.0
2010-03-03,279.99,283.66,276.4,282.19,129081.0
2010-03-04,278.6,285.2,278.6,283.07,70550.0
2010-03-05,281.27,311.52,281.27,307.15,2456044.0
2010-03-08,309.39,310.05,297.81,299.9,1339339.0
2010-03-09,300.78,302.68,295.53,300.41,228524.0
2010-03-10,300.41,308.58,296.85,300.23,482129.0
2010-03-11,294.98,304.19,294.98,302.98,215348.0
2010-03-12,306.46,306.46,298.87,299.79,209912.0
2010-03-15,299.09,305.36,296.93,303.01,231841.0
2010-03-16,301.33,314.38,298.65,313.42,476537.0
2010-03-17,318.92,320.53,305.91,307.08,438310.0
2010-03-18,311.37,311.37,303.6,304.55,120177.0
2010-03-19,307.7,310.49,305.07,307.74,180987.0
2010-03-22,300.59,306.24,300.56,303.75,54975.0
2010-03-23,305.03,310.49,302.79,304.48,101921.0
2010-03-25,304.26,306.79,299.16,301.58,83570.0
2010-03-26,294.98,315.26,294.98,314.05,326704.0
2010-03-29,315.99,318.77,309.57,311.92,162636.0
2010-03-30,309.39,315.95,304.99,308.66,168975.0
2010-03-31,309.17,316.03,306.53,313.79,199994.0
2010-04-01,313.06,318.19,310.89,315.15,279728.0
2010-04-05,315.26,318.56,313.94,314.93,77947.0
2010-04-06,317.09,323.61,313.24,317.93,261458.0
2010-04-07,319.14,322.59,312.87,315.33,118565.0
2010-04-08,315.26,318.92,311.59,314.19,54354.0
2010-04-09,314.52,317.46,311.96,312.51,53569.0
2010-04-12,316.72,318.15,310.31,311.08,129650.0
2010-04-13,315.11,315.11,309.46,311.04,31217.0
2010-04-15,308.03,315.62,308.03,310.31,91877.0
2010-04-16,312.32,313.75,308.29,310.09,61942.0
2010-04-19,310.86,310.86,304.3,306.35,116088.0
2010-04-20,306.82,310.49,305.21,308.11,33854.0
2010-04-21,311.37,311.81,307.19,311.22,232856.0
2010-04-22,313.64,317.97,308.84,315.88,195002.0
2010-04-23,316.36,321.12,315.22,317.79,402301.0
2010-04-26,318.92,319.25,312.03,313.02,42436.0
2010-04-27,313.02,316.94,308.44,312.25,53271.0
2010-04-28,309.39,311.41,305.72,308.33,39195.0
2010-04-29,310.86,310.86,304.99,306.9,147991.0
2010-04-30,318.56,318.56,307.56,309.28,23406.0
2010-05-03,313.79,313.79,309.43,311.37,21718.0
2010-05-04,312.95,316.06,306.46,308.58,237674.0
2010-05-05,306.46,306.46,297.15,303.2,108619.0
2010-05-06,302.68,309.39,299.13,303.09,68460.0
2010-05-07,297.22,304.15,296.93,300.12,64333.0
2010-05-10,300.85,316.28,300.85,309.79,161136.0
2010-05-11,297.92,314.45,297.92,311.88,52262.0
2010-05-12,311.88,316.69,308.11,311.55,128791.0
2010-05-13,307.92,314.49,307.92,311.7,24355.0
2010-05-14,322.33,327.35,309.65,322.48,258189.0
2010-05-17,321.05,326.18,312.47,320.61,81691.0
2010-05-18,326.99,331.9,310.27,311.33,333270.0
2010-05-19,308.0,315.84,300.67,304.15,140150.0
2010-05-20,304.63,307.92,300.7,304.52,81529.0
2010-05-21,300.59,303.34,292.53,298.54,119448.0
2010-05-24,299.86,302.79,295.02,298.14,134415.0
2010-05-25,296.12,297.62,293.26,296.05,98561.0
2010-05-26,295.09,299.6,289.71,292.82,215519.0
2010-05-27,293.44,299.13,287.76,294.65,79162.0
2010-05-28,297.66,307.92,295.46,300.08,749394.0
2010-05-31,301.33,301.33,295.46,297.37,51675.0
2010-06-01,300.01,303.42,293.99,295.61,84357.0
2010-06-02,299.09,299.79,291.17,293.0,212674.0
2010-06-03,295.97,298.69,294.76,295.57,68295.0
2010-06-04,296.27,301.11,289.71,291.5,235386.0
2010-06-07,289.6,293.19,280.43,289.41,108406.0
2010-06-08,304.04,304.04,283.0,285.16,87223.0
2010-06-09,284.46,290.11,282.26,288.13,40190.0
2010-06-10,287.4,307.92,287.4,305.36,597143.0
2010-06-11,307.92,311.48,296.93,299.24,326991.0
2010-06-14,300.56,309.39,297.92,299.13,105392.0
2010-06-15,302.43,308.66,299.93,302.21,125254.0
2010-06-16,306.9,306.9,294.14,295.13,319878.0
2010-06-17,296.19,297.29,293.44,295.02,319550.0
2010-06-18,296.74,302.02,294.18,295.5,370963.0
2010-06-21,300.52,300.52,295.53,296.19,196680.0
2010-06-22,298.17,301.84,293.99,295.13,131962.0
2010-06-23,275.92,299.46,275.92,296.82,126318.0
2010-06-24,299.05,304.26,296.19,297.66,278597.0
2010-06-25,299.79,308.66,299.24,301.73,259509.0
2010-06-28,301.33,310.31,300.01,308.51,184307.0
2010-06-29,328.23,328.23,307.92,309.79,281332.0
2010-06-30,307.15,322.51,304.63,320.39,380830.0
2010-07-01,320.02,322.18,314.52,316.03,113519.0
2010-07-02,316.72,322.15,312.51,315.07,120764.0
2010-07-05,315.99,318.45,311.59,315.37,29063.0
2010-07-06,315.92,316.43,312.43,313.61,41374.0
2010-07-07,314.52,316.72,311.63,314.34,64328.0
2010-07-08,317.79,318.19,313.86,315.95,44786.0
2010-07-09,318.04,319.62,314.19,315.33,73463.0
2010-07-12,316.36,317.68,312.32,314.19,21605.0
2010-07-13,311.59,323.32,311.59,319.69,360897.0
2010-07-14,322.51,326.03,320.83,323.72,146466.0
2010-07-15,324.79,327.32,316.76,323.32,118685.0
2010-07-16,323.32,333.36,320.06,329.3,141060.0
2010-07-19,330.65,339.45,324.86,334.46,245982.0
2010-07-20,336.52,343.04,334.43,341.17,313059.0
2010-07-21,343.12,344.95,325.34,331.2,396656.0
2010-07-22,329.9,334.29,327.67,328.94,110771.0
2010-07-23,329.16,332.13,321.91,323.14,173673.0
2010-07-26,323.21,332.87,322.1,325.22,111585.0
