,open,high,low,close,volume
2009-05-20,3.02,3.56,3.02,3.4,14670.0
2009-05-21,3.52,3.7,3.14,3.17,56050.0
2009-05-22,3.15,3.17,2.95,3.14,40010.0
2009-05-25,3.71,3.71,3.19,3.2,88720.0
2009-05-26,3.31,3.61,3.31,3.33,59320.0
2009-05-27,3.42,3.42,3.33,3.41,93710.0
2009-05-28,3.51,3.51,3.4,3.4,45350.0
2009-05-29,3.46,3.77,3.39,3.58,146680.0
2009-06-01,3.76,4.27,3.76,3.82,193750.0
2009-06-02,3.64,3.96,3.49,3.71,52820.0
2009-06-03,3.77,4.11,3.52,3.6,108570.0
2009-06-04,3.54,3.75,3.53,3.7,43030.0
2009-06-05,3.77,3.77,3.58,3.7,47600.0
2009-06-08,3.49,3.64,3.23,3.35,35620.0
2009-06-09,3.21,3.46,3.21,3.38,15370.0
2009-06-10,3.46,3.69,3.42,3.49,76270.0
2009-06-11,3.64,3.64,3.41,3.44,7420.0
2009-06-12,3.33,3.52,3.33,3.42,28480.0
2009-06-15,3.46,3.46,3.15,3.27,15700.0
2009-06-16,3.15,3.36,3.15,3.24,31950.0
2009-06-17,3.27,3.33,3.18,3.21,10550.0
2009-06-18,3.14,3.17,3.02,3.08,15760.0
2009-06-19,2.98,3.16,2.98,3.1,38960.0
2009-06-22,3.14,3.15,3.11,3.11,4670.0
2009-06-23,3.05,3.14,2.95,2.96,22490.0
2009-06-24,3.11,3.21,2.96,3.11,54360.0
2009-06-25,3.03,3.07,2.98,2.98,23000.0
2009-06-26,3.11,3.12,2.95,2.97,45800.0
2009-06-29,2.97,3.3,2.96,3.2,39360.0
2009-06-30,3.39,3.52,3.2,3.31,157740.0
2009-07-01,3.58,3.77,3.44,3.51,355530.0
2009-07-02,3.47,3.55,3.34,3.51,100110.0
2009-07-03,3.4,3.57,3.4,3.5,114220.0
2009-07-06,3.39,3.54,3.31,3.35,33740.0
2009-07-07,3.33,3.53,3.22,3.33,38010.0
2009-07-08,3.25,3.27,3.14,3.23,19780.0
2009-07-09,3.2,3.52,3.2,3.27,158420.0
2009-07-10,3.27,3.39,3.21,3.34,34200.0
2009-07-13,3.2,3.27,3.14,3.2,14350.0
2009-07-14,3.21,3.33,3.21,3.26,17130.0
2009-07-15,3.33,3.33,3.24,3.28,13310.0
2009-07-16,3.15,3.42,3.14,3.42,70510.0
2009-07-17,3.33,3.53,3.33,3.51,34230.0
2009-07-20,3.38,3.53,3.37,3.48,16600.0
2009-07-21,3.51,3.55,3.41,3.52,55670.0
2009-07-22,3.49,3.52,3.42,3.52,41510.0
2009-07-23,3.49,3.56,3.48,3.54,44270.0
2009-07-24,3.46,3.58,3.46,3.58,112820.0
2009-07-27,3.64,3.82,3.6,3.76,161950.0
2009-07-28,3.76,4.49,3.68,4.32,537270.0
2009-07-29,4.4,4.74,4.28,4.65,726140.0
2009-07-30,4.65,4.84,4.44,4.75,265370.0
2009-07-31,4.78,5.16,4.68,5.07,240290.0
2009-08-03,5.47,5.47,5.23,5.36,802600.0
2009-08-04,5.43,5.53,5.28,5.34,249840.0
2009-08-05,5.41,5.46,5.2,5.29,164260.0
2009-08-06,5.28,5.53,5.11,5.27,207400.0
2009-08-07,5.28,5.28,5.11,5.16,46370.0
2009-08-10,5.57,5.57,5.03,5.04,40590.0
2009-08-11,5.03,5.33,5.03,5.24,63730.0
2009-08-12,5.27,5.27,4.98,5.16,79530.0
2009-08-13,5.07,5.34,5.07,5.3,152430.0
2009-08-14,5.18,5.28,5.13,5.17,37830.0
2009-08-17,5.25,5.26,5.07,5.08,54880.0
2009-08-18,4.96,5.23,4.96,5.16,87840.0
2009-08-19,5.03,5.21,5.03,5.09,27600.0
2009-08-20,5.15,5.33,5.04,5.07,11440.0
2009-08-21,5.85,6.16,5.85,6.09,31350.0
2009-08-24,5.74,6.28,5.73,6.14,92470.0
2009-08-25,6.25,6.32,6.04,6.23,49900.0
2009-08-26,6.24,6.32,6.08,6.13,106570.0
2009-08-27,6.17,6.32,6.1,6.23,162890.0
2009-08-28,6.07,6.3,6.07,6.23,18150.0
2009-08-31,6.32,6.32,6.18,6.22,31240.0
2009-09-01,6.25,6.26,6.07,6.07,56310.0
2009-09-02,5.98,6.13,5.95,5.95,22250.0
2009-09-03,6.06,6.24,5.8,6.1,49400.0
2009-09-04,5.95,6.16,5.95,6.16,28180.0
2009-09-07,6.05,6.45,6.05,6.45,270600.0
2009-09-08,6.54,6.58,6.39,6.51,53500.0
2009-09-09,6.33,6.54,6.28,6.39,22500.0
2009-09-10,6.22,6.35,6.22,6.31,48880.0
2009-09-11,6.1,6.39,5.95,6.32,103500.0
2009-09-14,6.1,6.47,6.1,6.24,89080.0
2009-09-15,6.1,6.47,6.1,6.21,37010.0
2009-09-16,6.32,6.32,6.18,6.18,55600.0
2009-09-17,6.28,6.28,6.03,6.16,51490.0
2009-09-18,6.35,6.47,6.1,6.16,31110.0
2009-09-22,6.32,6.39,6.12,6.27,35600.0
2009-09-23,6.12,6.36,6.12,6.22,24040.0
2009-09-24,6.25,6.27,6.07,6.17,21300.0
2009-09-25,6.07,6.25,6.05,6.17,30620.0
2009-09-29,6.18,6.35,6.05,6.25,110100.0
2009-09-30,6.28,6.47,6.25,6.38,98290.0
2009-10-01,6.25,6.68,6.25,6.33,91670.0
2009-10-05,6.25,6.36,6.1,6.11,42310.0
2009-10-06,6.05,6.31,6.05,6.17,40470.0
2009-10-07,6.32,6.32,6.1,6.12,97710.0
2009-10-08,6.11,6.3,5.97,6.19,13920.0
2009-10-09,6.28,6.28,6.03,6.07,28120.0
2009-10-12,6.17,6.17,5.98,6.06,34870.0
2009-10-14,6.24,6.24,6.06,6.18,31970.0
2009-10-15,6.21,6.48,6.19,6.32,91570.0
2009-10-16,6.54,6.54,6.26,6.39,447200.0
2009-10-20,6.6,6.82,6.6,6.82,113260.0
2009-10-21,7.16,7.16,6.93,7.06,153070.0
2009-10-22,7.14,7.14,6.74,6.91,49210.0
2009-10-23,6.73,6.89,6.57,6.66,31040.0
2009-10-26,6.51,6.99,6.51,6.9,59740.0
2009-10-27,6.58,6.89,6.56,6.68,80710.0
2009-10-28,6.57,6.69,6.35,6.67,23510.0
2009-10-29,6.39,6.54,6.35,6.37,28030.0
2009-10-30,6.21,6.5,6.1,6.19,43660.0
2009-11-03,6.28,6.47,6.02,6.04,44790.0
2009-11-04,6.31,6.34,6.11,6.3,137330.0
2009-11-05,6.46,6.62,6.46,6.62,90100.0
2009-11-06,6.69,6.92,6.55,6.78,118460.0
2009-11-09,6.49,7.01,6.49,6.92,56660.0
2009-11-10,6.57,6.9,6.57,6.82,41040.0
2009-11-11,6.54,6.82,6.54,6.71,26350.0
2009-11-12,6.62,6.8,6.55,6.78,42920.0
2009-11-13,6.55,6.62,6.54,6.58,19900.0
2009-11-16,6.77,6.92,6.77,6.86,131870.0
2009-11-17,7.2,7.21,6.69,7.21,58980.0
2009-11-18,7.18,7.44,7.18,7.28,53950.0
2009-11-19,7.36,7.36,7.0,7.12,80810.0
2009-11-20,6.93,7.32,6.93,7.25,95770.0
2009-11-23,7.06,7.39,7.06,7.34,40580.0
2009-11-24,7.26,7.36,7.18,7.27,27160.0
2009-11-25,7.29,7.43,7.17,7.29,69360.0
2009-11-26,7.29,7.29,6.99,7.0,58260.0
2009-11-27,6.8,7.08,6.8,7.06,41570.0
2009-11-30,7.18,7.28,7.02,7.15,30000.0
2009-12-01,7.21,7.38,7.18,7.35,48290.0
2009-12-02,7.44,7.51,7.11,7.24,44500.0
2009-12-03,7.28,7.36,7.24,7.26,19000.0
2009-12-04,6.99,7.35,6.92,7.22,15300.0
2009-12-07,7.14,7.27,7.08,7.23,10730.0
2009-12-08,6.99,7.32,6.99,7.16,57040.0
2009-12-09,7.28,7.28,7.15,7.22,11890.0
2009-12-10,7.21,7.21,7.06,7.12,22460.0
2009-12-11,7.14,7.28,7.14,7.2,17800.0
2009-12-14,7.07,7.27,7.04,7.06,52020.0
2009-12-15,7.1,7.25,7.06,7.12,12490.0
2009-12-16,7.05,7.28,7.05,7.14,29920.0
2009-12-17,7.06,7.42,7.06,7.12,20970.0
2009-12-18,7.06,7.28,7.06,7.09,10560.0
2009-12-21,7.21,7.21,7.12,7.12,15800.0
2009-12-22,7.14,7.21,7.11,7.11,14220.0
2009-12-23,7.14,7.21,7.11,7.11,14220.0
2009-12-24,7.14,7.21,7.11,7.11,14220.0
2009-12-29,7.14,7.21,7.11,7.11,14220.0
2009-12-30,7.14,7.21,7.11,7.11,14220.0
2009-12-31,7.14,7.21,7.11,7.11,14220.0
2010-01-04,7.81,8.06,7.81,8.06,45390.0
2010-01-05,8.25,8.47,7.9,8.47,270270.0
2010-01-06,8.55,8.85,8.44,8.77,201130.0
2010-01-07,9.0,9.0,8.65,8.73,52340.0
2010-01-08,8.77,8.91,8.63,8.84,57290.0
2010-01-11,8.85,9.28,8.85,9.19,170990.0
2010-01-12,9.29,9.57,8.73,8.83,103430.0
2010-01-13,8.86,9.27,8.86,9.01,55710.0
2010-01-14,8.96,9.46,8.96,9.46,154150.0
2010-01-15,9.89,9.94,9.48,9.82,283930.0
2010-01-18,10.31,10.31,10.31,10.31,61150.0
2010-01-19,10.83,10.83,10.83,10.83,66630.0
2010-01-20,11.37,11.37,10.41,10.62,794520.0
2010-01-21,10.78,10.82,10.11,10.24,272750.0
2010-01-22,10.11,10.69,9.73,10.58,134210.0
2010-01-25,10.77,11.07,10.35,10.53,124260.0
2010-01-27,10.78,10.78,10.0,10.03,121030.0
2010-01-28,10.04,10.37,9.82,10.09,75600.0
2010-01-29,9.89,10.58,9.59,10.47,121020.0
2010-02-01,10.93,10.99,10.63,10.99,112320.0
2010-02-02,11.54,11.54,11.38,11.53,769480.0
2010-02-03,11.88,12.05,11.39,11.74,602850.0
2010-02-04,11.82,11.82,11.41,11.5,213600.0
2010-02-05,11.38,11.51,11.01,11.43,132380.0
2010-02-08,11.97,11.97,11.38,11.43,67530.0
2010-02-09,13.33,13.76,13.24,13.49,61130.0
2010-02-10,13.46,13.8,13.24,13.34,140170.0
2010-02-11,13.5,13.63,13.42,13.57,90980.0
2010-02-15,13.68,13.85,13.45,13.52,54120.0
2010-02-16,13.42,13.59,13.42,13.51,19060.0
2010-02-17,13.5,14.08,13.5,13.76,113500.0
2010-02-18,13.59,13.89,13.5,13.52,71430.0
2010-02-19,13.42,13.75,12.85,13.33,32010.0
2010-02-22,13.17,13.49,12.94,13.03,26770.0
2010-02-23,12.81,13.07,12.75,12.85,28380.0
2010-02-24,12.81,13.05,12.68,12.87,10130.0
2010-02-25,12.89,13.1,12.81,12.98,13400.0
2010-02-26,12.89,13.28,12.89,13.07,37630.0
2010-03-02,13.33,13.72,12.96,13.67,108670.0
2010-03-03,14.01,14.2,13.26,13.77,66980.0
2010-03-04,13.42,14.46,13.15,14.38,166620.0
2010-03-05,14.47,15.07,14.47,14.93,60610.0
2010-03-08,14.98,15.24,14.68,14.93,53410.0
2010-03-09,14.46,14.93,14.19,14.21,54250.0
2010-03-10,14.37,14.49,14.02,14.37,44590.0
