,open,high,low,close,volume
2009-05-20,21.92,23.7,21.92,23.68,93420.0
2009-05-21,24.35,24.82,21.33,22.77,82105.0
2009-05-22,22.5,24.59,22.27,24.32,30985.0
2009-05-25,24.35,26.55,23.32,26.33,61235.0
2009-05-26,26.67,27.08,25.01,25.07,27250.0
2009-05-27,25.97,26.09,24.76,25.26,27185.0
2009-05-28,25.18,25.86,25.18,25.49,10810.0
2009-05-29,25.4,26.09,25.4,25.59,24540.0
2009-06-01,25.86,26.87,25.86,26.87,59210.0
2009-06-02,27.65,27.65,25.83,26.19,45765.0
2009-06-03,27.25,27.5,27.02,27.5,307205.0
2009-06-04,27.6,28.86,27.6,28.4,37010.0
2009-06-05,29.64,29.64,27.37,27.77,46720.0
2009-06-08,27.83,28.52,26.39,26.39,73435.0
2009-06-09,27.57,27.71,25.8,27.71,120980.0
2009-06-10,28.69,29.03,27.15,27.38,38365.0
2009-06-11,28.28,28.41,27.25,27.28,45640.0
2009-06-12,27.29,28.64,27.26,28.28,83720.0
2009-06-15,28.06,28.99,28.06,28.81,175940.0
2009-06-16,28.99,29.1,27.98,28.76,31225.0
2009-06-17,28.99,29.92,28.41,28.62,46235.0
2009-06-18,28.3,28.64,27.31,27.41,29295.0
2009-06-19,27.31,28.76,26.9,27.51,32060.0
2009-06-22,28.64,28.64,26.56,27.09,15380.0
2009-06-23,27.6,27.6,25.98,27.08,20385.0
2009-06-24,27.25,27.95,27.25,27.57,24255.0
2009-06-25,27.37,27.83,26.44,26.67,27280.0
2009-06-26,26.67,27.72,26.44,26.64,10010.0
2009-06-29,27.26,27.98,27.26,27.98,16840.0
2009-06-30,27.98,29.38,27.98,29.38,20835.0
2009-07-01,30.38,30.38,28.18,29.66,43715.0
2009-07-02,29.7,29.98,28.76,28.95,8475.0
2009-07-03,28.76,29.16,27.62,27.77,10785.0
2009-07-06,28.78,28.97,27.28,27.6,13930.0
2009-07-07,30.15,31.78,27.15,30.41,46155.0
2009-07-08,30.79,31.31,28.53,29.32,41105.0
2009-07-09,28.53,29.91,28.53,29.01,18175.0
2009-07-10,29.45,31.31,29.22,30.19,403460.0
2009-07-13,30.15,32.89,30.15,31.97,161020.0
2009-07-14,32.47,34.21,32.47,33.38,212205.0
2009-07-15,33.63,34.22,32.04,32.63,95165.0
2009-07-16,32.94,33.47,30.19,32.8,26310.0
2009-07-17,33.63,35.14,33.46,34.74,165035.0
2009-07-20,36.18,37.69,35.38,37.04,461935.0
2009-07-21,37.69,38.03,35.66,35.87,107200.0
2009-07-22,36.76,36.76,34.56,34.85,46645.0
2009-07-23,35.37,36.42,35.08,35.86,58990.0
2009-07-24,35.95,36.07,35.02,35.33,21730.0
2009-07-27,36.53,37.69,35.83,36.45,1237300.0
2009-07-28,36.26,36.99,35.97,36.21,59660.0
2009-07-29,36.18,36.76,34.92,35.78,60940.0
2009-07-30,36.79,36.79,35.03,35.52,31800.0
2009-07-31,35.86,36.39,35.38,35.62,46195.0
2009-08-03,36.41,36.73,34.63,35.31,69620.0
2009-08-04,34.79,35.29,34.45,34.61,71935.0
2009-08-05,34.72,35.36,34.44,34.75,38035.0
2009-08-06,34.56,35.02,34.45,34.66,51090.0
2009-08-07,34.46,34.79,34.21,34.27,41045.0
2009-08-10,35.82,35.82,34.11,34.26,45675.0
2009-08-11,34.79,35.6,33.7,33.9,330940.0
2009-08-12,33.89,33.98,33.05,33.78,45930.0
2009-08-13,34.33,34.91,34.13,34.78,45125.0
2009-08-14,34.23,35.24,33.65,33.9,56795.0
2009-08-17,34.33,35.13,33.91,34.19,65940.0
2009-08-18,34.56,35.12,33.98,34.65,39635.0
2009-08-19,35.02,35.68,34.33,34.96,48855.0
2009-08-20,34.85,35.37,34.85,35.24,50450.0
2009-08-21,35.25,36.53,34.53,35.83,90310.0
2009-08-24,36.45,36.65,35.95,36.17,68515.0
2009-08-25,36.47,36.54,36.07,36.44,53680.0
2009-08-26,37.09,37.69,36.62,37.36,193435.0
2009-08-27,37.34,38.03,36.65,37.19,100450.0
2009-08-28,37.52,37.69,36.88,37.2,122375.0
2009-08-31,36.99,37.69,35.14,36.42,314610.0
2009-09-01,43.58,43.85,43.01,43.4,140580.0
2009-09-02,43.01,43.56,41.72,43.32,101995.0
2009-09-03,44.91,44.91,43.08,44.05,77920.0
2009-09-04,44.54,44.73,43.22,43.72,40700.0
2009-09-07,43.87,46.26,43.72,45.85,178745.0
2009-09-08,46.02,46.52,45.31,45.85,171515.0
2009-09-09,46.02,46.23,44.52,45.7,134525.0
2009-09-10,46.03,46.03,44.43,44.58,40770.0
2009-09-11,43.87,45.01,43.73,44.12,12160.0
2009-09-14,44.44,45.72,44.2,45.32,58055.0
2009-09-15,46.13,46.13,41.7,44.68,49280.0
2009-09-16,44.81,47.16,44.81,45.91,188090.0
2009-09-17,44.14,46.45,43.29,45.19,21195.0
2009-09-18,45.3,45.73,44.6,44.84,20925.0
2009-09-22,45.01,45.58,44.18,44.39,56220.0
2009-09-23,44.01,45.66,44.01,44.92,39305.0
2009-09-24,44.87,45.55,44.32,45.23,12100.0
2009-09-25,45.23,45.58,44.73,45.11,18335.0
2009-09-29,47.01,48.58,45.3,47.26,474965.0
2009-09-30,47.74,48.71,47.74,48.02,111100.0
2009-10-01,48.02,48.17,46.04,46.36,36615.0
2009-10-05,46.59,46.88,45.17,45.44,38430.0
2009-10-06,45.52,46.13,44.44,45.47,44850.0
2009-10-07,46.56,47.02,45.34,45.99,48125.0
2009-10-08,45.62,46.88,45.62,46.58,27670.0
2009-10-09,46.3,47.74,46.02,46.25,45335.0
2009-10-12,47.11,49.29,46.59,48.75,361970.0
2009-10-14,49.53,52.9,49.42,51.37,840250.0
2009-10-15,52.32,52.83,51.65,51.9,580015.0
2009-10-16,52.33,52.33,47.35,49.54,366160.0
2009-10-20,51.59,51.61,50.25,50.43,69025.0
2009-10-21,50.68,50.68,49.04,49.78,54995.0
2009-10-22,49.89,50.68,48.81,49.05,67165.0
2009-10-23,48.77,49.85,46.76,47.81,192255.0
2009-10-26,46.59,48.21,46.59,46.7,64565.0
2009-10-27,46.58,47.22,45.16,45.4,43220.0
2009-10-28,45.87,47.02,44.15,46.01,69135.0
2009-10-29,44.44,46.56,44.44,45.18,40185.0
2009-10-30,45.95,46.58,43.8,44.18,35195.0
2009-11-03,43.91,45.14,43.29,43.72,34350.0
2009-11-04,45.67,45.67,43.3,43.82,54875.0
2009-11-05,44.43,45.43,43.59,44.92,24565.0
2009-11-06,46.16,46.16,43.95,44.43,30035.0
2009-11-09,45.59,45.59,44.58,44.94,22455.0
2009-11-10,45.16,45.87,44.87,45.13,84340.0
2009-11-11,45.72,45.72,44.15,45.42,16470.0
2009-11-12,44.04,45.59,44.04,45.07,15325.0
2009-11-13,46.45,46.45,43.9,44.17,35730.0
2009-11-16,46.15,47.02,44.3,45.36,96580.0
2009-11-17,46.15,46.15,45.07,45.59,71780.0
2009-11-18,45.73,45.73,43.75,44.19,50460.0
2009-11-19,44.44,45.26,44.08,44.37,64405.0
2009-11-20,44.87,46.73,43.47,45.5,103715.0
2009-11-23,46.02,46.02,44.15,45.14,53530.0
2009-11-24,45.16,46.59,44.3,44.62,85130.0
2009-11-25,45.44,45.44,43.87,43.95,54320.0
2009-11-26,45.05,45.05,43.87,44.04,31875.0
2009-11-27,43.71,44.15,42.0,43.0,66415.0
2009-11-30,44.0,44.0,42.73,42.85,55255.0
2009-12-01,42.96,43.7,42.83,43.0,77275.0
2009-12-02,45.14,51.6,43.29,51.44,3041975.0
2009-12-03,51.9,52.28,47.33,48.24,1223140.0
2009-12-04,48.31,50.18,46.3,46.58,550110.0
2009-12-07,46.59,47.87,46.0,46.8,218265.0
2009-12-08,46.66,47.44,45.17,46.03,170950.0
2009-12-09,45.44,48.76,45.44,46.67,449620.0
2009-12-10,48.88,51.47,45.19,45.85,249525.0
2009-12-11,47.29,47.29,45.6,45.82,87460.0
2009-12-14,46.88,49.75,45.3,47.29,1694710.0
2009-12-15,47.6,49.31,46.91,47.26,323295.0
2009-12-16,47.04,48.6,46.76,47.08,148080.0
2009-12-17,47.88,48.02,46.96,47.23,92815.0
2009-12-18,47.59,48.17,46.09,46.43,118780.0
2009-12-21,47.73,47.74,46.11,46.42,88420.0
2009-12-22,46.45,47.87,46.45,47.08,86725.0
2009-12-23,46.45,47.87,46.45,47.08,86725.0
2009-12-24,46.45,47.87,46.45,47.08,86725.0
2009-12-29,46.45,47.87,46.45,47.08,86725.0
2009-12-30,46.45,47.87,46.45,47.08,86725.0
2009-12-31,46.45,47.87,46.45,47.08,86725.0
2010-01-04,55.91,57.17,55.24,55.58,824095.0
2010-01-05,55.92,56.77,55.05,55.28,386520.0
2010-01-06,55.41,56.19,53.9,54.36,250280.0
2010-01-07,54.48,54.81,53.47,53.97,157945.0
2010-01-08,54.19,55.19,54.08,54.72,195830.0
2010-01-11,55.12,55.91,54.72,55.54,233430.0
2010-01-12,56.04,56.04,54.63,55.37,198195.0
2010-01-13,55.54,57.4,55.05,55.9,933875.0
2010-01-14,57.63,59.05,57.06,57.98,1176860.0
2010-01-15,58.06,58.48,56.05,57.21,188310.0
2010-01-18,61.18,62.4,60.26,60.97,271185.0
2010-01-19,61.44,66.99,61.33,63.11,1430660.0
2010-01-20,63.01,68.67,63.01,67.67,1220630.0
2010-01-21,68.82,75.7,67.01,71.79,2022580.0
2010-01-22,66.78,70.87,66.07,68.17,699400.0
2010-01-25,68.56,69.74,64.24,64.55,231075.0
2010-01-27,64.23,64.23,61.34,62.19,149080.0
2010-01-28,62.7,65.3,62.7,63.06,138490.0
2010-01-29,62.86,67.45,62.41,66.04,238830.0
2010-02-01,65.61,68.06,65.0,66.26,98730.0
2010-02-02,68.05,68.06,65.76,66.24,130635.0
2010-02-03,67.17,70.5,66.71,68.38,450920.0
2010-02-04,69.49,69.82,67.61,68.15,147490.0
2010-02-05,67.31,67.31,63.05,64.81,122900.0
2010-02-08,65.96,68.04,65.77,66.03,67540.0
2010-02-09,66.22,67.9,65.04,65.59,79390.0
2010-02-10,66.36,69.15,66.07,68.16,274465.0
2010-02-11,68.72,72.17,68.21,71.38,316245.0
2010-02-15,71.88,72.42,69.76,70.21,142775.0
2010-02-16,70.65,71.71,70.41,70.96,58940.0
2010-02-17,71.43,72.32,70.05,70.57,76965.0
2010-02-18,71.04,72.6,70.05,70.46,155450.0
2010-02-19,70.96,70.96,68.86,69.36,72600.0
2010-02-22,69.59,70.95,67.29,67.55,40865.0
2010-02-23,67.83,67.83,65.94,66.22,26400.0
2010-02-24,65.63,67.22,65.61,66.88,56435.0
2010-02-25,67.45,67.45,65.02,65.43,35330.0
2010-02-26,66.48,69.59,65.47,68.66,79875.0
2010-03-02,69.89,70.35,68.67,69.05,35880.0
2010-03-03,69.59,73.53,69.13,72.76,212715.0
2010-03-04,72.8,74.48,72.11,72.57,105320.0
2010-03-05,73.92,73.92,71.14,72.18,41325.0
2010-03-08,73.41,78.53,72.3,75.93,1379955.0
2010-03-09,76.84,76.91,73.89,74.29,201620.0
2010-03-10,74.56,76.62,73.27,73.92,109730.0
2010-03-11,74.29,74.79,72.89,74.25,77190.0
2010-03-12,74.02,75.7,74.02,75.44,81225.0
2010-03-15,75.25,75.4,72.65,72.87,47440.0
2010-03-16,74.76,74.76,71.88,72.02,107560.0
2010-03-17,72.8,73.99,71.64,72.04,86530.0
2010-03-18,71.27,72.91,71.27,72.63,44545.0
2010-03-19,73.41,74.56,72.94,73.26,79800.0
2010-03-22,72.87,73.41,68.49,70.44,147105.0
2010-03-23,70.71,71.73,69.57,70.26,45055.0
2010-03-25,69.59,71.12,68.99,69.45,49570.0
2010-03-26,70.12,73.41,69.13,72.29,93165.0
2010-03-29,72.19,77.98,69.74,70.68,78025.0
2010-03-30,70.5,72.34,70.5,70.78,24945.0
2010-03-31,70.39,72.4,70.37,70.69,53640.0
2010-04-01,70.05,75.25,70.05,74.47,244915.0
2010-04-05,74.63,76.32,73.69,74.97,110300.0
2010-04-06,75.4,76.32,74.63,74.97,170725.0
2010-04-07,76.01,77.98,75.58,76.74,210545.0
