,open,high,low,close,volume
2009-05-20,87.8,94.8,85.4,92.7,59918604.0
2009-05-21,91.7,96.65,89.3,90.45,43560220.0
2009-05-22,90.0,94.9,89.0,94.0,32360482.0
2009-05-25,92.4,95.1,88.4,89.45,52573328.0
2009-05-26,89.0,92.5,84.8,86.75,43185624.0
2009-05-27,88.0,91.2,87.8,89.75,31167714.0
2009-05-28,91.3,92.9,89.5,90.75,55760488.0
2009-05-29,93.5,99.3,92.0,97.9,67799714.0
2009-06-01,101.0,115.45,99.9,113.75,95946320.0
2009-06-02,115.35,116.7,107.15,110.85,50922972.0
2009-06-03,115.5,127.8,111.1,126.35,89377328.0
2009-06-04,128.0,139.8,120.1,136.9,103440328.0
2009-06-05,136.85,145.7,128.3,131.0,81375440.0
2009-06-08,133.35,138.75,119.0,121.8,80237184.0
2009-06-09,120.0,128.0,110.45,125.45,79853864.0
2009-06-10,128.0,131.9,120.55,123.6,55548760.0
2009-06-11,122.75,124.6,116.6,121.15,61687940.0
2009-06-12,129.9,129.9,116.8,118.85,58382256.0
2009-06-15,124.0,124.5,115.0,116.55,41494020.0
2009-06-16,113.9,121.8,113.0,119.95,53854472.0
2009-06-17,121.0,122.75,110.15,112.2,55453938.0
2009-06-18,113.05,114.45,97.6,100.05,63850056.0
2009-06-19,102.4,113.0,102.4,111.05,76549640.0
2009-06-22,114.5,115.5,107.65,108.85,47436492.0
2009-06-23,103.0,108.6,102.5,106.95,67785400.0
2009-06-24,107.6,117.4,107.05,116.65,68606728.0
2009-06-25,119.95,122.45,115.5,117.6,66885124.0
2009-06-26,119.4,124.5,118.0,123.5,52397592.0
2009-06-29,123.0,124.0,112.85,117.1,71436200.0
2009-06-30,119.0,119.75,102.6,103.75,76950024.0
2009-07-01,104.75,108.0,101.2,106.75,65376640.0
2009-07-02,108.75,108.75,102.0,104.25,41203780.0
2009-07-03,104.5,108.0,102.0,106.85,45787280.0
2009-07-06,108.0,110.55,97.0,98.8,59467328.0
2009-07-07,98.0,101.7,94.7,97.55,46628096.0
2009-07-08,96.0,96.0,86.7,87.25,60493388.0
2009-07-09,88.0,89.1,83.3,86.35,65514792.0
2009-07-10,87.3,89.75,81.7,83.25,62917544.0
2009-07-13,81.1,82.45,77.5,80.35,46890032.0
2009-07-14,82.85,91.7,82.5,89.7,54489112.0
2009-07-15,92.1,94.9,90.8,93.9,58400112.0
2009-07-16,95.5,98.45,92.05,92.8,55406272.0
2009-07-17,93.0,97.5,93.0,95.7,42693816.0
2009-07-20,96.0,97.3,93.25,94.2,54236317.0
2009-07-21,93.0,93.65,90.05,91.0,49793652.0
2009-07-22,92.0,96.7,90.45,91.25,69402816.0
2009-07-23,91.75,97.85,91.75,96.4,47158984.0
2009-07-24,99.5,104.5,98.0,103.35,94518336.0
2009-07-27,104.0,107.3,104.0,106.4,59877792.0
2009-07-28,108.0,109.0,105.6,107.0,43935788.0
2009-07-29,105.15,107.75,96.45,101.3,71202576.0
2009-07-30,100.1,101.5,98.0,99.25,47803704.0
2009-07-31,100.0,103.8,98.15,99.8,48848404.0
2009-08-03,87.3,97.0,87.3,95.65,62182428.0
2009-08-04,95.95,98.7,94.1,97.35,57129608.0
2009-08-05,98.0,98.65,95.1,96.75,32578580.0
2009-08-06,94.55,97.0,91.55,92.45,35323988.0
2009-08-07,91.5,92.5,86.25,86.95,46799628.0
2009-08-10,89.8,89.85,80.7,81.2,63215844.0
2009-08-11,82.5,85.3,80.4,83.7,43490784.0
2009-08-12,82.5,86.95,81.1,86.25,43263196.0
2009-08-13,88.25,90.9,87.7,90.45,46635076.0
2009-08-14,89.0,91.65,87.8,88.35,38914776.0
2009-08-17,85.0,89.3,84.5,85.35,60045516.0
2009-08-18,85.0,89.15,84.4,88.3,41278112.0
2009-08-19,88.5,89.9,84.25,84.9,48482860.0
2009-08-20,85.5,88.3,85.1,85.45,29444298.0
2009-08-21,85.5,87.3,84.25,86.9,22223220.0
2009-08-24,88.0,89.9,87.5,88.15,37630220.0
2009-08-25,87.35,92.8,87.1,92.1,59841048.0
2009-08-26,92.4,95.0,92.35,93.6,45169488.0
2009-08-27,92.5,93.5,90.9,91.3,29441538.0
2009-08-28,92.0,94.25,90.2,93.65,38138096.0
2009-08-31,91.85,94.9,90.6,93.7,37167556.0
2009-09-01,94.0,99.9,94.0,95.25,91618504.0
2009-09-02,94.4,98.1,93.55,97.15,55055588.0
2009-09-03,98.75,102.45,98.3,100.15,81374608.0
2009-09-04,101.0,101.8,97.6,100.15,52066632.0
2009-09-07,101.0,103.4,100.35,102.8,39036320.0
2009-09-08,103.25,105.0,100.8,101.3,47023988.0
2009-09-09,100.35,102.4,99.5,99.95,31369528.0
2009-09-10,101.0,102.2,96.3,97.0,35072132.0
2009-09-11,97.5,98.4,94.2,95.8,39425904.0
2009-09-14,94.9,96.7,93.7,94.8,27587272.0
2009-09-15,97.1,98.4,95.2,97.8,32780108.0
2009-09-16,99.0,100.5,98.2,98.65,32622436.0
2009-09-17,99.35,100.0,95.65,97.95,34674688.0
2009-09-18,97.85,99.8,97.0,99.25,28041016.0
2009-09-22,99.6,101.95,99.0,100.85,35016612.0
2009-09-23,99.7,99.7,93.9,94.6,64445984.0
2009-09-24,93.8,93.8,91.5,92.05,41739348.0
2009-09-25,85.75,93.4,85.75,92.1,26854352.0
2009-09-29,93.0,93.7,91.8,92.55,21922052.0
2009-09-30,92.5,93.25,91.3,91.6,15739155.0
2009-10-01,91.95,92.95,91.1,92.25,17103048.0
2009-10-05,89.5,91.9,85.25,87.1,24659832.0
2009-10-06,88.4,90.0,83.65,87.15,34127544.0
2009-10-07,88.0,89.7,84.8,85.3,22056804.0
2009-10-08,86.5,87.8,84.8,86.45,23935412.0
2009-10-09,87.5,88.0,85.1,85.5,16609248.0
2009-10-12,86.0,87.05,85.5,86.7,13023053.0
2009-10-14,87.5,88.0,85.1,85.55,20802384.0
2009-10-15,86.0,90.2,85.95,89.15,42272940.0
2009-10-16,89.45,90.5,88.55,89.35,21686680.0
2009-10-20,90.0,90.35,86.5,86.85,16035525.0
2009-10-21,90.0,90.0,85.1,86.15,15638588.0
2009-10-22,85.9,87.4,84.05,84.65,15003600.0
2009-10-23,85.6,86.25,83.75,84.25,11866413.0
2009-10-26,84.7,84.95,80.45,80.95,17065252.0
2009-10-27,81.0,81.0,76.0,76.45,23590937.0
2009-10-28,76.0,76.0,72.2,73.75,23447554.0
2009-10-29,73.5,73.5,69.7,71.4,56524580.0
2009-10-30,74.0,74.85,66.0,66.85,37683704.0
2009-11-03,58.2,63.8,55.1,58.25,60251140.0
2009-11-04,60.55,61.3,53.8,55.15,92646384.0
2009-11-05,55.5,63.5,55.35,62.5,91644928.0
2009-11-06,64.0,68.3,63.95,66.3,77625288.0
2009-11-09,66.0,67.8,62.85,66.35,48998660.0
2009-11-10,67.0,67.8,64.55,65.05,41451096.0
2009-11-11,64.05,68.1,62.5,67.7,47461176.0
2009-11-12,71.1,71.25,68.0,69.4,62818924.0
2009-11-13,69.4,70.1,66.2,66.7,38925628.0
2009-11-16,67.1,72.65,67.1,72.15,60815716.0
2009-11-17,72.0,73.5,70.5,72.8,43766592.0
2009-11-18,73.0,74.5,72.0,73.35,36435512.0
2009-11-19,73.0,79.9,73.0,75.2,117572232.0
2009-11-20,75.0,77.4,69.65,73.0,84865136.0
2009-11-23,73.45,74.9,71.2,72.65,32241972.0
2009-11-24,72.55,73.4,70.75,71.6,33970216.0
2009-11-25,72.0,72.8,69.8,70.15,31490026.0
2009-11-26,70.5,71.2,68.9,69.65,32025720.0
2009-11-27,68.4,74.95,66.25,74.05,73284688.0
2009-11-30,76.0,79.4,75.8,78.8,89588528.0
2009-12-01,79.0,81.65,77.75,81.15,54103520.0
2009-12-02,81.9,83.7,81.0,82.45,41664560.0
2009-12-03,83.4,87.6,79.7,80.55,36688572.0
2009-12-04,80.5,81.7,78.5,79.3,35534520.0
2009-12-07,79.0,83.9,79.0,83.05,59168064.0
2009-12-08,82.0,85.4,82.0,85.0,48180108.0
2009-12-09,84.45,86.4,83.7,84.15,43255788.0
2009-12-10,84.75,85.65,83.75,85.05,26743469.0
2009-12-11,86.35,86.5,81.8,83.15,27351002.0
2009-12-14,83.85,84.4,82.1,82.55,23129332.0
2009-12-15,82.9,83.4,78.85,79.5,29009916.0
2009-12-16,79.05,81.65,77.6,80.85,34939416.0
2009-12-17,81.0,83.8,80.6,82.9,40154108.0
2009-12-18,83.85,84.4,81.1,82.25,32453398.0
2009-12-21,82.5,83.35,80.45,80.9,21094998.0
2009-12-22,81.5,84.95,81.4,84.25,27300168.0
2009-12-23,81.5,84.95,81.4,84.25,27300168.0
2009-12-24,81.5,84.95,81.4,84.25,27300168.0
2009-12-29,81.5,84.95,81.4,84.25,27300168.0
2009-12-30,81.5,84.95,81.4,84.25,27300168.0
2009-12-31,81.5,84.95,81.4,84.25,27300168.0
2010-01-04,91.5,91.5,89.2,89.85,20730202.0
2010-01-05,90.35,93.25,90.35,92.45,35407304.0
2010-01-06,93.15,93.95,91.8,93.3,29648748.0
2010-01-07,93.65,93.65,90.75,91.95,20001072.0
2010-01-08,92.1,94.3,92.1,92.7,23576280.0
2010-01-11,93.65,95.2,93.1,94.75,27231662.0
2010-01-12,95.1,95.4,91.25,92.1,23086376.0
2010-01-13,91.8,93.45,89.75,93.0,25450726.0
2010-01-14,93.8,93.95,91.0,91.2,17697684.0
2010-01-15,91.7,92.3,88.5,89.1,23408868.0
2010-01-18,90.0,91.25,88.7,90.15,16488391.0
2010-01-19,90.5,90.6,86.7,87.2,16112511.0
2010-01-20,87.95,88.4,85.5,86.2,14723355.0
2010-01-21,85.6,86.1,82.35,82.8,25131184.0
2010-01-22,81.0,81.45,78.1,79.4,30853188.0
2010-01-25,80.0,80.0,75.5,76.05,25197594.0
2010-01-27,75.0,77.9,72.0,73.2,35182648.0
2010-01-28,75.5,76.45,72.8,74.4,29517712.0
2010-01-29,73.85,77.8,72.05,77.25,28439964.0
2010-02-01,77.5,79.6,76.15,78.55,32099104.0
2010-02-02,79.5,80.35,75.6,76.15,30860370.0
2010-02-03,76.5,78.4,76.5,77.3,16385269.0
2010-02-04,77.45,77.45,72.85,73.25,20984376.0
2010-02-05,70.6,72.6,69.05,71.4,27442552.0
2010-02-08,74.0,75.5,71.7,75.0,23951216.0
2010-02-09,74.9,75.35,73.1,73.75,15169432.0
2010-02-10,75.2,75.75,72.4,72.9,17214220.0
2010-02-11,74.0,74.4,73.2,73.75,11674558.0
2010-02-15,75.0,75.0,72.25,72.85,14233536.0
2010-02-16,73.0,74.3,72.25,73.95,11699601.0
2010-02-17,74.8,75.65,72.85,73.2,20492590.0
2010-02-18,72.9,73.9,70.4,70.7,27791440.0
2010-02-19,70.2,71.6,69.1,70.7,21254302.0
2010-02-22,72.4,72.75,69.5,69.95,15038428.0
2010-02-23,69.95,70.4,69.0,69.55,13411489.0
2010-02-24,69.25,70.0,68.15,69.05,14253295.0
2010-02-25,69.9,69.9,68.25,68.4,15051124.0
2010-02-26,68.2,72.75,68.05,71.85,31478976.0
2010-03-02,73.0,73.35,72.0,72.65,15517720.0
2010-03-03,73.1,74.7,72.55,74.35,20308836.0
2010-03-04,74.5,78.35,74.2,77.65,36192096.0
2010-03-05,78.0,81.3,77.65,80.45,52212156.0
2010-03-08,82.7,82.7,79.05,79.35,27184202.0
2010-03-09,79.3,79.7,76.7,77.1,20480308.0
2010-03-10,77.5,78.35,76.2,77.2,19278530.0
2010-03-11,77.2,78.5,76.4,77.05,19169442.0
2010-03-12,77.1,77.85,75.4,75.7,15451768.0
2010-03-15,75.45,75.45,73.3,73.6,14705429.0
2010-03-16,73.9,75.6,73.5,75.25,13375926.0
2010-03-17,76.55,76.75,74.1,74.5,15354484.0
2010-03-18,74.95,75.6,74.0,74.9,11703758.0
2010-03-19,74.0,76.4,74.0,75.9,13191285.0
2010-03-22,75.0,75.0,72.85,73.1,12593669.0
2010-03-23,73.4,74.8,72.9,73.45,16348445.0
2010-03-25,73.0,73.5,72.6,72.95,10917470.0
2010-03-26,73.7,73.9,72.2,72.8,11081334.0
2010-03-29,73.5,73.5,72.3,72.65,12695342.0
2010-03-30,73.5,74.25,71.7,72.15,14897581.0
2010-03-31,71.75,72.8,71.6,71.85,9496457.0
2010-04-01,72.5,73.4,72.2,72.55,9644921.0
2010-04-05,73.0,73.6,72.7,73.3,9389438.0
2010-04-06,73.55,75.8,73.5,75.0,23470672.0
2010-04-07,76.0,76.2,74.2,75.2,15711003.0
2010-04-08,75.2,76.0,74.35,74.75,15848336.0
2010-04-09,75.25,75.8,74.8,75.15,10084228.0
2010-04-12,75.5,75.85,73.5,74.1,10547100.0
2010-04-13,74.0,74.4,72.9,73.1,8602649.0
2010-04-15,73.9,74.9,72.0,72.45,14887628.0
2010-04-16,72.0,72.6,71.05,71.5,16103729.0
2010-04-19,70.9,71.0,69.5,69.8,14283417.0
