,open,high,low,close,volume
2009-05-20,43.0,45.81,42.6,43.82,743978.0
2009-05-21,43.99,44.89,41.38,42.0,297866.0
2009-05-22,42.03,50.08,41.0,48.61,1220132.0
2009-05-25,49.44,50.87,47.94,48.48,1371638.0
2009-05-26,48.55,48.81,44.43,45.04,425214.0
2009-05-27,46.71,47.3,45.32,46.19,241132.0
2009-05-28,46.4,46.4,44.89,45.03,148010.0
2009-05-29,45.48,47.55,45.27,46.34,310974.0
2009-06-01,47.0,49.78,46.34,47.36,653532.0
2009-06-02,47.77,48.8,46.66,47.71,277878.0
2009-06-03,47.94,49.78,46.28,47.19,515768.0
2009-06-04,46.77,49.45,46.77,49.0,529834.0
2009-06-05,49.45,49.71,46.31,46.65,371242.0
2009-06-08,48.81,48.81,42.75,44.08,285468.0
2009-06-09,43.41,45.96,42.14,45.65,275592.0
2009-06-10,46.35,48.71,46.1,47.09,655480.0
2009-06-11,47.07,49.07,46.46,46.95,401304.0
2009-06-12,48.16,48.49,45.07,45.61,202918.0
2009-06-15,46.05,47.33,45.04,45.32,298030.0
2009-06-16,44.89,46.11,44.55,45.82,155088.0
2009-06-17,45.21,47.32,43.52,44.03,152872.0
2009-06-18,43.68,45.81,40.38,40.83,277686.0
2009-06-19,41.51,42.28,39.41,40.86,276712.0
2009-06-22,41.51,45.16,41.0,44.06,415750.0
2009-06-23,43.36,44.8,40.86,43.84,905550.0
2009-06-24,44.92,45.5,43.68,44.02,747374.0
2009-06-25,44.89,44.89,43.12,43.39,140384.0
2009-06-26,44.13,44.49,42.75,43.59,150826.0
2009-06-29,43.84,45.5,43.7,43.94,194062.0
2009-06-30,44.71,44.74,42.75,42.87,141288.0
2009-07-01,42.16,44.1,41.85,43.71,130094.0
2009-07-02,43.73,43.97,43.15,43.44,60454.0
2009-07-03,43.36,43.97,42.92,43.3,87246.0
2009-07-06,43.97,44.22,41.59,42.32,136600.0
2009-07-07,42.49,43.21,41.09,41.59,223808.0
2009-07-08,40.95,41.22,39.84,40.55,121400.0
2009-07-09,40.66,41.19,40.13,40.45,92042.0
2009-07-10,40.46,40.9,39.41,39.82,144940.0
2009-07-13,39.62,40.37,38.26,39.65,174834.0
2009-07-14,40.0,40.9,40.0,40.72,74716.0
2009-07-15,40.78,43.06,40.78,42.78,147904.0
2009-07-16,43.21,44.05,42.29,43.1,142434.0
