,open,high,low,close,volume
2009-05-20,44.83,55.15,44.36,53.5,59640303.0
2009-05-21,52.29,55.22,51.3,52.65,43724411.0
2009-05-22,52.35,54.17,49.8,50.93,24219097.0
2009-05-25,51.26,51.99,49.9,50.92,15492615.0
2009-05-26,50.96,51.49,47.43,47.96,15125843.0
2009-05-27,48.61,51.18,48.61,50.65,16074864.0
2009-05-28,50.67,51.51,48.31,49.03,29236210.0
2009-05-29,49.99,51.85,48.61,49.61,42734541.0
2009-06-01,51.35,51.35,49.1,49.61,19568823.0
2009-06-02,51.18,52.42,49.49,51.47,25041591.0
2009-06-03,52.48,55.78,52.44,53.36,36014901.0
2009-06-04,51.96,55.09,51.96,54.36,17939093.0
2009-06-05,54.5,59.46,54.2,57.33,38912198.0
2009-06-08,58.15,59.34,53.25,53.78,25536306.0
2009-06-09,53.56,54.75,51.7,54.22,22422633.0
2009-06-10,55.23,56.4,52.29,53.22,18384095.0
2009-06-11,53.36,55.97,51.93,54.37,23901664.0
2009-06-12,54.94,55.2,52.04,52.62,18663884.0
2009-06-15,51.85,52.24,49.45,50.48,14540294.0
2009-06-16,49.34,52.13,48.77,51.54,13995144.0
2009-06-17,51.55,51.98,46.82,47.71,16960493.0
2009-06-18,47.28,49.49,46.99,48.53,20661893.0
2009-06-19,49.59,51.24,49.06,50.9,13720656.0
2009-06-22,51.99,51.99,48.78,49.13,11337415.0
2009-06-23,47.37,51.11,47.37,50.43,20868601.0
2009-06-24,50.97,53.02,50.4,52.62,24035489.0
2009-06-25,53.22,53.73,49.34,49.68,39625725.0
2009-06-26,50.23,50.73,48.4,50.12,15339940.0
2009-06-29,49.93,50.08,45.96,46.23,39223815.0
2009-06-30,46.4,46.81,42.4,42.82,51356853.0
2009-07-01,43.05,44.84,42.71,44.14,25494679.0
2009-07-02,44.78,44.92,42.14,43.35,22332036.0
2009-07-03,43.45,44.75,42.42,44.3,20092571.0
2009-07-06,44.78,45.32,41.08,41.67,19515568.0
2009-07-07,41.83,42.27,39.92,41.3,23384733.0
2009-07-08,40.95,43.09,39.77,41.43,28135999.0
2009-07-09,41.19,41.83,39.1,40.14,21793405.0
2009-07-10,40.66,42.09,39.18,39.85,21867325.0
2009-07-13,39.61,39.74,37.43,38.69,13198899.0
2009-07-14,39.74,40.64,39.33,40.11,16576366.0
2009-07-15,40.5,42.84,40.14,42.5,15960597.0
2009-07-16,43.45,45.42,43.16,43.7,26004772.0
2009-07-17,44.19,46.84,44.17,46.51,22156478.0
2009-07-20,47.13,48.61,45.53,48.3,19336654.0
2009-07-21,48.62,49.55,46.81,48.18,23465030.0
2009-07-22,48.68,50.09,47.13,47.88,18077345.0
2009-07-23,49.18,50.45,48.61,50.13,16448752.0
2009-07-24,50.45,55.62,50.13,54.92,42526600.0
2009-07-27,55.01,57.15,52.52,55.1,37495367.0
2009-07-28,57.0,62.57,56.56,61.03,78418582.0
2009-07-29,59.95,60.24,56.04,57.92,42570339.0
2009-07-30,57.41,59.36,56.75,58.25,24731535.0
2009-07-31,59.65,62.6,58.97,62.09,48059147.0
2009-08-03,67.13,68.88,66.1,68.43,31129431.0
2009-08-04,59.07,74.5,59.07,70.32,79319993.0
2009-08-05,69.99,72.49,69.35,71.37,45982353.0
2009-08-06,70.94,71.88,65.88,66.4,34493840.0
2009-08-07,78.15,78.15,63.48,65.82,47163391.0
2009-08-10,66.82,67.43,62.55,64.09,40260749.0
2009-08-11,64.33,69.26,62.4,68.32,57247425.0
2009-08-12,65.32,71.53,65.32,71.14,52092762.0
2009-08-13,71.67,75.32,70.78,75.08,48681112.0
2009-08-14,75.56,75.56,73.07,74.2,41238581.0
2009-08-17,70.81,73.16,68.58,69.14,25516127.0
2009-08-18,69.5,70.87,67.03,69.84,37892305.0
2009-08-19,70.15,70.15,67.47,68.2,23867961.0
2009-08-20,69.16,69.83,67.55,68.07,20230201.0
2009-08-21,67.13,69.32,66.27,68.7,23765398.0
2009-08-24,69.83,73.27,69.56,72.82,24921587.0
2009-08-25,71.89,78.27,71.6,77.82,45981044.0
2009-08-26,77.77,80.26,76.54,79.31,37472783.0
2009-08-27,78.31,78.72,76.69,77.15,25007838.0
2009-08-28,77.24,78.54,75.61,77.84,24884342.0
2009-08-31,76.5,78.56,75.47,77.72,27353793.0
2009-09-01,77.99,82.99,75.67,81.89,60261465.0
2009-09-02,79.35,83.54,78.18,82.55,40391896.0
2009-09-03,83.0,84.19,80.43,80.99,24999767.0
2009-09-04,81.11,81.99,78.81,80.67,30387993.0
2009-09-07,80.99,91.52,80.83,89.83,53450450.0
2009-09-08,90.93,91.26,86.76,89.79,51927807.0
2009-09-09,88.88,89.51,86.98,88.41,23239016.0
2009-09-10,88.87,91.68,88.46,89.3,30166416.0
2009-09-11,88.88,90.14,85.57,87.34,21292247.0
2009-09-14,83.87,89.95,83.87,89.56,25785197.0
2009-09-15,89.51,91.1,89.25,90.31,17218723.0
2009-09-16,91.26,96.65,90.48,95.98,45000397.0
2009-09-17,96.02,98.36,94.85,96.14,31315278.0
2009-09-18,95.38,96.28,93.8,95.21,20979624.0
2009-09-22,95.14,98.54,93.8,97.58,24998630.0
2009-09-23,97.75,98.37,96.05,96.49,15119930.0
2009-09-24,95.22,96.91,94.35,95.87,22624707.0
2009-09-25,95.22,95.86,93.65,94.18,14885058.0
2009-09-29,94.45,96.33,93.56,93.99,8382006.0
2009-09-30,94.43,94.82,92.54,93.82,15671953.0
2009-10-01,94.4,94.58,91.58,92.03,11626189.0
2009-10-05,78.56,91.32,78.56,89.42,10548098.0
2009-10-06,89.97,90.43,84.73,88.56,26216732.0
2009-10-07,89.35,91.1,88.0,88.61,12916472.0
2009-10-08,88.89,95.22,88.89,93.52,28045292.0
2009-10-09,94.45,95.06,85.86,86.6,36527713.0
2009-10-12,87.03,88.2,85.54,87.02,18437391.0
2009-10-14,87.92,92.17,87.92,91.22,32280491.0
2009-10-15,93.82,93.82,89.69,90.98,21373343.0
2009-10-16,90.74,92.38,87.92,91.94,15351109.0
2009-10-20,90.49,93.95,88.24,92.03,20056018.0
2009-10-21,91.55,91.97,87.29,88.06,14679244.0
2009-10-22,87.89,88.05,85.03,85.94,18224739.0
2009-10-23,87.29,87.72,83.41,84.0,25677160.0
2009-10-26,84.74,87.88,82.29,85.61,42256645.0
