,open,high,low,close,volume
2009-05-20,59.78,60.92,59.27,60.42,6385493.0
2009-05-21,59.5,61.92,58.66,59.07,3909744.0
2009-05-22,58.93,60.0,57.3,59.45,2564970.0
2009-05-25,59.79,62.5,59.28,61.25,2915378.0
2009-05-26,61.49,61.95,57.58,60.72,3871506.0
2009-05-27,60.99,62.91,60.99,62.14,5974920.0
2009-05-28,62.97,63.35,62.32,62.75,7582062.0
2009-05-29,63.26,64.21,60.5,60.95,5984619.0
2009-06-01,62.91,63.26,60.81,61.79,4110341.0
2009-06-02,62.63,63.83,58.72,59.76,10257341.0
2009-06-03,60.67,62.03,59.5,59.84,6117570.0
2009-06-04,58.66,60.22,57.31,59.54,12273046.0
2009-06-05,60.92,62.06,59.98,61.53,10988571.0
2009-06-08,62.73,63.2,60.96,61.65,5097184.0
2009-06-09,61.04,65.76,58.46,65.08,5832124.0
2009-06-10,66.9,70.03,65.21,69.19,10316780.0
2009-06-11,67.93,69.58,66.41,68.18,4285789.0
2009-06-12,68.49,69.92,65.53,67.06,6112907.0
2009-06-15,66.62,66.9,62.84,64.94,6012504.0
2009-06-16,63.66,67.69,63.66,67.34,5138810.0
2009-06-17,67.24,68.95,66.22,67.26,8483600.0
2009-06-18,67.41,68.76,64.91,67.08,6345576.0
2009-06-19,67.7,67.7,65.02,66.27,3924521.0
2009-06-22,66.33,67.53,62.36,63.18,4449299.0
2009-06-23,62.06,65.08,60.52,64.46,4579960.0
2009-06-24,64.62,66.21,63.54,64.45,7039222.0
2009-06-25,65.06,66.73,63.94,65.76,5416339.0
2009-06-26,66.05,67.19,65.48,66.24,4803821.0
2009-06-29,66.24,66.33,64.65,65.53,3310977.0
2009-06-30,66.1,67.53,64.91,65.5,3819248.0
2009-07-01,65.36,67.06,63.5,65.35,3787870.0
2009-07-02,64.97,67.01,64.51,66.67,2616244.0
2009-07-03,66.27,68.38,65.83,67.59,4858028.0
2009-07-06,67.99,68.89,61.49,62.85,6260977.0
2009-07-07,63.77,65.14,60.54,62.06,5931273.0
2009-07-08,60.92,63.2,60.07,61.65,3229404.0
2009-07-09,60.93,63.47,60.5,62.58,6509915.0
2009-07-10,61.52,62.86,59.5,60.56,4198122.0
2009-07-13,60.35,60.35,56.91,59.5,0.0
2009-07-14,67.64,69.18,67.25,68.11,4328006.0
2009-07-15,68.19,72.22,67.99,70.95,5088873.0
2009-07-16,73.44,73.44,69.41,70.19,5877771.0
2009-07-17,70.63,75.96,69.87,73.57,7726142.0
2009-07-20,74.55,75.9,73.2,74.24,3540445.0
2009-07-21,74.23,74.23,71.8,72.37,5170820.0
2009-07-22,72.56,74.55,71.66,72.06,7405050.0
2009-07-23,72.81,74.14,71.4,73.54,4602219.0
2009-07-24,74.23,76.12,73.39,75.33,5921086.0
2009-07-27,76.16,81.47,75.7,79.78,8831480.0
2009-07-28,80.31,82.0,79.9,81.6,6151248.0
2009-07-29,78.9,85.34,76.0,83.96,14191271.0
2009-07-30,84.19,84.5,81.38,83.39,11577514.0
2009-07-31,84.38,85.3,81.75,83.63,8166062.0
2009-08-03,84.83,87.66,83.61,87.02,6622110.0
2009-08-04,86.76,86.76,82.39,83.46,8651660.0
2009-08-05,83.87,85.15,82.58,84.78,4977476.0
2009-08-06,84.12,84.12,82.26,83.14,6159041.0
2009-08-07,81.36,83.03,78.12,79.24,10768047.0
2009-08-10,80.85,81.96,78.66,80.83,7482520.0
2009-08-11,80.29,82.58,78.93,81.94,8029039.0
2009-08-12,80.9,81.93,77.62,80.74,4112290.0
2009-08-13,81.78,83.22,81.32,82.87,4111637.0
2009-08-14,83.61,84.44,81.32,82.39,3304843.0
2009-08-17,81.55,83.55,78.01,80.61,3833921.0
2009-08-18,79.69,81.94,79.18,81.07,3574869.0
2009-08-19,80.22,82.9,79.7,80.76,5615382.0
2009-08-20,81.81,83.16,80.72,82.39,5092376.0
2009-08-21,82.58,84.19,81.42,83.97,2843379.0
2009-08-24,84.53,85.97,84.2,84.9,5108189.0
2009-08-25,84.9,85.65,82.31,84.46,12231430.0
2009-08-26,84.83,87.13,84.23,85.87,4367042.0
2009-08-27,83.72,88.04,83.72,87.44,6485356.0
2009-08-28,86.76,87.32,84.52,86.3,6978622.0
