,open,high,low,close,volume
2009-05-20,234.76,273.77,234.76,268.35,26128117.0
2009-05-21,264.38,279.94,258.02,264.12,18995695.0
2009-05-22,260.76,270.15,254.37,262.68,12888344.0
2009-05-25,262.57,272.11,261.13,266.36,8411828.0
2009-05-26,272.18,272.83,257.98,261.38,8846325.0
2009-05-27,269.4,273.62,264.52,269.79,9086718.0
2009-05-28,273.62,281.64,266.22,277.96,14921166.0
2009-05-29,281.64,298.11,278.1,292.8,12739147.0
2009-06-01,303.38,322.74,296.3,317.32,13007315.0
2009-06-02,321.37,349.47,314.94,342.75,18486362.0
2009-06-03,360.3,360.3,345.53,352.57,16058209.0
2009-06-04,351.78,351.78,334.23,339.97,11805563.0
2009-06-05,343.11,347.81,332.46,335.09,10780283.0
2009-06-08,338.06,339.5,295.58,300.82,14620257.0
2009-06-09,287.49,324.04,287.49,316.53,13187551.0
2009-06-10,324.87,334.99,313.39,317.32,11883899.0
2009-06-11,321.44,331.41,316.02,326.86,10011700.0
2009-06-12,331.73,340.94,326.68,330.65,14894069.0
2009-06-15,325.74,328.66,310.68,313.35,8463128.0
2009-06-16,306.27,329.24,296.27,325.56,13992023.0
2009-06-17,323.36,326.43,296.99,301.22,13055123.0
2009-06-18,299.77,303.67,273.98,280.49,16888023.0
2009-06-19,283.88,299.74,283.27,298.0,15053025.0
2009-06-22,303.38,304.76,289.19,290.92,11230145.0
2009-06-23,281.71,292.55,277.02,289.23,13066103.0
2009-06-24,290.96,295.73,283.27,293.99,9311682.0
2009-06-25,295.44,299.05,284.28,288.83,14278828.0
2009-06-26,288.94,291.1,274.53,280.67,18292173.0
2009-06-29,283.16,292.11,276.3,287.31,9563003.0
2009-06-30,288.94,297.53,279.37,282.18,13583731.0
2009-07-01,283.16,287.78,275.25,286.01,9188341.0
2009-07-02,292.55,309.67,287.09,303.67,17984155.0
2009-07-03,292.55,320.0,289.66,316.35,19043044.0
2009-07-06,324.49,328.06,293.7,297.87,13586282.0
2009-07-07,300.65,304.21,289.19,297.83,11294580.0
2009-07-08,292.27,295.16,270.41,272.29,13460947.0
2009-07-09,271.84,277.92,264.78,273.45,11650012.0
2009-07-10,277.77,282.69,258.24,265.08,10286069.0
2009-07-13,258.77,259.9,247.95,254.64,9536136.0
2009-07-14,259.9,270.41,258.62,268.76,7522269.0
2009-07-15,273.79,287.99,271.91,286.11,8694558.0
2009-07-16,300.38,303.31,284.68,288.59,17878949.0
2009-07-17,299.71,299.71,289.57,294.71,8210323.0
2009-07-20,299.48,301.25,290.69,293.85,10163563.0
2009-07-21,290.69,311.65,282.99,309.58,27729477.0
2009-07-22,310.22,318.79,296.33,299.97,20623564.0
2009-07-23,302.71,314.58,302.71,312.29,12661221.0
2009-07-24,315.48,334.26,314.8,332.38,15543615.0
2009-07-27,334.86,346.17,332.16,344.63,12703364.0
2009-07-28,347.4,356.64,337.0,353.94,15268292.0
2009-07-29,351.01,353.71,320.14,332.27,22912193.0
2009-07-30,326.75,343.27,316.53,339.63,20370731.0
2009-07-31,349.24,353.64,342.03,347.29,13388961.0
2009-08-03,349.39,365.81,349.28,364.46,11615259.0
2009-08-04,366.41,369.56,352.29,357.06,13434089.0
2009-08-05,358.3,361.68,347.59,355.52,11530160.0
2009-08-06,351.39,359.35,337.64,341.32,14016660.0
2009-08-07,335.69,348.15,334.33,342.9,17880913.0
2009-08-10,350.03,352.74,335.76,342.56,12403017.0
2009-08-11,342.52,350.78,337.71,347.85,10033802.0
2009-08-12,342.9,346.28,325.25,333.28,15961862.0
2009-08-13,338.01,354.54,337.86,353.23,10986031.0
2009-08-14,355.29,362.54,350.45,353.0,12499499.0
2009-08-17,338.77,348.31,327.57,328.96,9863140.0
2009-08-18,329.75,343.5,323.1,339.29,12355143.0
2009-08-19,339.52,342.52,322.99,325.81,10739147.0
2009-08-20,326.75,337.56,326.75,332.04,6277435.0
2009-08-21,332.01,336.29,326.07,334.22,7431912.0
2009-08-24,339.52,345.53,339.52,344.14,6297219.0
2009-08-25,339.52,349.58,338.2,343.91,8125852.0
2009-08-26,346.58,350.71,344.02,345.68,7009918.0
2009-08-27,343.27,344.02,319.24,327.27,17862955.0
2009-08-28,325.25,333.51,316.98,329.49,16618593.0
2009-08-31,322.99,328.93,314.47,318.67,14667738.0
2009-09-01,322.24,326.0,310.26,313.3,11084401.0
2009-09-02,309.47,316.23,306.09,311.8,11116676.0
2009-09-03,321.04,321.04,313.26,315.97,7775217.0
2009-09-04,316.83,324.72,315.63,323.18,9038590.0
2009-09-07,326.6,332.94,326.41,331.93,6907482.0
2009-09-08,337.11,349.28,333.73,342.9,13864129.0
2009-09-09,341.77,349.13,340.42,346.01,9212088.0
2009-09-10,351.46,356.79,346.47,352.96,11928833.0
2009-09-11,359.05,374.82,346.69,352.29,8675315.0
2009-09-14,349.88,361.07,349.62,359.69,9645253.0
2009-09-15,358.9,370.69,358.9,369.9,8686684.0
2009-09-16,375.57,401.04,372.98,398.18,20162782.0
2009-09-17,404.12,407.27,389.17,391.31,13065526.0
2009-09-18,386.95,400.96,386.84,388.98,11695331.0
2009-09-22,387.59,395.55,383.08,392.4,8816156.0
2009-09-23,392.85,398.78,389.17,391.05,7904517.0
2009-09-24,383.2,388.53,378.24,385.07,10252994.0
2009-09-25,381.58,386.35,370.58,374.33,11706174.0
2009-09-29,383.08,383.08,377.15,378.61,6674183.0
2009-09-30,377.83,386.69,377.83,382.67,5849077.0
2009-10-01,381.92,386.76,377.11,383.68,9087668.0
2009-10-05,377.94,381.43,371.37,373.32,7350205.0
2009-10-06,381.39,385.71,370.01,383.38,8632495.0
2009-10-07,388.38,395.55,384.29,388.27,9033927.0
2009-10-08,392.1,404.42,391.42,401.82,9654365.0
2009-10-09,405.39,409.64,397.36,400.02,10441971.0
2009-10-12,400.89,412.68,400.13,409.82,7693505.0
2009-10-14,412.38,432.43,412.38,429.13,9250966.0
2009-10-15,434.84,439.72,428.3,431.64,8609583.0
2009-10-16,430.93,431.5,422.37,425.64,5571628.0
2009-10-20,426.91,436.15,424.77,432.02,6285679.0
2009-10-21,431.08,432.06,413.77,415.5,5379373.0
2009-10-22,414.63,417.64,405.13,407.42,6620951.0
2009-10-23,413.88,415.98,396.08,397.84,6403234.0
2009-10-26,397.36,415.65,395.55,405.51,7204066.0
2009-10-27,404.12,404.12,371.55,376.17,10853338.0
2009-10-28,375.57,378.35,358.48,361.53,13218979.0
2009-10-29,353.04,358.37,347.18,351.27,11681811.0
2009-10-30,360.55,370.31,349.28,354.2,7206304.0
2009-11-03,350.03,356.98,330.54,334.48,7085964.0
2009-11-04,343.27,354.54,325.4,352.29,12938033.0
2009-11-05,351.91,366.56,344.1,364.87,10255253.0
2009-11-06,370.61,380.83,368.06,375.42,8757889.0
2009-11-09,377.07,385.34,376.44,382.48,7009839.0
2009-11-10,386.76,388.12,375.57,379.07,8005953.0
2009-11-11,381.58,397.73,378.46,395.51,7469187.0
2009-11-12,393.6,393.6,381.06,384.62,9634707.0
2009-11-13,384.59,394.35,379.33,391.16,7357436.0
2009-11-16,395.25,408.77,395.25,403.03,7621402.0
2009-11-17,405.62,409.22,398.48,404.72,6936734.0
2009-11-18,407.12,413.65,394.39,411.18,10131440.0
2009-11-19,409.37,417.41,399.98,403.48,11095430.0
2009-11-20,399.61,416.89,393.6,415.35,9698130.0
2009-11-23,414.63,433.37,413.13,430.44,10014832.0
2009-11-24,434.16,434.87,417.52,419.66,11243810.0
2009-11-25,422.14,428.87,418.39,422.97,5801691.0
2009-11-26,423.64,426.57,396.87,408.4,18833540.0
2009-11-27,394.35,415.83,388.34,409.26,13572903.0
2009-11-30,413.13,437.17,399.35,435.06,14917315.0
2009-12-01,442.72,443.78,431.19,436.9,9851948.0
2009-12-02,440.17,444.23,429.8,431.76,9039482.0
2009-12-03,433.48,443.18,431.23,438.37,8014514.0
2009-12-04,432.66,438.67,429.39,432.62,7697033.0
2009-12-07,428.15,431.83,415.61,417.52,7144281.0
2009-12-08,413.13,428.83,413.13,426.8,8219939.0
2009-12-09,423.64,423.64,406.78,409.3,11374886.0
2009-12-10,413.13,418.05,406.52,412.34,9343243.0
2009-12-11,420.42,420.42,402.95,410.54,9824593.0
2009-12-14,410.54,415.38,405.05,409.0,6873437.0
2009-12-15,413.13,418.39,408.62,410.5,6957752.0
2009-12-16,410.88,420.9,407.61,418.88,9575471.0
2009-12-17,417.64,427.33,417.64,423.8,8874654.0
2009-12-18,422.14,430.03,419.78,423.08,8567468.0
2009-12-21,425.9,429.09,415.38,417.56,7131897.0
2009-12-22,426.65,435.96,419.51,433.56,7927657.0
2009-12-23,426.65,435.96,419.51,433.56,7927657.0
2009-12-24,426.65,435.96,419.51,433.56,7927657.0
