,open,high,low,close,volume
2009-05-20,72.32,77.04,71.13,76.01,2390096.0
2009-05-21,76.59,86.15,76.59,82.34,6398540.0
2009-05-22,82.99,97.02,82.2,93.8,12727532.0
2009-05-25,95.83,99.39,91.31,95.29,6114692.0
2009-05-26,95.2,96.82,84.67,86.84,4370228.0
2009-05-27,90.22,95.81,89.31,95.02,4916692.0
2009-05-28,94.65,96.43,90.89,91.62,2222420.0
2009-05-29,93.27,96.29,92.87,93.59,2036296.0
2009-06-01,94.89,104.5,93.66,103.31,7153768.0
2009-06-02,104.3,113.42,101.76,110.48,8626208.0
2009-06-03,112.45,134.15,111.64,129.98,15396192.0
2009-06-04,128.44,141.87,126.68,132.02,12380628.0
2009-06-05,136.68,136.68,124.51,125.95,4269848.0
2009-06-08,127.45,131.4,113.72,117.04,3867928.0
2009-06-09,116.52,149.76,112.63,147.01,25479936.0
2009-06-10,149.19,169.93,149.19,154.68,39721212.0
2009-06-11,159.3,161.77,149.19,152.93,13986920.0
2009-06-12,153.3,157.88,141.28,142.53,8832052.0
2009-06-15,140.29,147.01,134.66,138.21,7632944.0
2009-06-16,138.28,158.67,128.44,156.01,17177272.0
2009-06-17,158.33,161.63,145.04,149.31,18191532.0
2009-06-18,147.21,157.09,145.23,154.9,16286208.0
2009-06-19,156.3,158.83,143.72,150.39,13176592.0
2009-06-22,151.16,154.76,145.23,146.45,6331660.0
2009-06-23,148.2,151.96,139.35,147.67,10207756.0
2009-06-24,155.65,155.65,147.53,150.34,5535912.0
2009-06-25,150.57,153.04,145.59,146.99,4299840.0
2009-06-26,150.1,150.37,140.93,146.24,6447604.0
2009-06-29,147.99,150.02,145.23,146.65,3376320.0
2009-06-30,148.19,152.7,143.65,144.66,6592212.0
2009-07-01,146.94,149.58,142.68,147.71,3625312.0
2009-07-02,149.19,153.93,146.71,152.26,7990748.0
2009-07-03,150.17,152.15,147.24,148.61,3222056.0
2009-07-06,146.42,149.98,135.33,137.51,3102168.0
2009-07-07,134.58,141.48,134.58,139.67,2110404.0
2009-07-08,136.39,142.25,131.01,135.51,4527004.0
2009-07-09,137.92,139.88,133.38,137.42,2716616.0
2009-07-10,141.16,143.79,124.19,129.19,4864364.0
2009-07-13,132.17,134.17,126.66,129.45,3277876.0
2009-07-14,135.34,140.19,131.4,138.89,4144184.0
2009-07-15,139.92,142.27,135.95,137.91,4991452.0
2009-07-16,140.23,144.8,137.92,139.45,6589448.0
2009-07-17,141.63,147.43,140.29,145.08,7332152.0
2009-07-20,147.8,160.9,145.33,158.61,14522348.0
2009-07-21,161.04,165.78,155.72,160.49,14160804.0
2009-07-22,160.05,161.02,150.77,152.22,8345144.0
2009-07-23,145.08,157.29,145.08,155.0,14864588.0
2009-07-24,162.0,162.0,155.0,157.19,6598000.0
2009-07-27,157.88,159.07,153.73,156.3,2840432.0
2009-07-28,157.05,163.95,155.72,159.3,7504260.0
2009-07-29,156.12,162.62,154.32,160.48,5480712.0
2009-07-30,158.08,168.94,158.08,167.6,10100872.0
2009-07-31,170.92,172.64,165.19,167.59,7496628.0
2009-08-03,167.96,170.41,165.59,167.99,3131876.0
2009-08-04,168.87,173.84,164.22,168.21,7481428.0
2009-08-05,171.88,171.89,166.47,170.48,5426516.0
2009-08-06,165.21,170.31,160.33,163.45,3845044.0
2009-08-07,163.02,163.02,150.28,151.61,5037484.0
2009-08-10,154.13,158.64,152.17,154.53,5708744.0
2009-08-11,151.75,167.36,151.75,164.58,8438916.0
2009-08-12,163.21,166.91,158.08,165.63,5602856.0
2009-08-13,168.37,170.45,166.48,169.22,3760228.0
2009-08-14,169.74,170.33,165.78,166.82,2758644.0
2009-08-17,165.45,167.83,158.08,159.19,3182060.0
2009-08-18,158.08,167.12,158.08,166.07,3301416.0
2009-08-19,165.98,168.85,160.5,161.85,3471420.0
2009-08-20,163.26,167.17,162.48,164.33,2328260.0
2009-08-21,164.4,164.8,159.86,161.7,3410956.0
2009-08-24,165.96,168.35,163.73,166.83,3438000.0
2009-08-25,165.98,176.85,164.46,176.06,11149044.0
2009-08-26,178.03,184.75,176.45,182.04,8501964.0
2009-08-27,181.03,182.66,178.27,181.37,4825280.0
2009-08-28,181.79,183.21,176.65,181.0,3655908.0
2009-08-31,180.8,189.63,178.53,187.49,6899444.0
2009-09-01,188.7,199.18,186.53,192.04,9633900.0
2009-09-02,190.11,194.08,187.08,189.4,5917780.0
2009-09-03,192.06,192.06,184.95,186.59,3124104.0
2009-09-04,187.32,190.09,182.97,188.52,3049608.0
2009-09-07,190.88,193.25,189.06,191.5,4303976.0
2009-09-08,195.61,201.94,187.72,189.02,5754640.0
2009-09-09,188.9,190.85,185.84,187.47,2374232.0
2009-09-10,188.92,190.88,178.23,179.96,4196236.0
2009-09-11,182.78,182.78,173.09,174.94,5591100.0
2009-09-14,175.08,178.82,171.02,177.01,3869844.0
2009-09-15,178.23,180.4,175.9,178.23,2492296.0
2009-09-16,179.83,181.33,178.63,180.03,2046600.0
2009-09-17,181.35,183.36,178.42,179.9,2805744.0
2009-09-18,179.62,181.39,178.03,178.79,1798668.0
2009-09-22,179.42,182.1,178.18,180.03,2040076.0
2009-09-23,180.23,180.92,177.13,178.27,1941516.0
2009-09-24,176.85,177.84,174.66,176.49,2358196.0
2009-09-25,176.49,186.72,175.48,184.69,5839744.0
2009-09-29,185.74,187.66,182.28,183.05,2653536.0
2009-09-30,183.96,187.1,183.37,184.98,3170580.0
2009-10-01,183.76,189.45,183.76,186.93,3412080.0
2009-10-05,185.54,188.98,182.78,185.38,2392104.0
2009-10-06,189.1,189.1,181.79,184.67,1685520.0
2009-10-07,185.74,185.74,179.86,181.72,2551604.0
2009-10-08,182.78,183.14,178.06,179.37,1306424.0
2009-10-09,180.21,184.25,178.83,181.66,2049720.0
2009-10-12,180.8,184.34,180.6,182.7,1011484.0
2009-10-14,186.14,186.38,182.78,184.47,1346400.0
2009-10-15,186.12,187.12,181.53,183.62,2326708.0
2009-10-16,184.56,188.34,182.97,187.72,2136712.0
2009-10-20,186.33,189.79,184.76,186.06,2365860.0
2009-10-21,187.72,189.49,185.35,186.39,2661964.0
2009-10-22,186.14,187.61,184.75,185.48,1487880.0
2009-10-23,187.53,187.72,184.81,185.55,895500.0
2009-10-26,186.14,187.06,183.37,185.61,1019168.0
2009-10-27,184.75,188.47,183.77,184.96,1935340.0
2009-10-28,183.86,187.18,180.31,186.34,938252.0
2009-10-29,185.15,185.87,180.91,183.59,1798492.0
2009-10-30,186.53,188.9,181.0,184.62,1917820.0
2009-11-03,183.57,184.74,175.27,177.18,1262492.0
2009-11-04,177.84,182.93,172.5,181.37,1212312.0
2009-11-05,180.72,184.74,177.26,183.84,753448.0
