,open,high,low,close,volume
2009-05-20,69.57,76.44,66.13,72.96,33058.0
2009-05-21,70.17,72.92,65.92,69.48,16830.0
2009-05-22,70.86,73.86,68.71,71.29,20269.0
2009-05-25,72.45,75.32,72.15,74.72,18245.0
2009-05-26,76.87,84.86,74.64,75.32,68211.0
2009-05-27,79.79,79.88,76.66,77.26,11588.0
2009-05-28,75.58,80.22,75.58,76.31,16285.0
2009-05-29,77.3,90.05,77.26,87.82,142471.0
2009-06-01,88.81,103.93,83.48,102.34,296491.0
2009-06-02,103.93,105.13,92.12,96.45,64477.0
2009-06-03,99.54,99.54,92.24,93.32,11033.0
2009-06-04,92.76,100.06,91.04,95.38,18203.0
2009-06-05,95.42,97.05,91.04,91.81,19510.0
2009-06-08,90.7,90.74,84.26,84.9,7833.0
2009-06-09,82.07,88.38,82.02,85.5,6178.0
2009-06-10,88.47,88.47,81.59,82.28,10657.0
2009-06-11,79.19,84.94,79.19,81.81,6151.0
2009-06-12,79.1,82.32,77.47,77.47,11718.0
2009-06-15,79.02,79.02,75.58,77.69,5696.0
2009-06-16,77.43,80.74,75.58,79.32,3984.0
2009-06-17,78.16,80.31,75.24,75.75,2208.0
2009-06-18,74.72,77.56,73.01,73.31,1894.0
2009-06-19,73.05,75.11,72.32,73.69,1823.0
2009-06-22,77.04,77.04,71.29,72.58,1850.0
2009-06-23,72.92,72.92,69.57,71.29,1686.0
2009-06-24,70.6,73.82,70.43,72.4,2590.0
2009-06-25,69.91,75.93,69.91,71.59,2941.0
2009-06-26,73.86,73.86,71.59,73.01,4001.0
2009-06-29,72.58,74.98,71.29,71.59,3272.0
2009-06-30,71.33,73.82,70.64,70.73,1497.0
2009-07-01,76.14,76.14,70.69,71.93,2565.0
2009-07-02,72.92,74.25,70.69,71.55,4707.0
2009-07-03,72.96,72.96,70.51,70.51,1701.0
2009-07-06,71.29,73.01,65.28,66.52,5370.0
2009-07-07,67.42,71.2,67.08,67.94,6936.0
2009-07-08,68.62,68.62,64.59,65.49,2720.0
2009-07-09,64.72,67.85,64.72,66.99,2416.0
2009-07-10,64.63,66.78,61.88,62.74,4335.0
2009-07-13,63.56,64.42,60.98,61.5,1855.0
2009-07-14,63.56,66.05,62.27,65.19,1105.0
2009-07-15,63.82,69.4,63.82,69.1,3064.0
2009-07-16,69.1,72.15,67.94,70.08,6342.0
2009-07-17,72.88,72.88,69.05,70.0,4837.0
2009-07-20,72.15,73.86,70.26,73.31,6754.0
2009-07-21,71.72,74.72,71.72,73.86,4483.0
2009-07-22,75.15,75.15,73.01,74.12,1555.0
2009-07-23,71.37,75.58,71.37,75.11,5841.0
2009-07-24,74.85,76.7,73.95,76.27,3067.0
2009-07-27,71.42,76.35,71.42,75.15,4473.0
2009-07-28,76.44,78.12,75.58,76.44,3587.0
2009-07-29,74.72,78.16,74.68,76.48,2616.0
2009-07-30,81.47,81.47,75.58,77.6,968.0
2009-07-31,78.16,82.84,76.74,77.43,4133.0
2009-08-03,77.3,78.76,74.72,78.07,9972.0
2009-08-04,82.84,84.08,78.37,80.39,29982.0
2009-08-05,80.22,81.08,78.2,79.28,2860.0
2009-08-06,79.1,88.42,79.1,83.1,170265.0
2009-08-07,80.86,84.9,78.37,79.02,11381.0
2009-08-10,79.1,80.65,69.78,79.36,8705.0
2009-08-11,77.56,79.28,75.88,77.21,4159.0
2009-08-12,71.85,78.93,71.85,75.93,3788.0
2009-08-13,77.51,81.59,77.3,77.69,6021.0
2009-08-14,78.12,78.85,74.94,77.94,1593.0
2009-08-17,74.72,78.93,74.72,76.61,3671.0
2009-08-18,75.62,84.6,75.62,81.59,110043.0
2009-08-19,79.92,83.23,77.39,79.45,11275.0
2009-08-20,79.96,79.96,77.39,77.43,3956.0
2009-08-21,76.01,76.01,76.01,76.01,0.0
2009-08-24,80.52,82.02,79.88,80.91,37488.0
2009-08-25,79.58,82.71,79.1,82.28,4525.0
2009-08-26,81.64,92.63,81.64,91.6,98475.0
2009-08-27,92.59,97.05,91.3,94.13,347383.0
2009-08-28,94.91,95.34,88.89,92.16,50653.0
2009-08-31,91.9,93.62,90.18,90.74,8677.0
2009-09-01,92.76,94.91,86.83,87.91,14230.0
2009-09-02,85.89,97.4,85.89,96.2,58330.0
2009-09-03,96.2,102.42,92.93,99.42,396544.0
2009-09-04,102.21,104.61,95.55,97.1,515944.0
2009-09-07,100.02,102.12,97.05,100.06,123345.0
2009-09-08,100.06,102.94,97.14,97.96,419755.0
2009-09-09,98.77,101.35,95.34,96.2,90703.0
2009-09-10,96.62,99.54,94.48,95.89,30065.0
2009-09-11,95.81,110.62,92.85,104.44,995062.0
2009-09-14,107.79,114.58,104.4,105.6,648446.0
2009-09-15,110.71,110.71,100.62,101.91,134231.0
2009-09-16,103.02,103.93,98.9,100.19,67042.0
2009-09-17,102.04,102.04,98.77,99.24,40681.0
2009-09-18,99.59,100.49,97.14,97.27,29639.0
2009-09-22,99.63,102.12,97.31,97.74,39800.0
2009-09-23,98.34,99.2,93.1,93.92,49292.0
2009-09-24,92.37,95.94,91.3,94.13,37582.0
2009-09-25,92.8,96.15,92.8,94.99,28046.0
2009-09-29,95.34,97.66,94.65,95.94,13963.0
2009-09-30,95.34,98.26,94.91,97.44,111140.0
2009-10-01,98.3,98.34,94.95,95.81,21872.0
2009-10-05,94.13,104.27,94.13,100.75,440559.0
2009-10-06,102.77,102.77,95.34,97.35,86846.0
2009-10-07,97.91,106.93,97.91,101.39,438044.0
2009-10-08,105.47,111.4,100.06,106.67,403376.0
2009-10-09,109.04,114.27,105.86,107.79,316231.0
2009-10-12,109.08,116.89,107.96,114.53,313870.0
2009-10-14,115.09,115.73,109.98,110.8,79521.0
2009-10-15,110.19,113.29,107.58,111.66,68405.0
2009-10-16,110.19,115.86,110.15,112.47,63552.0
2009-10-20,112.51,114.23,110.8,111.78,66952.0
2009-10-21,112.08,119.21,111.14,111.96,120555.0
2009-10-22,110.88,114.66,110.8,111.87,55516.0
2009-10-23,115.82,115.82,109.08,109.08,68072.0
2009-10-26,110.07,110.71,103.5,103.88,24864.0
2009-10-27,103.07,103.07,98.26,101.35,142720.0
2009-10-28,101.35,101.35,95.98,96.88,19783.0
2009-10-29,97.05,100.49,93.19,97.57,35155.0
2009-10-30,102.21,102.98,95.42,95.42,43468.0
2009-11-03,97.91,97.91,88.94,89.97,20612.0
2009-11-04,83.1,92.76,83.1,90.18,7894.0
2009-11-05,89.58,93.83,89.58,93.15,16324.0
2009-11-06,96.88,98.6,94.48,97.48,13165.0
2009-11-09,97.05,98.73,94.82,97.1,4568.0
2009-11-10,97.48,99.54,94.48,96.5,6194.0
2009-11-11,95.77,98.26,95.55,97.01,3857.0
2009-11-12,97.83,99.46,95.89,96.8,7474.0
2009-11-13,97.83,100.83,95.68,97.61,31008.0
2009-11-16,98.77,100.23,98.34,98.56,9430.0
2009-11-17,97.91,106.5,97.91,99.93,107382.0
2009-11-18,98.0,104.48,98.0,101.05,21175.0
2009-11-19,100.02,106.24,99.54,100.53,32739.0
2009-11-20,102.12,102.12,97.48,98.43,6282.0
2009-11-23,99.63,105.39,99.63,101.48,32316.0
2009-11-24,101.0,105.9,101.0,104.83,44087.0
2009-11-25,102.64,105.6,101.39,101.69,4597.0
2009-11-26,101.0,103.07,98.51,99.16,8873.0
2009-11-27,96.2,98.69,94.48,97.05,12284.0
2009-11-30,101.26,101.35,98.9,99.24,2865.0
2009-12-01,100.45,105.69,98.77,103.58,41756.0
2009-12-02,105.47,107.19,98.77,100.66,52621.0
2009-12-03,102.98,120.8,100.96,119.64,1438315.0
2009-12-04,119.3,119.3,108.43,111.53,550552.0
2009-12-07,111.57,114.02,107.83,108.56,199273.0
2009-12-08,109.51,115.86,107.79,113.29,207741.0
2009-12-09,112.51,114.66,110.5,110.97,87149.0
2009-12-10,111.96,112.43,108.73,109.55,42768.0
2009-12-11,110.54,111.4,106.63,107.32,38923.0
2009-12-14,105.64,111.57,105.64,108.0,43317.0
2009-12-15,108.22,110.88,105.69,105.9,24536.0
2009-12-16,105.64,114.92,104.78,111.74,337781.0
2009-12-17,112.51,113.97,109.29,109.94,119467.0
2009-12-18,110.37,113.12,108.39,108.99,96459.0
2009-12-21,108.48,113.12,105.64,108.13,58016.0
2009-12-22,109.38,112.26,108.65,109.89,54504.0
2009-12-23,109.38,112.26,108.65,109.89,54504.0
2009-12-24,109.38,112.26,108.65,109.89,54504.0
2009-12-29,109.38,112.26,108.65,109.89,54504.0
2009-12-30,109.38,112.26,108.65,109.89,54504.0
2009-12-31,109.38,112.26,108.65,109.89,54504.0
2010-01-04,121.1,123.12,118.7,119.69,129123.0
2010-01-05,120.8,129.26,120.33,124.32,599207.0
2010-01-06,125.14,126.17,120.67,121.53,88071.0
2010-01-07,123.51,123.94,119.94,120.59,50604.0
2010-01-08,121.79,124.11,118.1,119.81,67264.0
2010-01-11,121.45,123.68,119.38,119.81,39831.0
2010-01-12,121.06,123.59,117.97,118.48,62748.0
2010-01-13,119.38,120.42,116.12,117.8,33034.0
2010-01-14,119.0,120.8,118.14,118.83,36509.0
2010-01-15,120.12,121.53,117.24,117.71,27405.0
2010-01-18,118.35,119.77,116.98,117.88,19063.0
2010-01-19,119.3,123.25,116.59,118.44,70370.0
2010-01-20,119.26,120.12,115.69,116.25,21391.0
2010-01-21,117.67,120.07,113.37,113.72,54123.0
2010-01-22,111.65,113.29,105.9,108.18,0.0
2010-01-25,112.08,112.08,98.0,98.6,130017.0
2010-01-27,100.79,100.79,84.17,85.72,127129.0
2010-01-28,90.01,94.09,87.39,88.34,130051.0
2010-01-29,85.89,91.39,85.89,90.61,0.0
2010-02-01,89.32,102.51,89.32,97.23,338734.0
2010-02-02,100.32,100.32,93.75,94.78,45811.0
2010-02-03,96.2,96.97,94.48,95.04,35072.0
2010-02-04,95.51,96.15,91.04,91.77,26555.0
2010-02-05,89.02,90.18,86.96,87.43,42886.0
2010-02-08,90.18,91.04,87.74,89.8,25666.0
