,open,high,low,close,volume
2009-05-20,34.13,37.5,33.58,36.9,2658700.0
2009-05-21,37.19,38.87,36.54,37.11,1717480.0
2009-05-22,36.85,37.02,34.96,35.19,1569460.0
2009-05-25,34.48,36.67,33.89,36.25,1508940.0
2009-05-26,36.36,36.68,32.68,32.9,1559000.0
2009-05-27,33.4,35.06,33.4,34.67,924900.0
2009-05-28,34.44,35.85,34.44,35.5,947860.0
2009-05-29,36.04,37.26,35.3,36.95,2282920.0
2009-06-01,37.37,38.22,37.37,37.66,2245960.0
2009-06-02,37.66,38.74,36.92,38.32,2854000.0
2009-06-03,38.54,42.01,38.54,41.32,2023000.0
2009-06-04,41.4,41.4,39.6,39.85,1607940.0
2009-06-05,40.4,41.5,39.97,40.89,894500.0
2009-06-08,41.15,41.15,39.6,39.69,992180.0
2009-06-09,39.64,42.84,39.29,41.82,1700200.0
2009-06-10,42.67,44.07,41.59,42.84,2287600.0
2009-06-11,43.67,43.73,41.21,41.6,627000.0
2009-06-12,41.67,43.39,40.98,41.35,727720.0
2009-06-15,40.64,41.84,40.47,40.87,938720.0
2009-06-16,39.95,40.98,39.95,40.61,1259420.0
2009-06-17,40.64,40.91,39.95,40.34,551920.0
2009-06-18,40.4,40.77,39.6,40.18,435640.0
2009-06-19,39.64,41.27,39.64,40.73,758280.0
2009-06-22,40.05,41.28,39.09,39.95,328920.0
2009-06-23,39.19,39.74,37.19,38.66,774640.0
2009-06-24,38.23,39.34,37.4,38.4,854360.0
2009-06-25,39.26,40.46,37.71,38.22,2206220.0
2009-06-26,38.57,39.52,38.05,39.3,440940.0
2009-06-29,39.3,41.25,39.26,40.84,1256240.0
2009-06-30,40.64,41.15,40.02,40.42,1185900.0
2009-07-01,40.98,40.98,39.95,40.66,884540.0
2009-07-02,40.94,41.15,40.53,40.83,531980.0
2009-07-03,40.46,42.01,40.46,41.51,955740.0
2009-07-06,42.12,44.76,41.15,42.48,3250420.0
2009-07-07,43.05,43.53,41.71,42.27,729140.0
2009-07-08,42.01,42.74,40.29,41.69,865780.0
2009-07-09,42.43,42.43,40.33,40.82,287440.0
2009-07-10,50.33,50.33,47.91,48.2,1456520.0
2009-07-13,47.39,48.84,44.37,46.09,810880.0
2009-07-14,47.69,48.47,46.11,48.19,473200.0
2009-07-15,48.26,49.55,48.06,48.63,462140.0
2009-07-16,49.67,50.96,48.89,49.66,376080.0
2009-07-17,50.54,50.54,49.16,50.05,313040.0
2009-07-20,50.21,51.29,49.74,50.98,378120.0
2009-07-21,50.75,52.2,50.75,51.28,411260.0
2009-07-22,50.96,52.82,50.96,52.05,459400.0
2009-07-23,52.26,54.48,51.79,54.23,1172340.0
2009-07-24,54.69,55.72,53.48,54.53,553060.0
2009-07-27,55.51,56.84,54.31,55.37,3023900.0
2009-07-28,54.9,56.12,54.35,55.02,727140.0
2009-07-29,54.69,54.69,51.42,52.08,943820.0
2009-07-30,50.61,52.12,49.76,50.03,1023720.0
2009-07-31,50.34,51.87,50.13,50.71,1429480.0
2009-08-03,50.8,51.56,49.01,49.97,1524180.0
2009-08-04,50.17,51.18,49.53,50.23,1471920.0
2009-08-05,49.71,50.75,49.3,49.9,448340.0
2009-08-06,49.84,51.29,48.89,49.22,1594580.0
2009-08-07,48.89,49.83,47.11,47.42,1066280.0
2009-08-10,49.21,49.96,47.15,47.95,2401720.0
2009-08-11,48.84,49.3,46.9,48.12,2681320.0
2009-08-12,48.06,48.47,46.4,47.7,376220.0
2009-08-13,48.14,50.33,48.1,49.5,770400.0
2009-08-14,49.8,51.12,49.31,49.74,1038040.0
2009-08-17,49.74,50.48,48.1,48.46,1867900.0
2009-08-18,48.47,49.47,47.66,48.76,765200.0
2009-08-19,48.72,49.22,48.06,48.7,1005800.0
2009-08-20,49.18,50.06,49.18,49.63,494180.0
2009-08-21,49.92,51.08,49.09,50.34,647720.0
2009-08-24,50.96,51.95,50.05,50.37,913580.0
2009-08-25,50.13,50.83,49.76,50.51,356860.0
2009-08-26,50.55,51.7,49.82,50.16,350940.0
2009-08-27,50.17,53.36,50.17,51.82,3107920.0
2009-08-28,52.61,53.36,51.17,51.52,850780.0
2009-08-31,51.37,51.7,50.67,50.94,228380.0
2009-09-01,50.87,51.74,49.92,51.01,596380.0
2009-09-02,50.87,51.16,50.46,50.83,147920.0
2009-09-03,51.16,52.53,50.84,51.09,498200.0
2009-09-04,51.66,52.16,51.18,51.45,331760.0
2009-09-07,51.79,53.98,51.62,53.5,1059240.0
2009-09-08,53.86,55.93,52.45,52.99,2781220.0
2009-09-09,53.65,54.43,52.61,52.93,970260.0
2009-09-10,53.65,53.86,50.75,51.05,1091680.0
2009-09-11,51.21,52.54,51.09,52.04,962940.0
2009-09-14,51.32,52.66,51.32,51.8,391240.0
2009-09-15,52.13,52.6,51.77,52.0,276120.0
2009-09-16,52.08,53.73,51.96,53.01,803720.0
2009-09-17,53.24,53.98,52.41,52.96,1117740.0
2009-09-18,52.9,53.31,52.06,52.45,813300.0
2009-09-22,51.79,53.23,51.79,52.14,305540.0
2009-09-23,52.2,52.99,51.71,51.96,362520.0
2009-09-24,51.44,52.14,49.92,51.78,827920.0
2009-09-25,51.24,52.41,50.88,51.28,328520.0
2009-09-29,51.79,52.78,51.04,51.75,411820.0
2009-09-30,51.45,52.2,51.45,51.83,283080.0
2009-10-01,51.87,52.2,51.16,51.81,290160.0
2009-10-05,51.16,51.98,51.16,51.76,358920.0
2009-10-06,52.22,53.82,50.79,52.65,1121740.0
2009-10-07,53.11,58.08,52.82,56.45,8731400.0
2009-10-08,56.64,58.87,56.64,57.08,3264120.0
2009-10-09,57.79,60.07,57.59,58.96,5449980.0
2009-10-12,59.66,61.07,59.19,60.82,3807560.0
2009-10-14,61.15,61.66,59.53,59.84,1545020.0
2009-10-15,60.34,60.98,58.33,58.64,1157000.0
2009-10-16,58.42,60.16,57.09,58.69,631860.0
2009-10-20,59.04,59.74,57.18,57.51,507560.0
2009-10-21,57.71,59.61,56.63,57.06,997520.0
2009-10-22,57.46,57.57,54.48,55.01,647020.0
2009-10-23,55.51,57.17,55.51,56.37,723300.0
2009-10-26,55.68,56.07,52.53,53.69,2100660.0
2009-10-27,53.39,53.61,51.45,52.16,849640.0
2009-10-28,51.08,53.4,50.71,51.77,954740.0
2009-10-29,51.37,51.65,50.13,50.93,1534360.0
2009-10-30,51.99,53.22,51.17,52.03,859420.0
2009-11-03,51.74,53.61,51.63,52.6,597900.0
2009-11-04,53.77,55.43,52.67,53.39,1101260.0
2009-11-05,53.48,54.49,52.2,52.81,1056200.0
2009-11-06,53.24,55.06,53.04,53.88,1550740.0
2009-11-09,55.1,55.93,53.98,55.56,1586560.0
2009-11-10,55.77,56.14,54.98,55.31,686400.0
2009-11-11,53.11,56.96,51.44,56.52,870320.0
2009-11-12,56.76,59.57,56.18,57.38,903500.0
2009-11-13,57.22,57.37,56.18,56.76,387520.0
2009-11-16,57.17,58.53,56.76,57.01,676560.0
2009-11-17,57.59,57.79,56.76,57.15,246080.0
2009-11-18,57.15,57.75,56.76,57.43,264380.0
2009-11-19,57.38,58.46,57.21,58.04,1555960.0
2009-11-20,58.0,58.0,54.98,56.41,652680.0
2009-11-23,56.84,57.38,55.89,56.07,459840.0
2009-11-24,56.42,56.84,55.35,55.6,420160.0
2009-11-25,55.75,56.67,54.9,55.23,201940.0
2009-11-26,55.31,55.88,52.62,53.09,524720.0
2009-11-27,52.81,53.82,51.87,53.14,697180.0
2009-11-30,53.44,55.89,53.14,55.45,570080.0
2009-12-01,55.72,56.26,54.93,55.55,283380.0
2009-12-02,56.26,56.34,54.89,55.05,169940.0
2009-12-03,55.51,56.34,55.15,56.08,349500.0
2009-12-04,55.93,57.05,55.19,56.08,457180.0
2009-12-07,56.34,56.55,54.42,55.98,383940.0
2009-12-08,56.96,56.96,55.52,56.16,250940.0
2009-12-09,55.93,56.07,55.25,55.44,167280.0
2009-12-10,55.72,55.8,54.06,55.27,399060.0
2009-12-11,55.47,56.25,55.1,55.32,219620.0
2009-12-14,55.8,56.75,53.45,53.77,604220.0
2009-12-15,53.86,54.15,53.15,53.52,214980.0
2009-12-16,53.28,53.8,52.29,52.93,379640.0
2009-12-17,52.63,55.22,52.63,54.96,809260.0
