,open,high,low,close,volume
2009-05-20,107.04,121.75,107.04,116.15,730936.0
2009-05-21,116.15,121.75,111.94,115.33,419162.0
2009-05-22,116.03,117.58,108.92,113.04,376556.0
2009-05-25,115.21,117.87,113.25,115.17,353554.0
2009-05-26,118.4,122.52,111.12,112.55,614815.0
2009-05-27,117.66,118.4,113.58,116.44,351480.0
2009-05-28,118.4,118.48,115.33,116.97,808984.0
2009-05-29,118.03,119.21,116.84,117.01,509883.0
2009-06-01,119.3,125.51,117.74,120.4,1401715.0
2009-06-02,121.75,122.56,116.44,117.58,367548.0
2009-06-03,120.77,121.3,112.43,116.52,311349.0
2009-06-04,114.64,132.37,114.64,128.94,1372900.0
2009-06-05,130.73,135.56,122.56,126.36,1200298.0
2009-06-08,127.47,142.5,126.0,129.47,2100621.0
2009-06-09,129.1,134.33,124.2,130.65,792531.0
2009-06-10,132.37,137.07,132.37,134.9,1372988.0
2009-06-11,134.82,138.91,133.76,137.39,882612.0
2009-06-12,138.7,145.2,127.47,132.78,997259.0
2009-06-15,132.29,132.33,121.26,122.77,331309.0
2009-06-16,120.93,133.19,120.11,131.23,590165.0
2009-06-17,131.76,134.0,124.2,125.02,261444.0
2009-06-18,125.02,126.67,113.84,116.74,298120.0
2009-06-19,120.46,121.7,116.4,120.13,219319.0
2009-06-22,123.03,124.19,117.73,119.18,147434.0
2009-06-23,115.91,119.14,115.7,116.82,205470.0
2009-06-24,118.39,140.17,116.9,136.15,3053090.0
2009-06-25,138.63,142.98,125.1,129.78,2492969.0
2009-06-26,134.29,141.82,132.47,140.08,1096432.0
2009-06-29,140.83,146.13,135.78,140.04,1101031.0
2009-06-30,142.4,144.89,137.31,138.59,423501.0
2009-07-01,139.5,143.97,137.85,142.98,473679.0
2009-07-02,143.97,161.28,139.92,158.75,3376644.0
2009-07-03,159.58,162.69,152.75,157.01,2054661.0
2009-07-06,158.96,162.6,141.16,144.1,910122.0
2009-07-07,145.71,158.79,145.71,156.19,824672.0
2009-07-08,154.61,156.39,147.37,150.52,595770.0
2009-07-09,151.47,155.65,144.06,153.54,487466.0
2009-07-10,154.82,158.71,150.76,152.25,598986.0
2009-07-13,146.95,153.0,138.51,149.19,551256.0
2009-07-14,152.34,161.86,151.67,158.17,1057166.0
2009-07-15,162.19,165.58,152.5,163.1,1074303.0
2009-07-16,165.54,166.41,158.38,160.24,513255.0
2009-07-17,155.65,166.2,155.65,163.72,460543.0
2009-07-20,165.42,171.46,164.76,166.74,907765.0
2009-07-21,156.48,169.72,156.48,163.64,463977.0
2009-07-22,164.09,167.16,159.79,160.86,294480.0
2009-07-23,162.44,166.2,162.27,164.3,355099.0
2009-07-24,164.84,166.37,161.53,162.56,177991.0
2009-07-27,162.69,179.2,160.12,177.59,1753137.0
2009-07-28,180.82,180.82,172.29,175.64,670991.0
2009-07-29,175.93,182.97,172.21,175.89,951915.0
2009-07-30,175.44,184.13,174.69,182.22,820390.0
2009-07-31,184.21,184.21,176.76,182.51,880761.0
2009-08-03,184.21,190.75,178.0,188.64,841689.0
2009-08-04,188.68,195.8,184.17,193.65,615329.0
2009-08-05,194.15,198.62,189.18,192.78,398793.0
2009-08-06,194.52,194.52,182.22,185.16,292963.0
2009-08-07,180.49,187.52,175.68,176.93,371240.0
2009-08-10,180.9,188.35,178.46,186.65,566930.0
2009-08-11,186.28,205.74,183.84,199.36,1172388.0
2009-08-12,194.56,201.85,193.81,197.09,712477.0
2009-08-13,202.84,204.91,196.63,198.24,487834.0
2009-08-14,199.44,208.59,197.04,201.43,699886.0
2009-08-17,201.1,202.51,193.86,195.76,433136.0
2009-08-18,194.64,201.93,193.32,195.84,366139.0
2009-08-19,196.22,201.93,190.63,197.5,571099.0
2009-08-20,200.27,203.21,194.56,195.8,324349.0
2009-08-21,196.22,199.53,193.77,196.46,309264.0
2009-08-24,197.79,202.01,195.47,197.37,486080.0
2009-08-25,198.2,198.91,194.02,194.77,301008.0
2009-08-26,195.39,197.87,192.49,193.36,217609.0
2009-08-27,192.9,198.2,190.92,191.7,351465.0
2009-08-28,191.25,196.13,191.25,193.24,300574.0
2009-08-31,192.9,192.9,185.04,188.39,245308.0
2009-09-01,190.3,196.55,184.21,188.97,356857.0
2009-09-02,188.76,191.99,186.86,187.65,163070.0
2009-09-03,188.76,199.49,187.11,195.59,653125.0
2009-09-04,196.22,202.67,192.95,195.64,723679.0
2009-09-07,196.96,199.24,195.8,197.95,258056.0
2009-09-08,198.58,202.43,194.56,197.17,394855.0
2009-09-09,197.46,198.49,193.86,197.62,387460.0
2009-09-10,200.19,223.21,195.51,216.21,3756315.0
2009-09-11,219.15,222.17,210.37,216.62,1822188.0
2009-09-14,215.26,218.03,208.68,213.31,451491.0
2009-09-15,215.09,221.38,213.6,218.36,630722.0
2009-09-16,219.23,227.43,217.82,224.65,943861.0
2009-09-17,225.86,231.53,221.88,223.5,827981.0
2009-09-18,224.37,235.91,220.64,231.57,1146786.0
2009-09-22,231.4,238.85,230.74,236.95,620447.0
2009-09-23,237.28,240.34,229.33,231.77,447933.0
2009-09-24,229.33,245.23,227.68,243.45,993680.0
2009-09-25,242.58,249.16,240.72,246.14,872599.0
2009-09-29,248.29,254.17,246.72,251.19,389525.0
2009-09-30,253.67,265.72,252.1,263.73,882716.0
2009-10-01,263.73,263.73,251.52,253.42,503440.0
2009-10-05,252.35,252.35,243.7,244.86,500902.0
2009-10-06,247.46,249.58,231.86,244.52,516302.0
2009-10-07,247.46,263.03,246.43,253.59,758218.0
2009-10-08,257.48,259.63,245.97,247.96,383383.0
2009-10-09,252.51,253.84,243.53,245.97,429420.0
2009-10-12,247.55,249.16,243.57,246.1,221909.0
2009-10-14,248.37,252.02,242.66,243.95,338823.0
2009-10-15,246.64,252.43,245.06,248.08,297534.0
2009-10-16,249.2,250.78,245.48,246.84,273229.0
2009-10-20,250.4,250.4,245.06,248.42,191256.0
2009-10-21,247.55,256.65,242.66,253.8,554408.0
2009-10-22,253.34,266.3,249.45,252.18,1641793.0
2009-10-23,253.76,261.54,251.77,253.47,337856.0
2009-10-26,255.41,255.41,241.83,243.49,249787.0
2009-10-27,240.34,245.64,231.49,239.76,387584.0
2009-10-28,235.91,243.53,235.91,241.63,187993.0
2009-10-29,238.85,243.41,234.3,241.05,200207.0
2009-10-30,245.81,252.02,232.06,235.62,350198.0
2009-11-03,235.13,240.92,223.62,226.64,369026.0
2009-11-04,230.99,247.55,229.46,244.65,687778.0
2009-11-05,245.06,261.58,238.56,258.97,782662.0
2009-11-06,261.62,285.63,259.55,281.53,1540849.0
2009-11-09,286.79,290.47,279.01,280.37,425969.0
2009-11-10,305.25,305.25,273.46,275.45,279686.0
2009-11-11,276.52,283.15,271.56,274.7,333303.0
2009-11-12,275.61,277.35,267.91,270.36,188921.0
2009-11-13,272.3,272.3,262.45,264.6,314937.0
2009-11-16,268.99,275.2,264.52,266.38,707694.0
2009-11-17,267.42,271.56,260.21,262.04,287684.0
2009-11-18,262.08,265.76,259.22,262.28,170413.0
2009-11-19,264.44,268.53,257.48,259.43,265524.0
2009-11-20,259.14,268.24,256.65,265.76,296678.0
2009-11-23,265.76,276.32,264.93,273.54,408032.0
2009-11-24,275.57,276.36,265.06,266.67,197684.0
2009-11-25,269.45,274.87,265.02,267.91,177602.0
2009-11-26,269.07,272.22,265.76,268.66,344052.0
2009-11-27,264.93,268.99,258.31,266.92,260846.0
2009-11-30,269.11,277.35,263.53,266.01,197193.0
2009-12-01,268.24,268.91,262.57,264.52,327697.0
2009-12-02,264.93,274.41,264.1,265.43,520422.0
2009-12-03,267.33,269.57,262.12,263.53,239759.0
2009-12-04,264.23,268.0,261.75,262.74,181166.0
2009-12-07,263.28,265.64,258.39,260.21,100070.0
2009-12-08,262.12,262.12,256.82,258.89,129539.0
2009-12-09,258.97,262.9,255.08,256.53,205840.0
2009-12-10,256.65,263.28,256.65,260.46,220633.0
2009-12-11,263.28,264.44,253.42,255.49,193232.0
2009-12-14,256.82,261.62,252.64,253.51,190395.0
2009-12-15,254.17,256.36,243.49,246.68,138328.0
2009-12-16,246.72,247.46,241.3,244.61,154889.0
2009-12-17,246.68,259.97,242.5,257.98,537667.0
2009-12-18,257.48,262.37,250.15,252.39,285899.0
2009-12-21,250.86,255.83,248.37,249.0,71426.0
2009-12-22,250.86,255.41,250.86,253.92,100380.0
2009-12-23,250.86,255.41,250.86,253.92,100380.0
2009-12-24,250.86,255.41,250.86,253.92,100380.0
2009-12-29,250.86,255.41,250.86,253.92,100380.0
2009-12-30,250.86,255.41,250.86,253.92,100380.0
2009-12-31,250.86,255.41,250.86,253.92,100380.0
2010-01-04,265.76,269.49,259.22,260.96,249026.0
2010-01-05,264.68,277.77,258.64,264.93,872636.0
2010-01-06,267.83,268.99,257.4,259.18,483516.0
2010-01-07,259.97,261.62,256.65,256.98,228748.0
2010-01-08,258.02,267.29,257.9,259.59,574138.0
2010-01-11,261.95,263.28,259.18,259.92,168550.0
2010-01-12,260.79,268.58,257.56,264.1,793860.0
2010-01-13,263.11,266.51,260.79,264.85,235721.0
2010-01-14,265.76,268.99,263.4,264.89,155260.0
2010-01-15,266.09,266.51,254.25,256.32,354246.0
2010-01-18,256.32,262.37,255.08,260.63,345514.0
2010-01-19,261.7,264.77,257.56,259.34,395972.0
2010-01-20,260.79,262.37,249.37,250.94,435712.0
2010-01-21,251.69,252.51,244.73,247.59,403952.0
2010-01-22,244.23,244.9,231.82,235.13,417030.0
2010-01-25,228.09,237.94,224.37,232.89,192801.0
2010-01-27,231.73,235.54,221.88,227.84,239265.0
2010-01-28,229.75,243.32,229.75,241.88,367397.0
2010-01-29,239.93,244.23,228.67,240.3,571474.0
2010-02-01,239.85,249.95,237.61,245.89,247257.0
2010-02-02,249.2,251.85,241.75,243.7,238202.0
2010-02-03,240.1,250.44,240.1,247.42,170447.0
2010-02-04,241.83,249.86,241.83,244.52,131428.0
2010-02-05,238.03,243.41,232.64,241.63,221167.0
2010-02-08,245.31,251.44,231.94,239.56,349990.0
2010-02-09,241.67,245.1,240.34,243.32,273127.0
2010-02-10,245.06,248.37,242.17,244.69,281978.0
2010-02-11,243.45,249.2,243.45,246.97,123904.0
2010-02-15,248.08,249.95,244.24,245.02,121916.0
2010-02-16,247.34,248.79,243.45,244.81,232496.0
2010-02-17,244.81,250.03,244.81,248.33,196352.0
2010-02-18,250.28,251.36,242.99,244.61,84950.0
2010-02-19,243.24,247.13,243.24,245.27,88874.0
2010-02-22,245.93,248.13,242.58,245.1,103878.0
2010-02-23,244.15,245.64,241.75,244.23,78744.0
2010-02-24,241.01,244.9,241.01,243.9,72877.0
2010-02-25,241.75,247.55,241.75,246.02,113656.0
2010-02-26,247.55,248.33,241.75,243.7,76446.0
2010-03-02,247.34,247.34,241.34,243.49,84599.0
2010-03-03,243.49,256.16,243.49,251.19,359177.0
2010-03-04,250.86,257.4,250.86,252.89,211304.0
2010-03-05,254.75,255.7,250.61,251.31,128284.0
2010-03-08,253.26,263.28,250.28,259.1,286714.0
2010-03-09,259.97,266.13,258.31,260.01,384978.0
2010-03-10,263.03,268.24,248.66,258.52,772362.0
2010-03-11,253.34,253.34,241.05,246.8,305995.0
2010-03-12,249.04,252.27,242.37,244.48,208285.0
2010-03-15,245.06,251.27,242.7,245.15,146934.0
2010-03-16,246.35,252.1,246.3,251.15,169976.0
2010-03-17,252.47,253.34,246.72,248.04,180548.0
2010-03-18,248.5,250.03,246.76,248.58,114761.0
2010-03-19,247.55,260.3,247.26,256.74,632514.0
2010-03-22,253.47,257.48,249.2,249.49,201825.0
2010-03-23,252.35,256.65,248.71,250.07,223615.0
2010-03-25,250.82,252.22,246.22,246.72,118825.0
2010-03-26,249.0,252.1,247.55,249.04,141934.0
2010-03-29,250.03,250.03,235.96,238.48,385170.0
2010-03-30,240.84,242.41,228.92,233.93,983740.0
2010-03-31,237.45,243.41,229.62,239.14,477943.0
2010-04-01,242.58,250.03,241.75,248.87,296718.0
2010-04-05,251.52,254.17,247.26,249.16,200387.0
2010-04-06,251.69,252.22,245.93,246.84,108973.0
2010-04-07,246.84,256.57,246.84,255.2,352944.0
2010-04-08,257.48,257.48,250.24,251.81,172519.0
2010-04-09,252.51,258.81,252.51,254.17,214205.0
2010-04-12,255.33,257.9,252.02,253.92,172697.0
2010-04-13,252.97,254.79,251.52,252.31,77822.0
2010-04-15,252.85,254.0,245.19,246.22,107742.0
2010-04-16,244.94,248.21,244.94,245.6,72817.0
2010-04-19,241.09,247.51,237.24,245.73,71060.0
2010-04-20,245.97,253.34,245.1,252.47,532670.0
2010-04-21,253.26,265.76,252.72,263.15,713452.0
2010-04-22,262.45,266.59,255.83,257.15,373288.0
2010-04-23,257.48,263.03,255.99,257.77,140005.0
2010-04-26,258.72,260.79,253.34,254.58,84749.0
2010-04-27,254.17,255.91,249.86,250.69,83428.0
2010-04-28,248.37,253.34,244.11,245.64,111452.0
2010-04-29,247.42,255.83,247.42,255.08,349813.0
2010-04-30,256.65,257.4,249.29,251.4,141369.0
2010-05-03,249.53,263.28,248.37,259.76,306072.0
2010-05-04,262.86,264.73,255.08,257.19,283439.0
2010-05-05,248.58,255.33,245.06,254.29,279296.0
2010-05-06,252.68,266.59,252.68,264.1,492253.0
2010-05-07,256.65,265.1,250.49,255.66,591842.0
2010-05-10,261.62,277.14,261.62,274.5,1103260.0
2010-05-11,274.5,283.97,273.21,275.53,844843.0
2010-05-12,275.53,277.06,263.77,269.9,306115.0
2010-05-13,271.14,275.45,267.13,268.7,190907.0
2010-05-14,266.67,281.45,266.3,277.48,694218.0
2010-05-17,273.21,279.84,269.94,278.63,247361.0
2010-05-18,280.66,290.35,279.01,283.48,619925.0
2010-05-19,288.11,288.11,272.43,273.83,288929.0
2010-05-20,278.26,278.26,267.54,270.11,125113.0
2010-05-21,265.14,268.24,261.41,262.95,152776.0
2010-05-24,267.42,272.34,256.86,260.75,124540.0
2010-05-25,259.88,261.62,250.86,251.98,229622.0
2010-05-26,256.45,264.93,255.33,264.15,243909.0
2010-05-27,261.04,268.33,260.79,264.52,203963.0
2010-05-28,268.87,271.56,262.45,265.18,144925.0
2010-05-31,261.62,268.87,261.62,267.83,77410.0
2010-06-01,268.66,271.31,262.49,264.56,108307.0
2010-06-02,267.25,269.07,265.06,267.83,99379.0
2010-06-03,269.82,276.36,269.07,271.72,101939.0
2010-06-04,270.73,274.87,269.11,273.54,63321.0
2010-06-07,267.75,277.31,265.14,274.16,79537.0
2010-06-08,277.35,277.35,271.6,273.42,108967.0
2010-06-09,273.54,278.8,272.47,276.81,153381.0
2010-06-10,277.27,283.06,275.7,281.08,116881.0
2010-06-11,281.49,285.22,277.64,279.79,81824.0
2010-06-14,285.63,285.63,274.87,277.64,53718.0
2010-06-15,279.63,280.17,276.57,278.63,45572.0
