,open,high,low,close,volume
2009-05-20,17.05,19.28,16.96,18.95,57107.0
2009-05-21,18.96,20.64,18.87,20.11,69870.0
2009-05-22,19.55,21.82,19.55,20.96,167355.0
2009-05-25,21.42,22.51,21.42,22.3,26583.0
2009-05-26,21.82,22.27,20.96,21.22,23270.0
2009-05-27,22.27,22.27,21.1,21.51,25241.0
2009-05-28,21.37,23.64,21.37,22.49,49520.0
2009-05-29,22.73,23.37,22.39,23.16,113893.0
2009-06-01,22.01,23.55,22.01,22.96,40082.0
2009-06-02,24.64,24.64,21.96,23.06,47395.0
2009-06-03,24.55,24.55,23.23,24.18,37434.0
2009-06-04,23.64,24.32,23.46,23.64,18604.0
2009-06-05,23.64,24.01,22.97,23.55,26416.0
2009-06-08,24.05,24.05,22.6,22.78,30287.0
2009-06-09,22.55,22.78,22.37,22.69,13250.0
2009-06-10,23.19,23.64,22.82,22.94,51539.0
2009-06-11,22.02,23.05,22.02,22.35,23959.0
2009-06-12,22.36,23.41,22.36,23.24,39108.0
2009-06-15,23.14,23.28,22.6,22.9,18699.0
2009-06-16,22.33,22.96,22.33,22.84,16337.0
2009-06-17,22.64,23.19,22.32,22.72,42230.0
2009-06-18,22.73,23.19,22.1,22.58,971930.0
2009-06-19,22.96,22.96,22.42,22.55,30453.0
2009-06-22,22.64,22.64,22.32,22.33,13736.0
2009-06-23,21.83,22.37,21.83,21.91,18450.0
2009-06-24,21.87,22.18,21.55,22.04,33659.0
2009-06-25,21.73,22.64,21.37,21.58,24909.0
2009-06-26,22.28,22.28,21.19,21.59,45911.0
2009-06-29,21.37,22.23,21.05,21.5,8857.0
2009-06-30,21.08,22.28,21.08,22.09,65975.0
2009-07-01,22.73,22.73,21.83,22.34,14140.0
2009-07-02,22.23,22.69,21.93,22.41,49793.0
2009-07-03,22.69,22.69,22.28,22.45,5794.0
2009-07-06,22.28,22.56,21.64,21.92,15232.0
2009-07-07,21.85,22.73,21.85,22.57,25609.0
2009-07-08,22.6,24.23,21.87,22.56,654151.0
2009-07-09,22.65,22.94,22.28,22.52,49437.0
2009-07-10,21.87,22.73,19.35,22.27,52761.0
2009-07-13,21.91,21.98,20.97,21.46,22356.0
2009-07-14,21.76,22.05,21.61,21.88,10127.0
2009-07-15,21.89,22.55,21.89,22.26,21822.0
2009-07-16,22.32,22.59,21.83,22.01,17726.0
2009-07-17,21.87,22.46,21.87,22.15,18129.0
2009-07-20,22.17,23.37,22.11,23.14,61179.0
2009-07-21,22.53,23.01,22.52,22.87,10935.0
2009-07-22,22.87,23.41,22.69,23.0,52738.0
2009-07-23,22.73,23.28,22.54,22.72,41934.0
2009-07-24,22.14,22.93,22.14,22.76,20551.0
2009-07-27,22.74,22.91,22.28,22.73,45674.0
2009-07-28,22.51,23.19,22.51,22.78,61713.0
2009-07-29,22.51,22.86,22.51,22.68,75568.0
2009-07-30,22.37,22.87,22.37,22.54,119342.0
2009-07-31,26.44,27.49,26.18,26.83,48238.0
2009-08-03,26.55,26.55,26.18,26.24,18521.0
2009-08-04,26.44,26.97,26.18,26.91,58163.0
2009-08-05,26.71,26.71,26.08,26.32,66545.0
2009-08-06,26.04,26.59,26.04,26.18,24825.0
2009-08-07,27.33,27.33,25.94,26.01,31355.0
2009-08-10,25.82,28.43,25.82,26.54,51752.0
2009-08-11,25.67,27.41,25.67,26.35,177933.0
2009-08-12,25.71,26.63,25.66,26.21,7040.0
