,open,high,low,close,volume
2009-05-20,99.68,113.57,99.68,108.99,620107.0
2009-05-21,107.57,115.72,104.44,109.63,362617.0
2009-05-22,113.23,116.66,105.47,111.35,263112.0
2009-05-25,112.33,116.53,107.31,108.04,135113.0
2009-05-26,109.89,113.23,99.08,103.24,144088.0
2009-05-27,106.37,113.23,105.6,108.39,378563.0
2009-05-28,110.23,110.23,103.97,106.97,139126.0
2009-05-29,107.23,109.54,104.1,105.0,154256.0
2009-06-01,106.88,108.08,102.34,106.33,138000.0
2009-06-02,107.23,115.29,101.31,112.42,241442.0
2009-06-03,115.81,118.38,108.21,114.95,944205.0
2009-06-04,118.38,118.38,110.23,112.55,345563.0
2009-06-05,113.23,114.52,108.94,111.6,1384761.0
2009-06-08,112.97,113.23,105.94,108.0,512311.0
2009-06-09,108.68,115.38,106.5,112.33,1094087.0
2009-06-10,113.32,117.95,110.23,114.69,1308202.0
2009-06-11,115.42,115.81,106.8,108.43,338313.0
2009-06-12,110.66,111.52,100.84,101.78,243216.0
2009-06-15,100.36,100.36,92.56,94.53,348996.0
2009-06-16,90.24,98.65,90.24,94.45,157332.0
2009-06-17,94.79,96.08,87.93,88.83,135022.0
2009-06-18,88.78,88.78,80.63,83.34,179461.0
2009-06-19,85.27,87.5,82.65,86.34,191629.0
2009-06-22,88.31,88.31,83.38,84.92,51834.0
2009-06-23,82.78,85.78,79.13,83.59,113828.0
2009-06-24,84.15,89.08,83.21,86.98,118399.0
2009-06-25,86.64,92.64,86.64,91.14,135436.0
2009-06-26,91.36,92.56,88.48,89.38,69087.0
2009-06-29,90.71,94.36,89.17,92.52,266664.0
2009-06-30,96.25,96.25,84.15,85.78,198914.0
2009-07-01,84.92,84.92,80.72,81.06,72113.0
2009-07-02,81.49,86.64,80.85,85.4,373807.0
2009-07-03,84.15,85.27,82.56,83.81,22864.0
2009-07-06,84.67,85.78,75.7,77.2,77891.0
2009-07-07,78.06,79.61,74.24,77.85,59988.0
2009-07-08,77.03,81.41,73.13,79.39,187866.0
2009-07-09,80.98,83.98,79.52,82.87,171604.0
2009-07-10,79.35,83.21,74.76,76.86,44719.0
2009-07-13,75.49,78.06,72.91,77.38,86843.0
2009-07-14,77.38,84.5,77.38,82.69,167327.0
2009-07-15,85.01,92.13,82.78,87.54,424525.0
2009-07-16,89.99,91.74,77.38,89.38,255950.0
2009-07-17,89.43,93.5,88.78,92.9,142810.0
2009-07-20,94.79,95.9,91.79,93.5,81767.0
2009-07-21,93.67,94.15,89.21,90.2,207372.0
2009-07-22,90.07,98.39,90.07,94.92,259117.0
2009-07-23,97.23,98.13,91.57,96.12,121415.0
2009-07-24,96.33,97.75,94.79,96.42,54542.0
2009-07-27,96.93,100.58,96.03,99.51,69291.0
2009-07-28,98.73,104.65,98.73,103.19,185076.0
2009-07-29,102.94,105.25,94.79,99.51,84597.0
2009-07-30,99.94,101.05,96.46,99.89,46083.0
2009-07-31,102.08,102.34,97.79,98.86,48375.0
2009-08-03,98.86,100.15,96.76,98.35,31872.0
2009-08-04,98.65,101.18,97.79,98.26,65643.0
2009-08-05,97.88,104.91,97.1,103.02,131563.0
2009-08-06,105.0,105.0,94.49,95.82,85027.0
2009-08-07,97.53,97.53,90.24,91.61,42901.0
2009-08-10,93.5,94.23,86.85,88.61,29814.0
2009-08-11,88.78,92.47,88.01,90.07,42152.0
2009-08-12,88.36,98.13,88.36,95.05,135395.0
2009-08-13,97.66,97.66,94.79,95.95,46170.0
2009-08-14,98.05,98.05,92.64,93.85,48002.0
