,open,high,low,close,volume
2009-05-20,17.26,18.83,16.69,18.17,5659342.0
2009-05-21,18.32,18.7,17.42,17.75,4059278.0
2009-05-22,19.29,19.54,17.87,18.17,5521152.0
2009-05-25,18.32,18.72,17.34,17.54,4019358.0
2009-05-26,17.71,18.11,16.89,17.14,2715022.0
2009-05-27,17.5,18.4,17.2,17.95,3160632.0
2009-05-28,17.95,19.09,17.71,18.64,6146274.0
2009-05-29,18.4,19.09,17.91,18.22,3220096.0
2009-06-01,18.36,19.46,18.36,18.91,4173948.0
2009-06-02,19.09,19.46,18.32,18.6,2013552.0
2009-06-03,18.72,19.33,17.83,18.56,2774990.0
2009-06-04,18.32,18.91,18.07,18.54,979998.0
2009-06-05,18.72,21.8,18.36,20.96,10721152.0
2009-06-08,21.23,22.08,18.36,18.72,7260578.0
2009-06-09,17.91,20.31,16.55,20.01,7091368.0
2009-06-10,20.35,21.33,19.25,20.03,4804502.0
2009-06-11,20.35,21.74,19.62,21.0,5369010.0
2009-06-12,21.45,21.45,19.19,19.68,2277370.0
2009-06-15,20.11,20.56,19.23,19.58,2331006.0
2009-06-16,19.74,20.03,18.97,19.4,1474976.0
2009-06-17,19.33,20.35,17.99,18.52,3029212.0
2009-06-18,18.52,18.87,17.79,18.32,2534534.0
2009-06-19,18.72,19.13,17.99,18.3,851996.0
2009-06-22,18.7,18.7,17.75,18.19,1152936.0
2009-06-23,17.75,18.3,17.36,18.03,983206.0
2009-06-24,18.32,21.63,17.95,18.91,2505606.0
2009-06-25,19.13,19.4,17.16,17.56,2374092.0
2009-06-26,18.01,19.29,18.01,18.34,1721400.0
2009-06-29,18.9,19.41,18.48,18.97,1478360.0
2009-06-30,19.11,19.45,18.88,18.97,1253624.0
2009-07-01,19.16,19.87,18.57,19.47,1458950.0
2009-07-02,19.56,19.56,18.82,18.97,646438.0
2009-07-03,18.97,18.97,18.48,18.55,746830.0
2009-07-06,18.9,19.14,18.27,18.48,932362.0
2009-07-07,18.9,19.11,18.09,18.27,607312.0
2009-07-08,18.06,18.48,17.37,17.52,1070574.0
2009-07-09,17.64,17.96,16.91,17.58,592428.0
2009-07-10,17.54,18.04,17.01,17.43,931476.0
2009-07-13,17.01,17.12,16.64,16.74,302242.0
2009-07-14,16.68,17.16,16.59,16.99,332160.0
2009-07-15,17.31,19.51,17.29,19.14,1951494.0
2009-07-16,19.7,21.53,18.78,21.17,4661154.0
2009-07-17,21.61,22.37,21.21,21.34,5158550.0
2009-07-20,21.8,21.8,20.58,21.07,1249776.0
2009-07-21,21.15,21.15,20.27,20.73,873088.0
2009-07-22,20.79,21.82,20.65,20.88,1372068.0
2009-07-23,21.21,22.98,21.07,22.69,2978656.0
2009-07-24,23.02,23.06,21.85,22.03,1658548.0
2009-07-27,22.03,22.87,21.68,21.82,1083120.0
2009-07-28,22.06,23.95,22.06,22.94,2715374.0
2009-07-29,22.85,27.54,22.48,26.93,17414318.0
2009-07-30,26.05,26.89,24.93,26.55,8489358.0
2009-07-31,27.16,27.45,24.49,24.76,7832886.0
2009-08-03,25.04,25.96,24.79,25.37,3245624.0
2009-08-04,25.54,25.67,24.45,24.91,2268040.0
2009-08-05,25.1,25.42,24.68,24.89,1395146.0
2009-08-06,24.87,25.12,23.63,23.9,1424278.0
2009-08-07,23.88,23.88,22.27,22.45,1389244.0
2009-08-10,22.69,23.21,20.42,20.65,1892180.0
2009-08-11,20.75,21.38,20.37,20.65,1986450.0
2009-08-12,20.19,20.58,18.78,19.64,4179370.0
2009-08-13,19.95,21.4,19.95,21.11,3263654.0
2009-08-14,21.21,22.1,20.79,21.24,2868104.0
2009-08-17,20.79,20.98,19.79,20.0,1514324.0
2009-08-18,20.54,20.79,20.19,20.31,1446558.0
2009-08-19,20.31,21.26,20.31,20.61,1709636.0
2009-08-20,20.67,21.05,20.33,20.5,1052078.0
2009-08-21,19.83,20.77,19.83,20.65,1521908.0
2009-08-24,21.0,21.95,21.0,21.45,1472602.0
2009-08-25,21.21,22.56,21.15,21.82,2661986.0
2009-08-26,21.93,22.22,21.15,21.3,3549736.0
2009-08-27,21.28,21.7,21.0,21.19,1778662.0
2009-08-28,21.24,21.42,20.5,20.63,1762948.0
2009-08-31,20.58,20.79,20.19,20.31,1489836.0
2009-09-01,20.54,21.99,20.21,21.09,5741776.0
2009-09-02,21.0,21.93,20.79,21.19,2068258.0
2009-09-03,21.59,21.78,21.03,21.32,1721778.0
2009-09-04,21.76,22.01,21.42,21.68,2041344.0
2009-09-07,22.03,22.35,21.76,22.06,2386928.0
2009-09-08,22.31,23.25,22.12,22.29,3894706.0
2009-09-09,22.48,22.98,22.06,22.18,1708976.0
2009-09-10,22.66,22.94,21.66,21.8,1077092.0
2009-09-11,21.91,22.14,21.32,21.59,1057562.0
2009-09-14,21.42,22.18,21.05,21.97,1555296.0
2009-09-15,22.48,22.66,22.03,22.45,1600030.0
2009-09-16,22.69,25.79,22.12,24.81,15342758.0
2009-09-17,25.46,26.0,23.99,24.26,9141108.0
2009-09-18,23.78,24.32,23.42,23.88,2943852.0
2009-09-22,23.97,25.46,23.74,24.91,3315228.0
2009-09-23,25.0,25.21,23.74,23.97,1703476.0
2009-09-24,23.53,23.92,23.25,23.8,1481572.0
2009-09-25,23.48,24.93,23.36,24.43,2227612.0
2009-09-29,24.58,25.96,24.58,25.73,4794832.0
2009-09-30,25.75,26.89,25.5,26.59,5292138.0
2009-10-01,26.66,26.89,25.5,25.77,2666466.0
2009-10-05,25.21,25.63,24.05,24.37,1319004.0
2009-10-06,24.58,24.62,23.32,23.9,1304648.0
2009-10-07,23.99,24.55,23.34,23.5,1393158.0
2009-10-08,23.71,24.58,23.63,23.92,1457776.0
2009-10-09,24.05,24.26,23.4,23.55,721180.0
2009-10-12,23.59,24.05,23.55,23.8,630244.0
2009-10-14,24.05,24.7,23.9,24.03,1277612.0
2009-10-15,24.37,24.89,23.99,24.37,1315466.0
2009-10-16,24.58,25.94,24.47,24.91,2752160.0
2009-10-20,25.63,26.21,25.0,25.81,2614714.0
2009-10-21,25.71,26.57,25.42,26.32,2736938.0
2009-10-22,26.21,26.36,25.56,26.07,1649622.0
2009-10-23,27.73,27.73,26.05,26.24,4310582.0
2009-10-26,27.22,27.22,24.81,25.08,1177650.0
2009-10-27,25.0,25.5,23.99,24.22,1896348.0
2009-10-28,24.24,24.24,22.69,22.73,1702780.0
2009-10-29,22.58,23.06,21.85,22.58,1300932.0
2009-10-30,23.11,23.69,22.52,22.64,1071442.0
2009-11-03,23.11,23.48,22.18,22.37,1675142.0
2009-11-04,22.69,23.11,22.27,22.94,718592.0
2009-11-05,22.22,23.46,22.22,23.34,655356.0
2009-11-06,23.48,25.54,23.15,24.91,2443146.0
2009-11-09,25.18,25.75,24.41,24.87,1021542.0
2009-11-10,25.08,25.81,24.79,24.95,1391322.0
2009-11-11,24.79,25.54,24.7,25.29,838724.0
2009-11-12,25.63,26.0,24.47,24.85,890828.0
2009-11-13,24.74,26.84,24.58,25.23,3944746.0
2009-11-16,25.63,25.88,25.23,25.33,887502.0
2009-11-17,25.54,25.54,24.7,24.87,668904.0
2009-11-18,25.1,25.44,24.7,24.93,912444.0
2009-11-19,24.81,25.08,24.01,24.09,965172.0
2009-11-20,23.95,24.95,23.95,24.39,954152.0
2009-11-23,24.58,25.16,24.26,24.34,1205328.0
2009-11-24,24.47,24.47,24.01,24.16,509390.0
2009-11-25,24.41,24.79,23.8,24.01,1188842.0
2009-11-26,24.22,24.62,23.53,23.99,1241260.0
2009-11-27,23.74,23.82,23.02,23.38,632228.0
2009-11-30,23.44,24.37,23.44,24.11,1112784.0
2009-12-01,24.41,24.6,23.95,24.28,1634104.0
2009-12-02,24.47,25.33,24.28,24.55,1306074.0
2009-12-03,24.79,25.31,24.49,24.66,900430.0
2009-12-04,24.72,25.04,24.32,24.68,746510.0
2009-12-07,25.16,25.37,24.41,24.66,751822.0
2009-12-08,24.79,25.04,24.37,24.68,416704.0
2009-12-09,24.58,25.21,24.41,24.87,800004.0
2009-12-10,24.79,24.85,24.41,24.64,394010.0
2009-12-11,24.79,25.08,24.37,24.45,341450.0
2009-12-14,24.51,24.6,23.97,24.13,280666.0
2009-12-15,24.13,25.12,23.57,23.74,584682.0
2009-12-16,23.82,25.08,23.34,24.72,1206670.0
2009-12-17,24.72,24.97,24.39,24.62,579802.0
2009-12-18,24.6,24.81,24.16,24.3,355410.0
2009-12-21,24.37,24.87,24.05,24.2,445408.0
2009-12-22,24.7,25.0,24.26,24.39,372510.0
2009-12-23,24.7,25.0,24.26,24.39,372510.0
2009-12-24,24.7,25.0,24.26,24.39,372510.0
2009-12-29,24.7,25.0,24.26,24.39,372510.0
2009-12-30,24.7,25.0,24.26,24.39,372510.0
2009-12-31,24.7,25.0,24.26,24.39,372510.0
2010-01-04,27.52,31.21,27.31,29.72,19257118.0
2010-01-05,30.25,30.67,29.51,29.72,5327760.0
2010-01-06,30.04,30.04,28.36,28.59,2462438.0
2010-01-07,28.61,28.78,27.94,28.29,2268868.0
2010-01-08,28.48,29.05,28.19,28.52,1965302.0
2010-01-11,28.99,32.26,28.78,31.76,9940576.0
2010-01-12,31.93,33.1,30.71,32.43,11083514.0
2010-01-13,31.59,33.52,31.19,32.79,7285372.0
2010-01-14,32.98,33.4,32.35,32.54,2572634.0
2010-01-15,33.19,33.19,31.95,32.24,1458924.0
2010-01-18,32.24,32.85,31.76,32.37,1477370.0
2010-01-19,32.39,32.77,31.99,32.49,1729044.0
2010-01-20,33.31,34.3,32.16,32.85,5557162.0
2010-01-21,33.04,33.15,30.42,30.73,2426548.0
2010-01-22,29.83,31.68,28.82,31.23,3213050.0
2010-01-25,31.43,32.48,30.96,31.81,1256634.0
2010-01-27,31.56,32.93,29.76,30.44,2291618.0
2010-01-28,30.61,31.68,29.2,29.84,1078646.0
2010-01-29,29.16,32.2,28.26,31.53,2864700.0
2010-02-01,31.26,32.3,31.15,31.71,1753806.0
2010-02-02,32.07,32.54,30.83,31.11,1079270.0
2010-02-03,31.47,31.64,29.97,30.16,1488898.0
2010-02-04,30.4,31.17,29.76,30.04,779976.0
2010-02-05,29.18,30.19,25.8,29.84,941802.0
2010-02-08,30.19,30.36,29.33,29.54,447226.0
2010-02-09,30.31,30.36,29.35,29.67,502134.0
2010-02-10,29.54,30.61,27.06,29.39,982896.0
2010-02-11,30.19,30.38,29.52,29.76,487780.0
2010-02-15,29.97,30.14,29.03,29.24,385896.0
2010-02-16,29.52,29.84,29.33,29.56,679592.0
2010-02-17,29.97,30.14,28.54,28.67,1186666.0
2010-02-18,28.99,28.99,28.13,28.28,456284.0
2010-02-19,27.45,28.26,27.0,27.12,651014.0
2010-02-22,27.96,28.09,26.2,26.57,573064.0
2010-02-23,26.59,26.72,25.6,25.75,837002.0
2010-02-24,25.48,28.17,24.83,27.38,1882250.0
2010-02-25,27.83,28.82,26.85,28.22,3292060.0
2010-02-26,28.13,30.53,27.4,30.12,3441394.0
2010-03-02,31.26,33.5,30.53,33.05,6386622.0
2010-03-03,33.38,33.4,31.68,32.33,2194022.0
2010-03-04,32.45,32.45,30.87,31.77,1072322.0
2010-03-05,32.3,33.74,31.68,32.3,2739148.0
2010-03-08,33.1,33.44,32.33,32.45,2476234.0
2010-03-09,32.65,33.31,32.35,32.63,1221130.0
2010-03-10,32.88,32.88,31.9,32.07,822056.0
2010-03-11,32.11,32.5,31.3,31.43,2197386.0
2010-03-12,31.94,32.5,31.38,31.56,835952.0
2010-03-15,31.34,31.98,31.04,31.62,468834.0
2010-03-16,31.73,33.57,31.73,33.38,2856472.0
2010-03-17,33.74,34.36,33.1,33.33,2523002.0
2010-03-18,33.33,33.4,32.58,33.18,740802.0
2010-03-19,33.23,34.23,32.18,34.02,1801336.0
2010-03-22,32.75,33.61,32.37,32.54,1084740.0
2010-03-23,32.93,34.04,32.8,33.7,1528012.0
2010-03-25,32.97,34.02,32.97,33.23,569982.0
2010-03-26,33.27,34.21,33.18,33.52,1139186.0
2010-03-29,33.1,34.02,32.58,33.01,910882.0
2010-03-30,33.74,34.25,33.18,33.25,1193302.0
2010-03-31,32.99,35.71,32.65,35.26,5510958.0
2010-04-01,35.47,37.01,35.32,35.52,7564484.0
2010-04-05,35.97,36.48,35.62,36.12,2435648.0
2010-04-06,36.39,36.67,35.86,35.92,1527892.0
2010-04-07,36.18,36.93,35.6,36.22,1588962.0
2010-04-08,36.35,36.54,35.82,36.2,1106420.0
2010-04-09,36.39,38.17,36.14,37.4,5310734.0
2010-04-12,37.53,37.53,36.22,36.35,1402696.0
2010-04-13,36.69,36.82,35.54,36.12,881308.0
