,open,high,low,close,volume
2009-05-20,30.15,32.1,27.85,31.38,2535254.0
2009-05-21,31.74,33.64,31.02,31.78,3578241.0
2009-05-22,31.14,32.69,31.02,32.33,2425181.0
2009-05-25,32.53,33.33,32.17,32.73,1852361.0
2009-05-26,33.21,33.29,31.02,31.34,1733568.0
2009-05-27,31.9,33.13,31.86,32.97,3128498.0
2009-05-28,33.25,34.75,32.49,33.96,4839931.0
2009-05-29,34.52,35.51,34.2,34.75,3259704.0
2009-06-01,35.63,35.63,34.52,35.23,2306925.0
2009-06-02,35.71,36.02,33.84,35.67,2742819.0
2009-06-03,36.02,36.42,34.55,35.23,2169485.0
2009-06-04,34.91,35.71,34.28,35.47,2432698.0
2009-06-05,36.1,37.97,35.71,35.98,4006013.0
2009-06-08,36.34,36.62,33.56,33.92,3305044.0
2009-06-09,33.36,34.83,32.53,34.52,1996049.0
2009-06-10,35.07,35.59,34.2,34.59,2035696.0
2009-06-11,34.59,35.23,33.52,33.88,1563701.0
2009-06-12,34.2,34.28,32.13,32.97,1074758.0
2009-06-15,32.93,33.84,32.93,33.36,1239577.0
2009-06-16,33.32,34.5,32.67,34.18,1497205.0
2009-06-17,34.3,35.11,32.8,33.24,1541241.0
2009-06-18,33.61,33.61,31.78,32.06,1299571.0
2009-06-19,32.51,33.04,31.78,32.59,1002992.0
2009-06-22,32.92,33.49,32.15,32.47,1332597.0
2009-06-23,31.78,32.35,31.01,32.15,961158.0
2009-06-24,32.51,32.84,32.02,32.43,975956.0
2009-06-25,32.67,32.92,31.7,31.86,1582004.0
2009-06-26,32.15,32.59,31.37,32.35,1632096.0
2009-06-29,32.51,33.73,32.27,33.24,1870735.0
2009-06-30,33.53,34.14,32.31,32.55,1647279.0
2009-07-01,32.59,32.92,31.86,32.55,714272.0
2009-07-02,32.88,33.08,32.15,32.55,1099930.0
2009-07-03,32.51,33.08,32.02,32.8,1271643.0
2009-07-06,33.65,33.69,31.7,31.94,2922307.0
2009-07-07,32.19,32.39,31.33,31.7,1144099.0
2009-07-08,30.24,31.66,29.46,30.89,2021095.0
2009-07-09,30.89,31.5,30.32,31.09,1009374.0
2009-07-10,31.37,31.37,30.24,30.64,710857.0
2009-07-13,29.34,30.19,29.26,29.54,752105.0
2009-07-14,30.48,31.7,29.99,30.64,1088208.0
2009-07-15,31.29,31.58,30.52,31.33,888476.0
2009-07-16,32.35,32.51,30.93,31.29,808913.0
2009-07-17,32.43,32.76,31.33,32.51,1408033.0
2009-07-20,32.67,33.85,32.51,33.61,1606976.0
2009-07-21,34.06,34.46,33.24,33.41,2397497.0
2009-07-22,33.65,34.02,32.76,33.16,1288570.0
2009-07-23,33.41,35.36,33.16,34.83,2670148.0
2009-07-24,35.56,35.56,34.3,34.75,1831499.0
2009-07-27,35.64,36.25,34.87,35.07,2506647.0
2009-07-28,35.15,35.44,34.54,34.79,1052621.0
2009-07-29,34.58,35.44,33.41,34.99,1975901.0
2009-07-30,34.38,35.72,34.38,34.75,3725816.0
2009-07-31,35.19,35.76,34.38,34.79,1769983.0
2009-08-03,34.95,36.09,34.5,35.68,2472900.0
2009-08-04,35.76,37.96,35.4,37.55,7294224.0
2009-08-05,37.06,38.12,36.82,37.02,2919754.0
2009-08-06,37.39,38.53,36.78,37.02,4700683.0
2009-08-07,36.58,37.06,35.84,36.13,2068505.0
2009-08-10,36.21,36.78,34.14,34.79,1874514.0
2009-08-11,33.41,36.05,33.32,35.15,1978418.0
2009-08-12,35.76,35.76,34.3,34.95,1230898.0
2009-08-13,35.68,36.25,35.36,36.09,1406389.0
2009-08-14,36.58,37.06,35.88,36.33,1786581.0
2009-08-17,35.07,35.88,34.14,34.38,1095895.0
2009-08-18,34.22,35.11,33.97,34.91,850533.0
2009-08-19,34.87,35.36,34.18,34.3,748981.0
2009-08-20,34.38,34.87,33.65,33.93,1235132.0
2009-08-21,34.14,34.38,33.65,34.22,978345.0
2009-08-24,34.54,35.76,34.54,34.62,820196.0
2009-08-25,34.54,34.75,34.14,34.38,689315.0
2009-08-26,34.42,34.71,34.22,34.3,701029.0
2009-08-27,34.3,34.5,33.65,33.97,1153827.0
2009-08-28,34.95,36.17,34.5,35.6,3769138.0
2009-08-31,35.32,35.76,34.54,35.4,1492170.0
2009-09-01,35.76,35.97,34.71,34.83,1253878.0
2009-09-02,34.54,35.15,34.34,34.71,894332.0
2009-09-03,34.87,35.56,34.58,35.27,1237366.0
2009-09-04,35.68,35.88,35.03,35.64,1015248.0
