,open,high,low,close,volume
2009-05-20,54.64,61.22,54.33,59.34,166766.0
2009-05-21,59.69,66.19,59.69,61.98,164030.0
2009-05-22,64.13,65.62,62.44,65.16,63258.0
2009-05-25,66.0,72.7,65.43,71.13,76765.0
2009-05-26,74.23,74.23,63.82,64.24,49037.0
2009-05-27,65.12,68.03,63.97,64.82,38867.0
2009-05-28,63.71,66.19,63.13,63.59,39314.0
2009-05-29,65.04,65.58,63.67,64.05,47194.0
2009-06-01,65.58,67.23,64.43,66.08,96874.0
2009-06-02,68.11,78.82,64.82,65.43,99524.0
2009-06-03,66.19,72.31,66.19,70.17,346075.0
2009-06-04,71.01,73.35,68.37,71.59,144379.0
2009-06-05,74.99,80.04,71.43,72.2,1070117.0
2009-06-08,74.04,74.04,62.37,63.21,407900.0
2009-06-09,59.84,63.67,59.53,61.1,477168.0
2009-06-10,62.67,64.51,59.46,60.45,487576.0
2009-06-11,61.91,61.91,58.85,59.76,241297.0
2009-06-12,60.45,61.95,57.58,58.2,305667.0
2009-06-15,58.08,59.69,55.86,56.17,112518.0
2009-06-16,55.48,57.89,55.48,56.93,259748.0
2009-06-17,58.16,58.16,54.33,54.87,200733.0
2009-06-18,54.87,55.71,52.04,52.84,190764.0
2009-06-19,54.33,55.86,52.04,53.18,166260.0
2009-06-22,54.25,60.03,53.26,56.17,383907.0
2009-06-23,55.06,56.17,53.57,55.1,137979.0
2009-06-24,56.93,60.61,54.33,58.73,875443.0
2009-06-25,68.11,68.11,58.92,60.26,459604.0
2009-06-26,61.18,62.37,60.11,60.49,192770.0
2009-06-29,61.22,63.13,60.45,60.8,195677.0
2009-06-30,61.72,61.95,58.16,58.69,332784.0
2009-07-01,59.0,59.15,56.47,57.32,103646.0
2009-07-02,58.12,59.57,57.05,57.35,86639.0
2009-07-03,56.67,57.77,56.4,56.74,83348.0
2009-07-06,57.16,58.12,53.26,54.1,143777.0
2009-07-07,55.75,55.75,53.8,54.98,58705.0
2009-07-08,54.22,54.22,52.23,52.72,79712.0
2009-07-09,53.57,53.8,52.57,52.99,62669.0
2009-07-10,54.06,55.79,52.42,53.3,79951.0
2009-07-13,52.8,53.95,51.65,51.92,55589.0
2009-07-14,53.03,54.68,52.72,54.06,40673.0
2009-07-15,54.33,56.47,54.33,55.86,61275.0
2009-07-16,55.48,57.58,55.4,55.86,54003.0
2009-07-17,57.51,57.77,55.59,57.05,48687.0
2009-07-20,57.97,57.97,55.71,55.94,92774.0
2009-07-21,56.93,61.41,56.63,59.8,340177.0
2009-07-22,59.04,61.98,58.31,58.88,166597.0
2009-07-23,59.57,60.45,58.65,59.84,78662.0
2009-07-24,61.14,63.28,60.57,61.91,191994.0
2009-07-27,61.68,62.37,60.3,61.33,101259.0
2009-07-28,61.98,63.06,61.33,61.95,155557.0
2009-07-29,61.95,65.16,61.49,64.62,590197.0
2009-07-30,65.04,65.66,62.86,63.32,155869.0
2009-07-31,65.04,65.04,60.84,61.1,286700.0
2009-08-03,62.37,62.56,61.29,62.29,95776.0
2009-08-04,63.05,63.94,62.44,63.02,130697.0
2009-08-05,63.74,63.9,62.75,63.48,74348.0
2009-08-06,63.48,66.58,62.4,62.86,249094.0
2009-08-07,62.79,63.51,61.26,62.17,123140.0
2009-08-10,62.37,64.82,61.98,62.63,337973.0
2009-08-11,62.75,63.44,61.6,61.95,108203.0
2009-08-12,60.57,62.37,59.76,62.1,136495.0
2009-08-13,63.02,64.59,62.52,63.78,156468.0
2009-08-14,64.2,65.96,63.63,64.59,152312.0
2009-08-17,64.2,64.85,62.02,62.4,167890.0
2009-08-18,63.32,67.26,62.75,66.15,239934.0
2009-08-19,67.0,71.7,67.0,70.32,842929.0
2009-08-20,71.17,73.0,69.25,69.75,370768.0
2009-08-21,70.25,72.24,68.95,70.86,219152.0
2009-08-24,72.12,74.92,71.17,73.16,356441.0
2009-08-25,73.84,74.61,70.94,72.08,219501.0
2009-08-26,73.84,77.63,72.85,75.57,700943.0
2009-08-27,75.95,78.51,74.3,76.75,349748.0
2009-08-28,77.29,77.48,73.84,75.8,263076.0
2009-08-31,75.34,79.28,75.34,78.51,279246.0
2009-09-01,79.74,80.54,75.83,76.64,237264.0
2009-09-02,76.91,78.67,75.83,77.14,245058.0
2009-09-03,79.25,79.25,75.78,76.54,206318.0
2009-09-04,76.54,77.37,73.59,73.83,117492.0
2009-09-07,73.99,76.34,73.99,75.58,148736.0
2009-09-08,75.7,75.78,73.51,73.99,539822.0
2009-09-09,74.82,75.18,71.92,73.75,106039.0
2009-09-10,74.86,79.61,74.15,76.62,1138489.0
2009-09-11,78.01,78.17,74.27,75.58,343465.0
2009-09-14,73.39,79.25,73.39,77.77,745090.0
2009-09-15,78.09,79.92,77.06,77.73,542529.0
2009-09-16,78.89,78.89,76.58,76.9,199177.0
2009-09-17,77.89,78.69,75.7,76.54,192508.0
2009-09-18,76.26,76.9,75.3,75.58,67673.0
2009-09-22,76.5,78.09,75.38,75.82,245227.0
2009-09-23,75.94,76.34,73.83,74.19,69609.0
2009-09-24,73.47,76.1,72.75,75.3,240688.0
2009-09-25,75.62,77.14,74.15,75.46,190518.0
2009-09-29,76.9,80.44,76.02,78.09,831895.0
2009-09-30,78.65,81.2,77.77,78.33,1251988.0
2009-10-01,78.49,81.12,78.13,78.49,646814.0
2009-10-05,78.09,78.61,76.14,76.5,314333.0
2009-10-06,76.9,77.29,73.79,75.74,407339.0
2009-10-07,76.9,78.37,76.5,76.66,579419.0
2009-10-08,77.53,77.53,73.39,75.5,499114.0
2009-10-09,75.1,76.18,73.71,73.99,414191.0
2009-10-12,73.99,77.85,73.99,76.9,495025.0
2009-10-14,78.29,78.29,76.02,76.46,475777.0
2009-10-15,77.18,77.57,76.1,77.02,490075.0
2009-10-16,77.61,78.37,76.1,76.42,476672.0
2009-10-20,77.25,77.85,74.35,76.42,265132.0
2009-10-21,77.18,78.81,76.34,76.86,407429.0
2009-10-22,76.5,78.41,74.98,75.18,236238.0
2009-10-23,76.9,77.02,74.98,75.5,298848.0
2009-10-26,74.94,76.82,74.43,75.06,321812.0
2009-10-27,75.7,75.7,70.92,72.87,375673.0
2009-10-28,73.31,73.87,71.56,71.8,300127.0
2009-10-29,71.72,72.12,69.57,70.92,249394.0
2009-10-30,71.88,73.63,68.97,69.76,305956.0
2009-11-03,69.64,70.12,65.74,67.49,308186.0
2009-11-04,67.73,69.21,66.54,68.13,392002.0
2009-11-05,68.85,69.72,67.02,68.33,338553.0
2009-11-06,69.33,71.24,68.53,68.89,350790.0
2009-11-09,69.68,70.64,68.73,70.12,297046.0
2009-11-10,70.72,71.24,68.93,69.8,384140.0
2009-11-11,69.17,71.24,68.93,70.88,354809.0
2009-11-12,70.52,72.83,70.2,72.15,347092.0
2009-11-13,72.43,73.31,71.84,72.08,375469.0
2009-11-16,72.55,73.59,71.92,72.27,340327.0
2009-11-17,72.51,75.42,71.72,72.19,420311.0
2009-11-18,73.11,73.23,70.96,72.04,314012.0
2009-11-19,71.72,73.19,71.32,71.8,359240.0
2009-11-20,71.68,73.07,70.36,72.0,406520.0
2009-11-23,73.31,73.31,69.72,70.52,5401012.0
2009-11-24,71.84,73.79,69.45,72.39,2796466.0
2009-11-25,72.51,74.9,71.92,72.27,411194.0
2009-11-26,73.31,75.34,72.51,72.87,442868.0
2009-11-27,71.72,71.72,68.61,70.88,362482.0
2009-11-30,73.31,73.31,71.36,72.08,309078.0
2009-12-01,74.11,74.11,71.88,73.23,340915.0
2009-12-02,73.95,76.9,73.35,75.22,575183.0
2009-12-03,76.1,76.42,73.99,74.35,314468.0
2009-12-04,74.11,75.3,73.43,73.87,332519.0
2009-12-07,74.31,75.38,73.71,74.63,393300.0
2009-12-08,73.35,78.09,73.35,76.62,424626.0
2009-12-09,75.7,77.37,74.11,74.94,325667.0
2009-12-10,75.7,80.04,75.1,78.49,616441.0
2009-12-11,79.13,81.84,77.45,78.65,544259.0
2009-12-14,78.49,79.61,76.54,77.1,387483.0
2009-12-15,78.33,78.33,75.38,75.74,347200.0
2009-12-16,76.1,77.29,74.63,76.34,332333.0
2009-12-17,76.82,77.85,75.3,75.66,354061.0
2009-12-18,76.5,77.69,74.98,75.34,382409.0
2009-12-21,76.26,77.06,70.92,73.51,358476.0
2009-12-22,74.9,79.53,74.15,78.81,695451.0
2009-12-23,74.9,79.53,74.15,78.81,695451.0
2009-12-24,74.9,79.53,74.15,78.81,695451.0
2009-12-29,74.9,79.53,74.15,78.81,695451.0
2009-12-30,74.9,79.53,74.15,78.81,695451.0
2009-12-31,74.9,79.53,74.15,78.81,695451.0
2010-01-04,83.75,86.58,83.11,83.55,383341.0
2010-01-05,84.47,86.1,82.24,85.46,532520.0
2010-01-06,86.26,87.49,83.67,84.79,638441.0
2010-01-07,85.26,85.82,83.07,83.63,741091.0
2010-01-08,84.35,86.02,83.83,84.15,416838.0
2010-01-11,92.43,92.43,83.03,84.51,596351.0
2010-01-12,85.26,87.81,83.27,83.91,618519.0
2010-01-13,84.55,86.7,83.51,84.98,550730.0
2010-01-14,86.06,87.41,85.42,85.9,526714.0
2010-01-15,86.38,89.09,85.94,86.66,511105.0
2010-01-18,86.18,87.65,85.82,86.3,516363.0
2010-01-19,86.14,86.7,84.07,84.43,533248.0
2010-01-20,84.79,86.5,83.71,85.22,443470.0
2010-01-21,84.79,85.1,82.67,83.23,461611.0
2010-01-22,80.16,82.71,78.49,80.92,485119.0
2010-01-25,78.97,84.31,78.97,80.08,430747.0
2010-01-27,78.09,82.47,76.7,77.1,442116.0
2010-01-28,74.11,80.88,74.11,76.82,437471.0
2010-01-29,75.7,76.86,74.31,76.22,481192.0
2010-02-01,76.58,82.08,76.58,80.24,536709.0
2010-02-02,82.55,82.79,78.53,78.73,505591.0
2010-02-03,81.16,81.16,78.89,79.21,515828.0
2010-02-04,80.36,80.36,78.13,78.45,415321.0
2010-02-05,75.7,77.21,74.51,75.5,454173.0
2010-02-08,75.74,78.13,74.67,75.7,420967.0
2010-02-09,76.34,78.49,75.22,77.02,429390.0
2010-02-10,79.21,79.21,74.59,75.02,389836.0
2010-02-11,75.58,76.26,74.55,75.62,429865.0
2010-02-15,76.22,76.22,74.51,74.7,467244.0
2010-02-16,75.3,75.7,73.59,74.7,505877.0
2010-02-17,75.94,76.7,75.22,75.46,483329.0
2010-02-18,76.26,76.26,74.63,74.78,478617.0
2010-02-19,74.11,75.22,73.71,73.91,473448.0
2010-02-22,74.9,76.42,73.07,73.47,502211.0
2010-02-23,73.31,75.3,72.75,74.51,483612.0
2010-02-24,74.19,74.19,71.84,72.23,530180.0
2010-02-25,73.55,73.55,71.72,72.08,369418.0
2010-02-26,73.87,75.7,72.31,72.99,475311.0
2010-03-02,73.87,74.31,71.96,73.95,428338.0
2010-03-03,73.59,76.9,73.43,75.3,416751.0
2010-03-04,74.9,75.3,73.79,74.35,387240.0
