,open,high,low,close,volume
2009-05-20,593.51,634.56,593.51,630.07,30606.0
2009-05-21,640.35,674.75,615.5,658.7,76360.0
2009-05-22,657.55,668.06,626.96,630.74,49824.0
2009-05-25,648.95,648.95,631.84,645.08,43179.0
2009-05-26,642.26,671.88,619.32,659.7,52975.0
2009-05-27,672.84,675.71,630.79,658.74,86988.0
2009-05-28,668.06,675.71,655.73,660.65,122543.0
2009-05-29,657.55,700.56,641.44,686.03,292496.0
2009-06-01,687.22,727.56,683.35,719.29,167648.0
2009-06-02,692.91,718.95,672.84,706.96,121185.0
2009-06-03,707.25,716.8,689.09,694.82,39812.0
2009-06-04,694.87,764.59,683.54,746.81,119462.0
2009-06-05,747.39,774.15,701.51,708.78,259295.0
2009-06-08,713.94,731.14,664.24,685.7,82297.0
2009-06-09,678.72,704.38,665.43,699.55,36396.0
2009-06-10,699.6,733.1,693.1,729.04,58723.0
2009-06-11,708.63,731.14,673.89,699.74,15738575.0
2009-06-12,705.48,715.85,697.69,699.7,160474.0
2009-06-15,701.51,711.07,675.09,696.11,80830.0
2009-06-16,679.53,700.56,670.93,679.86,161472.0
2009-06-17,676.71,690.9,673.8,683.07,168113.0
2009-06-18,686.17,686.17,626.01,645.84,246378.0
2009-06-19,664.24,664.24,635.61,640.97,159367.0
2009-06-22,650.86,657.26,624.1,627.87,92603.0
2009-06-23,618.79,628.88,587.4,626.3,51351.0
2009-06-24,648.42,667.06,628.97,659.13,58760.0
2009-06-25,649.9,685.74,649.9,677.71,281462.0
2009-06-26,685.26,707.15,676.28,682.64,51449.0
2009-06-29,682.64,683.35,659.46,675.61,35688.0
2009-06-30,678.48,678.48,649.09,659.08,342973.0
2009-07-01,666.15,673.8,644.17,651.77,75804.0
2009-07-02,655.83,664.24,647.99,651.1,100861.0
2009-07-03,663.28,682.83,645.12,675.9,167816.0
2009-07-06,676.66,678.57,647.04,658.89,54406.0
2009-07-07,666.15,693.39,659.46,688.13,58491.0
2009-07-08,665.19,716.28,665.19,690.04,123795.0
2009-07-09,698.71,707.17,683.35,704.72,35683.0
2009-07-10,707.56,714.1,692.93,702.8,47199.0
2009-07-13,699.67,699.67,669.02,694.71,122650.0
2009-07-14,707.37,710.21,692.16,698.13,27129.0
2009-07-15,699.72,715.07,691.97,711.51,76464.0
2009-07-16,716.99,720.84,700.63,713.14,61261.0
2009-07-17,718.92,736.19,713.14,717.66,98693.0
2009-07-20,749.71,749.71,723.05,743.12,37508.0
2009-07-21,745.86,885.41,722.77,746.73,246042.0
2009-07-22,746.73,779.35,718.29,723.1,176405.0
2009-07-23,702.55,741.05,702.55,735.95,157274.0
2009-07-24,758.37,758.37,737.39,745.96,566261.0
2009-07-27,759.14,784.36,750.68,767.71,257332.0
2009-07-28,740.09,781.95,740.09,778.3,296254.0
2009-07-29,770.02,787.25,750.68,760.35,107021.0
2009-07-30,769.73,801.68,760.83,766.94,347241.0
2009-07-31,788.11,793.02,755.58,768.96,174762.0
2009-08-03,776.66,781.28,766.6,771.37,65392.0
2009-08-04,779.55,782.24,761.41,772.76,74170.0
2009-08-05,774.74,791.05,764.15,768.77,138240.0
2009-08-06,777.33,779.26,758.37,763.19,137106.0
2009-08-07,742.21,759.34,683.88,740.33,102264.0
2009-08-10,746.83,755.2,684.32,690.67,70351.0
2009-08-11,694.86,700.63,684.32,690.33,112440.0
2009-08-12,697.65,700.63,676.57,691.58,248382.0
2009-08-13,700.63,730.46,700.63,724.55,77351.0
2009-08-14,748.75,750.68,714.2,716.99,213367.0
2009-08-17,707.37,718.92,687.16,692.88,175916.0
2009-08-18,694.86,704.48,675.7,687.54,270557.0
2009-08-19,690.04,697.26,670.84,676.23,37712.0
2009-08-20,678.49,692.93,678.49,683.35,229867.0
2009-08-21,677.63,688.12,676.86,683.26,82815.0
2009-08-24,692.93,709.0,690.04,703.37,103319.0
2009-08-25,697.65,716.03,691.29,713.43,24443.0
2009-08-26,730.46,738.16,712.13,722.04,81320.0
2009-08-27,717.95,724.69,701.59,704.29,231732.0
2009-08-28,720.84,734.7,712.18,731.19,84882.0
2009-08-31,714.1,738.45,713.33,733.16,41407.0
2009-09-01,740.09,741.05,713.14,725.36,135434.0
2009-09-02,721.75,721.75,701.21,710.74,27364.0
2009-09-03,721.37,723.73,711.22,713.33,29515.0
2009-09-04,716.03,727.58,712.18,723.58,165911.0
2009-09-07,739.9,741.05,726.52,730.56,81303.0
2009-09-08,739.99,747.79,723.05,729.21,128174.0
2009-09-09,739.99,740.09,706.07,731.91,10116.0
2009-09-10,731.43,737.2,712.37,717.04,73392.0
2009-09-11,712.18,726.52,696.78,707.66,57107.0
2009-09-14,716.99,718.24,689.32,703.32,29177.0
2009-09-15,704.48,714.1,699.67,702.89,307094.0
2009-09-16,704.48,738.07,704.48,729.26,305469.0
2009-09-17,740.91,774.45,718.92,729.74,377155.0
2009-09-18,731.43,775.07,730.46,755.97,448097.0
2009-09-22,760.4,763.19,745.86,754.33,69864.0
2009-09-23,755.49,756.16,732.49,739.9,52050.0
2009-09-24,745.86,745.86,683.55,730.51,109069.0
2009-09-25,730.51,733.35,714.1,723.2,75889.0
2009-09-29,740.86,751.06,731.52,745.19,99617.0
2009-09-30,741.05,775.6,733.54,769.54,219498.0
2009-10-01,774.74,839.22,774.74,817.03,855060.0
2009-10-05,827.67,862.31,770.89,774.74,1283027.0
2009-10-06,779.55,808.42,761.26,783.64,393903.0
2009-10-07,791.1,807.31,781.57,791.34,711371.0
2009-10-08,798.7,816.07,792.2,807.31,355281.0
2009-10-09,811.02,844.89,804.43,837.44,827183.0
2009-10-12,832.48,854.47,811.31,816.07,230006.0
2009-10-14,826.7,832.48,776.61,781.23,881252.0
2009-10-15,792.83,819.97,784.46,812.56,397418.0
2009-10-16,816.12,822.57,790.13,792.59,514714.0
2009-10-20,808.42,813.23,786.28,793.45,148643.0
2009-10-21,793.02,793.02,771.85,775.02,165453.0
2009-10-22,774.74,775.7,744.13,748.12,153783.0
2009-10-23,765.11,765.11,736.29,743.46,478402.0
2009-10-26,741.05,755.49,734.31,750.39,151852.0
2009-10-27,737.44,752.6,737.44,746.15,139338.0
2009-10-28,746.15,746.15,734.31,737.88,121424.0
2009-10-29,734.6,736.77,721.95,730.51,232634.0
2009-10-30,745.86,763.09,733.01,739.08,92945.0
2009-11-03,736.24,741.05,707.37,712.76,56332.0
2009-11-04,721.8,725.65,683.31,706.36,270275.0
2009-11-05,706.36,721.71,685.23,709.29,116622.0
2009-11-06,716.89,721.8,691.34,707.9,79562.0
2009-11-09,707.94,721.8,698.71,717.42,96180.0
2009-11-10,720.84,730.95,708.43,712.18,85488.0
2009-11-11,708.33,729.98,708.33,719.59,59429.0
2009-11-12,707.37,727.1,697.98,701.16,255643.0
2009-11-13,694.13,707.27,687.16,702.51,62884.0
2009-11-16,696.78,739.99,673.49,710.88,381400.0
2009-11-17,739.13,739.13,712.18,720.7,288858.0
2009-11-18,728.54,743.75,713.33,728.92,179048.0
2009-11-19,736.24,744.9,721.8,734.03,194535.0
2009-11-20,732.39,769.92,726.13,761.69,277573.0
2009-11-23,774.74,793.02,764.15,785.61,177644.0
2009-11-24,793.89,797.83,773.68,787.97,114283.0
2009-11-25,789.17,810.34,784.84,798.7,220180.0
2009-11-26,807.46,813.71,790.28,793.79,212590.0
2009-11-27,793.02,797.35,766.17,787.34,83979.0
2009-11-30,790.13,813.23,782.43,805.2,123073.0
2009-12-01,814.1,817.95,799.85,809.33,288172.0
2009-12-02,817.08,817.08,799.85,803.27,53221.0
2009-12-03,809.38,827.67,800.72,813.95,102023.0
2009-12-04,814.19,819.78,801.68,804.86,37966.0
2009-12-07,804.86,812.08,790.13,803.13,30022.0
2009-12-08,806.49,817.08,794.95,815.54,50945.0
2009-12-09,813.14,822.86,795.09,820.74,84410.0
2009-12-10,813.71,823.82,813.71,819.63,42278.0
2009-12-11,827.57,832.48,819.01,827.76,106981.0
2009-12-14,833.63,870.88,828.63,865.35,363102.0
2009-12-15,875.64,875.64,851.87,854.09,215557.0
2009-12-16,837.87,879.64,832.48,874.25,190362.0
2009-12-17,875.79,885.41,869.05,879.4,143856.0
2009-12-18,880.5,880.5,860.39,865.39,238203.0
2009-12-21,862.31,873.67,857.6,859.38,49438.0
2009-12-22,798.7,868.09,798.7,844.03,138664.0
2009-12-23,798.7,868.09,798.7,844.03,138664.0
2009-12-24,798.7,868.09,798.7,844.03,138664.0
2009-12-29,798.7,868.09,798.7,844.03,138664.0
2009-12-30,798.7,868.09,798.7,844.03,138664.0
2009-12-31,798.7,868.09,798.7,844.03,138664.0
2010-01-04,879.83,938.01,878.67,929.78,322796.0
2010-01-05,933.53,952.78,933.53,949.03,399360.0
2010-01-06,950.86,964.33,938.34,950.18,341762.0
2010-01-07,949.89,965.29,939.4,941.57,185302.0
2010-01-08,956.63,956.63,943.16,953.07,335191.0
2010-01-11,962.26,968.18,950.95,954.27,240284.0
2010-01-12,952.78,967.22,936.47,947.58,114835.0
2010-01-13,944.12,998.01,934.54,993.59,242789.0
2010-01-14,1000.85,1010.52,991.28,1004.75,655019.0
2010-01-15,1005.71,1019.96,976.84,997.96,345312.0
2010-01-18,974.15,985.89,953.74,965.0,522516.0
2010-01-19,967.22,971.07,951.19,961.92,219429.0
2010-01-20,957.59,978.28,935.79,940.75,86992.0
2010-01-21,942.19,943.16,897.92,909.86,177821.0
2010-01-22,904.56,904.66,859.62,878.34,168573.0
2010-01-25,871.94,878.67,851.73,871.7,66982.0
2010-01-27,866.16,889.26,849.75,875.93,182223.0
2010-01-28,881.61,904.66,858.61,887.53,321650.0
2010-01-29,875.79,903.7,868.09,895.04,86068.0
2010-02-01,914.28,923.91,886.47,896.67,34440.0
2010-02-02,901.77,937.77,899.85,924.63,100556.0
2010-02-03,947.97,947.97,914.28,935.17,72908.0
2010-02-04,925.83,936.32,920.06,925.93,213394.0
2010-02-05,905.62,911.3,882.52,897.49,63337.0
2010-02-08,897.92,904.66,880.84,894.89,57942.0
2010-02-09,895.04,923.91,885.89,920.97,67728.0
2010-02-10,923.91,952.68,922.03,947.78,153517.0
2010-02-11,944.89,966.25,941.23,963.27,164610.0
2010-02-15,964.33,969.62,955.76,962.6,68387.0
2010-02-16,972.03,1012.45,958.55,1003.98,943309.0
2010-02-17,1015.34,1020.05,993.35,1008.07,499371.0
2010-02-18,1008.07,1008.07,979.82,986.46,202540.0
2010-02-19,986.46,1000.61,972.12,988.73,111290.0
2010-02-22,1012.45,1012.45,969.62,996.86,114581.0
2010-02-23,996.86,1000.9,978.91,986.27,544180.0
2010-02-24,987.43,996.09,954.75,984.35,82751.0
2010-02-25,985.5,1000.37,960.58,994.74,298315.0
2010-02-26,1002.82,1010.48,984.11,1000.95,422959.0
2010-03-02,1010.52,1044.21,990.7,1034.25,95622.0
2010-03-03,1058.64,1058.64,1026.07,1039.16,192373.0
2010-03-04,1039.4,1058.64,1034.58,1050.42,166225.0
2010-03-05,1056.72,1072.74,1049.02,1056.48,343773.0
2010-03-08,1060.18,1081.65,1050.99,1069.86,306978.0
2010-03-09,1073.99,1075.97,1049.02,1051.52,132044.0
2010-03-10,1049.98,1072.12,1049.98,1067.26,299608.0
2010-03-11,1068.36,1077.89,1060.47,1070.24,77414.0
2010-03-12,1073.08,1077.41,1052.87,1065.09,80067.0
2010-03-15,1057.2,1077.8,1052.87,1071.2,255900.0
2010-03-16,1068.27,1077.89,1054.31,1075.92,264272.0
2010-03-17,1077.89,1086.27,1049.12,1057.68,158750.0
2010-03-18,1041.61,1070.19,986.46,1064.47,309482.0
2010-03-19,1052.87,1083.19,1052.87,1080.25,210978.0
2010-03-22,1052.87,1090.16,1052.87,1081.45,168236.0
2010-03-23,1082.7,1082.7,1065.91,1069.23,96928.0
2010-03-25,1072.89,1072.89,1032.18,1045.51,575656.0
2010-03-26,1048.06,1076.83,1044.21,1073.99,102350.0
2010-03-29,1069.23,1103.4,1065.38,1098.1,83328.0
2010-03-30,1106.28,1109.46,1091.37,1102.14,80771.0
2010-03-31,1087.52,1118.22,1087.52,1111.43,108222.0
2010-04-01,1098.58,1108.54,1093.29,1101.23,129245.0
2010-04-05,1107.73,1123.8,1099.35,1103.93,33395.0
2010-04-06,1104.36,1114.94,1097.24,1103.54,29411.0
2010-04-07,1097.14,1119.18,1097.14,1106.72,37900.0
2010-04-08,1104.45,1122.16,1095.26,1119.37,69738.0
2010-04-09,1119.28,1129.86,1111.58,1116.29,42657.0
2010-04-12,1116.39,1121.78,1086.65,1091.17,79470.0
2010-04-13,1091.37,1100.99,1081.26,1095.75,189740.0
2010-04-15,1087.52,1104.55,1078.85,1087.37,41211.0
2010-04-16,1067.64,1086.07,1056.72,1062.54,56404.0
2010-04-19,1057.49,1066.34,1044.26,1059.37,29812.0
2010-04-20,1058.64,1076.93,1049.16,1063.36,42694.0
2010-04-21,1063.26,1071.93,1053.93,1063.75,41635.0
2010-04-22,1063.46,1086.07,1058.64,1077.36,60758.0
2010-04-23,1077.6,1087.47,1050.95,1053.59,27811.0
2010-04-26,1076.93,1076.93,1052.0,1056.82,29033.0
2010-04-27,1072.98,1081.26,1049.02,1053.69,31539.0
2010-04-28,1029.92,1055.61,1029.77,1037.71,46992.0
2010-04-29,1016.88,1044.21,966.45,977.18,310248.0
2010-04-30,968.18,985.21,927.76,936.18,340376.0
2010-05-03,947.97,962.21,916.3,919.58,152993.0
2010-05-04,933.53,977.03,870.01,892.0,415567.0
2010-05-05,877.71,936.42,875.79,931.99,275248.0
2010-05-06,923.91,935.46,909.57,914.86,128252.0
2010-05-07,908.51,914.28,885.41,909.9,87338.0
2010-05-10,919.1,940.08,905.24,911.44,179022.0
2010-05-11,914.28,923.67,903.94,915.82,184752.0
2010-05-12,907.88,938.83,905.19,931.17,129046.0
2010-05-13,933.53,941.71,917.27,926.31,93569.0
2010-05-14,927.85,933.53,896.96,903.89,57315.0
2010-05-17,914.28,915.25,874.83,909.86,111527.0
2010-05-18,895.04,923.91,895.04,918.57,63338.0
2010-05-19,918.57,922.95,897.92,915.25,115525.0
2010-05-20,926.8,926.8,906.1,914.62,261264.0
2010-05-21,899.85,931.61,881.71,913.85,69205.0
2010-05-24,905.04,929.68,905.04,920.15,144671.0
2010-05-25,902.73,911.4,874.92,889.89,318460.0
2010-05-26,894.7,907.93,877.71,897.3,32516.0
2010-05-27,888.3,913.13,883.73,902.01,88299.0
2010-05-28,918.13,918.33,895.04,903.12,66477.0
2010-05-31,890.22,904.66,883.82,887.1,14823.0
