,open,high,low,close,volume
2009-05-20,82.75,88.18,82.75,86.8,1432888.0
2009-05-21,87.08,90.38,78.81,82.78,1402029.0
2009-05-22,84.32,91.43,82.67,90.52,2758908.0
2009-05-25,91.49,95.84,88.79,93.99,1916388.0
2009-05-26,94.24,95.81,85.42,88.48,2395695.0
2009-05-27,90.0,90.0,87.35,89.28,1924318.0
2009-05-28,89.28,92.42,87.71,88.81,3188096.0
2009-05-29,89.67,95.07,85.59,90.33,17850616.0
2009-06-01,89.17,94.08,89.17,90.47,3213776.0
2009-06-02,91.32,93.64,87.68,89.8,2176182.0
2009-06-03,90.11,97.93,89.61,96.53,6560486.0
2009-06-04,95.95,97.55,92.64,94.08,5168050.0
2009-06-05,95.32,98.04,92.12,93.99,3137181.0
2009-06-08,94.71,95.62,85.01,85.97,1714833.0
2009-06-09,82.72,91.98,80.49,90.44,1691434.0
2009-06-10,93.64,96.72,91.18,94.96,4798800.0
2009-06-11,95.95,95.95,91.76,92.95,1222220.0
2009-06-12,95.34,95.34,88.76,91.04,3143682.0
2009-06-15,89.83,90.58,85.15,86.64,1218414.0
2009-06-16,85.86,90.27,84.87,87.24,1354532.0
2009-06-17,88.18,88.7,79.91,81.04,1392028.0
2009-06-18,81.57,82.61,74.95,80.88,1236783.0
2009-06-19,83.47,85.92,77.18,81.68,877382.0
2009-06-22,82.67,84.16,80.77,81.79,553354.0
2009-06-23,79.91,82.17,78.95,80.74,902997.0
2009-06-24,82.12,83.16,81.01,81.54,1645842.0
2009-06-25,83.11,84.27,81.01,82.12,4375506.0
2009-06-26,83.77,87.02,82.28,85.84,2920864.0
2009-06-29,86.42,86.53,83.33,83.77,1721050.0
2009-06-30,85.42,85.45,77.71,78.67,2163837.0
2009-07-01,79.88,82.45,78.81,81.68,1052384.0
2009-07-02,82.39,82.67,78.89,79.61,904072.0
2009-07-03,80.46,82.67,78.81,82.23,946520.0
2009-07-06,84.32,85.26,79.36,80.85,1578056.0
2009-07-07,81.01,81.92,77.76,79.55,655870.0
2009-07-08,78.95,79.36,75.39,75.72,1473627.0
2009-07-09,76.05,78.95,75.34,77.21,653732.0
2009-07-10,77.16,78.76,75.72,76.61,891147.0
2009-07-13,75.5,77.79,73.24,77.16,893240.0
2009-07-14,78.12,80.41,77.82,79.69,705681.0
2009-07-15,77.98,83.47,75.53,82.45,1155129.0
2009-07-16,83.49,85.42,82.67,84.1,1623748.0
2009-07-17,85.15,85.45,81.65,82.5,2493734.0
2009-07-20,84.87,87.52,84.1,85.23,1822594.0
2009-07-21,86.11,88.12,83.22,86.94,2142682.0
2009-07-22,87.52,87.9,79.94,82.17,1445466.0
2009-07-23,83.25,84.57,82.17,82.64,970916.0
2009-07-24,84.87,89.45,83.41,88.73,1858426.0
2009-07-27,89.34,95.7,89.01,94.54,2978392.0
2009-07-28,95.89,96.14,90.93,94.99,1137474.0
2009-07-29,93.58,95.59,89.86,93.61,1499194.0
2009-07-30,93.5,95.12,91.24,93.39,1806766.0
2009-07-31,95.23,97.82,93.69,94.46,1579221.0
2009-08-03,95.18,101.96,94.79,101.13,4580601.0
2009-08-04,100.85,102.15,96.45,98.48,2631063.0
2009-08-05,94.27,99.75,94.05,95.45,1654786.0
2009-08-06,91.84,98.29,91.84,94.65,852438.0
2009-08-07,92.59,94.65,89.03,89.83,813170.0
2009-08-10,86.8,92.28,83.36,84.46,1683566.0
2009-08-11,81.32,87.21,81.32,83.74,872130.0
2009-08-12,82.67,86.2,82.12,83.88,2128242.0
2009-08-13,83.91,89.78,83.91,87.32,1330322.0
2009-08-14,86.8,98.04,86.8,95.84,3087672.0
2009-08-17,93.58,94.85,87.35,88.07,1493514.0
2009-08-18,88.07,90.38,86.33,87.13,2460584.0
2009-08-19,88.07,89.83,83.85,85.42,1881440.0
2009-08-20,86.53,88.04,84.9,86.33,666645.0
2009-08-21,83.94,88.12,83.94,85.26,1497204.0
2009-08-24,88.15,88.73,86.31,86.88,1799648.0
2009-08-25,86.03,90.82,85.81,89.25,1713154.0
2009-08-26,89.89,90.85,88.73,89.36,2828218.0
2009-08-27,89.61,94.43,89.14,92.48,3635074.0
2009-08-28,92.59,94.63,89.97,91.54,2496213.0
2009-08-31,89.34,95.01,89.34,93.19,2240636.0
2009-09-01,94.52,96.67,90.66,92.45,3371367.0
2009-09-02,89.42,93.39,89.42,91.43,1289140.0
2009-09-03,93.86,94.98,91.68,92.88,781202.0
2009-09-04,91.35,94.56,91.35,93.25,745752.0
2009-09-07,92.74,95.2,92.32,93.05,1174203.0
2009-09-08,92.24,94.76,90.87,91.32,1391202.0
2009-09-09,92.02,93.58,90.57,91.96,1854021.0
2009-09-10,92.74,97.44,92.24,95.34,2797329.0
2009-09-11,96.93,97.74,93.44,94.5,2209484.0
2009-09-14,94.62,94.98,91.71,92.69,1702702.0
2009-09-15,93.53,94.53,92.8,93.39,720692.0
2009-09-16,94.28,95.56,92.58,94.78,1457468.0
2009-09-17,92.24,96.93,91.68,92.24,2823198.0
2009-09-18,92.19,93.86,91.26,91.54,2788540.0
2009-09-22,91.65,92.55,90.79,91.26,1129554.0
2009-09-23,90.57,91.63,87.13,88.83,3877692.0
2009-09-24,88.05,89.89,86.65,88.08,2180752.0
2009-09-25,87.72,93.0,87.72,92.35,1763018.0
2009-09-29,92.02,93.78,91.21,92.32,1088542.0
2009-09-30,92.69,93.5,91.77,92.66,1019942.0
2009-10-01,93.25,95.43,91.65,94.14,1959718.0
2009-10-05,93.97,96.04,91.49,94.56,2493279.0
2009-10-06,94.56,96.88,92.63,93.47,1423570.0
2009-10-07,94.14,100.57,94.14,98.3,4752502.0
2009-10-08,99.95,100.34,93.41,95.37,3105144.0
2009-10-09,95.54,96.1,88.36,91.15,5324624.0
2009-10-12,93.22,93.22,90.7,91.71,925252.0
2009-10-14,91.26,93.55,91.26,92.49,1589343.0
2009-10-15,93.08,93.47,90.23,91.04,1700406.0
2009-10-16,91.91,93.41,89.31,90.7,2993103.0
2009-10-20,92.13,92.19,90.26,91.12,1981998.0
2009-10-21,91.63,91.91,89.22,89.34,3562386.0
2009-10-22,88.33,90.23,86.96,87.55,1758483.0
2009-10-23,89.25,89.34,87.72,87.8,2124458.0
2009-10-26,89.25,89.25,84.89,85.48,3986518.0
2009-10-27,85.48,85.48,80.76,81.32,3945714.0
2009-10-28,81.01,81.29,78.5,80.37,1071878.0
2009-10-29,79.78,80.06,76.18,78.36,2445789.0
2009-10-30,79.61,83.53,78.78,80.37,2332401.0
2009-11-03,79.34,80.73,76.82,77.88,844358.0
2009-11-04,77.66,80.12,75.65,79.2,1367344.0
2009-11-05,78.78,80.82,77.66,80.45,455721.0
2009-11-06,79.39,81.43,79.2,80.51,1536243.0
2009-11-09,81.51,84.53,80.54,82.97,2461887.0
2009-11-10,83.8,84.87,82.16,83.5,2602911.0
2009-11-11,84.28,85.48,82.24,83.22,1717174.0
2009-11-12,83.53,83.53,79.17,81.07,2469930.0
2009-11-13,81.51,81.51,79.95,80.98,793756.0
2009-11-16,82.63,83.58,81.23,83.08,1338044.0
2009-11-17,84.31,84.31,80.03,80.87,1864850.0
2009-11-18,81.12,81.46,80.37,80.93,1444977.0
2009-11-19,80.73,81.43,77.24,77.6,2094042.0
2009-11-20,77.1,77.35,74.25,75.4,3080080.0
2009-11-23,77.6,79.0,75.7,77.83,2759154.0
2009-11-24,77.94,82.3,77.94,81.74,2805122.0
2009-11-25,82.69,87.1,82.13,86.71,3993898.0
2009-11-26,86.57,87.02,82.97,84.14,1823787.0
2009-11-27,83.8,83.8,80.51,82.21,1601512.0
2009-11-30,83.86,84.81,82.44,83.44,565758.0
2009-12-01,84.34,88.97,82.99,88.3,2018763.0
2009-12-02,89.22,92.13,88.33,90.31,2495628.0
2009-12-03,90.51,94.7,90.06,92.16,4319752.0
2009-12-04,93.13,93.13,88.36,89.14,1613212.0
2009-12-07,90.26,91.51,87.55,87.85,783574.0
2009-12-08,88.27,94.87,86.6,92.74,5049412.0
2009-12-09,91.63,95.2,89.95,93.92,1257556.0
2009-12-10,94.22,94.67,90.84,92.1,1431178.0
2009-12-11,92.58,93.08,90.51,91.4,1239999.0
2009-12-14,91.35,91.35,89.39,89.95,923967.0
