,open,high,low,close,volume
2009-05-20,17.6,17.69,17.07,17.69,21435.0
2009-05-21,17.69,18.59,17.17,18.59,18552.0
2009-05-22,19.45,19.54,19.16,19.54,26575.0
2009-05-25,19.3,20.54,19.3,20.54,1008.0
2009-05-26,21.58,21.58,19.73,21.58,15374.0
2009-05-27,22.67,22.67,22.62,22.67,7059.0
2009-05-28,23.81,23.81,22.86,23.81,11796.0
2009-05-29,23.71,25.04,23.71,25.04,13161.0
2009-06-01,25.99,26.13,25.04,26.13,5571.0
2009-06-02,26.7,27.46,24.85,25.47,19625.0
2009-06-03,25.42,26.18,24.0,24.09,9254.0
2009-06-04,25.85,26.18,25.37,26.18,2700.0
2009-06-05,27.51,27.51,27.51,27.51,6540.0
2009-06-08,28.88,28.88,26.13,26.13,25529.0
2009-06-09,24.85,25.61,24.85,24.85,5560.0
2009-06-10,26.04,26.13,23.71,23.71,10095.0
2009-06-11,23.71,24.57,22.53,22.77,3038.0
2009-06-12,22.77,22.77,21.96,22.77,4705.0
2009-06-15,21.82,22.62,21.01,21.01,5250.0
2009-06-16,20.16,20.16,20.16,20.16,5598.0
2009-06-17,21.72,21.72,19.73,21.72,2864.0
2009-06-18,19.92,19.92,18.78,18.78,850.0
2009-06-19,18.97,19.45,17.88,17.88,629.0
2009-06-22,18.5,18.5,17.03,18.5,8481.0
2009-06-23,16.41,16.41,16.32,16.41,4450.0
2009-06-24,16.13,16.13,15.84,16.13,840.0
2009-06-25,17.41,17.41,17.41,17.41,255.0
2009-06-26,17.07,18.31,17.07,18.31,838.0
2009-06-29,19.26,19.26,18.02,19.26,11161.0
2009-06-30,20.2,20.2,19.92,20.2,8463.0
2009-07-01,19.45,19.45,19.45,19.45,2635.0
2009-07-02,19.45,19.45,19.45,19.45,153004.0
2009-07-03,19.97,19.97,19.54,19.97,3930.0
2009-07-06,19.59,21.34,19.59,20.06,3629.0
2009-07-07,19.21,19.21,19.16,19.21,1100.0
2009-07-08,19.45,19.45,18.83,19.45,1351.0
2009-07-09,18.88,18.88,18.02,18.88,950.0
2009-07-10,18.97,18.97,17.55,17.55,950.0
2009-07-13,17.36,17.36,17.36,17.36,505.0
2009-07-14,17.97,17.97,17.07,17.97,4141.0
2009-07-15,17.07,17.07,16.84,17.07,2220.0
2009-07-16,17.07,17.07,17.07,17.07,250.0
2009-07-17,16.27,17.93,16.22,17.12,2634.0
2009-07-20,17.64,18.73,17.64,17.64,3231.0
2009-07-21,17.12,18.16,17.12,17.41,1130.0
2009-07-22,18.59,18.59,17.64,17.64,865.0
2009-07-23,17.07,18.31,17.07,17.74,180.0
2009-07-24,17.07,18.64,17.07,18.64,1294.0
2009-07-27,17.22,18.73,17.22,18.07,2915.0
2009-07-28,17.93,18.97,17.74,18.92,1276.0
