,open,high,low,close,volume
2009-05-20,103.97,112.26,101.86,110.55,5684047.0
2009-05-21,109.62,113.0,106.41,107.48,4302382.0
2009-05-22,107.65,107.98,102.3,107.14,5447448.0
2009-05-25,108.58,109.99,104.97,108.15,4599337.0
2009-05-26,108.58,110.29,101.19,103.33,3512679.0
2009-05-27,109.59,112.33,105.64,110.89,6148464.0
2009-05-28,111.66,113.66,105.97,109.22,6723386.0
2009-05-29,115.0,116.61,109.65,110.59,11373098.0
2009-06-01,112.33,114.6,110.05,113.46,8656732.0
2009-06-02,119.61,119.61,111.66,113.1,9843346.0
2009-06-03,116.27,116.27,110.02,111.22,8903226.0
2009-06-04,108.65,113.33,107.98,108.92,6454756.0
2009-06-05,107.01,111.42,103.9,104.87,12774103.0
2009-06-08,104.97,109.65,100.29,101.9,10829312.0
2009-06-09,100.99,118.98,100.39,117.21,25575397.0
2009-06-10,119.68,124.86,118.71,120.42,17716125.0
2009-06-11,128.17,131.58,118.54,128.47,32075641.0
2009-06-12,146.02,151.04,131.38,135.73,63343685.0
2009-06-15,133.72,141.34,133.05,135.79,18479285.0
2009-06-16,131.05,136.66,130.51,134.32,12717959.0
2009-06-17,132.38,133.66,123.96,125.67,10602002.0
2009-06-18,126.03,127.7,119.25,124.9,8325556.0
2009-06-19,128.94,130.31,122.62,125.7,9534507.0
2009-06-22,128.51,132.32,125.03,126.9,9975108.0
2009-06-23,124.7,124.7,119.11,121.25,10300432.0
2009-06-24,122.56,125.33,121.79,124.66,6230086.0
2009-06-25,125.46,130.31,123.63,124.9,9864866.0
2009-06-26,126.17,129.88,125.3,128.61,5213063.0
2009-06-29,128.61,129.21,117.71,124.96,5227926.0
2009-06-30,127.04,130.88,121.02,122.09,10513529.0
2009-07-01,123.96,125.03,117.68,123.96,5919256.0
2009-07-02,125.03,127.97,122.52,126.97,7326033.0
2009-07-03,125.63,126.84,122.02,125.03,6414666.0
2009-07-06,125.56,125.56,117.04,120.02,5298368.0
2009-07-07,119.45,124.29,119.45,123.33,4869943.0
2009-07-08,122.79,130.38,119.25,126.67,12673238.0
2009-07-09,127.04,130.71,124.83,128.97,6800718.0
2009-07-10,129.48,130.95,122.36,124.63,5597425.0
2009-07-13,123.02,125.36,118.54,122.66,5495648.0
2009-07-14,125.4,134.39,124.03,132.72,5344090.0
