,open,high,low,close,volume
2009-05-20,53.54,55.84,52.96,55.76,18868.0
2009-05-21,56.3,66.49,56.3,62.38,72614.0
2009-05-22,63.01,66.78,62.32,64.16,34768.0
2009-05-25,71.96,71.96,63.33,65.98,13814.0
2009-05-26,64.62,66.21,61.66,62.98,8098.0
2009-05-27,64.65,65.63,63.33,65.14,2499.0
2009-05-28,62.29,73.69,59.87,68.36,71556.0
2009-05-29,69.66,73.06,67.67,71.42,16978.0
2009-06-01,71.96,85.72,69.37,84.51,488900.0
2009-06-02,91.54,91.54,78.3,79.68,217648.0
2009-06-03,82.9,82.9,79.04,79.85,43964.0
2009-06-04,80.43,80.43,75.79,77.89,18512.0
2009-06-05,80.02,80.02,73.11,74.5,21864.0
2009-06-08,77.69,77.69,70.24,72.19,30402.0
2009-06-09,70.81,78.3,69.66,74.9,47055.0
2009-06-10,74.96,77.14,72.11,74.58,23458.0
2009-06-11,74.32,74.84,70.52,71.82,19970.0
2009-06-12,75.06,75.06,70.98,74.94,8918.0
2009-06-15,72.9,72.9,70.32,70.92,3302.0
2009-06-16,72.12,74.94,67.97,74.94,3855.0
2009-06-17,72.12,74.94,69.11,74.94,3390.0
2009-06-18,69.11,69.11,66.65,66.65,9843.0
2009-06-19,65.57,69.72,65.57,67.07,2538.0
2009-06-22,66.77,69.72,66.11,66.11,2487.0
2009-06-23,64.55,68.99,64.31,64.31,2446.0
2009-06-24,67.85,69.72,66.17,66.17,2646.0
2009-06-25,68.51,74.94,68.21,74.94,6429.0
2009-06-26,72.96,72.96,70.32,70.32,2666.0
2009-06-29,73.89,74.94,70.32,74.94,1384.0
2009-06-30,71.64,74.94,69.51,74.94,6554.0
2009-07-01,69.11,74.94,69.11,74.94,814.0
2009-07-02,70.92,74.94,69.72,74.94,818.0
2009-07-03,71.52,74.94,69.72,74.94,2403.0
2009-07-06,70.38,74.76,70.02,70.92,4677.0
2009-07-07,70.92,70.92,69.17,69.17,1994.0
2009-07-08,72.06,74.94,66.71,74.94,4352.0
2009-07-09,66.77,70.92,66.71,66.71,2394.0
2009-07-10,70.32,70.32,67.31,67.67,1588.0
2009-07-13,67.4,69.35,67.37,67.37,676.0
2009-07-14,66.98,69.42,66.98,66.98,1400.0
2009-07-15,67.64,74.94,67.64,74.94,3358.0
2009-07-16,72.09,74.94,68.57,74.94,1725.0
2009-07-17,72.42,72.66,70.08,70.14,512.0
2009-07-20,72.12,73.8,70.32,73.8,18372.0
2009-07-21,73.8,75.12,72.12,72.12,1224.0
2009-07-22,72.24,78.13,72.24,75.12,10240.0
2009-07-23,75.12,78.13,73.92,76.33,6327.0
2009-07-24,73.92,76.87,73.92,74.22,1066.0
2009-07-27,73.32,78.13,73.32,73.95,2094.0
2009-07-28,77.23,79.75,76.33,77.53,11802.0
2009-07-29,79.33,81.71,76.33,79.21,552.0
2009-07-30,76.48,79.93,76.48,77.8,3254.0
2009-07-31,81.07,81.83,78.46,80.83,15741.0
2009-08-03,80.5,81.74,80.5,81.74,4635.0
2009-08-04,78.73,82.94,78.73,81.13,10012.0
