,open,high,low,close,volume
2009-05-20,0.52,0.57,0.52,0.57,539644.0
2009-05-21,0.56,0.61,0.54,0.58,678328.0
2009-05-22,0.56,0.61,0.56,0.59,452158.0
2009-05-25,0.61,0.61,0.59,0.6,530586.0
2009-05-26,0.61,0.67,0.61,0.62,1689940.0
2009-05-27,0.62,0.65,0.62,0.63,400456.0
2009-05-28,0.64,0.65,0.63,0.63,574028.0
2009-05-29,0.67,0.69,0.66,0.66,1310610.0
2009-06-01,0.67,0.71,0.66,0.68,903098.0
2009-06-02,0.7,0.7,0.67,0.67,640598.0
2009-06-03,0.68,0.74,0.67,0.71,3254048.0
2009-06-04,0.71,0.74,0.71,0.73,2564912.0
2009-06-05,0.74,0.74,0.72,0.73,1162672.0
2009-06-08,0.71,0.74,0.7,0.71,1172206.0
2009-06-09,0.71,0.72,0.62,0.71,563108.0
2009-06-10,0.71,0.73,0.7,0.7,825370.0
2009-06-11,0.7,0.75,0.69,0.72,2035992.0
2009-06-12,0.73,0.73,0.7,0.7,737128.0
2009-06-15,0.71,0.72,0.68,0.68,480704.0
2009-06-16,0.68,0.69,0.68,0.68,302106.0
2009-06-17,0.68,0.69,0.65,0.66,429254.0
2009-06-18,0.67,0.68,0.63,0.63,356356.0
2009-06-19,0.64,0.7,0.63,0.64,232092.0
2009-06-22,0.66,0.66,0.62,0.63,267540.0
2009-06-23,0.63,0.64,0.62,0.64,156660.0
2009-06-24,0.66,0.68,0.64,0.65,373632.0
2009-06-25,0.66,0.67,0.65,0.65,223566.0
2009-06-26,0.65,0.67,0.65,0.65,215740.0
2009-06-29,0.67,0.67,0.65,0.66,111202.0
2009-06-30,0.66,0.67,0.64,0.64,188972.0
2009-07-01,0.65,0.65,0.64,0.64,137270.0
2009-07-02,0.64,0.65,0.64,0.64,101458.0
2009-07-03,0.65,0.65,0.64,0.65,129668.0
2009-07-06,0.68,0.69,0.63,0.64,669368.0
2009-07-07,0.64,0.65,0.63,0.64,228214.0
2009-07-08,0.63,0.75,0.62,0.66,3261790.0
2009-07-09,0.67,0.69,0.64,0.65,716282.0
2009-07-10,0.67,0.67,0.63,0.64,258496.0
2009-07-13,0.62,0.64,0.61,0.62,265020.0
2009-07-14,0.67,0.7,0.6,0.66,359800.0
2009-07-15,1.32,1.35,1.32,1.32,420210.0
2009-07-16,1.33,1.34,1.3,1.3,239666.0
2009-07-17,1.3,1.33,1.29,1.3,250138.0
2009-07-20,1.3,1.36,1.29,1.31,424606.0
2009-07-21,1.33,1.33,1.29,1.31,167174.0
2009-07-22,1.31,1.32,1.3,1.3,167258.0
2009-07-23,1.3,1.33,1.3,1.31,190666.0
2009-07-24,1.31,1.32,1.3,1.31,193914.0
2009-07-27,1.32,1.33,1.3,1.31,204960.0
2009-07-28,1.34,1.35,1.31,1.33,435344.0
2009-07-29,1.36,1.39,1.3,1.34,986678.0
