,open,high,low,close,volume
2009-05-20,75.11,85.83,74.23,84.42,5375046.0
2009-05-21,85.17,90.66,79.15,79.81,3039586.0
2009-05-22,79.15,84.29,79.06,83.5,2110052.0
2009-05-25,85.83,85.83,81.26,82.14,1174223.0
2009-05-26,83.46,88.95,75.9,77.61,4196993.0
2009-05-27,79.99,83.46,79.33,82.8,2056608.0
2009-05-28,83.46,84.47,81.26,82.01,2931119.0
2009-05-29,83.46,87.85,82.4,86.44,4246028.0
2009-06-01,92.07,105.24,89.61,103.84,11601581.0
2009-06-02,107.18,112.8,103.84,109.64,10556346.0
2009-06-03,112.36,115.08,105.95,111.0,5147486.0
2009-06-04,109.81,115.79,108.49,114.34,3839481.0
2009-06-05,116.0,117.32,108.27,109.99,2627252.0
2009-06-08,111.13,116.84,105.86,110.43,5734979.0
2009-06-09,112.45,126.85,107.18,124.61,11618853.0
2009-06-10,124.75,128.08,119.47,122.55,6631800.0
2009-06-11,122.99,126.5,118.6,122.55,3539928.0
2009-06-12,124.22,126.2,112.45,117.02,3018745.0
2009-06-15,118.6,119.91,105.42,106.52,3786940.0
2009-06-16,106.47,113.33,103.75,111.26,4075984.0
2009-06-17,112.01,115.52,105.51,106.91,3934643.0
2009-06-18,105.42,108.49,92.29,104.32,4632808.0
2009-06-19,105.42,108.41,100.76,105.73,2634047.0
2009-06-22,106.91,113.24,106.74,109.28,3932730.0
2009-06-23,109.59,111.39,105.42,108.67,2952627.0
2009-06-24,109.64,113.68,108.67,111.7,2062477.0
2009-06-25,112.45,119.04,112.45,113.28,5390134.0
2009-06-26,113.28,116.84,113.28,115.65,2132303.0
2009-06-29,116.71,118.07,113.76,114.64,1380090.0
2009-06-30,115.21,116.66,108.05,109.9,2550664.0
2009-07-01,110.69,110.95,104.36,108.1,1883205.0
2009-07-02,108.89,110.91,106.52,109.94,1292730.0
2009-07-03,108.93,115.08,106.82,111.44,1283137.0
2009-07-06,114.29,115.52,94.88,104.67,3955448.0
2009-07-07,104.98,115.08,103.66,114.12,4290808.0
2009-07-08,113.33,113.33,107.04,108.23,2451939.0
2009-07-09,108.49,111.52,105.11,105.11,2604029.0
2009-07-10,107.96,110.81,105.07,106.54,2508682.0
2009-07-13,103.38,105.96,99.28,102.35,1476846.0
2009-07-14,104.09,109.07,104.09,107.92,2099984.0
2009-07-15,108.63,111.74,108.63,110.54,1623960.0
2009-07-16,112.19,114.68,108.72,110.14,1980276.0
2009-07-17,111.66,117.09,110.9,115.84,2758780.0
2009-07-20,117.53,119.22,115.08,117.4,1977460.0
2009-07-21,118.78,127.06,116.64,125.15,6182668.0
2009-07-22,126.79,127.73,118.56,120.78,3462275.0
2009-07-23,122.65,124.48,120.52,123.99,1713564.0
2009-07-24,125.46,126.44,121.18,125.86,1467857.0
2009-07-27,127.15,127.33,122.96,125.28,1489899.0
2009-07-28,125.99,126.66,121.98,125.41,1112263.0
2009-07-29,125.41,130.35,122.03,124.97,3645692.0
2009-07-30,124.97,127.86,121.14,121.98,3636276.0
2009-07-31,123.59,129.86,123.05,128.35,3172659.0
2009-08-03,130.09,130.4,126.04,128.4,2086661.0
2009-08-04,129.11,129.11,122.87,124.79,1627003.0
2009-08-05,124.79,130.31,122.87,129.51,2689770.0
2009-08-06,129.55,133.25,124.66,127.42,5114624.0
2009-08-07,124.66,127.68,120.2,122.03,2294144.0
2009-08-10,123.72,125.01,114.1,116.91,1311550.0
2009-08-11,117.53,122.43,114.68,121.58,1228938.0
2009-08-12,120.11,120.74,116.2,118.65,1323826.0
2009-08-13,120.6,124.12,120.25,123.68,1703592.0
2009-08-14,123.99,128.13,119.0,127.33,2427104.0
2009-08-17,125.55,125.95,122.07,123.32,2468632.0
2009-08-18,123.77,127.95,122.47,126.61,1653033.0
2009-08-19,127.33,128.22,122.87,123.72,1616482.0
2009-08-20,124.83,128.04,123.85,126.93,987680.0
2009-08-21,126.44,129.46,125.1,127.5,1499444.0
2009-08-24,128.22,131.24,128.22,128.8,1859810.0
2009-08-25,128.26,136.14,125.19,133.78,2660606.0
2009-08-26,136.99,138.9,134.63,136.19,2924002.0
2009-08-27,136.01,136.77,132.14,134.58,1824381.0
2009-08-28,136.94,146.92,136.41,143.22,5767914.0
2009-08-31,140.5,144.51,139.79,140.5,3054552.0
2009-09-01,142.46,142.64,132.76,134.41,2020055.0
2009-09-02,134.41,134.41,130.27,131.47,1400215.0
2009-09-03,132.76,134.45,129.11,129.86,1302081.0
2009-09-04,131.42,135.74,127.86,134.32,1548107.0
2009-09-07,136.23,137.12,134.45,136.54,1197039.0
2009-09-08,137.12,141.75,135.83,140.68,2772994.0
2009-09-09,140.68,141.04,135.43,136.59,1164117.0
2009-09-10,138.01,139.3,133.03,133.96,1288701.0
2009-09-11,135.3,135.52,129.15,130.84,1243542.0
2009-09-14,129.11,131.96,127.51,130.53,906971.0
2009-09-15,131.73,136.63,130.71,135.34,1430728.0
2009-09-16,137.57,138.01,133.56,134.54,1369998.0
2009-09-17,136.23,136.81,133.16,134.41,964817.0
2009-09-18,133.65,137.39,133.65,134.9,1383144.0
2009-09-22,136.59,136.9,134.14,134.81,1119114.0
2009-09-23,135.16,135.25,130.44,131.6,1344092.0
2009-09-24,130.09,133.38,127.95,132.71,1586597.0
2009-09-25,131.56,134.45,130.09,130.89,644729.0
2009-09-29,132.85,133.92,129.11,129.73,1178354.0
2009-09-30,130.89,133.11,128.66,129.42,1689341.0
2009-10-01,129.42,130.4,128.66,128.97,1000497.0
2009-10-05,127.24,132.98,127.24,131.29,2013098.0
2009-10-06,133.11,138.81,133.07,137.92,6215351.0
2009-10-07,138.9,141.04,135.61,137.03,3236849.0
2009-10-08,137.92,141.57,135.7,139.7,3177504.0
2009-10-09,141.13,144.16,138.01,140.73,4131694.0
2009-10-12,141.17,145.36,139.35,144.47,2734691.0
2009-10-14,145.36,150.83,144.51,149.68,3906942.0
2009-10-15,155.64,155.64,144.69,146.56,1643363.0
2009-10-16,144.38,149.05,143.44,146.34,1071710.0
2009-10-20,150.3,150.3,145.22,146.78,788988.0
2009-10-21,146.78,149.94,143.53,145.13,926941.0
2009-10-22,145.31,145.31,138.72,139.57,655979.0
2009-10-23,140.68,142.29,134.58,137.25,652758.0
2009-10-26,137.48,139.79,134.81,135.92,457727.0
2009-10-27,134.45,134.45,130.0,131.11,856741.0
2009-10-28,130.89,134.0,124.79,132.67,874245.0
2009-10-29,129.2,138.99,129.11,136.72,3326635.0
2009-10-30,138.01,143.35,137.57,140.91,3095257.0
2009-11-03,141.57,142.91,126.93,132.85,2152083.0
2009-11-04,135.34,137.57,133.2,135.83,973454.0
2009-11-05,136.23,138.55,134.05,137.79,896245.0
2009-11-06,139.7,145.4,138.01,144.11,2178812.0
2009-11-09,145.13,148.61,144.69,146.47,2078280.0
2009-11-10,147.36,147.72,140.95,142.42,640970.0
2009-11-11,143.35,150.39,142.64,149.54,1662550.0
2009-11-12,150.39,155.6,149.23,152.79,2520609.0
2009-11-13,153.68,155.11,151.46,153.73,1520221.0
2009-11-16,155.91,158.31,154.04,155.06,1524333.0
2009-11-17,155.06,160.09,153.33,157.42,2010573.0
2009-11-18,156.71,161.52,156.71,158.0,1807891.0
2009-11-19,158.58,160.27,151.01,151.99,1375348.0
2009-11-20,151.37,160.23,149.81,158.58,1207569.0
2009-11-23,160.27,161.7,153.59,156.31,1145272.0
2009-11-24,158.31,159.34,153.86,154.84,1001375.0
2009-11-25,155.55,156.44,154.08,155.46,585678.0
2009-11-26,155.11,156.0,148.34,149.36,1387942.0
