,open,high,low,close,volume
2009-05-20,207.24,214.94,207.24,210.29,4211.0
2009-05-21,214.78,235.5,211.01,220.43,163059.0
2009-05-22,220.43,229.22,213.55,216.98,10510.0
2009-05-25,211.04,226.08,211.04,215.31,6430.0
2009-05-26,211.01,222.31,207.52,209.31,5338.0
2009-05-27,211.64,221.69,205.36,215.47,4927.0
2009-05-28,214.78,222.0,212.89,215.0,6753.0
2009-05-29,217.92,225.39,214.78,215.88,21295.0
2009-06-01,216.66,219.17,214.94,215.56,4986.0
2009-06-02,219.11,219.11,211.01,212.71,3982.0
2009-06-03,216.82,216.82,211.14,212.17,6908.0
2009-06-04,209.75,216.0,209.75,212.05,5103.0
2009-06-05,215.88,215.88,211.32,213.55,4796.0
2009-06-08,213.68,215.66,212.61,212.89,7507.0
2009-06-09,211.64,221.5,211.64,219.11,3752.0
2009-06-10,222.25,225.45,212.93,221.18,5874.0
2009-06-11,224.51,224.51,216.25,218.89,1545.0
2009-06-12,217.35,219.8,209.13,216.0,4169.0
2009-06-15,219.17,219.17,211.64,214.75,3737.0
2009-06-16,215.09,225.36,211.7,223.7,3375.0
2009-06-17,241.78,241.78,219.9,232.55,15166.0
2009-06-18,238.01,241.0,226.08,230.89,7184.0
2009-06-19,233.62,241.72,231.17,237.45,6723.0
2009-06-22,241.09,244.86,236.19,238.3,5491.0
2009-06-23,239.9,241.72,235.82,238.36,4526.0
2009-06-24,238.01,240.53,235.57,237.29,5892.0
2009-06-25,236.76,244.2,236.76,240.34,5166.0
2009-06-26,239.3,244.92,239.3,243.07,4487.0
2009-06-29,246.81,256.98,246.81,252.11,6934.0
2009-06-30,255.54,256.85,243.04,245.64,5478.0
2009-07-01,246.81,250.26,244.92,248.0,4046.0
2009-07-02,254.34,254.34,243.67,246.68,3129.0
2009-07-03,248.06,248.57,244.95,247.21,5389.0
2009-07-06,249.26,282.6,248.69,253.81,81997.0
2009-07-07,253.09,271.93,249.44,253.65,41784.0
2009-07-08,253.09,260.62,248.69,250.1,19023.0
2009-07-09,255.54,255.54,255.54,255.54,20371.0
2009-07-10,264.35,264.35,228.48,237.5,27453.0
2009-07-13,240.28,240.28,224.08,227.47,11510.0
2009-07-14,229.2,230.52,227.13,229.06,2596.0
2009-07-15,229.84,231.87,195.26,230.18,2971.0
2009-07-16,237.3,242.55,227.53,232.31,4050.0
2009-07-17,247.13,254.89,239.33,251.94,25981.0
2009-07-20,208.35,253.84,208.35,248.86,5139.0
2009-07-21,247.47,252.21,247.47,250.86,2369.0
2009-07-22,247.57,263.6,247.57,251.43,67495.0
2009-07-23,256.25,259.67,250.93,256.62,3652.0
2009-07-24,255.6,262.59,248.35,259.6,9389.0
2009-07-27,262.25,265.1,258.99,262.01,13429.0
2009-07-28,263.74,283.4,256.28,273.84,48207.0
2009-07-29,275.27,288.83,270.52,273.16,37562.0
2009-07-30,274.59,285.44,261.03,275.94,31652.0
2009-07-31,283.33,288.15,274.59,283.98,20120.0
2009-08-03,283.98,288.15,274.59,284.62,6062.0
2009-08-04,288.15,291.54,278.25,282.38,7211.0
2009-08-05,281.37,284.76,279.03,281.3,1554.0
2009-08-06,281.37,283.74,274.59,277.44,3534.0
2009-08-07,279.88,279.88,261.1,272.55,3005.0
2009-08-10,266.45,277.98,261.06,274.62,6307.0
2009-08-11,271.2,274.59,271.2,271.3,2884.0
2009-08-12,264.59,274.59,261.1,270.59,1397.0
2009-08-13,269.16,277.1,268.86,274.32,1523.0
2009-08-14,272.28,275.2,271.91,273.33,813.0
2009-08-17,274.49,274.52,265.1,271.67,2217.0
2009-08-18,271.2,277.98,267.13,275.74,4657.0
2009-08-19,268.55,273.91,268.55,272.32,1789.0
2009-08-20,274.59,274.59,271.2,271.94,769.0
2009-08-21,269.84,273.5,268.49,271.4,1953.0
2009-08-24,277.98,294.93,274.59,288.28,10109.0
2009-08-25,286.45,290.18,282.05,286.18,6496.0
2009-08-26,288.01,288.05,281.16,283.37,1992.0
2009-08-27,289.33,289.33,280.08,282.96,2243.0
2009-08-28,278.69,288.08,277.98,285.88,53776.0
2009-08-31,279.47,288.62,279.33,287.44,7420.0
2009-09-01,281.74,294.86,280.01,283.74,3420.0
2009-09-02,280.42,289.5,277.67,286.08,58328.0
2009-09-03,290.18,294.59,283.1,287.3,2064.0
2009-09-04,286.79,298.32,286.79,293.91,5253.0
2009-09-07,294.93,298.32,284.76,293.74,1753.0
2009-09-08,288.83,300.15,288.83,291.54,28373.0
2009-09-09,285.57,298.32,284.76,297.74,2829.0
2009-09-10,299.54,301.03,294.93,298.62,32179.0
2009-09-11,295.88,297.3,294.93,295.61,3005.0
2009-09-14,295.61,296.28,294.93,294.93,1199.0
2009-09-15,299.0,299.0,294.93,295.57,1255.0
2009-09-16,295.1,300.01,295.1,299.2,2244.0
2009-09-17,297.64,300.35,295.61,296.69,715.0
2009-09-18,299.67,311.88,296.96,300.08,3638.0
2009-09-22,301.71,307.44,301.71,304.89,2293.0
2009-09-23,299.0,303.57,299.0,301.88,874.0
2009-09-24,303.74,303.74,298.39,300.49,1935.0
2009-09-25,298.32,305.44,298.32,305.03,2799.0
2009-09-29,305.1,305.1,301.71,302.79,1034.0
2009-09-30,303.74,308.49,301.71,302.62,1762.0
2009-10-01,305.1,305.98,301.71,303.03,1637.0
2009-10-05,303.71,328.15,298.32,308.08,41951.0
2009-10-06,310.66,315.27,305.78,311.95,3484.0
2009-10-07,313.3,319.13,312.72,314.79,2246.0
2009-10-08,304.42,332.22,304.42,323.78,3919.0
2009-10-09,315.27,320.01,309.84,311.61,1017.0
2009-10-12,258.32,319.34,258.32,316.96,3336.0
2009-10-14,317.3,331.54,313.27,324.59,6597.0
2009-10-15,337.64,337.64,317.3,328.79,3343.0
2009-10-16,334.25,368.15,328.9,345.84,76476.0
2009-10-20,338.96,350.52,332.22,334.39,4648.0
2009-10-21,330.86,336.29,325.44,327.98,4636.0
2009-10-22,327.67,336.56,325.3,328.96,2905.0
2009-10-23,330.18,343.07,326.96,336.29,4001.0
2009-10-26,339.0,366.12,339.0,352.01,6760.0
2009-10-27,345.71,345.78,324.08,326.01,2987.0
2009-10-28,330.52,330.52,318.66,326.52,7021.0
2009-10-29,326.52,332.18,322.12,326.86,756.0
2009-10-30,329.54,334.86,325.44,325.78,740.0
2009-11-03,326.79,330.79,313.91,315.84,6681.0
2009-11-04,318.83,318.83,293.71,313.3,8094.0
2009-11-05,311.88,332.22,311.88,321.64,1317.0
2009-11-06,332.22,342.39,326.12,335.54,5375.0
2009-11-09,359.34,379.0,339.68,340.73,2574.0
2009-11-10,340.35,346.46,336.29,345.4,1430.0
2009-11-11,345.74,346.46,332.35,343.95,2479.0
2009-11-12,339.0,341.71,335.61,339.4,598.0
2009-11-13,339.0,353.24,337.34,347.1,52613.0
2009-11-16,339.74,352.35,339.06,340.32,1082.0
2009-11-17,339.0,341.98,339.0,339.0,4259.0
2009-11-18,339.0,350.52,339.0,347.2,3001.0
2009-11-19,350.52,350.52,339.74,342.79,712.0
2009-11-20,345.78,352.52,329.57,343.3,3394.0
2009-11-23,335.34,349.13,335.34,347.84,1747.0
2009-11-24,359.34,359.34,343.1,349.51,1286.0
2009-11-25,350.35,350.35,343.07,349.64,1096.0
2009-11-26,345.78,349.85,340.35,342.93,3598.0
2009-11-27,332.22,345.07,332.22,342.12,3833.0
2009-11-30,339.0,349.17,339.0,342.12,32711.0
2009-12-01,342.39,343.13,332.22,334.76,3697.0
2009-12-02,339.0,344.42,334.25,337.0,4976.0
2009-12-03,339.0,340.62,335.61,335.95,1815.0
2009-12-04,342.39,342.39,335.61,336.39,1854.0
2009-12-07,340.96,345.0,337.64,337.64,100.0
2009-12-08,337.64,342.32,334.93,339.0,16555.0
2009-12-09,339.0,344.39,339.0,339.88,2987.0
2009-12-10,336.35,345.78,336.35,343.0,2758.0
2009-12-11,337.34,344.39,337.34,340.9,706.0
2009-12-14,339.0,347.07,339.0,342.62,303.0
2009-12-15,341.71,343.74,339.0,339.44,1264.0
2009-12-16,347.0,347.0,339.0,339.0,805.0
2009-12-17,339.0,342.35,335.64,339.2,474.0
2009-12-18,339.68,344.39,339.34,340.05,1045.0
2009-12-21,342.39,342.39,339.0,342.39,884.0
2009-12-22,335.74,343.74,335.74,339.61,23575.0
