,open,high,low,close,volume
2009-05-20,63.43,72.73,63.43,71.62,20537.0
2009-05-21,72.49,85.95,72.49,84.02,71356.0
2009-05-22,84.02,87.23,75.78,83.28,33756.0
2009-05-25,83.19,91.64,83.19,91.47,22900.0
2009-05-26,93.12,95.96,83.44,84.18,14551.0
2009-05-27,85.66,92.63,84.02,92.25,24749.0
2009-05-28,93.08,99.67,89.78,98.02,46558.0
2009-05-29,97.2,107.82,97.2,107.12,50656.0
2009-06-01,106.26,108.73,102.22,103.83,21173.0
2009-06-02,106.75,106.75,98.64,101.44,66603.0
2009-06-03,101.44,106.55,100.12,103.83,42324.0
2009-06-04,107.08,107.08,100.0,103.29,25571.0
2009-06-05,102.06,108.48,101.77,108.48,49802.0
2009-06-08,111.65,113.67,103.09,103.09,15317.0
2009-06-09,98.84,104.2,98.02,103.66,29869.0
2009-06-10,103.13,108.85,101.73,106.63,41722.0
2009-06-11,102.63,109.06,101.44,101.89,20002.0
2009-06-12,103.79,107.0,100.99,102.26,16387.0
2009-06-15,100.08,104.53,99.38,100.41,7092.0
2009-06-16,100.9,102.96,97.65,99.67,31824.0
2009-06-17,99.05,100.49,97.07,98.89,16742.0
2009-06-18,98.84,100.24,93.94,94.97,31550.0
2009-06-19,96.37,97.2,90.24,91.8,9735.0
2009-06-22,93.08,94.73,88.96,90.9,4474.0
2009-06-23,86.74,92.21,86.74,90.36,2771.0
2009-06-24,93.9,94.89,89.45,94.89,19560.0
2009-06-25,94.89,99.67,94.89,99.26,29763.0
2009-06-26,99.83,100.49,97.2,98.27,18780.0
2009-06-29,97.2,100.49,95.88,98.93,9973.0
2009-06-30,98.84,103.91,97.28,100.24,24437.0
2009-07-01,103.62,103.79,97.94,98.47,7926.0
2009-07-02,95.63,102.1,95.63,100.08,10460.0
2009-07-03,104.82,104.82,97.2,101.03,8019.0
2009-07-06,102.14,104.61,96.0,96.0,13613.0
2009-07-07,97.11,97.11,80.64,88.47,15337.0
2009-07-08,86.49,94.73,37.07,86.49,5037.0
2009-07-09,96.23,96.23,89.01,90.31,3581.0
2009-07-10,90.69,94.05,89.43,91.02,1156.0
2009-07-13,78.09,98.79,78.09,90.18,35081.0
2009-07-14,92.37,96.82,90.69,95.26,9407.0
2009-07-15,96.57,106.64,94.0,101.44,17107.0
