,open,high,low,close,volume
2009-05-20,117.41,133.45,115.88,131.48,4944642.0
2009-05-21,131.48,140.63,124.86,126.83,5772611.0
2009-05-22,126.26,134.32,123.55,133.36,4442089.0
2009-05-25,134.67,147.99,134.1,145.98,4937359.0
2009-05-26,147.82,150.71,135.81,138.27,3939292.0
2009-05-27,142.38,146.15,139.36,144.09,2315880.0
2009-05-28,147.07,150.49,138.44,147.12,7837734.0
2009-05-29,148.96,153.99,146.55,148.08,3960409.0
2009-06-01,151.5,170.86,148.96,169.5,7552782.0
2009-06-02,172.09,175.24,160.57,174.28,6304802.0
2009-06-03,179.62,203.72,175.24,202.14,11702578.0
2009-06-04,201.53,210.64,188.6,204.86,7405609.0
2009-06-05,208.41,208.93,192.99,196.01,3718916.0
2009-06-08,198.3,203.68,173.69,176.65,4865757.0
2009-06-09,177.31,194.77,169.9,192.26,4536444.0
2009-06-10,195.83,198.83,187.54,192.74,4166074.0
2009-06-11,192.74,199.23,187.72,195.96,3423774.0
2009-06-12,199.1,212.5,195.17,203.02,8943166.0
2009-06-15,200.86,201.48,184.32,186.7,3723370.0
2009-06-16,183.04,194.77,177.48,192.35,3019336.0
2009-06-17,191.42,193.54,177.0,178.94,3172972.0
2009-06-18,177.31,182.47,160.68,168.71,4030817.0
2009-06-19,173.65,178.19,165.27,176.16,3212361.0
2009-06-22,185.25,185.25,172.1,176.12,3324977.0
2009-06-23,169.85,178.67,169.06,176.95,2013523.0
2009-06-24,178.67,186.92,171.18,184.67,3831628.0
2009-06-25,193.89,193.89,176.65,179.51,5443563.0
2009-06-26,184.23,184.23,176.87,180.31,3852486.0
2009-06-29,181.63,190.27,179.78,187.19,3951897.0
2009-06-30,189.48,189.52,167.6,169.94,3536872.0
2009-07-01,170.25,179.42,165.8,177.75,3355830.0
2009-07-02,179.95,180.35,170.82,175.01,2921963.0
2009-07-03,171.18,176.38,168.93,174.53,2025201.0
2009-07-06,174.88,176.16,161.52,163.19,2251726.0
2009-07-07,164.25,173.34,162.53,171.93,2411732.0
2009-07-08,169.37,170.16,160.55,162.8,2697694.0
2009-07-09,164.43,173.56,159.84,170.82,3770056.0
2009-07-10,172.63,173.34,158.03,162.05,1599167.0
2009-07-13,157.59,166.72,149.96,154.06,1931211.0
2009-07-14,157.15,164.65,155.87,163.46,2694972.0
2009-07-15,165.84,185.03,165.44,180.17,4865033.0
2009-07-16,184.72,184.72,171.4,174.09,7549469.0
2009-07-17,177.31,181.72,169.46,172.72,6905714.0
2009-07-20,180.79,180.79,170.96,174.13,3545437.0
2009-07-21,172.9,174.75,168.18,169.24,3939974.0
2009-07-22,170.65,182.25,170.6,176.07,8313389.0
2009-07-23,177.35,186.04,177.35,183.84,6814822.0
2009-07-24,185.33,189.61,181.85,188.42,4887900.0
2009-07-27,189.66,189.66,181.76,186.04,2375669.0
2009-07-28,187.89,202.89,186.13,200.55,8074167.0
2009-07-29,200.24,206.59,189.83,198.7,5984149.0
2009-07-30,200.33,211.67,198.96,204.04,14198835.0
2009-07-31,203.51,205.98,197.6,200.2,3748505.0
2009-08-03,201.48,204.48,195.04,203.42,2644713.0
2009-08-04,205.05,205.4,197.64,200.73,2149513.0
2009-08-05,202.01,202.76,196.18,200.29,1790029.0
2009-08-06,199.01,206.15,194.86,196.23,2894039.0
2009-08-07,194.82,197.16,185.25,186.7,2728389.0
2009-08-10,190.5,191.42,180.39,182.38,1831363.0
2009-08-11,182.29,190.72,179.51,189.22,2522168.0
2009-08-12,188.11,189.57,181.37,188.11,1853562.0
2009-08-13,190.54,196.05,188.51,194.86,2117711.0
2009-08-14,195.39,196.18,189.83,191.16,1497456.0
2009-08-17,182.86,189.22,176.95,178.28,1434148.0
2009-08-18,176.43,186.13,176.43,184.36,1560126.0
2009-08-19,186.7,188.2,179.34,180.75,1422052.0
2009-08-20,182.6,189.08,182.6,187.14,2048268.0
2009-08-21,189.0,194.73,184.72,193.85,2799750.0
2009-08-24,197.6,201.92,196.76,200.9,2188574.0
2009-08-25,199.36,205.93,197.77,205.14,3647239.0
2009-08-26,206.06,209.06,201.21,208.27,2651842.0
2009-08-27,208.27,220.36,205.14,217.05,6543583.0
2009-08-28,217.0,220.36,208.18,216.47,3392871.0
2009-08-31,211.8,214.18,203.07,206.77,3338326.0
2009-09-01,207.3,214.36,203.33,204.79,2681412.0
2009-09-02,203.73,206.15,198.96,199.93,2129480.0
2009-09-03,202.01,205.93,201.3,203.42,1552918.0
2009-09-04,205.09,211.71,200.68,210.87,2473657.0
2009-09-07,214.36,225.74,213.47,224.55,5659779.0
2009-09-08,226.71,227.63,217.44,219.21,3905188.0
2009-09-09,218.77,220.44,213.65,217.97,2171290.0
2009-09-10,220.09,226.66,217.97,219.21,3917023.0
2009-09-11,220.58,225.69,218.02,221.37,2665867.0
2009-09-14,218.77,220.93,214.36,217.44,1379782.0
2009-09-15,218.77,226.62,218.77,225.87,3526401.0
2009-09-16,226.71,231.43,224.06,229.09,4237399.0
2009-09-17,230.28,238.13,228.47,235.7,4498591.0
2009-09-18,234.07,240.34,230.68,238.57,2394368.0
