,open,high,low,close,volume
2009-05-20,0.68,0.68,0.65,0.68,130980.0
2009-05-21,0.68,0.71,0.68,0.71,110520.0
2009-05-22,0.67,0.74,0.67,0.74,93350.0
2009-05-25,0.77,0.77,0.77,0.77,17980.0
2009-05-26,0.81,0.81,0.74,0.74,156400.0
2009-05-27,0.78,0.78,0.71,0.78,110660.0
2009-05-28,0.81,0.81,0.81,0.81,62430.0
2009-05-29,0.85,0.85,0.82,0.84,284830.0
2009-06-01,0.88,0.88,0.86,0.88,728890.0
2009-06-02,0.92,0.92,0.92,0.92,150530.0
2009-06-03,0.97,0.97,0.97,0.97,51850.0
2009-06-04,1.02,1.02,1.02,1.02,406380.0
2009-06-05,1.07,1.07,0.97,1.03,523400.0
2009-06-08,1.0,1.0,0.94,0.94,222280.0
2009-06-09,0.89,0.99,0.89,0.97,391380.0
2009-06-10,0.93,0.97,0.93,0.96,148920.0
2009-06-11,0.94,1.01,0.92,1.0,252900.0
2009-06-12,1.0,1.0,0.95,0.95,180030.0
2009-06-15,0.99,1.01,0.91,0.97,410060.0
2009-06-16,0.97,0.97,0.94,0.94,494010.0
2009-06-17,1.04,1.04,1.01,1.01,413330.0
2009-06-18,1.09,1.09,0.98,1.0,206200.0
2009-06-19,0.93,1.04,0.89,0.92,347250.0
2009-06-22,0.98,0.98,0.88,0.88,63420.0
2009-06-23,0.84,0.84,0.84,0.84,168900.0
2009-06-24,0.8,0.8,0.8,0.8,95490.0
2009-06-25,0.89,0.89,0.83,0.83,142950.0
2009-06-26,0.87,0.87,0.79,0.79,152470.0
2009-06-29,0.79,0.79,0.77,0.77,164030.0
2009-06-30,0.83,0.83,0.78,0.78,58190.0
2009-07-01,0.78,0.78,0.78,0.78,66560.0
2009-07-02,0.82,0.82,0.78,0.78,54910.0
2009-07-03,0.79,0.79,0.79,0.79,49890.0
2009-07-06,0.82,0.84,0.79,0.83,32200.0
2009-07-07,0.79,0.79,0.79,0.79,17720.0
2009-07-08,0.78,0.78,0.75,0.75,18120.0
2009-07-09,0.74,0.74,0.71,0.71,55240.0
2009-07-10,0.69,0.72,0.69,0.69,57530.0
2009-07-13,0.69,0.69,0.66,0.66,46550.0
2009-07-14,0.67,0.67,0.63,0.63,18400.0
2009-07-15,0.68,0.68,0.68,0.68,25620.0
2009-07-16,0.7,0.7,0.7,0.7,17460.0
2009-07-17,0.71,0.78,0.7,0.7,107290.0
2009-07-20,0.71,0.73,0.69,0.71,76880.0
2009-07-21,0.75,0.75,0.69,0.7,15530.0
2009-07-22,0.69,0.73,0.69,0.71,45250.0
2009-07-23,0.73,0.73,0.69,0.69,146830.0
2009-07-24,0.67,0.73,0.67,0.73,178470.0
2009-07-27,0.75,0.77,0.75,0.77,397660.0
2009-07-28,0.75,0.81,0.75,0.81,222520.0
2009-07-29,0.83,0.85,0.77,0.83,419410.0
2009-07-30,0.85,0.87,0.81,0.87,209840.0
2009-07-31,0.91,0.91,0.91,0.91,704570.0
2009-08-03,0.96,0.96,0.96,0.96,75390.0
2009-08-04,1.01,1.01,1.01,1.01,99010.0
2009-08-05,1.06,1.06,1.03,1.06,2355590.0
2009-08-06,1.1,1.11,1.06,1.11,1239450.0
2009-08-07,1.15,1.15,1.1,1.15,1402080.0
2009-08-10,1.15,1.21,1.1,1.11,760000.0
2009-08-11,1.07,1.13,1.07,1.12,235350.0
