,open,high,low,close,volume
2009-05-20,57.85,59.43,55.71,58.78,10974853.0
2009-05-21,58.3,58.64,55.38,55.76,4682267.0
2009-05-22,55.78,55.78,53.86,54.79,4768791.0
2009-05-25,54.89,55.53,52.74,54.44,4658396.0
2009-05-26,54.55,56.36,54.44,55.48,5279231.0
2009-05-27,57.51,57.51,55.04,56.26,6045396.0
2009-05-28,56.22,57.38,53.72,54.76,15648916.0
2009-05-29,55.84,57.08,55.04,56.71,5708720.0
2009-06-01,57.13,59.34,56.96,59.18,5600107.0
2009-06-02,60.08,60.67,57.59,58.11,6762324.0
2009-06-03,58.6,59.19,57.6,58.76,3625693.0
2009-06-04,58.45,59.0,57.3,57.95,4065196.0
2009-06-05,58.54,59.47,57.32,58.37,6032804.0
2009-06-08,59.0,61.03,58.45,60.18,7783107.0
2009-06-09,59.52,64.53,58.89,62.84,9912493.0
2009-06-10,63.05,67.5,62.84,64.13,13790529.0
2009-06-11,63.79,64.07,61.8,62.87,5406622.0
2009-06-12,63.05,63.63,60.11,60.82,3953360.0
2009-06-15,61.12,62.29,58.29,59.63,7229827.0
2009-06-16,57.85,59.59,57.45,58.82,6850764.0
2009-06-17,58.89,58.89,55.7,56.43,7352862.0
2009-06-18,54.41,57.97,54.41,55.88,7396893.0
2009-06-19,56.37,57.02,55.63,56.42,6200831.0
2009-06-22,56.67,57.83,55.53,56.27,7955929.0
2009-06-23,55.1,56.62,55.04,55.99,8150378.0
2009-06-24,56.39,58.3,54.97,56.56,7317707.0
2009-06-25,57.1,57.51,54.44,55.56,19238951.0
2009-06-26,56.37,57.41,55.48,57.01,5396849.0
2009-06-29,59.88,59.88,58.57,58.98,4114516.0
2009-06-30,59.11,59.98,58.24,58.79,3831889.0
2009-07-01,58.79,59.8,57.75,59.0,6199191.0
2009-07-02,59.12,59.85,58.05,59.38,4472769.0
2009-07-03,59.42,60.19,58.51,59.94,5596404.0
2009-07-06,60.19,61.27,57.24,57.89,4488222.0
2009-07-07,57.55,59.79,57.55,58.89,4574849.0
2009-07-08,58.29,59.25,56.85,58.35,4226644.0
2009-07-09,58.37,59.4,57.01,58.06,2983844.0
2009-07-10,58.48,61.1,58.48,59.84,12046378.0
2009-07-13,59.88,61.38,59.14,60.5,5082049.0
2009-07-14,60.97,63.28,60.58,62.27,4750396.0
2009-07-15,63.31,64.47,62.68,64.27,5215942.0
2009-07-16,64.78,66.23,64.55,64.8,5819542.0
