,open,high,low,close,volume
2009-05-20,88.26,90.77,87.33,89.7,471770.0
2009-05-21,89.19,106.75,89.19,100.11,2216673.0
2009-05-22,98.48,111.3,98.48,109.02,1243032.0
2009-05-25,112.42,115.85,110.32,114.04,1141525.0
2009-05-26,115.2,115.9,103.12,107.12,550811.0
2009-05-27,109.63,115.2,106.47,113.72,660891.0
2009-05-28,114.74,117.9,107.44,108.98,655406.0
2009-05-29,110.19,115.02,110.14,112.28,442221.0
2009-06-01,114.74,115.67,108.75,115.11,618677.0
2009-06-02,117.52,136.29,113.86,132.67,2354904.0
2009-06-03,135.46,137.31,125.93,128.77,724803.0
2009-06-04,127.28,133.37,125.42,128.86,515891.0
2009-06-05,131.0,146.7,128.21,131.79,2314630.0
2009-06-08,137.41,137.41,117.29,121.98,788094.0
2009-06-09,121.24,134.62,116.13,132.95,695288.0
2009-06-10,136.57,140.19,128.21,134.15,851572.0
2009-06-11,136.11,138.43,130.72,132.9,382098.0
2009-06-12,134.53,139.13,126.77,136.8,791161.0
2009-06-15,144.0,145.81,129.46,130.95,1235227.0
2009-06-16,128.21,133.6,127.79,132.06,329135.0
2009-06-17,130.07,131.93,119.94,121.19,482868.0
2009-06-18,126.3,128.21,117.48,120.27,610384.0
2009-06-19,121.89,124.49,118.92,123.28,275331.0
2009-06-22,123.7,128.86,121.71,124.03,249811.0
2009-06-23,123.56,123.56,119.2,122.08,118981.0
2009-06-24,122.63,132.02,122.63,131.27,498960.0
2009-06-25,134.06,139.36,132.85,137.64,627905.0
2009-06-26,139.36,140.66,131.46,132.34,188584.0
2009-06-29,134.71,138.43,132.95,133.88,177696.0
2009-06-30,135.64,136.52,125.42,126.58,155889.0
2009-07-01,123.94,128.12,122.82,124.91,51366.0
2009-07-02,125.47,128.21,124.59,125.65,65010.0
2009-07-03,123.56,126.03,120.87,124.63,106012.0
2009-07-06,129.88,129.88,115.43,116.97,111566.0
2009-07-07,117.15,120.54,117.15,118.27,69522.0
2009-07-08,117.06,117.52,110.6,111.53,88744.0
2009-07-09,110.56,120.68,108.93,118.04,453692.0
2009-07-10,120.82,121.61,111.49,114.37,158619.0
2009-07-13,112.97,116.08,106.84,107.44,69572.0
