,open,high,low,close,volume
2009-05-20,66.87,77.38,66.25,74.07,6019840.0
2009-05-21,75.54,76.36,67.34,69.31,3446266.0
2009-05-22,69.76,72.94,66.46,72.13,3348107.0
2009-05-25,71.49,74.69,69.55,73.76,2323265.0
2009-05-26,74.3,75.13,66.93,69.68,2591019.0
2009-05-27,70.59,73.89,70.59,72.94,1983002.0
2009-05-28,73.47,74.71,69.41,72.92,4188753.0
2009-05-29,73.89,75.37,68.52,69.47,3636660.0
2009-06-01,72.24,72.24,68.19,68.87,5276962.0
2009-06-02,69.68,72.24,68.11,71.12,5019297.0
2009-06-03,72.24,80.24,71.62,78.7,9059741.0
2009-06-04,80.08,80.7,76.18,79.46,6103455.0
2009-06-05,79.89,81.3,77.56,79.36,3373759.0
2009-06-08,79.67,84.17,75.41,76.78,4144145.0
2009-06-09,74.3,79.17,73.47,78.32,1896218.0
2009-06-10,78.84,80.86,75.99,77.38,2592996.0
2009-06-11,77.15,79.52,75.37,77.44,2319096.0
2009-06-12,77.81,78.18,73.68,75.7,3186297.0
2009-06-15,75.95,77.07,73.12,74.18,1309073.0
2009-06-16,74.18,75.7,73.06,74.22,1134419.0
2009-06-17,77.19,77.19,68.07,69.1,2058555.0
2009-06-18,69.35,70.46,62.74,67.55,1610413.0
2009-06-19,69.59,69.59,67.34,69.0,1313374.0
2009-06-22,70.19,71.72,66.5,67.12,1810151.0
2009-06-23,65.88,69.64,65.38,69.02,1715687.0
2009-06-24,69.76,71.74,67.8,69.78,949494.0
2009-06-25,71.0,71.35,68.19,69.12,2843698.0
2009-06-26,69.76,71.0,68.36,70.42,983722.0
2009-06-29,71.0,76.36,70.3,75.79,2708944.0
2009-06-30,76.36,76.76,71.47,73.17,2218149.0
2009-07-01,73.52,75.95,71.47,72.81,1984414.0
2009-07-02,74.14,76.78,73.27,74.94,1623700.0
2009-07-03,74.53,76.78,73.47,76.41,1376222.0
2009-07-06,76.78,77.4,68.36,70.48,773624.0
2009-07-07,70.17,70.94,66.09,69.33,1571062.0
2009-07-08,66.52,72.24,66.09,71.84,2373336.0
2009-07-09,71.33,74.26,69.43,72.96,2140202.0
2009-07-10,72.24,74.09,68.52,69.24,1291815.0
2009-07-13,69.31,71.6,67.7,70.15,1810156.0
2009-07-14,71.2,72.15,66.71,67.14,3216276.0
2009-07-15,67.65,68.89,65.86,67.74,4677003.0
2009-07-16,68.5,75.5,66.95,74.38,14528146.0
2009-07-17,75.41,81.65,73.14,79.83,7985591.0
2009-07-20,81.32,82.39,75.0,76.45,6331628.0
2009-07-21,77.27,78.32,74.3,75.95,3374984.0
2009-07-22,77.19,77.87,74.05,77.07,2382888.0
2009-07-23,77.6,77.85,75.15,75.91,4596607.0
